# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,19,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(22,3),-8.54061 # DEPENDENCYPART_ARC
(22,4),-6.76174 # DEPENDENCYPART_ARC
(22,5),-8.43633 # DEPENDENCYPART_ARC
(22,6),-2.47161 # DEPENDENCYPART_ARC
(22,7),-4.90146 # DEPENDENCYPART_ARC
(22,8),-6.13523 # DEPENDENCYPART_ARC
(22,9),0.110243 # DEPENDENCYPART_ARC
(22,10),-1.19785 # DEPENDENCYPART_ARC
(22,11),-5.78557 # DEPENDENCYPART_ARC
(22,12),-2.76968 # DEPENDENCYPART_ARC
(22,13),-1.4934 # DEPENDENCYPART_ARC
(22,14),-0.163618 # DEPENDENCYPART_ARC
(22,15),-3.61875 # DEPENDENCYPART_ARC
(22,16),-2.36248 # DEPENDENCYPART_ARC
(22,17),-3.49445 # DEPENDENCYPART_ARC
(22,18),-4.06221 # DEPENDENCYPART_ARC
(22,19),-3.18224 # DEPENDENCYPART_ARC
(22,20),2.57324 # DEPENDENCYPART_ARC
(22,21),-1.20211 # DEPENDENCYPART_ARC
(22,23),-1.48627 # DEPENDENCYPART_ARC
(22,24),2.85163 # DEPENDENCYPART_ARC
(22,25),0.384879 # DEPENDENCYPART_ARC
(22,26),0.467169 # DEPENDENCYPART_ARC
(22,27),-1.838 # DEPENDENCYPART_ARC
(23,1),-2.99464 # DEPENDENCYPART_ARC
(23,2),-5.23754 # DEPENDENCYPART_ARC
(23,3),-5.3811 # DEPENDENCYPART_ARC
(23,4),-4.7944 # DEPENDENCYPART_ARC
(23,5),-4.7145 # DEPENDENCYPART_ARC
(23,6),-3.21369 # DEPENDENCYPART_ARC
(23,8),-1.62417 # DEPENDENCYPART_ARC
(23,9),-1.88291 # DEPENDENCYPART_ARC
(23,10),-1.55289 # DEPENDENCYPART_ARC
(23,11),-4.60264 # DEPENDENCYPART_ARC
(23,12),-4.64997 # DEPENDENCYPART_ARC
(23,13),-1.98637 # DEPENDENCYPART_ARC
(23,14),0.292883 # DEPENDENCYPART_ARC
(23,15),-1.51585 # DEPENDENCYPART_ARC
(23,16),-3.33603 # DEPENDENCYPART_ARC
(23,17),-3.03897 # DEPENDENCYPART_ARC
(23,18),-1.49186 # DEPENDENCYPART_ARC
(23,19),-2.36968 # DEPENDENCYPART_ARC
(23,20),-1.86953 # DEPENDENCYPART_ARC
(23,21),-1.03231 # DEPENDENCYPART_ARC
(23,22),-0.775491 # DEPENDENCYPART_ARC
(23,24),0.516295 # DEPENDENCYPART_ARC
(23,25),-1.67145 # DEPENDENCYPART_ARC
(23,26),-1.66194 # DEPENDENCYPART_ARC
(23,27),-1.15976 # DEPENDENCYPART_ARC
(24,1),-1.90883 # DEPENDENCYPART_ARC
(24,2),-8.45372 # DEPENDENCYPART_ARC
(24,3),-5.43409 # DEPENDENCYPART_ARC
(24,4),-6.04711 # DEPENDENCYPART_ARC
(24,5),-6.65485 # DEPENDENCYPART_ARC
(24,6),-3.21852 # DEPENDENCYPART_ARC
(24,7),-5.77227 # DEPENDENCYPART_ARC
(24,8),-6.88729 # DEPENDENCYPART_ARC
(24,9),-1.51288 # DEPENDENCYPART_ARC
(24,10),-2.07702 # DEPENDENCYPART_ARC
(24,11),-6.68591 # DEPENDENCYPART_ARC
(24,12),-3.31776 # DEPENDENCYPART_ARC
(24,13),-2.19937 # DEPENDENCYPART_ARC
(24,14),-0.59038 # DEPENDENCYPART_ARC
(24,15),-3.67328 # DEPENDENCYPART_ARC
(24,16),-1.09694 # DEPENDENCYPART_ARC
(24,17),-3.15894 # DEPENDENCYPART_ARC
(24,18),-4.51215 # DEPENDENCYPART_ARC
(24,19),-4.54414 # DEPENDENCYPART_ARC
(24,20),-2.38894 # DEPENDENCYPART_ARC
(24,21),-1.85675 # DEPENDENCYPART_ARC
(24,22),-2.98215 # DEPENDENCYPART_ARC
(24,23),4.15313 # DEPENDENCYPART_ARC
(24,25),0.192134 # DEPENDENCYPART_ARC
(24,26),0.307159 # DEPENDENCYPART_ARC
(24,27),-0.478949 # DEPENDENCYPART_ARC
(25,1),-1.9901 # DEPENDENCYPART_ARC
(25,2),-7.89796 # DEPENDENCYPART_ARC
(25,3),-10.191 # DEPENDENCYPART_ARC
(25,4),-7.20469 # DEPENDENCYPART_ARC
(25,5),-11.0904 # DEPENDENCYPART_ARC
(25,6),-3.42132 # DEPENDENCYPART_ARC
(25,7),-7.38444 # DEPENDENCYPART_ARC
(25,8),-8.32953 # DEPENDENCYPART_ARC
(25,9),-1.05677 # DEPENDENCYPART_ARC
(25,10),-2.81056 # DEPENDENCYPART_ARC
(25,11),-7.56615 # DEPENDENCYPART_ARC
(25,12),-4.08824 # DEPENDENCYPART_ARC
(25,13),-2.54562 # DEPENDENCYPART_ARC
(25,14),-1.77573 # DEPENDENCYPART_ARC
(25,15),-4.42823 # DEPENDENCYPART_ARC
(25,16),-5.69964 # DEPENDENCYPART_ARC
(25,17),-5.05023 # DEPENDENCYPART_ARC
(25,18),-5.89844 # DEPENDENCYPART_ARC
(25,19),-5.25927 # DEPENDENCYPART_ARC
(25,20),2.49531 # DEPENDENCYPART_ARC
(25,21),-3.81632 # DEPENDENCYPART_ARC
(25,22),-1.71659 # DEPENDENCYPART_ARC
(25,23),-4.6304 # DEPENDENCYPART_ARC
(25,24),-4.78911 # DEPENDENCYPART_ARC
(25,26),0.631493 # DEPENDENCYPART_ARC
(25,27),-0.413109 # DEPENDENCYPART_ARC
(26,1),-1.3095 # DEPENDENCYPART_ARC
(26,2),-6.34609 # DEPENDENCYPART_ARC
(26,3),-8.37374 # DEPENDENCYPART_ARC
(26,4),-4.98661 # DEPENDENCYPART_ARC
(26,5),-9.46928 # DEPENDENCYPART_ARC
(26,6),-2.40574 # DEPENDENCYPART_ARC
(26,7),-6.08998 # DEPENDENCYPART_ARC
(26,8),-7.35304 # DEPENDENCYPART_ARC
(26,9),0.0958184 # DEPENDENCYPART_ARC
(26,10),-2.35212 # DEPENDENCYPART_ARC
(26,11),-5.04063 # DEPENDENCYPART_ARC
(26,12),-3.07571 # DEPENDENCYPART_ARC
(26,13),-1.60335 # DEPENDENCYPART_ARC
(26,14),-0.942656 # DEPENDENCYPART_ARC
(26,15),-2.50799 # DEPENDENCYPART_ARC
(26,16),-3.42982 # DEPENDENCYPART_ARC
(26,17),-2.73757 # DEPENDENCYPART_ARC
(26,18),-4.79954 # DEPENDENCYPART_ARC
(26,19),-4.24935 # DEPENDENCYPART_ARC
(26,20),5.4289 # DEPENDENCYPART_ARC
(26,21),-0.872209 # DEPENDENCYPART_ARC
(26,22),0.221247 # DEPENDENCYPART_ARC
(26,23),-3.90984 # DEPENDENCYPART_ARC
(26,24),-2.65225 # DEPENDENCYPART_ARC
(26,25),6.72926 # DEPENDENCYPART_ARC
(26,27),0.266955 # DEPENDENCYPART_ARC
(27,1),-6.86505 # DEPENDENCYPART_ARC
(27,2),-7.50153 # DEPENDENCYPART_ARC
(27,3),-6.40932 # DEPENDENCYPART_ARC
(27,4),-7.4638 # DEPENDENCYPART_ARC
(27,5),-7.49827 # DEPENDENCYPART_ARC
(27,6),-6.62365 # DEPENDENCYPART_ARC
(27,7),-4.86279 # DEPENDENCYPART_ARC
(27,8),-5.85901 # DEPENDENCYPART_ARC
(27,9),-5.90778 # DEPENDENCYPART_ARC
(27,10),-4.3368 # DEPENDENCYPART_ARC
(27,11),-6.40894 # DEPENDENCYPART_ARC
(27,12),-5.05527 # DEPENDENCYPART_ARC
(27,13),-5.41982 # DEPENDENCYPART_ARC
(27,14),-5.72695 # DEPENDENCYPART_ARC
(27,15),-4.43374 # DEPENDENCYPART_ARC
(27,16),-4.78789 # DEPENDENCYPART_ARC
(27,17),-5.08549 # DEPENDENCYPART_ARC
(27,18),-4.06145 # DEPENDENCYPART_ARC
(27,19),-4.14199 # DEPENDENCYPART_ARC
(27,20),-3.89333 # DEPENDENCYPART_ARC
(27,21),-3.96625 # DEPENDENCYPART_ARC
(27,22),-3.87429 # DEPENDENCYPART_ARC
(27,23),-3.50278 # DEPENDENCYPART_ARC
(27,24),-3.19795 # DEPENDENCYPART_ARC
(27,25),-3.39869 # DEPENDENCYPART_ARC
(27,26),-3.1328 # DEPENDENCYPART_ARC
