# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,13,13,6,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,28,29,0,
(19,4),-1.40426 # DEPENDENCYPART_ARC
(19,5),-1.44418 # DEPENDENCYPART_ARC
(19,6),-0.266425 # DEPENDENCYPART_ARC
(19,7),-1.43542 # DEPENDENCYPART_ARC
(19,8),-1.35169 # DEPENDENCYPART_ARC
(19,9),-1.08224 # DEPENDENCYPART_ARC
(19,10),-1.27484 # DEPENDENCYPART_ARC
(19,11),0.0272224 # DEPENDENCYPART_ARC
(19,12),-0.952051 # DEPENDENCYPART_ARC
(19,13),-0.159134 # DEPENDENCYPART_ARC
(19,14),-0.690269 # DEPENDENCYPART_ARC
(19,15),-0.597675 # DEPENDENCYPART_ARC
(19,16),0.51123 # DEPENDENCYPART_ARC
(19,17),0.0412358 # DEPENDENCYPART_ARC
(19,18),-0.641548 # DEPENDENCYPART_ARC
(19,20),0.466113 # DEPENDENCYPART_ARC
(19,22),0.458629 # DEPENDENCYPART_ARC
(19,23),-0.692666 # DEPENDENCYPART_ARC
(19,24),-0.849833 # DEPENDENCYPART_ARC
(19,25),-0.813363 # DEPENDENCYPART_ARC
(19,26),-1.50456 # DEPENDENCYPART_ARC
(19,27),-1.5301 # DEPENDENCYPART_ARC
(19,28),-1.47345 # DEPENDENCYPART_ARC
(19,29),-1.26602 # DEPENDENCYPART_ARC
(19,30),-2.17439 # DEPENDENCYPART_ARC
(19,31),-0.654346 # DEPENDENCYPART_ARC
(20,1),-3.97888 # DEPENDENCYPART_ARC
(20,2),-3.60492 # DEPENDENCYPART_ARC
(20,4),-4.90664 # DEPENDENCYPART_ARC
(20,5),-4.83809 # DEPENDENCYPART_ARC
(20,6),-3.40871 # DEPENDENCYPART_ARC
(20,7),-4.00055 # DEPENDENCYPART_ARC
(20,8),-4.52454 # DEPENDENCYPART_ARC
(20,9),-3.62615 # DEPENDENCYPART_ARC
(20,10),-4.11263 # DEPENDENCYPART_ARC
(20,11),-2.52985 # DEPENDENCYPART_ARC
(20,12),-3.32102 # DEPENDENCYPART_ARC
(20,13),-2.94768 # DEPENDENCYPART_ARC
(20,14),-3.25552 # DEPENDENCYPART_ARC
(20,15),-2.41979 # DEPENDENCYPART_ARC
(20,16),-2.10468 # DEPENDENCYPART_ARC
(20,17),-2.16074 # DEPENDENCYPART_ARC
(20,18),-1.18198 # DEPENDENCYPART_ARC
(20,19),-0.429849 # DEPENDENCYPART_ARC
(20,21),4.9854 # DEPENDENCYPART_ARC
(20,22),-1.464 # DEPENDENCYPART_ARC
(20,23),-1.17615 # DEPENDENCYPART_ARC
(20,24),-0.958725 # DEPENDENCYPART_ARC
(20,25),-1.67424 # DEPENDENCYPART_ARC
(20,26),-1.37869 # DEPENDENCYPART_ARC
(20,27),-1.2735 # DEPENDENCYPART_ARC
(20,28),-3.75735 # DEPENDENCYPART_ARC
(20,29),-2.14627 # DEPENDENCYPART_ARC
(20,30),-4.18591 # DEPENDENCYPART_ARC
(20,31),-1.24874 # DEPENDENCYPART_ARC
(22,1),-4.36179 # DEPENDENCYPART_ARC
(22,2),-2.5184 # DEPENDENCYPART_ARC
(22,3),-2.1129 # DEPENDENCYPART_ARC
(22,4),-4.67835 # DEPENDENCYPART_ARC
(22,5),-6.07259 # DEPENDENCYPART_ARC
(22,6),0.617916 # DEPENDENCYPART_ARC
(22,7),-5.22301 # DEPENDENCYPART_ARC
(22,8),-4.39583 # DEPENDENCYPART_ARC
(22,9),-3.34236 # DEPENDENCYPART_ARC
(22,10),-3.8254 # DEPENDENCYPART_ARC
(22,11),1.30743 # DEPENDENCYPART_ARC
(22,12),-0.131737 # DEPENDENCYPART_ARC
(22,13),-1.53438 # DEPENDENCYPART_ARC
(22,14),-1.55879 # DEPENDENCYPART_ARC
(22,15),0.571185 # DEPENDENCYPART_ARC
(22,16),-0.069704 # DEPENDENCYPART_ARC
(22,17),-2.76629 # DEPENDENCYPART_ARC
(22,18),-1.53962 # DEPENDENCYPART_ARC
(22,19),2.24079 # DEPENDENCYPART_ARC
(22,20),2.63408 # DEPENDENCYPART_ARC
(22,23),-1.7059 # DEPENDENCYPART_ARC
(22,24),2.2943 # DEPENDENCYPART_ARC
(22,25),1.24146 # DEPENDENCYPART_ARC
(22,26),-3.24652 # DEPENDENCYPART_ARC
(22,27),0.0353902 # DEPENDENCYPART_ARC
(22,28),-2.68372 # DEPENDENCYPART_ARC
(22,29),0.710831 # DEPENDENCYPART_ARC
(22,30),-3.17282 # DEPENDENCYPART_ARC
(22,31),0.604752 # DEPENDENCYPART_ARC
(23,1),-6.17933 # DEPENDENCYPART_ARC
(23,2),-5.95534 # DEPENDENCYPART_ARC
(23,3),-1.79032 # DEPENDENCYPART_ARC
(23,4),-4.20348 # DEPENDENCYPART_ARC
(23,5),-6.09998 # DEPENDENCYPART_ARC
(23,6),-3.50257 # DEPENDENCYPART_ARC
(23,7),-5.81925 # DEPENDENCYPART_ARC
(23,8),-5.51427 # DEPENDENCYPART_ARC
(23,9),-5.25795 # DEPENDENCYPART_ARC
(23,10),-5.01704 # DEPENDENCYPART_ARC
(23,11),-2.78317 # DEPENDENCYPART_ARC
(23,13),-4.59815 # DEPENDENCYPART_ARC
(23,14),-3.80655 # DEPENDENCYPART_ARC
(23,15),-4.69749 # DEPENDENCYPART_ARC
(23,16),-1.63355 # DEPENDENCYPART_ARC
(23,17),-3.44387 # DEPENDENCYPART_ARC
(23,18),-2.38336 # DEPENDENCYPART_ARC
(23,19),-1.10922 # DEPENDENCYPART_ARC
(23,20),-0.0748733 # DEPENDENCYPART_ARC
(23,22),-3.34876 # DEPENDENCYPART_ARC
(23,24),-0.640161 # DEPENDENCYPART_ARC
(23,25),-0.221273 # DEPENDENCYPART_ARC
(23,26),-2.96092 # DEPENDENCYPART_ARC
(23,27),-0.699268 # DEPENDENCYPART_ARC
(23,28),-2.31528 # DEPENDENCYPART_ARC
(23,29),-0.910619 # DEPENDENCYPART_ARC
(23,30),-3.79472 # DEPENDENCYPART_ARC
(23,31),-1.46394 # DEPENDENCYPART_ARC
(24,1),-5.55192 # DEPENDENCYPART_ARC
(24,2),-3.7172 # DEPENDENCYPART_ARC
(24,3),-7.02344 # DEPENDENCYPART_ARC
(24,4),-4.64751 # DEPENDENCYPART_ARC
(24,5),-6.21932 # DEPENDENCYPART_ARC
(24,6),-2.83858 # DEPENDENCYPART_ARC
(24,7),-5.50941 # DEPENDENCYPART_ARC
(24,8),-5.31052 # DEPENDENCYPART_ARC
(24,9),-5.56503 # DEPENDENCYPART_ARC
(24,10),-5.73091 # DEPENDENCYPART_ARC
(24,11),-2.45658 # DEPENDENCYPART_ARC
(24,12),-4.64131 # DEPENDENCYPART_ARC
(24,13),-2.34469 # DEPENDENCYPART_ARC
(24,14),-2.97822 # DEPENDENCYPART_ARC
(24,15),-5.47437 # DEPENDENCYPART_ARC
(24,16),-1.35838 # DEPENDENCYPART_ARC
(24,17),0.0502264 # DEPENDENCYPART_ARC
(24,18),-2.50956 # DEPENDENCYPART_ARC
(24,19),-1.23311 # DEPENDENCYPART_ARC
(24,20),0.487417 # DEPENDENCYPART_ARC
(24,21),-0.778473 # DEPENDENCYPART_ARC
(24,22),-1.54558 # DEPENDENCYPART_ARC
(24,23),4.9463 # DEPENDENCYPART_ARC
(24,25),1.17449 # DEPENDENCYPART_ARC
(24,26),-1.72975 # DEPENDENCYPART_ARC
(24,27),-0.430502 # DEPENDENCYPART_ARC
(24,28),0.964308 # DEPENDENCYPART_ARC
(24,29),-0.28595 # DEPENDENCYPART_ARC
(24,30),-2.20369 # DEPENDENCYPART_ARC
(24,31),-1.36861 # DEPENDENCYPART_ARC
(25,1),-4.34809 # DEPENDENCYPART_ARC
(25,2),-3.97678 # DEPENDENCYPART_ARC
(25,4),-5.58189 # DEPENDENCYPART_ARC
(25,5),-5.30523 # DEPENDENCYPART_ARC
(25,6),-4.16855 # DEPENDENCYPART_ARC
(25,7),-4.01888 # DEPENDENCYPART_ARC
(25,8),-5.23404 # DEPENDENCYPART_ARC
(25,9),-4.2423 # DEPENDENCYPART_ARC
(25,10),-4.57735 # DEPENDENCYPART_ARC
(25,11),-3.29989 # DEPENDENCYPART_ARC
(25,12),-3.10267 # DEPENDENCYPART_ARC
(25,13),-3.5512 # DEPENDENCYPART_ARC
(25,14),-2.87597 # DEPENDENCYPART_ARC
(25,15),-3.85983 # DEPENDENCYPART_ARC
(25,16),-3.28266 # DEPENDENCYPART_ARC
(25,17),-3.16754 # DEPENDENCYPART_ARC
(25,18),-3.43756 # DEPENDENCYPART_ARC
(25,19),-1.7589 # DEPENDENCYPART_ARC
(25,20),-2.37918 # DEPENDENCYPART_ARC
(25,21),-1.84926 # DEPENDENCYPART_ARC
(25,22),-2.06951 # DEPENDENCYPART_ARC
(25,23),-1.46483 # DEPENDENCYPART_ARC
(25,24),-1.35699 # DEPENDENCYPART_ARC
(25,26),0.570752 # DEPENDENCYPART_ARC
(25,27),4.08501 # DEPENDENCYPART_ARC
(25,28),-1.24743 # DEPENDENCYPART_ARC
(25,29),-1.82865 # DEPENDENCYPART_ARC
(25,30),0.0225372 # DEPENDENCYPART_ARC
(25,31),-1.24936 # DEPENDENCYPART_ARC
(26,1),-7.49022 # DEPENDENCYPART_ARC
(26,2),-6.4855 # DEPENDENCYPART_ARC
(26,3),-2.27958 # DEPENDENCYPART_ARC
(26,4),-4.30902 # DEPENDENCYPART_ARC
(26,5),-6.26552 # DEPENDENCYPART_ARC
(26,6),-4.13427 # DEPENDENCYPART_ARC
(26,7),-5.97489 # DEPENDENCYPART_ARC
(26,8),-5.60767 # DEPENDENCYPART_ARC
(26,9),-5.25887 # DEPENDENCYPART_ARC
(26,10),-4.58054 # DEPENDENCYPART_ARC
(26,11),-3.40387 # DEPENDENCYPART_ARC
(26,13),-5.07041 # DEPENDENCYPART_ARC
(26,14),-3.67853 # DEPENDENCYPART_ARC
(26,15),-5.16581 # DEPENDENCYPART_ARC
(26,16),-2.72063 # DEPENDENCYPART_ARC
(26,17),-4.4377 # DEPENDENCYPART_ARC
(26,18),-3.952 # DEPENDENCYPART_ARC
(26,19),-2.11397 # DEPENDENCYPART_ARC
(26,20),-2.08134 # DEPENDENCYPART_ARC
(26,22),-5.64502 # DEPENDENCYPART_ARC
(26,23),-3.51127 # DEPENDENCYPART_ARC
(26,24),-2.21231 # DEPENDENCYPART_ARC
(26,25),-1.02559 # DEPENDENCYPART_ARC
(26,27),0.742248 # DEPENDENCYPART_ARC
(26,28),-1.55203 # DEPENDENCYPART_ARC
(26,29),-0.46617 # DEPENDENCYPART_ARC
(26,30),-2.06472 # DEPENDENCYPART_ARC
(26,31),-1.26322 # DEPENDENCYPART_ARC
(27,1),-7.68899 # DEPENDENCYPART_ARC
(27,2),-4.6932 # DEPENDENCYPART_ARC
(27,3),-7.56792 # DEPENDENCYPART_ARC
(27,4),-5.14038 # DEPENDENCYPART_ARC
(27,5),-6.64515 # DEPENDENCYPART_ARC
(27,6),-3.22822 # DEPENDENCYPART_ARC
(27,7),-5.00596 # DEPENDENCYPART_ARC
(27,8),-5.85772 # DEPENDENCYPART_ARC
(27,9),-6.16639 # DEPENDENCYPART_ARC
(27,10),-6.46234 # DEPENDENCYPART_ARC
(27,11),-2.71409 # DEPENDENCYPART_ARC
(27,12),-2.99096 # DEPENDENCYPART_ARC
(27,13),-2.9734 # DEPENDENCYPART_ARC
(27,14),-1.4831 # DEPENDENCYPART_ARC
(27,15),-5.51175 # DEPENDENCYPART_ARC
(27,16),-1.39218 # DEPENDENCYPART_ARC
(27,17),-1.49159 # DEPENDENCYPART_ARC
(27,18),-5.03028 # DEPENDENCYPART_ARC
(27,19),-1.52421 # DEPENDENCYPART_ARC
(27,20),-0.492977 # DEPENDENCYPART_ARC
(27,21),0.624714 # DEPENDENCYPART_ARC
(27,22),-3.90829 # DEPENDENCYPART_ARC
(27,23),-1.04458 # DEPENDENCYPART_ARC
(27,24),-3.09909 # DEPENDENCYPART_ARC
(27,25),-0.124892 # DEPENDENCYPART_ARC
(27,26),4.75901 # DEPENDENCYPART_ARC
(27,28),3.68941 # DEPENDENCYPART_ARC
(27,29),0.605209 # DEPENDENCYPART_ARC
(27,30),0.110815 # DEPENDENCYPART_ARC
(27,31),-0.456715 # DEPENDENCYPART_ARC
(28,1),-7.6599 # DEPENDENCYPART_ARC
(28,2),-5.41364 # DEPENDENCYPART_ARC
(28,3),-8.56155 # DEPENDENCYPART_ARC
(28,4),-3.21012 # DEPENDENCYPART_ARC
(28,5),-5.8419 # DEPENDENCYPART_ARC
(28,6),-3.7419 # DEPENDENCYPART_ARC
(28,7),-4.9911 # DEPENDENCYPART_ARC
(28,8),-4.50122 # DEPENDENCYPART_ARC
(28,9),-5.53496 # DEPENDENCYPART_ARC
(28,10),-5.60411 # DEPENDENCYPART_ARC
(28,11),-3.61351 # DEPENDENCYPART_ARC
(28,12),-4.72094 # DEPENDENCYPART_ARC
(28,13),-3.91833 # DEPENDENCYPART_ARC
(28,14),-3.29554 # DEPENDENCYPART_ARC
(28,15),-5.74721 # DEPENDENCYPART_ARC
(28,16),-2.04534 # DEPENDENCYPART_ARC
(28,17),-3.27563 # DEPENDENCYPART_ARC
(28,18),-5.97892 # DEPENDENCYPART_ARC
(28,19),-2.31556 # DEPENDENCYPART_ARC
(28,20),-0.966865 # DEPENDENCYPART_ARC
(28,21),-1.71847 # DEPENDENCYPART_ARC
(28,22),-4.20249 # DEPENDENCYPART_ARC
(28,23),-3.14921 # DEPENDENCYPART_ARC
(28,24),-4.50148 # DEPENDENCYPART_ARC
(28,25),-1.27795 # DEPENDENCYPART_ARC
(28,26),0.593924 # DEPENDENCYPART_ARC
(28,27),-1.54153 # DEPENDENCYPART_ARC
(28,29),0.887177 # DEPENDENCYPART_ARC
(28,30),0.393318 # DEPENDENCYPART_ARC
(28,31),-0.341154 # DEPENDENCYPART_ARC
(29,1),-4.56526 # DEPENDENCYPART_ARC
(29,2),-4.3324 # DEPENDENCYPART_ARC
(29,4),-6.61848 # DEPENDENCYPART_ARC
(29,5),-6.43035 # DEPENDENCYPART_ARC
(29,6),-5.2163 # DEPENDENCYPART_ARC
(29,7),-4.24784 # DEPENDENCYPART_ARC
(29,8),-6.2767 # DEPENDENCYPART_ARC
(29,9),-5.26428 # DEPENDENCYPART_ARC
(29,10),-5.61821 # DEPENDENCYPART_ARC
(29,11),-4.00928 # DEPENDENCYPART_ARC
(29,12),-3.25647 # DEPENDENCYPART_ARC
(29,13),-3.8419 # DEPENDENCYPART_ARC
(29,14),-3.0107 # DEPENDENCYPART_ARC
(29,15),-4.94817 # DEPENDENCYPART_ARC
(29,16),-4.61615 # DEPENDENCYPART_ARC
(29,17),-3.48356 # DEPENDENCYPART_ARC
(29,18),-4.54386 # DEPENDENCYPART_ARC
(29,19),-2.4504 # DEPENDENCYPART_ARC
(29,20),-3.85796 # DEPENDENCYPART_ARC
(29,21),-2.36726 # DEPENDENCYPART_ARC
(29,22),-2.90232 # DEPENDENCYPART_ARC
(29,23),-3.03386 # DEPENDENCYPART_ARC
(29,24),-3.45442 # DEPENDENCYPART_ARC
(29,25),-2.35156 # DEPENDENCYPART_ARC
(29,26),-1.93633 # DEPENDENCYPART_ARC
(29,27),-2.09747 # DEPENDENCYPART_ARC
(29,28),-1.73273 # DEPENDENCYPART_ARC
(29,30),4.26038 # DEPENDENCYPART_ARC
(29,31),-0.233572 # DEPENDENCYPART_ARC
(30,1),-8.60791 # DEPENDENCYPART_ARC
(30,2),-5.28698 # DEPENDENCYPART_ARC
(30,3),-9.65759 # DEPENDENCYPART_ARC
(30,4),-5.23425 # DEPENDENCYPART_ARC
(30,5),-7.39428 # DEPENDENCYPART_ARC
(30,6),-4.2785 # DEPENDENCYPART_ARC
(30,7),-7.88113 # DEPENDENCYPART_ARC
(30,8),-6.39283 # DEPENDENCYPART_ARC
(30,9),-6.59022 # DEPENDENCYPART_ARC
(30,10),-7.08154 # DEPENDENCYPART_ARC
(30,11),-4.11396 # DEPENDENCYPART_ARC
(30,12),-5.97971 # DEPENDENCYPART_ARC
(30,13),-3.57128 # DEPENDENCYPART_ARC
(30,14),-5.14942 # DEPENDENCYPART_ARC
(30,15),-6.48261 # DEPENDENCYPART_ARC
(30,16),-2.26621 # DEPENDENCYPART_ARC
(30,17),-5.89343 # DEPENDENCYPART_ARC
(30,18),-6.52034 # DEPENDENCYPART_ARC
(30,19),-2.99766 # DEPENDENCYPART_ARC
(30,20),-1.32317 # DEPENDENCYPART_ARC
(30,21),-2.21139 # DEPENDENCYPART_ARC
(30,22),-4.91471 # DEPENDENCYPART_ARC
(30,23),-2.56887 # DEPENDENCYPART_ARC
(30,24),-4.3484 # DEPENDENCYPART_ARC
(30,25),-1.39496 # DEPENDENCYPART_ARC
(30,26),-1.51119 # DEPENDENCYPART_ARC
(30,27),-1.9579 # DEPENDENCYPART_ARC
(30,28),-1.85747 # DEPENDENCYPART_ARC
(30,29),-0.0596095 # DEPENDENCYPART_ARC
(30,31),-1.17907 # DEPENDENCYPART_ARC
(31,1),-6.14278 # DEPENDENCYPART_ARC
(31,2),-5.29823 # DEPENDENCYPART_ARC
(31,3),-5.8599 # DEPENDENCYPART_ARC
(31,4),-7.20543 # DEPENDENCYPART_ARC
(31,5),-6.82501 # DEPENDENCYPART_ARC
(31,6),-4.69825 # DEPENDENCYPART_ARC
(31,7),-5.12499 # DEPENDENCYPART_ARC
(31,8),-6.67539 # DEPENDENCYPART_ARC
(31,9),-6.38262 # DEPENDENCYPART_ARC
(31,10),-6.20362 # DEPENDENCYPART_ARC
(31,11),-2.95726 # DEPENDENCYPART_ARC
(31,12),-4.20191 # DEPENDENCYPART_ARC
(31,13),-5.45329 # DEPENDENCYPART_ARC
(31,14),-4.00083 # DEPENDENCYPART_ARC
(31,15),-5.06511 # DEPENDENCYPART_ARC
(31,16),-3.94991 # DEPENDENCYPART_ARC
(31,17),-3.71713 # DEPENDENCYPART_ARC
(31,18),-4.69597 # DEPENDENCYPART_ARC
(31,19),-3.20861 # DEPENDENCYPART_ARC
(31,20),-3.30125 # DEPENDENCYPART_ARC
(31,22),-3.99477 # DEPENDENCYPART_ARC
(31,23),-3.15981 # DEPENDENCYPART_ARC
(31,24),-3.29461 # DEPENDENCYPART_ARC
(31,25),-3.12805 # DEPENDENCYPART_ARC
(31,26),-2.62636 # DEPENDENCYPART_ARC
(31,27),-2.8215 # DEPENDENCYPART_ARC
(31,28),-2.36822 # DEPENDENCYPART_ARC
(31,29),-2.82432 # DEPENDENCYPART_ARC
(31,30),-1.84231 # DEPENDENCYPART_ARC
