# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,0,11,12,15,13,11,11,0,20,21,22,18,0,
(23,2),-6.0371 # DEPENDENCYPART_ARC
(23,3),-5.00152 # DEPENDENCYPART_ARC
(23,4),-5.28065 # DEPENDENCYPART_ARC
(23,5),-4.1086 # DEPENDENCYPART_ARC
(23,6),-4.8727 # DEPENDENCYPART_ARC
(23,7),-4.56492 # DEPENDENCYPART_ARC
(23,8),-3.90239 # DEPENDENCYPART_ARC
(23,9),-4.65019 # DEPENDENCYPART_ARC
(23,10),-3.74338 # DEPENDENCYPART_ARC
(23,11),-3.93438 # DEPENDENCYPART_ARC
(23,12),-3.82903 # DEPENDENCYPART_ARC
(23,13),-4.39499 # DEPENDENCYPART_ARC
(23,14),-3.04242 # DEPENDENCYPART_ARC
(23,15),-3.08233 # DEPENDENCYPART_ARC
(23,16),-2.41292 # DEPENDENCYPART_ARC
(23,17),-2.15657 # DEPENDENCYPART_ARC
(23,18),-3.86162 # DEPENDENCYPART_ARC
(23,19),-2.69178 # DEPENDENCYPART_ARC
(23,20),-3.16164 # DEPENDENCYPART_ARC
(23,21),-2.97283 # DEPENDENCYPART_ARC
(23,22),-2.52817 # DEPENDENCYPART_ARC
