# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,15,12,15,6,0,20,18,20,21,22,0,
(23,12),-5.89386 # DEPENDENCYPART_ARC
(23,13),-0.438125 # DEPENDENCYPART_ARC
(23,14),-0.826446 # DEPENDENCYPART_ARC
(23,15),-5.15944 # DEPENDENCYPART_ARC
(23,16),-4.80616 # DEPENDENCYPART_ARC
(23,17),-1.50741 # DEPENDENCYPART_ARC
(23,18),-1.96046 # DEPENDENCYPART_ARC
(23,19),0.779209 # DEPENDENCYPART_ARC
(23,20),-4.24842 # DEPENDENCYPART_ARC
(23,21),0.623937 # DEPENDENCYPART_ARC
(23,22),-0.00795704 # DEPENDENCYPART_ARC
(23,24),0.337795 # DEPENDENCYPART_ARC
(24,1),-7.38217 # DEPENDENCYPART_ARC
(24,2),-5.9525 # DEPENDENCYPART_ARC
(24,3),-5.12029 # DEPENDENCYPART_ARC
(24,4),-6.46782 # DEPENDENCYPART_ARC
(24,5),-6.01502 # DEPENDENCYPART_ARC
(24,6),-4.83804 # DEPENDENCYPART_ARC
(24,7),-5.38686 # DEPENDENCYPART_ARC
(24,8),-5.28031 # DEPENDENCYPART_ARC
(24,9),-5.8299 # DEPENDENCYPART_ARC
(24,10),-4.8021 # DEPENDENCYPART_ARC
(24,11),-5.30649 # DEPENDENCYPART_ARC
(24,12),-5.09887 # DEPENDENCYPART_ARC
(24,13),-4.62981 # DEPENDENCYPART_ARC
(24,14),-4.40782 # DEPENDENCYPART_ARC
(24,15),-4.5102 # DEPENDENCYPART_ARC
(24,16),-4.13485 # DEPENDENCYPART_ARC
(24,17),-3.68001 # DEPENDENCYPART_ARC
(24,18),-3.61831 # DEPENDENCYPART_ARC
(24,19),-3.63943 # DEPENDENCYPART_ARC
(24,20),-3.78994 # DEPENDENCYPART_ARC
(24,21),-3.1319 # DEPENDENCYPART_ARC
(24,22),-3.57174 # DEPENDENCYPART_ARC
(24,23),-2.51822 # DEPENDENCYPART_ARC
