# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,16,7,6,17,17,17,17,17,22,23,26,24,0,
(25,17),-6.75567 # DEPENDENCYPART_ARC
(25,19),-2.33882 # DEPENDENCYPART_ARC
(25,20),-1.63363 # DEPENDENCYPART_ARC
(25,21),-4.81703 # DEPENDENCYPART_ARC
(25,22),-0.5258 # DEPENDENCYPART_ARC
(25,23),-3.33957 # DEPENDENCYPART_ARC
(25,24),-0.934352 # DEPENDENCYPART_ARC
(25,26),0.252464 # DEPENDENCYPART_ARC
(25,27),-0.347334 # DEPENDENCYPART_ARC
(26,1),-4.36242 # DEPENDENCYPART_ARC
(26,2),-9.58576 # DEPENDENCYPART_ARC
(26,3),-7.85724 # DEPENDENCYPART_ARC
(26,4),-6.15919 # DEPENDENCYPART_ARC
(26,5),-2.79793 # DEPENDENCYPART_ARC
(26,6),-5.90647 # DEPENDENCYPART_ARC
(26,7),-4.92101 # DEPENDENCYPART_ARC
(26,8),-3.83918 # DEPENDENCYPART_ARC
(26,9),-7.63347 # DEPENDENCYPART_ARC
(26,10),-4.46994 # DEPENDENCYPART_ARC
(26,11),-4.09489 # DEPENDENCYPART_ARC
(26,12),-4.6105 # DEPENDENCYPART_ARC
(26,13),-4.79632 # DEPENDENCYPART_ARC
(26,14),-5.20094 # DEPENDENCYPART_ARC
(26,15),-5.16219 # DEPENDENCYPART_ARC
(26,16),-2.61703 # DEPENDENCYPART_ARC
(26,17),-5.14785 # DEPENDENCYPART_ARC
(26,18),-0.852867 # DEPENDENCYPART_ARC
(26,19),-2.97364 # DEPENDENCYPART_ARC
(26,20),-2.8975 # DEPENDENCYPART_ARC
(26,21),-3.16019 # DEPENDENCYPART_ARC
(26,22),-0.0708612 # DEPENDENCYPART_ARC
(26,23),-3.71074 # DEPENDENCYPART_ARC
(26,24),-0.508537 # DEPENDENCYPART_ARC
(26,25),5.47898 # DEPENDENCYPART_ARC
(26,27),0.618597 # DEPENDENCYPART_ARC
(27,1),-7.27263 # DEPENDENCYPART_ARC
(27,2),-7.26116 # DEPENDENCYPART_ARC
(27,4),-5.59089 # DEPENDENCYPART_ARC
(27,5),-6.75258 # DEPENDENCYPART_ARC
(27,6),-5.24358 # DEPENDENCYPART_ARC
(27,7),-4.79496 # DEPENDENCYPART_ARC
(27,8),-5.0252 # DEPENDENCYPART_ARC
(27,9),-7.32254 # DEPENDENCYPART_ARC
(27,10),-5.06026 # DEPENDENCYPART_ARC
(27,11),-5.336 # DEPENDENCYPART_ARC
(27,12),-4.27662 # DEPENDENCYPART_ARC
(27,13),-5.75633 # DEPENDENCYPART_ARC
(27,14),-5.67463 # DEPENDENCYPART_ARC
(27,15),-5.33974 # DEPENDENCYPART_ARC
(27,16),-4.38607 # DEPENDENCYPART_ARC
(27,17),-3.94061 # DEPENDENCYPART_ARC
(27,19),-3.95627 # DEPENDENCYPART_ARC
(27,21),-3.66074 # DEPENDENCYPART_ARC
(27,22),-3.63957 # DEPENDENCYPART_ARC
(27,23),-2.80196 # DEPENDENCYPART_ARC
(27,24),-3.27567 # DEPENDENCYPART_ARC
(27,25),-2.66209 # DEPENDENCYPART_ARC
(27,26),-3.41431 # DEPENDENCYPART_ARC
