# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,10,8,6,8,12,12,0,12,15,13,15,16,17,20,18,20,21,0,
(23,2),-4.73041 # DEPENDENCYPART_ARC
(23,3),-6.07968 # DEPENDENCYPART_ARC
(23,4),-5.65989 # DEPENDENCYPART_ARC
(23,5),-5.48694 # DEPENDENCYPART_ARC
(23,6),-4.38311 # DEPENDENCYPART_ARC
(23,7),-4.25607 # DEPENDENCYPART_ARC
(23,8),-4.76238 # DEPENDENCYPART_ARC
(23,9),-4.08698 # DEPENDENCYPART_ARC
(23,10),-4.95467 # DEPENDENCYPART_ARC
(23,11),-4.14161 # DEPENDENCYPART_ARC
(23,12),-4.31152 # DEPENDENCYPART_ARC
(23,13),-4.21606 # DEPENDENCYPART_ARC
(23,14),-4.06426 # DEPENDENCYPART_ARC
(23,15),-3.75801 # DEPENDENCYPART_ARC
(23,16),-3.7415 # DEPENDENCYPART_ARC
(23,17),-3.43149 # DEPENDENCYPART_ARC
(23,18),-2.99374 # DEPENDENCYPART_ARC
(23,19),-3.19739 # DEPENDENCYPART_ARC
(23,20),-2.94497 # DEPENDENCYPART_ARC
(23,21),-3.2847 # DEPENDENCYPART_ARC
(23,22),-2.27064 # DEPENDENCYPART_ARC
