# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(22,1),-6.3509 # DEPENDENCYPART_ARC
(22,2),-9.05162 # DEPENDENCYPART_ARC
(22,3),-8.45751 # DEPENDENCYPART_ARC
(22,4),-5.88875 # DEPENDENCYPART_ARC
(22,5),-3.56591 # DEPENDENCYPART_ARC
(22,6),-8.03039 # DEPENDENCYPART_ARC
(22,7),-3.89227 # DEPENDENCYPART_ARC
(22,8),-1.93222 # DEPENDENCYPART_ARC
(22,9),-2.20638 # DEPENDENCYPART_ARC
(22,10),-3.62626 # DEPENDENCYPART_ARC
(22,11),-2.75239 # DEPENDENCYPART_ARC
(22,12),-7.32828 # DEPENDENCYPART_ARC
(22,13),-1.49287 # DEPENDENCYPART_ARC
(22,14),-5.16159 # DEPENDENCYPART_ARC
(22,15),-2.67427 # DEPENDENCYPART_ARC
(22,16),-6.27326 # DEPENDENCYPART_ARC
(22,17),-0.60475 # DEPENDENCYPART_ARC
(22,18),-0.468204 # DEPENDENCYPART_ARC
(22,19),-1.45268 # DEPENDENCYPART_ARC
(22,20),-1.78342 # DEPENDENCYPART_ARC
(22,21),5.56686 # DEPENDENCYPART_ARC
(22,23),-1.51226 # DEPENDENCYPART_ARC
(22,24),-0.20587 # DEPENDENCYPART_ARC
(23,1),-2.66572 # DEPENDENCYPART_ARC
(23,2),-0.267114 # DEPENDENCYPART_ARC
(23,3),-3.08504 # DEPENDENCYPART_ARC
(23,4),0.635376 # DEPENDENCYPART_ARC
(23,5),-2.06281 # DEPENDENCYPART_ARC
(23,6),0.728925 # DEPENDENCYPART_ARC
(23,7),-3.25773 # DEPENDENCYPART_ARC
(23,8),-0.51779 # DEPENDENCYPART_ARC
(23,9),-0.572381 # DEPENDENCYPART_ARC
(23,10),-0.129208 # DEPENDENCYPART_ARC
(23,11),-4.59786 # DEPENDENCYPART_ARC
(23,12),-2.01659 # DEPENDENCYPART_ARC
(23,13),1.0072 # DEPENDENCYPART_ARC
(23,14),1.3002 # DEPENDENCYPART_ARC
(23,15),-1.51659 # DEPENDENCYPART_ARC
(23,16),-0.739605 # DEPENDENCYPART_ARC
(23,17),0.475067 # DEPENDENCYPART_ARC
(23,18),1.77181 # DEPENDENCYPART_ARC
(23,19),3.86648 # DEPENDENCYPART_ARC
(23,20),3.86986 # DEPENDENCYPART_ARC
(23,21),-2.17607 # DEPENDENCYPART_ARC
(23,22),1.1975 # DEPENDENCYPART_ARC
(23,24),-0.0167535 # DEPENDENCYPART_ARC
(24,1),-5.51299 # DEPENDENCYPART_ARC
(24,2),-6.04039 # DEPENDENCYPART_ARC
(24,3),-5.96168 # DEPENDENCYPART_ARC
(24,4),-4.00759 # DEPENDENCYPART_ARC
(24,5),-4.6899 # DEPENDENCYPART_ARC
(24,6),-5.23829 # DEPENDENCYPART_ARC
(24,7),-5.2187 # DEPENDENCYPART_ARC
(24,8),-4.17339 # DEPENDENCYPART_ARC
(24,9),-4.44417 # DEPENDENCYPART_ARC
(24,10),-4.86904 # DEPENDENCYPART_ARC
(24,11),-4.3357 # DEPENDENCYPART_ARC
(24,12),-4.69373 # DEPENDENCYPART_ARC
(24,13),-3.68207 # DEPENDENCYPART_ARC
(24,14),-3.7811 # DEPENDENCYPART_ARC
(24,15),-4.17406 # DEPENDENCYPART_ARC
(24,16),-3.57521 # DEPENDENCYPART_ARC
(24,17),-3.40227 # DEPENDENCYPART_ARC
(24,18),-3.11195 # DEPENDENCYPART_ARC
(24,19),-3.14511 # DEPENDENCYPART_ARC
(24,20),-3.34672 # DEPENDENCYPART_ARC
(24,21),-3.01317 # DEPENDENCYPART_ARC
(24,22),-3.14985 # DEPENDENCYPART_ARC
(24,23),-3.6569 # DEPENDENCYPART_ARC
