# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,7,6,7,1,9,7,9,10,1,0,13,13,17,13,22,18,19,22,17,0,
(23,2),-5.19138 # DEPENDENCYPART_ARC
(23,3),-4.3483 # DEPENDENCYPART_ARC
(23,4),-4.47866 # DEPENDENCYPART_ARC
(23,5),-5.17538 # DEPENDENCYPART_ARC
(23,6),-5.75162 # DEPENDENCYPART_ARC
(23,7),-5.0249 # DEPENDENCYPART_ARC
(23,8),-4.3939 # DEPENDENCYPART_ARC
(23,9),-5.04509 # DEPENDENCYPART_ARC
(23,10),-4.53617 # DEPENDENCYPART_ARC
(23,11),-4.16987 # DEPENDENCYPART_ARC
(23,12),-3.79183 # DEPENDENCYPART_ARC
(23,13),-3.88553 # DEPENDENCYPART_ARC
(23,14),-3.46095 # DEPENDENCYPART_ARC
(23,15),-3.98902 # DEPENDENCYPART_ARC
(23,16),-3.37701 # DEPENDENCYPART_ARC
(23,17),-3.6067 # DEPENDENCYPART_ARC
(23,18),-3.02257 # DEPENDENCYPART_ARC
(23,19),-2.37026 # DEPENDENCYPART_ARC
(23,20),-2.96803 # DEPENDENCYPART_ARC
(23,21),-2.91891 # DEPENDENCYPART_ARC
(23,22),-3.45664 # DEPENDENCYPART_ARC
