# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,10,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
(18,22),-3.70048 # DEPENDENCYPART_ARC
(18,23),-1.91259 # DEPENDENCYPART_ARC
(18,24),-2.76261 # DEPENDENCYPART_ARC
(18,25),-4.56192 # DEPENDENCYPART_ARC
(18,26),-4.80312 # DEPENDENCYPART_ARC
(18,27),-3.6643 # DEPENDENCYPART_ARC
(18,28),-3.76513 # DEPENDENCYPART_ARC
(19,1),-0.64208 # DEPENDENCYPART_ARC
(19,2),0.411204 # DEPENDENCYPART_ARC
(19,3),-0.445871 # DEPENDENCYPART_ARC
(19,4),-0.96266 # DEPENDENCYPART_ARC
(19,5),0.710837 # DEPENDENCYPART_ARC
(19,6),-0.59641 # DEPENDENCYPART_ARC
(19,7),1.34785 # DEPENDENCYPART_ARC
(19,8),-0.429619 # DEPENDENCYPART_ARC
(19,9),2.29693 # DEPENDENCYPART_ARC
(19,10),0.49719 # DEPENDENCYPART_ARC
(19,11),-0.226442 # DEPENDENCYPART_ARC
(19,12),1.77669 # DEPENDENCYPART_ARC
(19,13),-0.26353 # DEPENDENCYPART_ARC
(19,14),2.68962 # DEPENDENCYPART_ARC
(19,15),0.836961 # DEPENDENCYPART_ARC
(19,16),1.71693 # DEPENDENCYPART_ARC
(19,17),2.49052 # DEPENDENCYPART_ARC
(19,18),4.4074 # DEPENDENCYPART_ARC
(19,20),4.39626 # DEPENDENCYPART_ARC
(19,21),0.514193 # DEPENDENCYPART_ARC
(19,22),1.09752 # DEPENDENCYPART_ARC
(19,23),-0.452727 # DEPENDENCYPART_ARC
(19,24),-0.788613 # DEPENDENCYPART_ARC
(19,25),-1.62353 # DEPENDENCYPART_ARC
(19,26),-1.91928 # DEPENDENCYPART_ARC
(19,27),-0.212337 # DEPENDENCYPART_ARC
(19,28),-0.475887 # DEPENDENCYPART_ARC
(20,1),-3.6671 # DEPENDENCYPART_ARC
(20,2),-8.47873 # DEPENDENCYPART_ARC
(20,3),-8.6076 # DEPENDENCYPART_ARC
(20,4),-4.80314 # DEPENDENCYPART_ARC
(20,5),-6.9403 # DEPENDENCYPART_ARC
(20,6),-3.20987 # DEPENDENCYPART_ARC
(20,7),-9.57085 # DEPENDENCYPART_ARC
(20,8),-4.64738 # DEPENDENCYPART_ARC
(20,9),-8.38894 # DEPENDENCYPART_ARC
(20,10),-3.17866 # DEPENDENCYPART_ARC
(20,11),-2.29103 # DEPENDENCYPART_ARC
(20,12),-6.2424 # DEPENDENCYPART_ARC
(20,13),-2.24898 # DEPENDENCYPART_ARC
(20,14),-6.50901 # DEPENDENCYPART_ARC
(20,15),-2.22606 # DEPENDENCYPART_ARC
(20,16),-3.12313 # DEPENDENCYPART_ARC
(20,17),-4.10197 # DEPENDENCYPART_ARC
(20,18),-1.5541 # DEPENDENCYPART_ARC
(20,19),-0.80801 # DEPENDENCYPART_ARC
(20,21),-0.636641 # DEPENDENCYPART_ARC
(20,22),-3.408 # DEPENDENCYPART_ARC
(20,23),-1.65611 # DEPENDENCYPART_ARC
(20,24),-2.63948 # DEPENDENCYPART_ARC
(20,25),-4.23768 # DEPENDENCYPART_ARC
(20,26),-4.78535 # DEPENDENCYPART_ARC
(20,27),-3.20151 # DEPENDENCYPART_ARC
(20,28),-2.9729 # DEPENDENCYPART_ARC
(21,1),0.041899 # DEPENDENCYPART_ARC
(21,2),0.30918 # DEPENDENCYPART_ARC
(21,3),0.0584398 # DEPENDENCYPART_ARC
(21,4),0.672643 # DEPENDENCYPART_ARC
(21,5),0.185969 # DEPENDENCYPART_ARC
(21,6),-0.509699 # DEPENDENCYPART_ARC
(21,7),0.812439 # DEPENDENCYPART_ARC
(21,8),-0.571986 # DEPENDENCYPART_ARC
(21,9),0.49459 # DEPENDENCYPART_ARC
(21,10),1.03158 # DEPENDENCYPART_ARC
(21,11),-0.031662 # DEPENDENCYPART_ARC
(21,12),1.16038 # DEPENDENCYPART_ARC
(21,13),-0.290394 # DEPENDENCYPART_ARC
(21,14),0.668241 # DEPENDENCYPART_ARC
(21,15),1.53086 # DEPENDENCYPART_ARC
(21,16),2.86812 # DEPENDENCYPART_ARC
(21,17),1.18172 # DEPENDENCYPART_ARC
(21,18),1.19078 # DEPENDENCYPART_ARC
(21,19),0.574448 # DEPENDENCYPART_ARC
(21,20),1.19782 # DEPENDENCYPART_ARC
(21,22),2.87409 # DEPENDENCYPART_ARC
(21,23),-0.0622134 # DEPENDENCYPART_ARC
(21,24),-0.807542 # DEPENDENCYPART_ARC
(21,25),-0.862968 # DEPENDENCYPART_ARC
(21,26),-1.24575 # DEPENDENCYPART_ARC
(21,27),0.126061 # DEPENDENCYPART_ARC
(21,28),-0.1416 # DEPENDENCYPART_ARC
(22,1),-2.79978 # DEPENDENCYPART_ARC
(22,2),-2.43028 # DEPENDENCYPART_ARC
(22,3),-1.08081 # DEPENDENCYPART_ARC
(22,4),-4.57681 # DEPENDENCYPART_ARC
(22,5),-0.969488 # DEPENDENCYPART_ARC
(22,6),-3.09812 # DEPENDENCYPART_ARC
(22,7),-2.05054 # DEPENDENCYPART_ARC
(22,8),-2.92656 # DEPENDENCYPART_ARC
(22,9),-4.30337 # DEPENDENCYPART_ARC
(22,10),-1.28467 # DEPENDENCYPART_ARC
(22,11),-1.5025 # DEPENDENCYPART_ARC
(22,12),-2.93643 # DEPENDENCYPART_ARC
(22,13),-2.46768 # DEPENDENCYPART_ARC
(22,14),-3.47077 # DEPENDENCYPART_ARC
(22,15),-1.55336 # DEPENDENCYPART_ARC
(22,16),-2.01459 # DEPENDENCYPART_ARC
(22,17),0.248307 # DEPENDENCYPART_ARC
(22,18),-0.753244 # DEPENDENCYPART_ARC
(22,19),-0.704624 # DEPENDENCYPART_ARC
(22,20),0.0300188 # DEPENDENCYPART_ARC
(22,21),0.194843 # DEPENDENCYPART_ARC
(22,23),4.42212 # DEPENDENCYPART_ARC
(22,24),1.17638 # DEPENDENCYPART_ARC
(22,25),0.787607 # DEPENDENCYPART_ARC
(22,26),0.651413 # DEPENDENCYPART_ARC
(22,27),2.74763 # DEPENDENCYPART_ARC
(22,28),0.346734 # DEPENDENCYPART_ARC
(23,1),-2.19499 # DEPENDENCYPART_ARC
(23,2),-5.04117 # DEPENDENCYPART_ARC
(23,3),-3.9644 # DEPENDENCYPART_ARC
(23,4),-3.40018 # DEPENDENCYPART_ARC
(23,5),-4.61694 # DEPENDENCYPART_ARC
(23,6),-2.97736 # DEPENDENCYPART_ARC
(23,7),-4.10367 # DEPENDENCYPART_ARC
(23,8),-2.23473 # DEPENDENCYPART_ARC
(23,9),-3.92315 # DEPENDENCYPART_ARC
(23,10),-2.74382 # DEPENDENCYPART_ARC
(23,11),-2.75989 # DEPENDENCYPART_ARC
(23,12),-3.67094 # DEPENDENCYPART_ARC
(23,13),-2.33058 # DEPENDENCYPART_ARC
(23,14),-3.31149 # DEPENDENCYPART_ARC
(23,15),-2.2092 # DEPENDENCYPART_ARC
(23,16),-2.80062 # DEPENDENCYPART_ARC
(23,17),-2.70469 # DEPENDENCYPART_ARC
(23,18),-2.98035 # DEPENDENCYPART_ARC
(23,19),-2.64298 # DEPENDENCYPART_ARC
(23,20),-2.6287 # DEPENDENCYPART_ARC
(23,21),-1.7767 # DEPENDENCYPART_ARC
(23,22),-1.42267 # DEPENDENCYPART_ARC
(23,24),-0.914708 # DEPENDENCYPART_ARC
(23,25),-2.52845 # DEPENDENCYPART_ARC
(23,26),-2.91146 # DEPENDENCYPART_ARC
(23,27),-2.62133 # DEPENDENCYPART_ARC
(23,28),-1.79941 # DEPENDENCYPART_ARC
(24,1),-2.91652 # DEPENDENCYPART_ARC
(24,2),-3.60345 # DEPENDENCYPART_ARC
(24,3),-2.15477 # DEPENDENCYPART_ARC
(24,4),-3.77761 # DEPENDENCYPART_ARC
(24,5),-2.24978 # DEPENDENCYPART_ARC
(24,6),-1.86155 # DEPENDENCYPART_ARC
(24,7),-1.80089 # DEPENDENCYPART_ARC
(24,8),-2.04639 # DEPENDENCYPART_ARC
(24,9),-1.51057 # DEPENDENCYPART_ARC
(24,10),-1.75312 # DEPENDENCYPART_ARC
(24,11),-1.65483 # DEPENDENCYPART_ARC
(24,12),-1.08772 # DEPENDENCYPART_ARC
(24,13),-2.01773 # DEPENDENCYPART_ARC
(24,14),-1.16502 # DEPENDENCYPART_ARC
(24,15),-1.36893 # DEPENDENCYPART_ARC
(24,16),-1.67838 # DEPENDENCYPART_ARC
(24,17),-0.538596 # DEPENDENCYPART_ARC
(24,18),-0.247544 # DEPENDENCYPART_ARC
(24,19),-0.802719 # DEPENDENCYPART_ARC
(24,20),0.1026 # DEPENDENCYPART_ARC
(24,21),-0.318615 # DEPENDENCYPART_ARC
(24,22),-0.672009 # DEPENDENCYPART_ARC
(24,23),1.49911 # DEPENDENCYPART_ARC
(24,25),1.84997 # DEPENDENCYPART_ARC
(24,26),0.752842 # DEPENDENCYPART_ARC
(24,27),0.613461 # DEPENDENCYPART_ARC
(24,28),-0.37822 # DEPENDENCYPART_ARC
(25,1),-2.93201 # DEPENDENCYPART_ARC
(25,2),-4.38168 # DEPENDENCYPART_ARC
(25,3),-2.57447 # DEPENDENCYPART_ARC
(25,4),-4.60071 # DEPENDENCYPART_ARC
(25,5),-4.96379 # DEPENDENCYPART_ARC
(25,6),-3.40637 # DEPENDENCYPART_ARC
(25,7),-5.46066 # DEPENDENCYPART_ARC
(25,8),-3.08553 # DEPENDENCYPART_ARC
(25,9),-4.4245 # DEPENDENCYPART_ARC
(25,10),-2.69466 # DEPENDENCYPART_ARC
(25,11),-2.60226 # DEPENDENCYPART_ARC
(25,12),-4.39107 # DEPENDENCYPART_ARC
(25,13),-2.31439 # DEPENDENCYPART_ARC
(25,14),-4.09894 # DEPENDENCYPART_ARC
(25,15),-2.20854 # DEPENDENCYPART_ARC
(25,16),-2.47856 # DEPENDENCYPART_ARC
(25,17),-2.11948 # DEPENDENCYPART_ARC
(25,18),-2.84467 # DEPENDENCYPART_ARC
(25,19),-1.88502 # DEPENDENCYPART_ARC
(25,20),-2.34073 # DEPENDENCYPART_ARC
(25,21),-1.56368 # DEPENDENCYPART_ARC
(25,22),-2.90114 # DEPENDENCYPART_ARC
(25,23),-1.00842 # DEPENDENCYPART_ARC
(25,24),0.403826 # DEPENDENCYPART_ARC
(25,26),-0.454345 # DEPENDENCYPART_ARC
(25,27),-1.32948 # DEPENDENCYPART_ARC
(25,28),-0.314388 # DEPENDENCYPART_ARC
(26,1),-2.6953 # DEPENDENCYPART_ARC
(26,2),-4.45261 # DEPENDENCYPART_ARC
(26,3),-2.02456 # DEPENDENCYPART_ARC
(26,4),-4.1549 # DEPENDENCYPART_ARC
(26,5),-4.9423 # DEPENDENCYPART_ARC
(26,6),-3.06583 # DEPENDENCYPART_ARC
(26,7),-5.51198 # DEPENDENCYPART_ARC
(26,8),-2.68726 # DEPENDENCYPART_ARC
(26,9),-4.43216 # DEPENDENCYPART_ARC
(26,10),-2.34102 # DEPENDENCYPART_ARC
(26,11),-2.26438 # DEPENDENCYPART_ARC
(26,12),-4.12482 # DEPENDENCYPART_ARC
(26,13),-1.96529 # DEPENDENCYPART_ARC
(26,14),-4.11553 # DEPENDENCYPART_ARC
(26,15),-2.0091 # DEPENDENCYPART_ARC
(26,16),-2.1295 # DEPENDENCYPART_ARC
(26,17),-1.59139 # DEPENDENCYPART_ARC
(26,18),-2.67958 # DEPENDENCYPART_ARC
(26,19),-1.74509 # DEPENDENCYPART_ARC
(26,20),-2.54157 # DEPENDENCYPART_ARC
(26,21),-1.41361 # DEPENDENCYPART_ARC
(26,22),-2.67245 # DEPENDENCYPART_ARC
(26,23),-0.934025 # DEPENDENCYPART_ARC
(26,24),0.288072 # DEPENDENCYPART_ARC
(26,25),-0.492297 # DEPENDENCYPART_ARC
(26,27),-1.12189 # DEPENDENCYPART_ARC
(26,28),-0.0402938 # DEPENDENCYPART_ARC
(27,1),-2.90101 # DEPENDENCYPART_ARC
(27,2),-10.4418 # DEPENDENCYPART_ARC
(27,3),-7.77153 # DEPENDENCYPART_ARC
(27,4),-3.2648 # DEPENDENCYPART_ARC
(27,5),-7.04931 # DEPENDENCYPART_ARC
(27,6),-2.56887 # DEPENDENCYPART_ARC
(27,7),-7.91602 # DEPENDENCYPART_ARC
(27,8),-5.25424 # DEPENDENCYPART_ARC
(27,9),-8.50477 # DEPENDENCYPART_ARC
(27,10),-2.00415 # DEPENDENCYPART_ARC
(27,11),-1.46982 # DEPENDENCYPART_ARC
(27,12),-8.33504 # DEPENDENCYPART_ARC
(27,13),-1.92486 # DEPENDENCYPART_ARC
(27,14),-7.4895 # DEPENDENCYPART_ARC
(27,15),-1.37668 # DEPENDENCYPART_ARC
(27,16),-2.38422 # DEPENDENCYPART_ARC
(27,17),-4.05017 # DEPENDENCYPART_ARC
(27,18),-5.02268 # DEPENDENCYPART_ARC
(27,19),-1.96805 # DEPENDENCYPART_ARC
(27,20),-4.36553 # DEPENDENCYPART_ARC
(27,21),-1.60931 # DEPENDENCYPART_ARC
(27,22),-1.74353 # DEPENDENCYPART_ARC
(27,23),-1.94934 # DEPENDENCYPART_ARC
(27,24),1.92662 # DEPENDENCYPART_ARC
(27,25),5.06757 # DEPENDENCYPART_ARC
(27,26),5.48688 # DEPENDENCYPART_ARC
(27,28),0.210127 # DEPENDENCYPART_ARC
(28,1),-6.54961 # DEPENDENCYPART_ARC
(28,2),-6.54211 # DEPENDENCYPART_ARC
(28,3),-5.49657 # DEPENDENCYPART_ARC
(28,4),-4.77188 # DEPENDENCYPART_ARC
(28,5),-5.33719 # DEPENDENCYPART_ARC
(28,6),-6.34884 # DEPENDENCYPART_ARC
(28,7),-5.33573 # DEPENDENCYPART_ARC
(28,8),-5.43231 # DEPENDENCYPART_ARC
(28,9),-4.73149 # DEPENDENCYPART_ARC
(28,10),-4.89352 # DEPENDENCYPART_ARC
(28,11),-5.29261 # DEPENDENCYPART_ARC
(28,12),-4.63883 # DEPENDENCYPART_ARC
(28,13),-4.81701 # DEPENDENCYPART_ARC
(28,14),-4.10405 # DEPENDENCYPART_ARC
(28,15),-4.3919 # DEPENDENCYPART_ARC
(28,16),-3.85144 # DEPENDENCYPART_ARC
(28,17),-3.62361 # DEPENDENCYPART_ARC
(28,18),-4.06489 # DEPENDENCYPART_ARC
(28,19),-3.96162 # DEPENDENCYPART_ARC
(28,20),-3.83356 # DEPENDENCYPART_ARC
(28,21),-3.60017 # DEPENDENCYPART_ARC
(28,22),-3.4896 # DEPENDENCYPART_ARC
(28,23),-2.94311 # DEPENDENCYPART_ARC
(28,24),-3.18472 # DEPENDENCYPART_ARC
(28,25),-2.67111 # DEPENDENCYPART_ARC
(28,26),-2.78292 # DEPENDENCYPART_ARC
(28,27),-3.12887 # DEPENDENCYPART_ARC
