# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,12,3,6,8,6,4,12,12,12,15,12,12,0,19,15,19,17,15,22,20,0,
(23,3),-4.91108 # DEPENDENCYPART_ARC
(23,4),-4.83494 # DEPENDENCYPART_ARC
(23,5),-4.54139 # DEPENDENCYPART_ARC
(23,6),-5.13638 # DEPENDENCYPART_ARC
(23,7),-4.32234 # DEPENDENCYPART_ARC
(23,8),-4.87079 # DEPENDENCYPART_ARC
(23,9),-4.40771 # DEPENDENCYPART_ARC
(23,10),-3.68877 # DEPENDENCYPART_ARC
(23,11),-3.80101 # DEPENDENCYPART_ARC
(23,12),-4.07392 # DEPENDENCYPART_ARC
(23,13),-3.55605 # DEPENDENCYPART_ARC
(23,14),-3.63766 # DEPENDENCYPART_ARC
(23,15),-3.02796 # DEPENDENCYPART_ARC
(23,16),-3.52705 # DEPENDENCYPART_ARC
(23,17),-3.28089 # DEPENDENCYPART_ARC
(23,18),-2.93013 # DEPENDENCYPART_ARC
(23,19),-3.08174 # DEPENDENCYPART_ARC
(23,20),-2.95206 # DEPENDENCYPART_ARC
(23,21),-2.52148 # DEPENDENCYPART_ARC
(23,22),-3.17505 # DEPENDENCYPART_ARC
