# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=0,1,2,3,2,5,6,7,10,8,13,13,10,13,14,15,19,19,16,19,22,20,13,1,0,27,25,0,
(18,27),-5.31137 # DEPENDENCYPART_ARC
(18,28),-2.35693 # DEPENDENCYPART_ARC
(19,1),-5.47889 # DEPENDENCYPART_ARC
(19,2),-2.32738 # DEPENDENCYPART_ARC
(19,3),-2.30175 # DEPENDENCYPART_ARC
(19,4),-6.04989 # DEPENDENCYPART_ARC
(19,5),-4.66942 # DEPENDENCYPART_ARC
(19,6),-5.4925 # DEPENDENCYPART_ARC
(19,7),-1.68789 # DEPENDENCYPART_ARC
(19,8),-3.84584 # DEPENDENCYPART_ARC
(19,9),-5.29844 # DEPENDENCYPART_ARC
(19,10),-5.54142 # DEPENDENCYPART_ARC
(19,11),-1.69243 # DEPENDENCYPART_ARC
(19,12),-3.78109 # DEPENDENCYPART_ARC
(19,13),-1.42307 # DEPENDENCYPART_ARC
(19,14),-1.21657 # DEPENDENCYPART_ARC
(19,15),-2.68662 # DEPENDENCYPART_ARC
(19,16),-0.371517 # DEPENDENCYPART_ARC
(19,17),4.82181 # DEPENDENCYPART_ARC
(19,18),4.86601 # DEPENDENCYPART_ARC
(19,20),1.99397 # DEPENDENCYPART_ARC
(19,21),-1.88094 # DEPENDENCYPART_ARC
(19,22),0.134129 # DEPENDENCYPART_ARC
(19,23),-0.184467 # DEPENDENCYPART_ARC
(19,24),0.0511383 # DEPENDENCYPART_ARC
(19,25),-1.18816 # DEPENDENCYPART_ARC
(19,26),-3.72447 # DEPENDENCYPART_ARC
(19,27),-3.01832 # DEPENDENCYPART_ARC
(19,28),-3.12472 # DEPENDENCYPART_ARC
(20,1),-3.19696 # DEPENDENCYPART_ARC
(20,2),-4.25739 # DEPENDENCYPART_ARC
(20,3),-5.13477 # DEPENDENCYPART_ARC
(20,4),-4.73144 # DEPENDENCYPART_ARC
(20,5),-4.82259 # DEPENDENCYPART_ARC
(20,6),-2.60524 # DEPENDENCYPART_ARC
(20,7),-4.5631 # DEPENDENCYPART_ARC
(20,8),-3.55105 # DEPENDENCYPART_ARC
(20,9),-3.64918 # DEPENDENCYPART_ARC
(20,10),-4.48652 # DEPENDENCYPART_ARC
(20,11),-3.04687 # DEPENDENCYPART_ARC
(20,12),-2.89405 # DEPENDENCYPART_ARC
(20,13),-3.58313 # DEPENDENCYPART_ARC
(20,14),-1.93035 # DEPENDENCYPART_ARC
(20,15),-1.16521 # DEPENDENCYPART_ARC
(20,16),-2.66473 # DEPENDENCYPART_ARC
(20,17),-2.62883 # DEPENDENCYPART_ARC
(20,18),-1.96069 # DEPENDENCYPART_ARC
(20,19),-2.2864 # DEPENDENCYPART_ARC
(20,21),0.684385 # DEPENDENCYPART_ARC
(20,22),4.15714 # DEPENDENCYPART_ARC
(20,23),-0.236582 # DEPENDENCYPART_ARC
(20,24),-0.810546 # DEPENDENCYPART_ARC
(20,25),-1.41202 # DEPENDENCYPART_ARC
(20,26),-4.88137 # DEPENDENCYPART_ARC
(20,27),-4.89188 # DEPENDENCYPART_ARC
(20,28),-1.73389 # DEPENDENCYPART_ARC
(21,1),-3.59982 # DEPENDENCYPART_ARC
(21,2),-6.29369 # DEPENDENCYPART_ARC
(21,3),-3.47107 # DEPENDENCYPART_ARC
(21,4),-4.96001 # DEPENDENCYPART_ARC
(21,5),-4.34528 # DEPENDENCYPART_ARC
(21,6),-5.55915 # DEPENDENCYPART_ARC
(21,7),-3.47296 # DEPENDENCYPART_ARC
(21,8),-4.37321 # DEPENDENCYPART_ARC
(21,9),-5.52101 # DEPENDENCYPART_ARC
(21,10),-4.51713 # DEPENDENCYPART_ARC
(21,11),-2.84438 # DEPENDENCYPART_ARC
(21,13),-4.93139 # DEPENDENCYPART_ARC
(21,14),-2.85898 # DEPENDENCYPART_ARC
(21,15),-4.32303 # DEPENDENCYPART_ARC
(21,16),-2.06977 # DEPENDENCYPART_ARC
(21,17),-4.86644 # DEPENDENCYPART_ARC
(21,18),-4.81287 # DEPENDENCYPART_ARC
(21,19),-1.62203 # DEPENDENCYPART_ARC
(21,20),-1.37414 # DEPENDENCYPART_ARC
(21,22),0.383787 # DEPENDENCYPART_ARC
(21,23),-1.0771 # DEPENDENCYPART_ARC
(21,24),-0.950834 # DEPENDENCYPART_ARC
(21,25),-2.84323 # DEPENDENCYPART_ARC
(21,26),-4.29775 # DEPENDENCYPART_ARC
(21,27),-3.88883 # DEPENDENCYPART_ARC
(21,28),-2.22783 # DEPENDENCYPART_ARC
(22,1),-7.13875 # DEPENDENCYPART_ARC
(22,2),-4.09853 # DEPENDENCYPART_ARC
(22,3),-2.41729 # DEPENDENCYPART_ARC
(22,4),-6.61469 # DEPENDENCYPART_ARC
(22,5),-5.3157 # DEPENDENCYPART_ARC
(22,6),-5.7275 # DEPENDENCYPART_ARC
(22,7),-1.88866 # DEPENDENCYPART_ARC
(22,8),-4.85621 # DEPENDENCYPART_ARC
(22,9),-3.81998 # DEPENDENCYPART_ARC
(22,10),-5.71205 # DEPENDENCYPART_ARC
(22,11),-2.63257 # DEPENDENCYPART_ARC
(22,12),-3.78035 # DEPENDENCYPART_ARC
(22,13),-2.72478 # DEPENDENCYPART_ARC
(22,14),-1.40339 # DEPENDENCYPART_ARC
(22,15),-3.42333 # DEPENDENCYPART_ARC
(22,16),-1.08167 # DEPENDENCYPART_ARC
(22,17),-1.92439 # DEPENDENCYPART_ARC
(22,18),-2.56817 # DEPENDENCYPART_ARC
(22,19),-4.60473 # DEPENDENCYPART_ARC
(22,20),-0.496146 # DEPENDENCYPART_ARC
(22,21),4.79869 # DEPENDENCYPART_ARC
(22,23),-1.29503 # DEPENDENCYPART_ARC
(22,24),-1.24069 # DEPENDENCYPART_ARC
(22,25),-2.32687 # DEPENDENCYPART_ARC
(22,26),-5.38915 # DEPENDENCYPART_ARC
(22,27),-4.50882 # DEPENDENCYPART_ARC
(22,28),-3.4603 # DEPENDENCYPART_ARC
(23,1),-2.1014 # DEPENDENCYPART_ARC
(23,2),-1.04031 # DEPENDENCYPART_ARC
(23,3),-0.0885767 # DEPENDENCYPART_ARC
(23,4),-1.65196 # DEPENDENCYPART_ARC
(23,5),-1.14662 # DEPENDENCYPART_ARC
(23,6),-1.50796 # DEPENDENCYPART_ARC
(23,7),-1.05166 # DEPENDENCYPART_ARC
(23,8),-1.4789 # DEPENDENCYPART_ARC
(23,9),-1.49105 # DEPENDENCYPART_ARC
(23,10),-1.99117 # DEPENDENCYPART_ARC
(23,11),-1.01747 # DEPENDENCYPART_ARC
(23,12),-0.939871 # DEPENDENCYPART_ARC
(23,13),-0.0247539 # DEPENDENCYPART_ARC
(23,14),-0.669593 # DEPENDENCYPART_ARC
(23,15),0.17124 # DEPENDENCYPART_ARC
(23,16),-0.353484 # DEPENDENCYPART_ARC
(23,17),-0.285725 # DEPENDENCYPART_ARC
(23,18),-0.386824 # DEPENDENCYPART_ARC
(23,19),-0.342922 # DEPENDENCYPART_ARC
(23,20),-0.216691 # DEPENDENCYPART_ARC
(23,21),0.142744 # DEPENDENCYPART_ARC
(23,22),-0.058467 # DEPENDENCYPART_ARC
(23,24),-0.42808 # DEPENDENCYPART_ARC
(23,25),-0.541444 # DEPENDENCYPART_ARC
(23,26),-0.792693 # DEPENDENCYPART_ARC
(23,27),-0.592942 # DEPENDENCYPART_ARC
(23,28),-0.869679 # DEPENDENCYPART_ARC
(24,1),-3.65424 # DEPENDENCYPART_ARC
(24,2),-3.27698 # DEPENDENCYPART_ARC
(24,3),-3.99786 # DEPENDENCYPART_ARC
(24,4),-5.87286 # DEPENDENCYPART_ARC
(24,5),-3.95909 # DEPENDENCYPART_ARC
(24,6),-5.55333 # DEPENDENCYPART_ARC
(24,7),-3.79187 # DEPENDENCYPART_ARC
(24,8),-5.07759 # DEPENDENCYPART_ARC
(24,9),-4.14273 # DEPENDENCYPART_ARC
(24,10),-5.16034 # DEPENDENCYPART_ARC
(24,11),-4.05351 # DEPENDENCYPART_ARC
(24,12),-2.9906 # DEPENDENCYPART_ARC
(24,13),-2.27708 # DEPENDENCYPART_ARC
(24,14),-3.20126 # DEPENDENCYPART_ARC
(24,15),-3.23053 # DEPENDENCYPART_ARC
(24,16),-2.80051 # DEPENDENCYPART_ARC
(24,17),-2.90549 # DEPENDENCYPART_ARC
(24,18),-2.99856 # DEPENDENCYPART_ARC
(24,19),-3.14446 # DEPENDENCYPART_ARC
(24,20),-2.45629 # DEPENDENCYPART_ARC
(24,21),-2.09783 # DEPENDENCYPART_ARC
(24,22),-2.62619 # DEPENDENCYPART_ARC
(24,23),-2.20309 # DEPENDENCYPART_ARC
(24,25),-1.79171 # DEPENDENCYPART_ARC
(24,26),-2.84751 # DEPENDENCYPART_ARC
(24,27),-3.02262 # DEPENDENCYPART_ARC
(24,28),-2.54742 # DEPENDENCYPART_ARC
(25,1),0.975452 # DEPENDENCYPART_ARC
(25,2),0.920867 # DEPENDENCYPART_ARC
(25,3),-2.70988 # DEPENDENCYPART_ARC
(25,4),-2.66649 # DEPENDENCYPART_ARC
(25,5),-1.30836 # DEPENDENCYPART_ARC
(25,6),-2.68098 # DEPENDENCYPART_ARC
(25,7),-2.61956 # DEPENDENCYPART_ARC
(25,8),-1.82731 # DEPENDENCYPART_ARC
(25,9),-3.94816 # DEPENDENCYPART_ARC
(25,10),-2.14722 # DEPENDENCYPART_ARC
(25,11),0.436292 # DEPENDENCYPART_ARC
(25,12),0.985963 # DEPENDENCYPART_ARC
(25,13),-0.126734 # DEPENDENCYPART_ARC
(25,14),-0.504377 # DEPENDENCYPART_ARC
(25,15),-1.64105 # DEPENDENCYPART_ARC
(25,16),-0.999033 # DEPENDENCYPART_ARC
(25,17),-2.71313 # DEPENDENCYPART_ARC
(25,18),-2.70189 # DEPENDENCYPART_ARC
(25,19),-0.588081 # DEPENDENCYPART_ARC
(25,20),0.0908279 # DEPENDENCYPART_ARC
(25,21),-2.97814 # DEPENDENCYPART_ARC
(25,22),-1.61837 # DEPENDENCYPART_ARC
(25,23),0.209928 # DEPENDENCYPART_ARC
(25,24),-0.120084 # DEPENDENCYPART_ARC
(25,26),2.64558 # DEPENDENCYPART_ARC
(25,27),2.59289 # DEPENDENCYPART_ARC
(25,28),0.115584 # DEPENDENCYPART_ARC
(26,1),-8.98362 # DEPENDENCYPART_ARC
(26,2),-4.0531 # DEPENDENCYPART_ARC
(26,3),-3.27887 # DEPENDENCYPART_ARC
(26,4),-8.85461 # DEPENDENCYPART_ARC
(26,5),-6.11845 # DEPENDENCYPART_ARC
(26,6),-10.9031 # DEPENDENCYPART_ARC
(26,7),-2.20052 # DEPENDENCYPART_ARC
(26,8),-8.86142 # DEPENDENCYPART_ARC
(26,9),-7.52059 # DEPENDENCYPART_ARC
(26,10),-9.48442 # DEPENDENCYPART_ARC
(26,11),-3.90078 # DEPENDENCYPART_ARC
(26,12),-4.48594 # DEPENDENCYPART_ARC
(26,13),-3.61787 # DEPENDENCYPART_ARC
(26,14),-2.35403 # DEPENDENCYPART_ARC
(26,15),-8.70972 # DEPENDENCYPART_ARC
(26,16),-2.0434 # DEPENDENCYPART_ARC
(26,17),-6.87475 # DEPENDENCYPART_ARC
(26,18),-7.29326 # DEPENDENCYPART_ARC
(26,19),-10.1745 # DEPENDENCYPART_ARC
(26,20),-1.87342 # DEPENDENCYPART_ARC
(26,21),-3.74239 # DEPENDENCYPART_ARC
(26,22),-6.69794 # DEPENDENCYPART_ARC
(26,23),-1.581 # DEPENDENCYPART_ARC
(26,24),-0.572224 # DEPENDENCYPART_ARC
(26,25),-1.51178 # DEPENDENCYPART_ARC
(26,27),1.49821 # DEPENDENCYPART_ARC
(26,28),0.292576 # DEPENDENCYPART_ARC
(27,1),-8.36424 # DEPENDENCYPART_ARC
(27,2),-3.84874 # DEPENDENCYPART_ARC
(27,3),-3.09066 # DEPENDENCYPART_ARC
(27,4),-7.54855 # DEPENDENCYPART_ARC
(27,5),-6.6978 # DEPENDENCYPART_ARC
(27,6),-7.89033 # DEPENDENCYPART_ARC
(27,7),-2.35279 # DEPENDENCYPART_ARC
(27,8),-6.40571 # DEPENDENCYPART_ARC
(27,9),-6.71894 # DEPENDENCYPART_ARC
(27,10),-7.69829 # DEPENDENCYPART_ARC
(27,11),-3.25252 # DEPENDENCYPART_ARC
(27,12),-3.88476 # DEPENDENCYPART_ARC
(27,13),-3.34198 # DEPENDENCYPART_ARC
(27,14),-2.28011 # DEPENDENCYPART_ARC
(27,15),-5.57846 # DEPENDENCYPART_ARC
(27,16),-1.609 # DEPENDENCYPART_ARC
(27,17),-6.4243 # DEPENDENCYPART_ARC
(27,18),-6.8606 # DEPENDENCYPART_ARC
(27,19),-8.10931 # DEPENDENCYPART_ARC
(27,20),-2.04508 # DEPENDENCYPART_ARC
(27,21),-3.97783 # DEPENDENCYPART_ARC
(27,22),-5.8838 # DEPENDENCYPART_ARC
(27,23),-1.07685 # DEPENDENCYPART_ARC
(27,24),-0.404008 # DEPENDENCYPART_ARC
(27,25),-1.74542 # DEPENDENCYPART_ARC
(27,26),5.84354 # DEPENDENCYPART_ARC
(27,28),0.295047 # DEPENDENCYPART_ARC
(28,1),-5.67295 # DEPENDENCYPART_ARC
(28,2),-5.84186 # DEPENDENCYPART_ARC
(28,3),-5.95926 # DEPENDENCYPART_ARC
(28,4),-6.48719 # DEPENDENCYPART_ARC
(28,5),-5.99454 # DEPENDENCYPART_ARC
(28,6),-6.00538 # DEPENDENCYPART_ARC
(28,7),-5.98186 # DEPENDENCYPART_ARC
(28,8),-5.49429 # DEPENDENCYPART_ARC
(28,9),-5.18217 # DEPENDENCYPART_ARC
(28,10),-5.86508 # DEPENDENCYPART_ARC
(28,11),-4.88579 # DEPENDENCYPART_ARC
(28,12),-4.47282 # DEPENDENCYPART_ARC
(28,13),-4.51048 # DEPENDENCYPART_ARC
(28,14),-4.96472 # DEPENDENCYPART_ARC
(28,15),-3.89151 # DEPENDENCYPART_ARC
(28,16),-4.84036 # DEPENDENCYPART_ARC
(28,17),-3.95895 # DEPENDENCYPART_ARC
(28,18),-4.08375 # DEPENDENCYPART_ARC
(28,19),-3.88973 # DEPENDENCYPART_ARC
(28,20),-4.29822 # DEPENDENCYPART_ARC
(28,21),-3.4981 # DEPENDENCYPART_ARC
(28,22),-3.26804 # DEPENDENCYPART_ARC
(28,23),-2.54594 # DEPENDENCYPART_ARC
(28,24),-2.65219 # DEPENDENCYPART_ARC
(28,25),-3.14227 # DEPENDENCYPART_ARC
(28,26),-3.15333 # DEPENDENCYPART_ARC
(28,27),-3.1328 # DEPENDENCYPART_ARC
