# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,4,7,12,12,12,4,12,13,14,22,22,22,22,21,19,15,22,23,24,0,
(22,3),-2.16388 # DEPENDENCYPART_ARC
(22,4),-0.741528 # DEPENDENCYPART_ARC
(22,5),0.177403 # DEPENDENCYPART_ARC
(22,6),-0.33766 # DEPENDENCYPART_ARC
(22,7),-1.26192 # DEPENDENCYPART_ARC
(22,8),-2.42193 # DEPENDENCYPART_ARC
(22,9),1.02162 # DEPENDENCYPART_ARC
(22,10),1.27403 # DEPENDENCYPART_ARC
(22,11),1.65364 # DEPENDENCYPART_ARC
(22,12),-1.26183 # DEPENDENCYPART_ARC
(22,13),0.919847 # DEPENDENCYPART_ARC
(22,14),0.190501 # DEPENDENCYPART_ARC
(22,15),-0.636482 # DEPENDENCYPART_ARC
(22,16),2.07145 # DEPENDENCYPART_ARC
(22,17),3.36831 # DEPENDENCYPART_ARC
(22,18),2.3889 # DEPENDENCYPART_ARC
(22,19),2.78836 # DEPENDENCYPART_ARC
(22,20),-0.365095 # DEPENDENCYPART_ARC
(22,21),1.04331 # DEPENDENCYPART_ARC
(22,23),2.76023 # DEPENDENCYPART_ARC
(22,24),0.429075 # DEPENDENCYPART_ARC
(22,25),0.89586 # DEPENDENCYPART_ARC
(22,26),-0.099005 # DEPENDENCYPART_ARC
(23,1),-5.78945 # DEPENDENCYPART_ARC
(23,2),-5.06029 # DEPENDENCYPART_ARC
(23,3),-4.36259 # DEPENDENCYPART_ARC
(23,5),-5.16251 # DEPENDENCYPART_ARC
(23,6),-4.43015 # DEPENDENCYPART_ARC
(23,7),-4.98359 # DEPENDENCYPART_ARC
(23,8),-4.99956 # DEPENDENCYPART_ARC
(23,9),-2.76126 # DEPENDENCYPART_ARC
(23,10),-3.39912 # DEPENDENCYPART_ARC
(23,12),-3.99818 # DEPENDENCYPART_ARC
(23,13),-3.88761 # DEPENDENCYPART_ARC
(23,14),-3.60369 # DEPENDENCYPART_ARC
(23,15),-4.72287 # DEPENDENCYPART_ARC
(23,16),-2.19191 # DEPENDENCYPART_ARC
(23,17),-2.97507 # DEPENDENCYPART_ARC
(23,18),-2.5757 # DEPENDENCYPART_ARC
(23,19),-2.58743 # DEPENDENCYPART_ARC
(23,20),-2.33644 # DEPENDENCYPART_ARC
(23,21),-2.42457 # DEPENDENCYPART_ARC
(23,22),-1.93503 # DEPENDENCYPART_ARC
(23,24),3.98227 # DEPENDENCYPART_ARC
(23,25),0.429157 # DEPENDENCYPART_ARC
(23,26),-0.579386 # DEPENDENCYPART_ARC
(24,1),-5.59898 # DEPENDENCYPART_ARC
(24,2),-7.61742 # DEPENDENCYPART_ARC
(24,3),-5.00415 # DEPENDENCYPART_ARC
(24,4),-3.19105 # DEPENDENCYPART_ARC
(24,5),-1.85031 # DEPENDENCYPART_ARC
(24,6),-6.9588 # DEPENDENCYPART_ARC
(24,7),-2.4988 # DEPENDENCYPART_ARC
(24,8),-3.21437 # DEPENDENCYPART_ARC
(24,9),-3.13826 # DEPENDENCYPART_ARC
(24,10),-3.8863 # DEPENDENCYPART_ARC
(24,11),-6.35392 # DEPENDENCYPART_ARC
(24,12),-3.93066 # DEPENDENCYPART_ARC
(24,13),-1.16592 # DEPENDENCYPART_ARC
(24,14),-4.47285 # DEPENDENCYPART_ARC
(24,15),-5.58197 # DEPENDENCYPART_ARC
(24,16),-2.24511 # DEPENDENCYPART_ARC
(24,17),-3.03133 # DEPENDENCYPART_ARC
(24,18),-5.01569 # DEPENDENCYPART_ARC
(24,19),-1.0327 # DEPENDENCYPART_ARC
(24,20),-1.11389 # DEPENDENCYPART_ARC
(24,21),-3.05397 # DEPENDENCYPART_ARC
(24,22),-1.91224 # DEPENDENCYPART_ARC
(24,23),1.33204 # DEPENDENCYPART_ARC
(24,25),2.67346 # DEPENDENCYPART_ARC
(24,26),0.0951758 # DEPENDENCYPART_ARC
(25,1),-7.3801 # DEPENDENCYPART_ARC
(25,2),-10.4082 # DEPENDENCYPART_ARC
(25,3),-4.95266 # DEPENDENCYPART_ARC
(25,4),-2.83599 # DEPENDENCYPART_ARC
(25,5),-2.51307 # DEPENDENCYPART_ARC
(25,6),-6.82784 # DEPENDENCYPART_ARC
(25,7),-3.53246 # DEPENDENCYPART_ARC
(25,8),-4.90439 # DEPENDENCYPART_ARC
(25,9),-3.1769 # DEPENDENCYPART_ARC
(25,10),-4.23101 # DEPENDENCYPART_ARC
(25,11),-7.22458 # DEPENDENCYPART_ARC
(25,12),-3.40894 # DEPENDENCYPART_ARC
(25,13),-1.86146 # DEPENDENCYPART_ARC
(25,14),-3.90398 # DEPENDENCYPART_ARC
(25,15),-5.57878 # DEPENDENCYPART_ARC
(25,16),-2.32093 # DEPENDENCYPART_ARC
(25,17),-3.40009 # DEPENDENCYPART_ARC
(25,18),-5.30192 # DEPENDENCYPART_ARC
(25,19),-2.05173 # DEPENDENCYPART_ARC
(25,20),-0.592527 # DEPENDENCYPART_ARC
(25,21),-6.29888 # DEPENDENCYPART_ARC
(25,22),-2.05309 # DEPENDENCYPART_ARC
(25,23),-0.666817 # DEPENDENCYPART_ARC
(25,24),-1.67217 # DEPENDENCYPART_ARC
(25,26),-0.366503 # DEPENDENCYPART_ARC
(26,1),-6.50311 # DEPENDENCYPART_ARC
(26,2),-8.00288 # DEPENDENCYPART_ARC
(26,3),-5.6294 # DEPENDENCYPART_ARC
(26,4),-5.45694 # DEPENDENCYPART_ARC
(26,5),-5.32088 # DEPENDENCYPART_ARC
(26,6),-6.13813 # DEPENDENCYPART_ARC
(26,7),-5.57495 # DEPENDENCYPART_ARC
(26,8),-5.7308 # DEPENDENCYPART_ARC
(26,9),-5.65232 # DEPENDENCYPART_ARC
(26,10),-4.44626 # DEPENDENCYPART_ARC
(26,11),-4.99365 # DEPENDENCYPART_ARC
(26,12),-4.52532 # DEPENDENCYPART_ARC
(26,13),-4.37557 # DEPENDENCYPART_ARC
(26,14),-4.83025 # DEPENDENCYPART_ARC
(26,15),-5.10914 # DEPENDENCYPART_ARC
(26,16),-4.25256 # DEPENDENCYPART_ARC
(26,17),-3.86283 # DEPENDENCYPART_ARC
(26,18),-4.23117 # DEPENDENCYPART_ARC
(26,19),-3.99858 # DEPENDENCYPART_ARC
(26,20),-3.54547 # DEPENDENCYPART_ARC
(26,21),-3.97548 # DEPENDENCYPART_ARC
(26,22),-3.53866 # DEPENDENCYPART_ARC
(26,23),-2.9982 # DEPENDENCYPART_ARC
(26,24),-2.63731 # DEPENDENCYPART_ARC
(26,25),-2.95083 # DEPENDENCYPART_ARC
