# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,20,7,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(22,2),-3.82182 # DEPENDENCYPART_ARC
(22,3),-4.37666 # DEPENDENCYPART_ARC
(22,4),-3.49313 # DEPENDENCYPART_ARC
(22,5),-3.67994 # DEPENDENCYPART_ARC
(22,6),-3.48545 # DEPENDENCYPART_ARC
(22,7),-3.77549 # DEPENDENCYPART_ARC
(22,8),-3.38585 # DEPENDENCYPART_ARC
(22,9),-3.62931 # DEPENDENCYPART_ARC
(22,10),-3.05933 # DEPENDENCYPART_ARC
(22,11),-2.28325 # DEPENDENCYPART_ARC
(22,12),-2.81009 # DEPENDENCYPART_ARC
(22,13),-2.45484 # DEPENDENCYPART_ARC
(22,14),-2.92984 # DEPENDENCYPART_ARC
(22,15),-2.85726 # DEPENDENCYPART_ARC
(22,16),-2.74732 # DEPENDENCYPART_ARC
(22,17),-2.30906 # DEPENDENCYPART_ARC
(22,18),-2.18647 # DEPENDENCYPART_ARC
(22,19),-2.41888 # DEPENDENCYPART_ARC
(22,20),-1.56044 # DEPENDENCYPART_ARC
(22,21),-0.930542 # DEPENDENCYPART_ARC
(22,23),-0.545108 # DEPENDENCYPART_ARC
(22,24),-0.649442 # DEPENDENCYPART_ARC
(23,1),-0.995546 # DEPENDENCYPART_ARC
(23,2),-1.62231 # DEPENDENCYPART_ARC
(23,3),1.25806 # DEPENDENCYPART_ARC
(23,4),-0.178896 # DEPENDENCYPART_ARC
(23,5),0.124308 # DEPENDENCYPART_ARC
(23,6),-4.71168 # DEPENDENCYPART_ARC
(23,7),-1.20346 # DEPENDENCYPART_ARC
(23,8),-4.10941 # DEPENDENCYPART_ARC
(23,9),-3.33162 # DEPENDENCYPART_ARC
(23,10),0.673556 # DEPENDENCYPART_ARC
(23,11),0.889631 # DEPENDENCYPART_ARC
(23,12),2.29257 # DEPENDENCYPART_ARC
(23,13),-1.84734 # DEPENDENCYPART_ARC
(23,14),-1.58449 # DEPENDENCYPART_ARC
(23,15),-1.62579 # DEPENDENCYPART_ARC
(23,16),-0.315224 # DEPENDENCYPART_ARC
(23,17),0.346728 # DEPENDENCYPART_ARC
(23,18),-0.414318 # DEPENDENCYPART_ARC
(23,19),1.38936 # DEPENDENCYPART_ARC
(23,20),-0.398352 # DEPENDENCYPART_ARC
(23,21),0.751282 # DEPENDENCYPART_ARC
(23,22),2.49826 # DEPENDENCYPART_ARC
(23,24),0.236676 # DEPENDENCYPART_ARC
(24,1),-5.12316 # DEPENDENCYPART_ARC
(24,2),-5.04044 # DEPENDENCYPART_ARC
(24,3),-6.86346 # DEPENDENCYPART_ARC
(24,4),-4.52132 # DEPENDENCYPART_ARC
(24,5),-4.74853 # DEPENDENCYPART_ARC
(24,6),-4.33298 # DEPENDENCYPART_ARC
(24,7),-5.81816 # DEPENDENCYPART_ARC
(24,8),-4.04324 # DEPENDENCYPART_ARC
(24,9),-5.3277 # DEPENDENCYPART_ARC
(24,10),-4.44352 # DEPENDENCYPART_ARC
(24,11),-3.21827 # DEPENDENCYPART_ARC
(24,12),-3.38647 # DEPENDENCYPART_ARC
(24,13),-4.48711 # DEPENDENCYPART_ARC
(24,14),-3.73408 # DEPENDENCYPART_ARC
(24,15),-3.84204 # DEPENDENCYPART_ARC
(24,16),-4.01162 # DEPENDENCYPART_ARC
(24,17),-3.6326 # DEPENDENCYPART_ARC
(24,18),-3.229 # DEPENDENCYPART_ARC
(24,19),-3.4802 # DEPENDENCYPART_ARC
(24,20),-3.49387 # DEPENDENCYPART_ARC
(24,21),-3.21869 # DEPENDENCYPART_ARC
(24,22),-2.93207 # DEPENDENCYPART_ARC
(24,23),-3.51552 # DEPENDENCYPART_ARC
