# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,9,13,16,5,16,19,16,19,22,20,22,0,
(21,24),-0.735071 # DEPENDENCYPART_ARC
(22,1),-1.95912 # DEPENDENCYPART_ARC
(22,2),-6.25411 # DEPENDENCYPART_ARC
(22,3),-7.00305 # DEPENDENCYPART_ARC
(22,4),-2.11659 # DEPENDENCYPART_ARC
(22,5),-3.42076 # DEPENDENCYPART_ARC
(22,6),-1.17876 # DEPENDENCYPART_ARC
(22,7),-0.951192 # DEPENDENCYPART_ARC
(22,8),-4.38396 # DEPENDENCYPART_ARC
(22,9),-5.31837 # DEPENDENCYPART_ARC
(22,10),-0.834621 # DEPENDENCYPART_ARC
(22,11),-2.838 # DEPENDENCYPART_ARC
(22,12),-3.43916 # DEPENDENCYPART_ARC
(22,13),-0.782218 # DEPENDENCYPART_ARC
(22,14),-2.06952 # DEPENDENCYPART_ARC
(22,15),-1.0262 # DEPENDENCYPART_ARC
(22,16),-4.33999 # DEPENDENCYPART_ARC
(22,17),-2.57515 # DEPENDENCYPART_ARC
(22,18),-1.0129 # DEPENDENCYPART_ARC
(22,19),-2.26455 # DEPENDENCYPART_ARC
(22,20),0.0543026 # DEPENDENCYPART_ARC
(22,21),5.3481 # DEPENDENCYPART_ARC
(22,23),4.00177 # DEPENDENCYPART_ARC
(22,24),0.522947 # DEPENDENCYPART_ARC
(23,1),-2.95557 # DEPENDENCYPART_ARC
(23,2),-7.95426 # DEPENDENCYPART_ARC
(23,3),-7.4682 # DEPENDENCYPART_ARC
(23,4),-3.00027 # DEPENDENCYPART_ARC
(23,5),-4.70191 # DEPENDENCYPART_ARC
(23,6),-2.94376 # DEPENDENCYPART_ARC
(23,7),-1.83674 # DEPENDENCYPART_ARC
(23,8),-5.96479 # DEPENDENCYPART_ARC
(23,9),-4.45523 # DEPENDENCYPART_ARC
(23,10),-0.559553 # DEPENDENCYPART_ARC
(23,11),-3.90788 # DEPENDENCYPART_ARC
(23,12),-3.64895 # DEPENDENCYPART_ARC
(23,13),-0.696584 # DEPENDENCYPART_ARC
(23,14),-3.2105 # DEPENDENCYPART_ARC
(23,15),-2.32047 # DEPENDENCYPART_ARC
(23,16),-3.84988 # DEPENDENCYPART_ARC
(23,17),-2.8902 # DEPENDENCYPART_ARC
(23,18),-1.17964 # DEPENDENCYPART_ARC
(23,19),-3.74614 # DEPENDENCYPART_ARC
(23,20),-0.570974 # DEPENDENCYPART_ARC
(23,21),-0.378578 # DEPENDENCYPART_ARC
(23,22),-1.71346 # DEPENDENCYPART_ARC
(23,24),-0.668025 # DEPENDENCYPART_ARC
(24,1),-6.94337 # DEPENDENCYPART_ARC
(24,2),-5.2707 # DEPENDENCYPART_ARC
(24,3),-5.88636 # DEPENDENCYPART_ARC
(24,4),-5.65924 # DEPENDENCYPART_ARC
(24,5),-4.89545 # DEPENDENCYPART_ARC
(24,6),-3.69295 # DEPENDENCYPART_ARC
(24,7),-5.81706 # DEPENDENCYPART_ARC
(24,8),-4.61919 # DEPENDENCYPART_ARC
(24,9),-5.00347 # DEPENDENCYPART_ARC
(24,10),-5.03055 # DEPENDENCYPART_ARC
(24,11),-3.67863 # DEPENDENCYPART_ARC
(24,12),-4.54855 # DEPENDENCYPART_ARC
(24,13),-4.78182 # DEPENDENCYPART_ARC
(24,14),-3.6445 # DEPENDENCYPART_ARC
(24,15),-4.14529 # DEPENDENCYPART_ARC
(24,16),-3.82389 # DEPENDENCYPART_ARC
(24,17),-3.84957 # DEPENDENCYPART_ARC
(24,18),-3.84922 # DEPENDENCYPART_ARC
(24,19),-3.76055 # DEPENDENCYPART_ARC
(24,20),-3.78138 # DEPENDENCYPART_ARC
(24,21),-2.85446 # DEPENDENCYPART_ARC
(24,22),-3.48895 # DEPENDENCYPART_ARC
(24,23),-3.06211 # DEPENDENCYPART_ARC
