# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,6,6,7,12,9,7,9,12,3,14,12,12,17,15,12,21,21,23,23,14,23,24,27,23,0,
(21,20),2.51045 # DEPENDENCYPART_ARC
(21,23),-0.744442 # DEPENDENCYPART_ARC
(21,26),-2.79092 # DEPENDENCYPART_ARC
(21,28),-1.27128 # DEPENDENCYPART_ARC
(22,4),-1.51473 # DEPENDENCYPART_ARC
(22,5),-1.42993 # DEPENDENCYPART_ARC
(22,7),-1.52779 # DEPENDENCYPART_ARC
(22,9),-2.0559 # DEPENDENCYPART_ARC
(22,10),-1.95334 # DEPENDENCYPART_ARC
(22,11),-1.37426 # DEPENDENCYPART_ARC
(22,14),-1.68262 # DEPENDENCYPART_ARC
(22,17),-1.5049 # DEPENDENCYPART_ARC
(22,18),-0.970729 # DEPENDENCYPART_ARC
(22,20),-0.269437 # DEPENDENCYPART_ARC
(22,24),-0.369905 # DEPENDENCYPART_ARC
(22,26),-1.23783 # DEPENDENCYPART_ARC
(22,28),-0.614245 # DEPENDENCYPART_ARC
(23,1),-3.35843 # DEPENDENCYPART_ARC
(23,2),-0.945714 # DEPENDENCYPART_ARC
(23,3),-0.157449 # DEPENDENCYPART_ARC
(23,4),-1.23934 # DEPENDENCYPART_ARC
(23,5),-0.258775 # DEPENDENCYPART_ARC
(23,6),-2.29438 # DEPENDENCYPART_ARC
(23,7),-0.408827 # DEPENDENCYPART_ARC
(23,8),-2.18744 # DEPENDENCYPART_ARC
(23,9),-1.02238 # DEPENDENCYPART_ARC
(23,10),-2.52349 # DEPENDENCYPART_ARC
(23,11),-0.153952 # DEPENDENCYPART_ARC
(23,12),-1.88762 # DEPENDENCYPART_ARC
(23,13),-0.530787 # DEPENDENCYPART_ARC
(23,14),-0.759892 # DEPENDENCYPART_ARC
(23,15),0.190712 # DEPENDENCYPART_ARC
(23,16),-1.39546 # DEPENDENCYPART_ARC
(23,17),-0.94763 # DEPENDENCYPART_ARC
(23,18),0.911291 # DEPENDENCYPART_ARC
(23,19),0.817955 # DEPENDENCYPART_ARC
(23,20),0.248001 # DEPENDENCYPART_ARC
(23,21),2.31682 # DEPENDENCYPART_ARC
(23,22),2.73931 # DEPENDENCYPART_ARC
(23,24),2.69752 # DEPENDENCYPART_ARC
(23,25),0.605076 # DEPENDENCYPART_ARC
(23,26),-2.66444 # DEPENDENCYPART_ARC
(23,27),0.680668 # DEPENDENCYPART_ARC
(23,28),-0.242133 # DEPENDENCYPART_ARC
(24,1),-3.16928 # DEPENDENCYPART_ARC
(24,2),-1.48776 # DEPENDENCYPART_ARC
(24,3),-2.06187 # DEPENDENCYPART_ARC
(24,4),-3.93676 # DEPENDENCYPART_ARC
(24,5),-0.735238 # DEPENDENCYPART_ARC
(24,6),-4.08318 # DEPENDENCYPART_ARC
(24,7),-1.10172 # DEPENDENCYPART_ARC
(24,8),-2.89325 # DEPENDENCYPART_ARC
(24,9),-2.74313 # DEPENDENCYPART_ARC
(24,10),-2.31641 # DEPENDENCYPART_ARC
(24,11),-1.0375 # DEPENDENCYPART_ARC
(24,12),-3.28182 # DEPENDENCYPART_ARC
(24,13),-1.35017 # DEPENDENCYPART_ARC
(24,14),-2.21005 # DEPENDENCYPART_ARC
(24,15),-2.33423 # DEPENDENCYPART_ARC
(24,16),-1.89196 # DEPENDENCYPART_ARC
(24,17),-2.33999 # DEPENDENCYPART_ARC
(24,18),-1.03853 # DEPENDENCYPART_ARC
(24,19),-1.36997 # DEPENDENCYPART_ARC
(24,20),-1.29468 # DEPENDENCYPART_ARC
(24,21),-1.30975 # DEPENDENCYPART_ARC
(24,22),0.717198 # DEPENDENCYPART_ARC
(24,23),-0.517207 # DEPENDENCYPART_ARC
(24,25),1.3046 # DEPENDENCYPART_ARC
(24,26),-0.578869 # DEPENDENCYPART_ARC
(24,27),-0.774862 # DEPENDENCYPART_ARC
(24,28),0.112664 # DEPENDENCYPART_ARC
(25,1),-1.28477 # DEPENDENCYPART_ARC
(25,2),-1.13178 # DEPENDENCYPART_ARC
(25,3),-1.15652 # DEPENDENCYPART_ARC
(25,4),-1.62106 # DEPENDENCYPART_ARC
(25,5),-1.15761 # DEPENDENCYPART_ARC
(25,6),-1.66092 # DEPENDENCYPART_ARC
(25,7),-1.15983 # DEPENDENCYPART_ARC
(25,8),-1.43665 # DEPENDENCYPART_ARC
(25,9),-1.37355 # DEPENDENCYPART_ARC
(25,10),-1.46255 # DEPENDENCYPART_ARC
(25,11),-1.21066 # DEPENDENCYPART_ARC
(25,12),-1.21538 # DEPENDENCYPART_ARC
(25,13),-1.45027 # DEPENDENCYPART_ARC
(25,14),-1.48358 # DEPENDENCYPART_ARC
(25,15),-0.650922 # DEPENDENCYPART_ARC
(25,16),-1.09915 # DEPENDENCYPART_ARC
(25,17),-1.11095 # DEPENDENCYPART_ARC
(25,18),-0.973846 # DEPENDENCYPART_ARC
(25,19),-1.48571 # DEPENDENCYPART_ARC
(25,20),-0.754734 # DEPENDENCYPART_ARC
(25,21),-1.42468 # DEPENDENCYPART_ARC
(25,22),-0.364925 # DEPENDENCYPART_ARC
(25,23),-0.495563 # DEPENDENCYPART_ARC
(25,24),0.0430758 # DEPENDENCYPART_ARC
(25,26),-0.405941 # DEPENDENCYPART_ARC
(25,27),0.0919682 # DEPENDENCYPART_ARC
(25,28),-0.549498 # DEPENDENCYPART_ARC
(26,2),-2.43779 # DEPENDENCYPART_ARC
(26,9),-2.90032 # DEPENDENCYPART_ARC
(26,10),-2.93801 # DEPENDENCYPART_ARC
(26,14),-2.71837 # DEPENDENCYPART_ARC
(26,17),-2.60058 # DEPENDENCYPART_ARC
(26,24),-1.88453 # DEPENDENCYPART_ARC
(26,25),-0.643591 # DEPENDENCYPART_ARC
(27,1),-3.83649 # DEPENDENCYPART_ARC
(27,2),-2.07049 # DEPENDENCYPART_ARC
(27,4),-3.87369 # DEPENDENCYPART_ARC
(27,5),-1.53262 # DEPENDENCYPART_ARC
(27,6),-3.9145 # DEPENDENCYPART_ARC
(27,7),-1.57272 # DEPENDENCYPART_ARC
(27,8),-3.7816 # DEPENDENCYPART_ARC
(27,9),-3.29499 # DEPENDENCYPART_ARC
(27,10),-3.30819 # DEPENDENCYPART_ARC
(27,11),-1.60176 # DEPENDENCYPART_ARC
(27,12),-4.08496 # DEPENDENCYPART_ARC
(27,13),-2.43628 # DEPENDENCYPART_ARC
(27,14),-3.37148 # DEPENDENCYPART_ARC
(27,15),-2.33502 # DEPENDENCYPART_ARC
(27,16),-2.73001 # DEPENDENCYPART_ARC
(27,17),-3.17799 # DEPENDENCYPART_ARC
(27,18),-1.63726 # DEPENDENCYPART_ARC
(27,20),-1.61078 # DEPENDENCYPART_ARC
(27,21),-1.58447 # DEPENDENCYPART_ARC
(27,23),-2.99891 # DEPENDENCYPART_ARC
(27,24),-2.01648 # DEPENDENCYPART_ARC
(27,25),-0.123661 # DEPENDENCYPART_ARC
(27,26),3.06883 # DEPENDENCYPART_ARC
(27,28),-0.138071 # DEPENDENCYPART_ARC
(28,1),-3.13083 # DEPENDENCYPART_ARC
(28,2),-2.16449 # DEPENDENCYPART_ARC
(28,3),-2.74736 # DEPENDENCYPART_ARC
(28,5),-2.12575 # DEPENDENCYPART_ARC
(28,6),-2.66359 # DEPENDENCYPART_ARC
(28,7),-2.35516 # DEPENDENCYPART_ARC
(28,8),-2.37699 # DEPENDENCYPART_ARC
(28,9),-2.60842 # DEPENDENCYPART_ARC
(28,10),-2.78117 # DEPENDENCYPART_ARC
(28,11),-1.98923 # DEPENDENCYPART_ARC
(28,12),-2.41012 # DEPENDENCYPART_ARC
(28,13),-2.31838 # DEPENDENCYPART_ARC
(28,14),-2.58784 # DEPENDENCYPART_ARC
(28,15),-2.42909 # DEPENDENCYPART_ARC
(28,16),-2.27896 # DEPENDENCYPART_ARC
(28,17),-2.70344 # DEPENDENCYPART_ARC
(28,18),-2.27056 # DEPENDENCYPART_ARC
(28,19),-1.90359 # DEPENDENCYPART_ARC
(28,21),-2.10759 # DEPENDENCYPART_ARC
(28,23),-2.17387 # DEPENDENCYPART_ARC
(28,24),-2.05383 # DEPENDENCYPART_ARC
(28,25),-1.35828 # DEPENDENCYPART_ARC
(28,27),-1.72196 # DEPENDENCYPART_ARC
