# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,4,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(23,16),-0.461971 # DEPENDENCYPART_ARC
(23,17),-1.2502 # DEPENDENCYPART_ARC
(23,18),0.190068 # DEPENDENCYPART_ARC
(23,19),-0.200359 # DEPENDENCYPART_ARC
(23,20),-1.82407 # DEPENDENCYPART_ARC
(23,21),-1.22744 # DEPENDENCYPART_ARC
(23,22),4.15696 # DEPENDENCYPART_ARC
(23,24),2.45464 # DEPENDENCYPART_ARC
(23,25),0.135858 # DEPENDENCYPART_ARC
(23,26),-2.19664 # DEPENDENCYPART_ARC
(23,27),-1.05679 # DEPENDENCYPART_ARC
(23,28),0.332772 # DEPENDENCYPART_ARC
(24,2),-2.40605 # DEPENDENCYPART_ARC
(24,3),-1.68918 # DEPENDENCYPART_ARC
(24,4),-2.41377 # DEPENDENCYPART_ARC
(24,5),-1.09113 # DEPENDENCYPART_ARC
(24,7),-1.58006 # DEPENDENCYPART_ARC
(24,8),-1.52884 # DEPENDENCYPART_ARC
(24,9),-2.30148 # DEPENDENCYPART_ARC
(24,10),-1.03091 # DEPENDENCYPART_ARC
(24,11),-1.33461 # DEPENDENCYPART_ARC
(24,12),-1.66291 # DEPENDENCYPART_ARC
(24,13),-0.674674 # DEPENDENCYPART_ARC
(24,14),-0.865276 # DEPENDENCYPART_ARC
(24,15),-1.769 # DEPENDENCYPART_ARC
(24,16),-0.462647 # DEPENDENCYPART_ARC
(24,17),-1.4842 # DEPENDENCYPART_ARC
(24,18),-0.662501 # DEPENDENCYPART_ARC
(24,19),-1.75197 # DEPENDENCYPART_ARC
(24,21),-1.91807 # DEPENDENCYPART_ARC
(24,22),-0.961668 # DEPENDENCYPART_ARC
(24,23),-0.855468 # DEPENDENCYPART_ARC
(24,25),3.78055 # DEPENDENCYPART_ARC
(24,27),-0.996407 # DEPENDENCYPART_ARC
(24,28),-0.141052 # DEPENDENCYPART_ARC
(25,1),-3.60081 # DEPENDENCYPART_ARC
(25,2),-3.62879 # DEPENDENCYPART_ARC
(25,3),-3.49136 # DEPENDENCYPART_ARC
(25,4),-4.39758 # DEPENDENCYPART_ARC
(25,5),-2.17677 # DEPENDENCYPART_ARC
(25,6),-2.98706 # DEPENDENCYPART_ARC
(25,7),-2.42687 # DEPENDENCYPART_ARC
(25,8),-2.41847 # DEPENDENCYPART_ARC
(25,9),-4.08022 # DEPENDENCYPART_ARC
(25,10),-2.08871 # DEPENDENCYPART_ARC
(25,11),-1.27915 # DEPENDENCYPART_ARC
(25,12),-3.12757 # DEPENDENCYPART_ARC
(25,13),-1.8516 # DEPENDENCYPART_ARC
(25,14),-2.03515 # DEPENDENCYPART_ARC
(25,15),-3.90757 # DEPENDENCYPART_ARC
(25,16),-1.2567 # DEPENDENCYPART_ARC
(25,17),-2.98365 # DEPENDENCYPART_ARC
(25,18),-1.91513 # DEPENDENCYPART_ARC
(25,19),-2.3463 # DEPENDENCYPART_ARC
(25,20),-1.80706 # DEPENDENCYPART_ARC
(25,21),-2.78303 # DEPENDENCYPART_ARC
(25,22),-2.47547 # DEPENDENCYPART_ARC
(25,23),-1.66518 # DEPENDENCYPART_ARC
(25,24),-0.512843 # DEPENDENCYPART_ARC
(25,26),-0.116719 # DEPENDENCYPART_ARC
(25,27),1.82212 # DEPENDENCYPART_ARC
(25,28),0.0884483 # DEPENDENCYPART_ARC
(26,2),-3.17795 # DEPENDENCYPART_ARC
(26,5),-1.9378 # DEPENDENCYPART_ARC
(26,10),-1.64891 # DEPENDENCYPART_ARC
(26,14),-1.66047 # DEPENDENCYPART_ARC
(26,16),-1.18022 # DEPENDENCYPART_ARC
(26,19),-2.63924 # DEPENDENCYPART_ARC
(26,21),-1.44403 # DEPENDENCYPART_ARC
(26,25),-1.63613 # DEPENDENCYPART_ARC
(26,27),0.323119 # DEPENDENCYPART_ARC
(27,1),-5.91985 # DEPENDENCYPART_ARC
(27,2),-5.20545 # DEPENDENCYPART_ARC
(27,3),-4.72791 # DEPENDENCYPART_ARC
(27,4),-3.82809 # DEPENDENCYPART_ARC
(27,5),-2.29231 # DEPENDENCYPART_ARC
(27,6),-5.55634 # DEPENDENCYPART_ARC
(27,7),-1.95665 # DEPENDENCYPART_ARC
(27,8),-2.04155 # DEPENDENCYPART_ARC
(27,9),-3.43703 # DEPENDENCYPART_ARC
(27,10),-1.98105 # DEPENDENCYPART_ARC
(27,11),-4.22431 # DEPENDENCYPART_ARC
(27,12),-4.38477 # DEPENDENCYPART_ARC
(27,13),-1.43801 # DEPENDENCYPART_ARC
(27,14),-1.97883 # DEPENDENCYPART_ARC
(27,15),-4.22228 # DEPENDENCYPART_ARC
(27,16),-1.13536 # DEPENDENCYPART_ARC
(27,17),-5.16684 # DEPENDENCYPART_ARC
(27,18),-1.47205 # DEPENDENCYPART_ARC
(27,19),-4.11352 # DEPENDENCYPART_ARC
(27,20),-0.45189 # DEPENDENCYPART_ARC
(27,21),-1.59856 # DEPENDENCYPART_ARC
(27,22),-1.08784 # DEPENDENCYPART_ARC
(27,23),-1.89741 # DEPENDENCYPART_ARC
(27,24),-2.46239 # DEPENDENCYPART_ARC
(27,25),-2.09106 # DEPENDENCYPART_ARC
(27,26),3.39034 # DEPENDENCYPART_ARC
(27,28),0.00762404 # DEPENDENCYPART_ARC
(28,2),-3.79868 # DEPENDENCYPART_ARC
(28,3),-2.63828 # DEPENDENCYPART_ARC
(28,4),-3.02052 # DEPENDENCYPART_ARC
(28,5),-2.18941 # DEPENDENCYPART_ARC
(28,7),-2.78889 # DEPENDENCYPART_ARC
(28,8),-2.54105 # DEPENDENCYPART_ARC
(28,9),-2.6843 # DEPENDENCYPART_ARC
(28,10),-1.94961 # DEPENDENCYPART_ARC
(28,11),-2.30425 # DEPENDENCYPART_ARC
(28,12),-2.61056 # DEPENDENCYPART_ARC
(28,13),-2.36171 # DEPENDENCYPART_ARC
(28,14),-2.12936 # DEPENDENCYPART_ARC
(28,15),-2.71581 # DEPENDENCYPART_ARC
(28,16),-2.30426 # DEPENDENCYPART_ARC
(28,17),-2.53433 # DEPENDENCYPART_ARC
(28,18),-2.33547 # DEPENDENCYPART_ARC
(28,19),-2.48733 # DEPENDENCYPART_ARC
(28,21),-2.35037 # DEPENDENCYPART_ARC
(28,22),-2.19012 # DEPENDENCYPART_ARC
(28,23),-2.414 # DEPENDENCYPART_ARC
(28,24),-1.90854 # DEPENDENCYPART_ARC
(28,25),-1.69894 # DEPENDENCYPART_ARC
(28,27),-1.88116 # DEPENDENCYPART_ARC
