# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(22,25),-0.788169 # DEPENDENCYPART_ARC
(22,26),1.03232 # DEPENDENCYPART_ARC
(22,27),0.426254 # DEPENDENCYPART_ARC
(23,1),-1.03806 # DEPENDENCYPART_ARC
(23,2),-1.14894 # DEPENDENCYPART_ARC
(23,3),-0.97776 # DEPENDENCYPART_ARC
(23,4),-0.858268 # DEPENDENCYPART_ARC
(23,5),-1.23961 # DEPENDENCYPART_ARC
(23,6),-1.19538 # DEPENDENCYPART_ARC
(23,7),-0.839649 # DEPENDENCYPART_ARC
(23,8),-1.11351 # DEPENDENCYPART_ARC
(23,9),-0.608508 # DEPENDENCYPART_ARC
(23,10),-0.595991 # DEPENDENCYPART_ARC
(23,11),-0.863294 # DEPENDENCYPART_ARC
(23,12),-1.07188 # DEPENDENCYPART_ARC
(23,13),-1.00173 # DEPENDENCYPART_ARC
(23,14),-0.964889 # DEPENDENCYPART_ARC
(23,15),-0.44294 # DEPENDENCYPART_ARC
(23,16),-0.681407 # DEPENDENCYPART_ARC
(23,17),-0.889509 # DEPENDENCYPART_ARC
(23,18),-0.53499 # DEPENDENCYPART_ARC
(23,19),-0.769883 # DEPENDENCYPART_ARC
(23,20),-0.0325485 # DEPENDENCYPART_ARC
(23,21),-0.158718 # DEPENDENCYPART_ARC
(23,22),0.272418 # DEPENDENCYPART_ARC
(23,24),0.936409 # DEPENDENCYPART_ARC
(23,25),-0.352354 # DEPENDENCYPART_ARC
(23,26),-0.855848 # DEPENDENCYPART_ARC
(23,27),-0.434075 # DEPENDENCYPART_ARC
(24,1),-1.91091 # DEPENDENCYPART_ARC
(24,2),-1.85015 # DEPENDENCYPART_ARC
(24,3),-1.54868 # DEPENDENCYPART_ARC
(24,4),-1.55677 # DEPENDENCYPART_ARC
(24,5),-2.02552 # DEPENDENCYPART_ARC
(24,6),-2.16474 # DEPENDENCYPART_ARC
(24,7),-1.57626 # DEPENDENCYPART_ARC
(24,8),-2.07152 # DEPENDENCYPART_ARC
(24,9),-0.927346 # DEPENDENCYPART_ARC
(24,10),-1.29229 # DEPENDENCYPART_ARC
(24,11),-1.71042 # DEPENDENCYPART_ARC
(24,12),-1.93754 # DEPENDENCYPART_ARC
(24,13),-1.89743 # DEPENDENCYPART_ARC
(24,14),-2.07758 # DEPENDENCYPART_ARC
(24,15),-0.77794 # DEPENDENCYPART_ARC
(24,16),-1.29757 # DEPENDENCYPART_ARC
(24,17),-1.80534 # DEPENDENCYPART_ARC
(24,18),-1.21858 # DEPENDENCYPART_ARC
(24,19),-1.66599 # DEPENDENCYPART_ARC
(24,20),-0.372286 # DEPENDENCYPART_ARC
(24,21),-0.627912 # DEPENDENCYPART_ARC
(24,22),-0.686335 # DEPENDENCYPART_ARC
(24,23),0.0465659 # DEPENDENCYPART_ARC
(24,25),0.384286 # DEPENDENCYPART_ARC
(24,26),2.82392 # DEPENDENCYPART_ARC
(24,27),0.163371 # DEPENDENCYPART_ARC
(25,6),-3.45698 # DEPENDENCYPART_ARC
(25,8),-3.40006 # DEPENDENCYPART_ARC
(25,10),-2.30858 # DEPENDENCYPART_ARC
(25,14),-2.78877 # DEPENDENCYPART_ARC
(25,17),-2.69837 # DEPENDENCYPART_ARC
(25,19),-2.84902 # DEPENDENCYPART_ARC
(25,21),-1.7011 # DEPENDENCYPART_ARC
(25,23),-1.18447 # DEPENDENCYPART_ARC
(25,26),0.030036 # DEPENDENCYPART_ARC
(26,1),-4.5361 # DEPENDENCYPART_ARC
(26,2),-2.81546 # DEPENDENCYPART_ARC
(26,3),-2.02141 # DEPENDENCYPART_ARC
(26,4),-5.53669 # DEPENDENCYPART_ARC
(26,5),-4.44128 # DEPENDENCYPART_ARC
(26,6),-4.55073 # DEPENDENCYPART_ARC
(26,7),-4.00628 # DEPENDENCYPART_ARC
(26,8),-4.21742 # DEPENDENCYPART_ARC
(26,9),-1.68097 # DEPENDENCYPART_ARC
(26,10),-2.04206 # DEPENDENCYPART_ARC
(26,11),-4.16001 # DEPENDENCYPART_ARC
(26,12),-2.32989 # DEPENDENCYPART_ARC
(26,13),-2.52416 # DEPENDENCYPART_ARC
(26,14),-3.08969 # DEPENDENCYPART_ARC
(26,15),-1.74719 # DEPENDENCYPART_ARC
(26,16),-1.70052 # DEPENDENCYPART_ARC
(26,17),-2.41881 # DEPENDENCYPART_ARC
(26,18),-1.73448 # DEPENDENCYPART_ARC
(26,19),-2.46685 # DEPENDENCYPART_ARC
(26,20),-1.47139 # DEPENDENCYPART_ARC
(26,21),-0.933199 # DEPENDENCYPART_ARC
(26,22),-3.12775 # DEPENDENCYPART_ARC
(26,23),-0.667483 # DEPENDENCYPART_ARC
(26,24),-0.174236 # DEPENDENCYPART_ARC
(26,25),2.93394 # DEPENDENCYPART_ARC
(26,27),0.31613 # DEPENDENCYPART_ARC
(27,1),-3.04518 # DEPENDENCYPART_ARC
(27,2),-2.05746 # DEPENDENCYPART_ARC
(27,3),-3.4066 # DEPENDENCYPART_ARC
(27,5),-2.67692 # DEPENDENCYPART_ARC
(27,6),-3.28783 # DEPENDENCYPART_ARC
(27,8),-3.29088 # DEPENDENCYPART_ARC
(27,9),-2.56951 # DEPENDENCYPART_ARC
(27,10),-2.06936 # DEPENDENCYPART_ARC
(27,11),-2.54616 # DEPENDENCYPART_ARC
(27,12),-2.431 # DEPENDENCYPART_ARC
(27,13),-2.41036 # DEPENDENCYPART_ARC
(27,14),-2.89247 # DEPENDENCYPART_ARC
(27,15),-2.49094 # DEPENDENCYPART_ARC
(27,17),-2.72188 # DEPENDENCYPART_ARC
(27,19),-2.74061 # DEPENDENCYPART_ARC
(27,20),-2.06117 # DEPENDENCYPART_ARC
(27,21),-1.90771 # DEPENDENCYPART_ARC
(27,22),-2.13929 # DEPENDENCYPART_ARC
(27,23),-1.71255 # DEPENDENCYPART_ARC
(27,24),-1.6093 # DEPENDENCYPART_ARC
(27,26),-1.8222 # DEPENDENCYPART_ARC
