# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,4,7,5,2,2,11,9,13,11,16,16,9,19,19,16,19,22,20,0,
(22,23),0.482033 # DEPENDENCYPART_ARC
(23,1),-2.20449 # DEPENDENCYPART_ARC
(23,2),-2.53442 # DEPENDENCYPART_ARC
(23,3),-2.37607 # DEPENDENCYPART_ARC
(23,4),-3.04973 # DEPENDENCYPART_ARC
(23,5),-2.04686 # DEPENDENCYPART_ARC
(23,6),-2.38354 # DEPENDENCYPART_ARC
(23,7),-1.92226 # DEPENDENCYPART_ARC
(23,8),-2.36123 # DEPENDENCYPART_ARC
(23,9),-2.44852 # DEPENDENCYPART_ARC
(23,10),-1.81454 # DEPENDENCYPART_ARC
(23,11),-2.17795 # DEPENDENCYPART_ARC
(23,12),-1.93672 # DEPENDENCYPART_ARC
(23,13),-1.98949 # DEPENDENCYPART_ARC
(23,14),-1.73137 # DEPENDENCYPART_ARC
(23,15),-2.29604 # DEPENDENCYPART_ARC
(23,16),-1.95007 # DEPENDENCYPART_ARC
(23,17),-1.57386 # DEPENDENCYPART_ARC
(23,18),-1.99971 # DEPENDENCYPART_ARC
(23,19),-2.03749 # DEPENDENCYPART_ARC
(23,20),-1.42517 # DEPENDENCYPART_ARC
(23,21),-1.4425 # DEPENDENCYPART_ARC
(23,22),-1.72563 # DEPENDENCYPART_ARC
