# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,24,13,26,24,28,26,30,28,32,30,0,
(15,23),-0.426821 # DEPENDENCYPART_ARC
(15,24),-0.656759 # DEPENDENCYPART_ARC
(15,25),-0.895855 # DEPENDENCYPART_ARC
(15,26),-2.44696 # DEPENDENCYPART_ARC
(15,27),-1.8036 # DEPENDENCYPART_ARC
(15,28),-2.01592 # DEPENDENCYPART_ARC
(15,29),-2.41181 # DEPENDENCYPART_ARC
(15,30),-2.60423 # DEPENDENCYPART_ARC
(15,31),-2.02859 # DEPENDENCYPART_ARC
(15,32),-2.18881 # DEPENDENCYPART_ARC
(15,33),-1.03075 # DEPENDENCYPART_ARC
(16,1),-1.26587 # DEPENDENCYPART_ARC
(16,2),-3.49953 # DEPENDENCYPART_ARC
(16,3),-2.29099 # DEPENDENCYPART_ARC
(16,4),-1.6813 # DEPENDENCYPART_ARC
(16,5),-2.01584 # DEPENDENCYPART_ARC
(16,6),-1.0304 # DEPENDENCYPART_ARC
(16,7),-3.57058 # DEPENDENCYPART_ARC
(16,8),-0.173004 # DEPENDENCYPART_ARC
(16,9),-0.0575557 # DEPENDENCYPART_ARC
(16,10),-1.37997 # DEPENDENCYPART_ARC
(16,11),-0.838331 # DEPENDENCYPART_ARC
(16,12),-0.605049 # DEPENDENCYPART_ARC
(16,13),-0.551729 # DEPENDENCYPART_ARC
(16,14),0.0765658 # DEPENDENCYPART_ARC
(16,15),1.67125 # DEPENDENCYPART_ARC
(16,17),0.358449 # DEPENDENCYPART_ARC
(16,18),-0.207603 # DEPENDENCYPART_ARC
(16,19),-0.0352775 # DEPENDENCYPART_ARC
(16,20),-0.172975 # DEPENDENCYPART_ARC
(16,21),-1.01154 # DEPENDENCYPART_ARC
(16,22),-0.131537 # DEPENDENCYPART_ARC
(16,23),-0.427623 # DEPENDENCYPART_ARC
(16,24),-0.30063 # DEPENDENCYPART_ARC
(16,25),-0.924144 # DEPENDENCYPART_ARC
(16,26),-2.57295 # DEPENDENCYPART_ARC
(16,27),-1.40492 # DEPENDENCYPART_ARC
(16,28),-1.63969 # DEPENDENCYPART_ARC
(16,29),-2.00958 # DEPENDENCYPART_ARC
(16,30),-2.86523 # DEPENDENCYPART_ARC
(16,31),-1.5126 # DEPENDENCYPART_ARC
(16,32),-2.75722 # DEPENDENCYPART_ARC
(16,33),-1.03496 # DEPENDENCYPART_ARC
(17,1),-1.07706 # DEPENDENCYPART_ARC
(17,2),0.32546 # DEPENDENCYPART_ARC
(17,3),-0.376017 # DEPENDENCYPART_ARC
(17,4),-1.11314 # DEPENDENCYPART_ARC
(17,5),0.272378 # DEPENDENCYPART_ARC
(17,6),0.0123426 # DEPENDENCYPART_ARC
(17,7),0.613942 # DEPENDENCYPART_ARC
(17,8),0.500961 # DEPENDENCYPART_ARC
(17,9),0.413603 # DEPENDENCYPART_ARC
(17,10),0.713512 # DEPENDENCYPART_ARC
(17,11),0.145702 # DEPENDENCYPART_ARC
(17,12),0.558117 # DEPENDENCYPART_ARC
(17,13),0.641641 # DEPENDENCYPART_ARC
(17,14),1.11252 # DEPENDENCYPART_ARC
(17,15),0.543331 # DEPENDENCYPART_ARC
(17,16),1.81247 # DEPENDENCYPART_ARC
(17,18),0.984529 # DEPENDENCYPART_ARC
(17,19),1.08856 # DEPENDENCYPART_ARC
(17,20),0.727268 # DEPENDENCYPART_ARC
(17,21),-0.347996 # DEPENDENCYPART_ARC
(17,22),0.128658 # DEPENDENCYPART_ARC
(17,23),0.79404 # DEPENDENCYPART_ARC
(17,24),-0.0806598 # DEPENDENCYPART_ARC
(17,25),-0.159484 # DEPENDENCYPART_ARC
(17,26),0.273875 # DEPENDENCYPART_ARC
(17,27),-0.900346 # DEPENDENCYPART_ARC
(17,28),-1.61229 # DEPENDENCYPART_ARC
(17,29),-0.422321 # DEPENDENCYPART_ARC
(17,30),-0.766053 # DEPENDENCYPART_ARC
(17,31),-1.01792 # DEPENDENCYPART_ARC
(17,32),-1.9717 # DEPENDENCYPART_ARC
(17,33),0.164913 # DEPENDENCYPART_ARC
(18,1),-0.551168 # DEPENDENCYPART_ARC
(18,2),-1.05606 # DEPENDENCYPART_ARC
(18,3),-0.886649 # DEPENDENCYPART_ARC
(18,4),-0.731032 # DEPENDENCYPART_ARC
(18,5),-0.782163 # DEPENDENCYPART_ARC
(18,6),-0.295833 # DEPENDENCYPART_ARC
(18,7),-0.911795 # DEPENDENCYPART_ARC
(18,8),0.69434 # DEPENDENCYPART_ARC
(18,9),0.684282 # DEPENDENCYPART_ARC
(18,10),0.17399 # DEPENDENCYPART_ARC
(18,11),-0.103288 # DEPENDENCYPART_ARC
(18,12),0.199378 # DEPENDENCYPART_ARC
(18,13),-0.056448 # DEPENDENCYPART_ARC
(18,14),0.273212 # DEPENDENCYPART_ARC
(18,15),0.519579 # DEPENDENCYPART_ARC
(18,16),0.751261 # DEPENDENCYPART_ARC
(18,17),0.995507 # DEPENDENCYPART_ARC
(18,19),0.981851 # DEPENDENCYPART_ARC
(18,20),0.513235 # DEPENDENCYPART_ARC
(18,21),-0.136322 # DEPENDENCYPART_ARC
(18,22),-0.604072 # DEPENDENCYPART_ARC
(18,23),0.0382847 # DEPENDENCYPART_ARC
(18,24),-0.554422 # DEPENDENCYPART_ARC
(18,25),-0.768667 # DEPENDENCYPART_ARC
(18,26),-1.42773 # DEPENDENCYPART_ARC
(18,27),-1.29275 # DEPENDENCYPART_ARC
(18,28),-2.11231 # DEPENDENCYPART_ARC
(18,29),-1.59049 # DEPENDENCYPART_ARC
(18,30),-2.02076 # DEPENDENCYPART_ARC
(18,31),-1.40186 # DEPENDENCYPART_ARC
(18,32),-2.45859 # DEPENDENCYPART_ARC
(18,33),-0.647848 # DEPENDENCYPART_ARC
(19,1),-0.779403 # DEPENDENCYPART_ARC
(19,2),-1.10348 # DEPENDENCYPART_ARC
(19,3),-0.442029 # DEPENDENCYPART_ARC
(19,4),-1.13314 # DEPENDENCYPART_ARC
(19,5),-0.93515 # DEPENDENCYPART_ARC
(19,6),-0.715684 # DEPENDENCYPART_ARC
(19,7),-0.838108 # DEPENDENCYPART_ARC
(19,8),-0.450171 # DEPENDENCYPART_ARC
(19,9),-0.473707 # DEPENDENCYPART_ARC
(19,10),-0.564353 # DEPENDENCYPART_ARC
(19,11),-0.330248 # DEPENDENCYPART_ARC
(19,12),-0.524748 # DEPENDENCYPART_ARC
(19,13),0.0196825 # DEPENDENCYPART_ARC
(19,14),-0.463701 # DEPENDENCYPART_ARC
(19,15),0.702183 # DEPENDENCYPART_ARC
(19,16),-0.0475361 # DEPENDENCYPART_ARC
(19,17),0.332726 # DEPENDENCYPART_ARC
(19,18),0.998893 # DEPENDENCYPART_ARC
(19,20),0.987545 # DEPENDENCYPART_ARC
(19,21),-0.133085 # DEPENDENCYPART_ARC
(19,22),0.125528 # DEPENDENCYPART_ARC
(19,23),0.0474224 # DEPENDENCYPART_ARC
(19,24),-0.195151 # DEPENDENCYPART_ARC
(19,25),-0.447281 # DEPENDENCYPART_ARC
(19,26),-0.804945 # DEPENDENCYPART_ARC
(19,27),-1.26951 # DEPENDENCYPART_ARC
(19,28),-1.17903 # DEPENDENCYPART_ARC
(19,29),-1.27707 # DEPENDENCYPART_ARC
(19,30),-1.20719 # DEPENDENCYPART_ARC
(19,31),-1.39959 # DEPENDENCYPART_ARC
(19,32),-1.37086 # DEPENDENCYPART_ARC
(19,33),-0.332679 # DEPENDENCYPART_ARC
(20,1),-0.857017 # DEPENDENCYPART_ARC
(20,2),-2.25559 # DEPENDENCYPART_ARC
(20,3),-1.37928 # DEPENDENCYPART_ARC
(20,4),-1.9715 # DEPENDENCYPART_ARC
(20,5),-2.13771 # DEPENDENCYPART_ARC
(20,6),-0.335254 # DEPENDENCYPART_ARC
(20,7),-1.83982 # DEPENDENCYPART_ARC
(20,8),-0.382736 # DEPENDENCYPART_ARC
(20,9),-0.323199 # DEPENDENCYPART_ARC
(20,10),-0.770426 # DEPENDENCYPART_ARC
(20,11),-0.389788 # DEPENDENCYPART_ARC
(20,12),-0.442106 # DEPENDENCYPART_ARC
(20,13),0.242012 # DEPENDENCYPART_ARC
(20,14),-0.297781 # DEPENDENCYPART_ARC
(20,15),1.51228 # DEPENDENCYPART_ARC
(20,16),-0.144384 # DEPENDENCYPART_ARC
(20,17),1.0083 # DEPENDENCYPART_ARC
(20,18),1.23477 # DEPENDENCYPART_ARC
(20,19),1.65211 # DEPENDENCYPART_ARC
(20,21),-0.170054 # DEPENDENCYPART_ARC
(20,22),2.32313 # DEPENDENCYPART_ARC
(20,23),0.38976 # DEPENDENCYPART_ARC
(20,24),0.332738 # DEPENDENCYPART_ARC
(20,25),-0.247282 # DEPENDENCYPART_ARC
(20,26),-0.942474 # DEPENDENCYPART_ARC
(20,27),-1.85818 # DEPENDENCYPART_ARC
(20,28),-1.96369 # DEPENDENCYPART_ARC
(20,29),-1.94888 # DEPENDENCYPART_ARC
(20,30),-0.59754 # DEPENDENCYPART_ARC
(20,31),-1.91955 # DEPENDENCYPART_ARC
(20,32),-2.4933 # DEPENDENCYPART_ARC
(20,33),-0.319339 # DEPENDENCYPART_ARC
(21,1),-1.75084 # DEPENDENCYPART_ARC
(21,2),-3.11773 # DEPENDENCYPART_ARC
(21,3),-2.09117 # DEPENDENCYPART_ARC
(21,4),-2.71242 # DEPENDENCYPART_ARC
(21,5),-2.01527 # DEPENDENCYPART_ARC
(21,6),-1.45775 # DEPENDENCYPART_ARC
(21,7),-2.88609 # DEPENDENCYPART_ARC
(21,8),-1.3628 # DEPENDENCYPART_ARC
(21,9),-1.33479 # DEPENDENCYPART_ARC
(21,10),-1.72608 # DEPENDENCYPART_ARC
(21,11),-1.42164 # DEPENDENCYPART_ARC
(21,12),-1.31014 # DEPENDENCYPART_ARC
(21,13),-1.3569 # DEPENDENCYPART_ARC
(21,14),-1.12239 # DEPENDENCYPART_ARC
(21,15),-2.04925 # DEPENDENCYPART_ARC
(21,16),-2.61149 # DEPENDENCYPART_ARC
(21,17),-1.05773 # DEPENDENCYPART_ARC
(21,18),-0.794782 # DEPENDENCYPART_ARC
(21,19),-0.639998 # DEPENDENCYPART_ARC
(21,20),-0.84656 # DEPENDENCYPART_ARC
(21,22),0.134139 # DEPENDENCYPART_ARC
(21,23),-0.496494 # DEPENDENCYPART_ARC
(21,24),-0.485879 # DEPENDENCYPART_ARC
(21,25),-0.985856 # DEPENDENCYPART_ARC
(21,26),-2.8973 # DEPENDENCYPART_ARC
(21,27),-1.82291 # DEPENDENCYPART_ARC
(21,28),-2.11636 # DEPENDENCYPART_ARC
(21,29),-3.18835 # DEPENDENCYPART_ARC
(21,30),-3.496 # DEPENDENCYPART_ARC
(21,31),-1.89731 # DEPENDENCYPART_ARC
(21,32),-2.09162 # DEPENDENCYPART_ARC
(21,33),-1.30238 # DEPENDENCYPART_ARC
(22,1),-1.52932 # DEPENDENCYPART_ARC
(22,2),-2.77838 # DEPENDENCYPART_ARC
(22,3),-3.86438 # DEPENDENCYPART_ARC
(22,4),-3.86643 # DEPENDENCYPART_ARC
(22,5),-2.02502 # DEPENDENCYPART_ARC
(22,6),-0.841551 # DEPENDENCYPART_ARC
(22,7),-2.03708 # DEPENDENCYPART_ARC
(22,8),-1.13339 # DEPENDENCYPART_ARC
(22,9),-1.08402 # DEPENDENCYPART_ARC
(22,10),-2.23611 # DEPENDENCYPART_ARC
(22,11),-1.14186 # DEPENDENCYPART_ARC
(22,12),-0.941197 # DEPENDENCYPART_ARC
(22,13),-1.29752 # DEPENDENCYPART_ARC
(22,14),-0.914002 # DEPENDENCYPART_ARC
(22,15),-2.03925 # DEPENDENCYPART_ARC
(22,16),-2.87442 # DEPENDENCYPART_ARC
(22,17),0.104579 # DEPENDENCYPART_ARC
(22,18),-0.326133 # DEPENDENCYPART_ARC
(22,19),-0.200676 # DEPENDENCYPART_ARC
(22,20),-0.140291 # DEPENDENCYPART_ARC
(22,21),3.14469 # DEPENDENCYPART_ARC
(22,23),0.00745118 # DEPENDENCYPART_ARC
(22,24),0.293119 # DEPENDENCYPART_ARC
(22,25),-0.490234 # DEPENDENCYPART_ARC
(22,26),-0.923529 # DEPENDENCYPART_ARC
(22,27),-1.52578 # DEPENDENCYPART_ARC
(22,28),-2.05416 # DEPENDENCYPART_ARC
(22,29),-2.81522 # DEPENDENCYPART_ARC
(22,30),-0.877422 # DEPENDENCYPART_ARC
(22,31),-1.84196 # DEPENDENCYPART_ARC
(22,32),-2.4299 # DEPENDENCYPART_ARC
(22,33),-0.975331 # DEPENDENCYPART_ARC
(23,1),-1.2782 # DEPENDENCYPART_ARC
(23,2),-0.550734 # DEPENDENCYPART_ARC
(23,3),-0.907451 # DEPENDENCYPART_ARC
(23,4),-1.6098 # DEPENDENCYPART_ARC
(23,5),-0.74938 # DEPENDENCYPART_ARC
(23,6),-0.823164 # DEPENDENCYPART_ARC
(23,7),-0.393403 # DEPENDENCYPART_ARC
(23,8),-0.253219 # DEPENDENCYPART_ARC
(23,9),-0.430099 # DEPENDENCYPART_ARC
(23,10),-0.0438166 # DEPENDENCYPART_ARC
(23,11),-0.462851 # DEPENDENCYPART_ARC
(23,12),-0.875346 # DEPENDENCYPART_ARC
(23,13),-0.300322 # DEPENDENCYPART_ARC
(23,14),0.225774 # DEPENDENCYPART_ARC
(23,15),-0.50028 # DEPENDENCYPART_ARC
(23,16),-0.54079 # DEPENDENCYPART_ARC
(23,17),0.00753269 # DEPENDENCYPART_ARC
(23,18),-0.351354 # DEPENDENCYPART_ARC
(23,19),-0.377572 # DEPENDENCYPART_ARC
(23,20),-0.0199041 # DEPENDENCYPART_ARC
(23,21),-0.0276832 # DEPENDENCYPART_ARC
(23,22),0.0284919 # DEPENDENCYPART_ARC
(23,24),0.207003 # DEPENDENCYPART_ARC
(23,25),-0.341697 # DEPENDENCYPART_ARC
(23,26),-0.320511 # DEPENDENCYPART_ARC
(23,27),-1.1355 # DEPENDENCYPART_ARC
(23,28),-0.808547 # DEPENDENCYPART_ARC
(23,29),-1.82097 # DEPENDENCYPART_ARC
(23,30),-1.09145 # DEPENDENCYPART_ARC
(23,31),-1.36902 # DEPENDENCYPART_ARC
(23,32),-1.29268 # DEPENDENCYPART_ARC
(23,33),-0.429423 # DEPENDENCYPART_ARC
(24,1),-0.935007 # DEPENDENCYPART_ARC
(24,2),-1.40688 # DEPENDENCYPART_ARC
(24,3),-1.25002 # DEPENDENCYPART_ARC
(24,4),-1.67748 # DEPENDENCYPART_ARC
(24,5),-1.3297 # DEPENDENCYPART_ARC
(24,6),-0.65187 # DEPENDENCYPART_ARC
(24,7),-1.10889 # DEPENDENCYPART_ARC
(24,8),-0.539558 # DEPENDENCYPART_ARC
(24,9),-0.561682 # DEPENDENCYPART_ARC
(24,10),-0.639016 # DEPENDENCYPART_ARC
(24,11),-1.10061 # DEPENDENCYPART_ARC
(24,12),-0.345106 # DEPENDENCYPART_ARC
(24,13),-0.785721 # DEPENDENCYPART_ARC
(24,14),-0.548823 # DEPENDENCYPART_ARC
(24,15),-0.697487 # DEPENDENCYPART_ARC
(24,16),-1.17887 # DEPENDENCYPART_ARC
(24,17),-0.144063 # DEPENDENCYPART_ARC
(24,18),-0.32971 # DEPENDENCYPART_ARC
(24,19),-0.834333 # DEPENDENCYPART_ARC
(24,20),-1.11412 # DEPENDENCYPART_ARC
(24,21),-0.113715 # DEPENDENCYPART_ARC
(24,22),-0.79798 # DEPENDENCYPART_ARC
(24,23),0.865268 # DEPENDENCYPART_ARC
(24,25),1.11639 # DEPENDENCYPART_ARC
(24,26),2.53136 # DEPENDENCYPART_ARC
(24,27),-0.432317 # DEPENDENCYPART_ARC
(24,28),0.346355 # DEPENDENCYPART_ARC
(24,29),-0.0252074 # DEPENDENCYPART_ARC
(24,30),-0.0863754 # DEPENDENCYPART_ARC
(24,31),-1.05866 # DEPENDENCYPART_ARC
(24,32),-1.76223 # DEPENDENCYPART_ARC
(24,33),0.33287 # DEPENDENCYPART_ARC
(25,1),-2.3404 # DEPENDENCYPART_ARC
(25,2),-2.5681 # DEPENDENCYPART_ARC
(25,3),-2.08317 # DEPENDENCYPART_ARC
(25,4),-2.58466 # DEPENDENCYPART_ARC
(25,5),-2.32993 # DEPENDENCYPART_ARC
(25,6),-1.87192 # DEPENDENCYPART_ARC
(25,7),-2.24909 # DEPENDENCYPART_ARC
(25,8),-1.89135 # DEPENDENCYPART_ARC
(25,9),-1.87023 # DEPENDENCYPART_ARC
(25,10),-1.75972 # DEPENDENCYPART_ARC
(25,11),-2.00378 # DEPENDENCYPART_ARC
(25,12),-1.86496 # DEPENDENCYPART_ARC
(25,13),-1.83139 # DEPENDENCYPART_ARC
(25,14),-1.70094 # DEPENDENCYPART_ARC
(25,15),-1.70068 # DEPENDENCYPART_ARC
(25,16),-2.15605 # DEPENDENCYPART_ARC
(25,17),-1.62617 # DEPENDENCYPART_ARC
(25,18),-1.73563 # DEPENDENCYPART_ARC
(25,19),-1.77847 # DEPENDENCYPART_ARC
(25,20),-1.94515 # DEPENDENCYPART_ARC
(25,21),-1.20721 # DEPENDENCYPART_ARC
(25,22),-1.65821 # DEPENDENCYPART_ARC
(25,23),-1.03241 # DEPENDENCYPART_ARC
(25,24),-0.490348 # DEPENDENCYPART_ARC
(25,26),0.41276 # DEPENDENCYPART_ARC
(25,27),-0.701364 # DEPENDENCYPART_ARC
(25,28),-0.577019 # DEPENDENCYPART_ARC
(25,29),-1.32014 # DEPENDENCYPART_ARC
(25,30),-0.980616 # DEPENDENCYPART_ARC
(25,31),-1.36062 # DEPENDENCYPART_ARC
(25,32),-1.37636 # DEPENDENCYPART_ARC
(25,33),-0.514389 # DEPENDENCYPART_ARC
(26,1),-1.26746 # DEPENDENCYPART_ARC
(26,2),-5.62787 # DEPENDENCYPART_ARC
(26,3),-0.422249 # DEPENDENCYPART_ARC
(26,4),-2.35506 # DEPENDENCYPART_ARC
(26,5),-3.50135 # DEPENDENCYPART_ARC
(26,6),-0.127403 # DEPENDENCYPART_ARC
(26,7),-3.48257 # DEPENDENCYPART_ARC
(26,8),-0.336037 # DEPENDENCYPART_ARC
(26,9),-0.425231 # DEPENDENCYPART_ARC
(26,10),0.0461156 # DEPENDENCYPART_ARC
(26,11),-0.659485 # DEPENDENCYPART_ARC
(26,12),-0.133821 # DEPENDENCYPART_ARC
(26,13),-1.024 # DEPENDENCYPART_ARC
(26,14),-0.230989 # DEPENDENCYPART_ARC
(26,15),0.305162 # DEPENDENCYPART_ARC
(26,16),-1.1154 # DEPENDENCYPART_ARC
(26,17),-0.054441 # DEPENDENCYPART_ARC
(26,18),-0.0302343 # DEPENDENCYPART_ARC
(26,19),-0.433772 # DEPENDENCYPART_ARC
(26,20),-0.505353 # DEPENDENCYPART_ARC
(26,21),-0.959841 # DEPENDENCYPART_ARC
(26,22),-2.91004 # DEPENDENCYPART_ARC
(26,23),0.861758 # DEPENDENCYPART_ARC
(26,24),1.41789 # DEPENDENCYPART_ARC
(26,25),2.80001 # DEPENDENCYPART_ARC
(26,27),-0.402348 # DEPENDENCYPART_ARC
(26,28),2.24878 # DEPENDENCYPART_ARC
(26,29),-0.0254508 # DEPENDENCYPART_ARC
(26,30),-2.21158 # DEPENDENCYPART_ARC
(26,31),-2.09465 # DEPENDENCYPART_ARC
(26,32),-0.67787 # DEPENDENCYPART_ARC
(26,33),0.305277 # DEPENDENCYPART_ARC
(27,1),-1.98593 # DEPENDENCYPART_ARC
(27,2),-3.74065 # DEPENDENCYPART_ARC
(27,3),-1.67611 # DEPENDENCYPART_ARC
(27,4),-2.21609 # DEPENDENCYPART_ARC
(27,5),-2.67398 # DEPENDENCYPART_ARC
(27,6),-1.66328 # DEPENDENCYPART_ARC
(27,7),-3.40425 # DEPENDENCYPART_ARC
(27,8),-1.33093 # DEPENDENCYPART_ARC
(27,9),-1.40636 # DEPENDENCYPART_ARC
(27,10),-1.71696 # DEPENDENCYPART_ARC
(27,11),-1.59042 # DEPENDENCYPART_ARC
(27,12),-1.6102 # DEPENDENCYPART_ARC
(27,13),-1.31178 # DEPENDENCYPART_ARC
(27,14),-1.49405 # DEPENDENCYPART_ARC
(27,15),-1.79849 # DEPENDENCYPART_ARC
(27,16),-2.67936 # DEPENDENCYPART_ARC
(27,17),-1.4117 # DEPENDENCYPART_ARC
(27,18),-1.277 # DEPENDENCYPART_ARC
(27,19),-1.48353 # DEPENDENCYPART_ARC
(27,20),-1.90158 # DEPENDENCYPART_ARC
(27,21),-1.39771 # DEPENDENCYPART_ARC
(27,22),-1.58772 # DEPENDENCYPART_ARC
(27,23),-1.25131 # DEPENDENCYPART_ARC
(27,24),-0.911883 # DEPENDENCYPART_ARC
(27,25),-0.572919 # DEPENDENCYPART_ARC
(27,26),-2.0255 # DEPENDENCYPART_ARC
(27,28),-0.0412862 # DEPENDENCYPART_ARC
(27,29),-1.16324 # DEPENDENCYPART_ARC
(27,30),-2.5294 # DEPENDENCYPART_ARC
(27,31),-1.7236 # DEPENDENCYPART_ARC
(27,32),-1.77645 # DEPENDENCYPART_ARC
(27,33),-1.03479 # DEPENDENCYPART_ARC
(28,1),-1.68177 # DEPENDENCYPART_ARC
(28,2),-3.25511 # DEPENDENCYPART_ARC
(28,3),-3.77182 # DEPENDENCYPART_ARC
(28,4),-2.91868 # DEPENDENCYPART_ARC
(28,5),-3.64451 # DEPENDENCYPART_ARC
(28,6),-1.25084 # DEPENDENCYPART_ARC
(28,7),-2.60725 # DEPENDENCYPART_ARC
(28,8),-1.05211 # DEPENDENCYPART_ARC
(28,9),-1.02671 # DEPENDENCYPART_ARC
(28,10),-1.72556 # DEPENDENCYPART_ARC
(28,11),-1.33015 # DEPENDENCYPART_ARC
(28,12),-1.22507 # DEPENDENCYPART_ARC
(28,13),-0.97188 # DEPENDENCYPART_ARC
(28,14),-1.11669 # DEPENDENCYPART_ARC
(28,15),-2.37862 # DEPENDENCYPART_ARC
(28,16),-2.41091 # DEPENDENCYPART_ARC
(28,17),-0.683289 # DEPENDENCYPART_ARC
(28,18),-0.912456 # DEPENDENCYPART_ARC
(28,19),-0.984695 # DEPENDENCYPART_ARC
(28,20),-1.80731 # DEPENDENCYPART_ARC
(28,21),-1.34502 # DEPENDENCYPART_ARC
(28,22),-0.705448 # DEPENDENCYPART_ARC
(28,23),-0.754004 # DEPENDENCYPART_ARC
(28,24),-0.29022 # DEPENDENCYPART_ARC
(28,25),-0.0520888 # DEPENDENCYPART_ARC
(28,26),-1.2315 # DEPENDENCYPART_ARC
(28,27),3.32257 # DEPENDENCYPART_ARC
(28,29),1.78607 # DEPENDENCYPART_ARC
(28,30),2.0385 # DEPENDENCYPART_ARC
(28,31),-0.74884 # DEPENDENCYPART_ARC
(28,32),-0.447783 # DEPENDENCYPART_ARC
(28,33),-0.0401924 # DEPENDENCYPART_ARC
(29,1),-1.62574 # DEPENDENCYPART_ARC
(29,2),-3.85929 # DEPENDENCYPART_ARC
(29,3),-3.00039 # DEPENDENCYPART_ARC
(29,4),-3.54254 # DEPENDENCYPART_ARC
(29,5),-2.35462 # DEPENDENCYPART_ARC
(29,6),-1.39613 # DEPENDENCYPART_ARC
(29,7),-3.74875 # DEPENDENCYPART_ARC
(29,8),-1.39083 # DEPENDENCYPART_ARC
(29,9),-1.21219 # DEPENDENCYPART_ARC
(29,10),-2.17627 # DEPENDENCYPART_ARC
(29,11),-1.43612 # DEPENDENCYPART_ARC
(29,12),-1.20661 # DEPENDENCYPART_ARC
(29,13),-2.51834 # DEPENDENCYPART_ARC
(29,14),-1.36519 # DEPENDENCYPART_ARC
(29,15),-2.10506 # DEPENDENCYPART_ARC
(29,16),-2.72278 # DEPENDENCYPART_ARC
(29,17),-1.02071 # DEPENDENCYPART_ARC
(29,18),-1.14393 # DEPENDENCYPART_ARC
(29,19),-1.36782 # DEPENDENCYPART_ARC
(29,20),-2.5417 # DEPENDENCYPART_ARC
(29,21),-0.99977 # DEPENDENCYPART_ARC
(29,22),-2.00465 # DEPENDENCYPART_ARC
(29,23),-0.944364 # DEPENDENCYPART_ARC
(29,24),-1.07354 # DEPENDENCYPART_ARC
(29,25),-0.966266 # DEPENDENCYPART_ARC
(29,26),-2.97127 # DEPENDENCYPART_ARC
(29,27),0.103135 # DEPENDENCYPART_ARC
(29,28),-1.21909 # DEPENDENCYPART_ARC
(29,30),-1.57955 # DEPENDENCYPART_ARC
(29,31),-2.3003 # DEPENDENCYPART_ARC
(29,32),-1.62788 # DEPENDENCYPART_ARC
(29,33),-1.38485 # DEPENDENCYPART_ARC
(30,1),-1.81894 # DEPENDENCYPART_ARC
(30,2),-4.3457 # DEPENDENCYPART_ARC
(30,3),-2.53173 # DEPENDENCYPART_ARC
(30,4),-2.55874 # DEPENDENCYPART_ARC
(30,5),-5.93543 # DEPENDENCYPART_ARC
(30,6),-1.28587 # DEPENDENCYPART_ARC
(30,7),-3.50628 # DEPENDENCYPART_ARC
(30,8),-1.15984 # DEPENDENCYPART_ARC
(30,9),-1.1646 # DEPENDENCYPART_ARC
(30,10),-1.68283 # DEPENDENCYPART_ARC
(30,11),-1.12587 # DEPENDENCYPART_ARC
(30,12),-0.714606 # DEPENDENCYPART_ARC
(30,13),-1.16565 # DEPENDENCYPART_ARC
(30,14),-1.14645 # DEPENDENCYPART_ARC
(30,15),-2.56298 # DEPENDENCYPART_ARC
(30,16),-1.05 # DEPENDENCYPART_ARC
(30,17),-0.778889 # DEPENDENCYPART_ARC
(30,18),-0.247583 # DEPENDENCYPART_ARC
(30,19),-1.03315 # DEPENDENCYPART_ARC
(30,20),0.0471466 # DEPENDENCYPART_ARC
(30,21),-3.22264 # DEPENDENCYPART_ARC
(30,22),-2.56973 # DEPENDENCYPART_ARC
(30,23),-0.189826 # DEPENDENCYPART_ARC
(30,24),0.109686 # DEPENDENCYPART_ARC
(30,25),0.299565 # DEPENDENCYPART_ARC
(30,26),-2.01389 # DEPENDENCYPART_ARC
(30,27),-1.86669 # DEPENDENCYPART_ARC
(30,28),-0.149371 # DEPENDENCYPART_ARC
(30,29),3.85028 # DEPENDENCYPART_ARC
(30,31),-0.921636 # DEPENDENCYPART_ARC
(30,32),1.48488 # DEPENDENCYPART_ARC
(30,33),0.675898 # DEPENDENCYPART_ARC
(31,1),-1.9589 # DEPENDENCYPART_ARC
(31,2),-2.85647 # DEPENDENCYPART_ARC
(31,3),-1.82088 # DEPENDENCYPART_ARC
(31,4),-2.46819 # DEPENDENCYPART_ARC
(31,5),-2.40065 # DEPENDENCYPART_ARC
(31,6),-1.80963 # DEPENDENCYPART_ARC
(31,7),-2.80607 # DEPENDENCYPART_ARC
(31,8),-1.70454 # DEPENDENCYPART_ARC
(31,9),-1.7169 # DEPENDENCYPART_ARC
(31,10),-2.20733 # DEPENDENCYPART_ARC
(31,11),-1.70906 # DEPENDENCYPART_ARC
(31,12),-1.71768 # DEPENDENCYPART_ARC
(31,13),-1.77743 # DEPENDENCYPART_ARC
(31,14),-1.62239 # DEPENDENCYPART_ARC
(31,15),-1.04304 # DEPENDENCYPART_ARC
(31,16),-2.31857 # DEPENDENCYPART_ARC
(31,17),-1.54768 # DEPENDENCYPART_ARC
(31,18),-1.43558 # DEPENDENCYPART_ARC
(31,19),-1.66509 # DEPENDENCYPART_ARC
(31,20),-2.43367 # DEPENDENCYPART_ARC
