# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(21,23),2.66966 # DEPENDENCYPART_ARC
(21,24),0.274776 # DEPENDENCYPART_ARC
(22,1),-1.74094 # DEPENDENCYPART_ARC
(22,2),-1.54401 # DEPENDENCYPART_ARC
(22,3),-1.73529 # DEPENDENCYPART_ARC
(22,4),-1.83322 # DEPENDENCYPART_ARC
(22,5),-2.67977 # DEPENDENCYPART_ARC
(22,6),-2.95399 # DEPENDENCYPART_ARC
(22,7),-2.65063 # DEPENDENCYPART_ARC
(22,8),-1.5002 # DEPENDENCYPART_ARC
(22,9),-2.74077 # DEPENDENCYPART_ARC
(22,10),-2.66259 # DEPENDENCYPART_ARC
(22,11),-1.21392 # DEPENDENCYPART_ARC
(22,12),-3.25032 # DEPENDENCYPART_ARC
(22,13),-2.25239 # DEPENDENCYPART_ARC
(22,14),-2.58282 # DEPENDENCYPART_ARC
(22,15),-0.851156 # DEPENDENCYPART_ARC
(22,16),-1.89167 # DEPENDENCYPART_ARC
(22,17),-1.19441 # DEPENDENCYPART_ARC
(22,18),-1.40197 # DEPENDENCYPART_ARC
(22,19),-0.822098 # DEPENDENCYPART_ARC
(22,20),-0.73744 # DEPENDENCYPART_ARC
(22,21),-0.799596 # DEPENDENCYPART_ARC
(22,23),0.1815 # DEPENDENCYPART_ARC
(22,24),-0.44038 # DEPENDENCYPART_ARC
(23,1),-1.70829 # DEPENDENCYPART_ARC
(23,2),-1.78709 # DEPENDENCYPART_ARC
(23,3),-1.418 # DEPENDENCYPART_ARC
(23,4),-3.12225 # DEPENDENCYPART_ARC
(23,5),-3.58587 # DEPENDENCYPART_ARC
(23,6),-3.196 # DEPENDENCYPART_ARC
(23,7),-3.20377 # DEPENDENCYPART_ARC
(23,8),-1.1266 # DEPENDENCYPART_ARC
(23,9),-3.39238 # DEPENDENCYPART_ARC
(23,10),-4.22601 # DEPENDENCYPART_ARC
(23,11),-0.986488 # DEPENDENCYPART_ARC
(23,12),-3.60932 # DEPENDENCYPART_ARC
(23,13),-2.07487 # DEPENDENCYPART_ARC
(23,14),-3.24284 # DEPENDENCYPART_ARC
(23,15),0.0956125 # DEPENDENCYPART_ARC
(23,16),-1.69808 # DEPENDENCYPART_ARC
(23,17),-0.825088 # DEPENDENCYPART_ARC
(23,18),-0.482982 # DEPENDENCYPART_ARC
(23,19),0.398493 # DEPENDENCYPART_ARC
(23,20),0.241409 # DEPENDENCYPART_ARC
(23,21),-0.115799 # DEPENDENCYPART_ARC
(23,22),3.33045 # DEPENDENCYPART_ARC
(23,24),0.153202 # DEPENDENCYPART_ARC
(24,1),-3.30265 # DEPENDENCYPART_ARC
(24,2),-2.19634 # DEPENDENCYPART_ARC
(24,3),-2.42001 # DEPENDENCYPART_ARC
(24,4),-2.34518 # DEPENDENCYPART_ARC
(24,5),-2.70076 # DEPENDENCYPART_ARC
(24,6),-2.50515 # DEPENDENCYPART_ARC
(24,7),-2.36309 # DEPENDENCYPART_ARC
(24,8),-1.86958 # DEPENDENCYPART_ARC
(24,9),-2.0794 # DEPENDENCYPART_ARC
(24,10),-2.13106 # DEPENDENCYPART_ARC
(24,11),-2.04945 # DEPENDENCYPART_ARC
(24,12),-2.02484 # DEPENDENCYPART_ARC
(24,13),-1.91499 # DEPENDENCYPART_ARC
(24,14),-2.13308 # DEPENDENCYPART_ARC
(24,15),-1.86402 # DEPENDENCYPART_ARC
(24,16),-2.18732 # DEPENDENCYPART_ARC
(24,17),-1.3639 # DEPENDENCYPART_ARC
(24,18),-1.86847 # DEPENDENCYPART_ARC
(24,19),-1.72426 # DEPENDENCYPART_ARC
(24,20),-1.67805 # DEPENDENCYPART_ARC
(24,21),-1.64871 # DEPENDENCYPART_ARC
(24,22),-1.3627 # DEPENDENCYPART_ARC
(24,23),-1.69248 # DEPENDENCYPART_ARC
