# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,6,12,0,12,15,13,15,16,17,18,21,19,23,21,0,
(21,23),2.57719 # DEPENDENCYPART_ARC
(21,24),0.243314 # DEPENDENCYPART_ARC
(22,1),-2.29542 # DEPENDENCYPART_ARC
(22,2),-3.39395 # DEPENDENCYPART_ARC
(22,3),-2.89656 # DEPENDENCYPART_ARC
(22,4),-1.8014 # DEPENDENCYPART_ARC
(22,5),-2.40826 # DEPENDENCYPART_ARC
(22,6),-3.16424 # DEPENDENCYPART_ARC
(22,7),-1.99108 # DEPENDENCYPART_ARC
(22,8),-2.86217 # DEPENDENCYPART_ARC
(22,9),-3.66863 # DEPENDENCYPART_ARC
(22,10),-3.00231 # DEPENDENCYPART_ARC
(22,11),-1.67241 # DEPENDENCYPART_ARC
(22,12),-2.94579 # DEPENDENCYPART_ARC
(22,13),-1.39184 # DEPENDENCYPART_ARC
(22,14),-1.45038 # DEPENDENCYPART_ARC
(22,15),-2.61894 # DEPENDENCYPART_ARC
(22,16),-1.07581 # DEPENDENCYPART_ARC
(22,17),-2.33103 # DEPENDENCYPART_ARC
(22,18),-2.37551 # DEPENDENCYPART_ARC
(22,19),-0.787128 # DEPENDENCYPART_ARC
(22,20),-0.251137 # DEPENDENCYPART_ARC
(22,21),-1.0055 # DEPENDENCYPART_ARC
(22,23),0.215913 # DEPENDENCYPART_ARC
(22,24),-0.40638 # DEPENDENCYPART_ARC
(23,1),-3.76829 # DEPENDENCYPART_ARC
(23,2),-4.26652 # DEPENDENCYPART_ARC
(23,3),-4.69843 # DEPENDENCYPART_ARC
(23,4),-1.439 # DEPENDENCYPART_ARC
(23,5),-3.24805 # DEPENDENCYPART_ARC
(23,6),-3.43432 # DEPENDENCYPART_ARC
(23,7),-2.21343 # DEPENDENCYPART_ARC
(23,8),-3.61162 # DEPENDENCYPART_ARC
(23,9),-4.4308 # DEPENDENCYPART_ARC
(23,10),-4.87236 # DEPENDENCYPART_ARC
(23,11),-1.31494 # DEPENDENCYPART_ARC
(23,12),-2.53291 # DEPENDENCYPART_ARC
(23,13),-1.31769 # DEPENDENCYPART_ARC
(23,14),-0.714157 # DEPENDENCYPART_ARC
(23,15),-2.26926 # DEPENDENCYPART_ARC
(23,16),-0.73884 # DEPENDENCYPART_ARC
(23,17),-2.44418 # DEPENDENCYPART_ARC
(23,18),-2.29898 # DEPENDENCYPART_ARC
(23,19),-0.29697 # DEPENDENCYPART_ARC
(23,20),0.765852 # DEPENDENCYPART_ARC
(23,21),-0.572055 # DEPENDENCYPART_ARC
(23,22),3.52805 # DEPENDENCYPART_ARC
(23,24),0.261966 # DEPENDENCYPART_ARC
(24,1),-2.65154 # DEPENDENCYPART_ARC
(24,2),-2.63513 # DEPENDENCYPART_ARC
(24,3),-3.44927 # DEPENDENCYPART_ARC
(24,4),-2.40147 # DEPENDENCYPART_ARC
(24,5),-2.01057 # DEPENDENCYPART_ARC
(24,6),-2.57471 # DEPENDENCYPART_ARC
(24,7),-2.53492 # DEPENDENCYPART_ARC
(24,8),-2.9049 # DEPENDENCYPART_ARC
(24,9),-2.3424 # DEPENDENCYPART_ARC
(24,10),-3.10675 # DEPENDENCYPART_ARC
(24,11),-2.30668 # DEPENDENCYPART_ARC
(24,12),-2.11913 # DEPENDENCYPART_ARC
(24,13),-1.83518 # DEPENDENCYPART_ARC
(24,14),-1.64288 # DEPENDENCYPART_ARC
(24,15),-2.18477 # DEPENDENCYPART_ARC
(24,16),-1.9704 # DEPENDENCYPART_ARC
(24,17),-2.0731 # DEPENDENCYPART_ARC
(24,18),-1.82097 # DEPENDENCYPART_ARC
(24,19),-1.83433 # DEPENDENCYPART_ARC
(24,20),-1.66205 # DEPENDENCYPART_ARC
(24,21),-1.79328 # DEPENDENCYPART_ARC
(24,22),-1.41425 # DEPENDENCYPART_ARC
(24,23),-1.74073 # DEPENDENCYPART_ARC
