# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,1,4,7,5,7,10,8,8,11,12,15,0,15,18,16,18,18,20,23,21,25,15,27,25,29,27,
(21,13),-4.78663 # DEPENDENCYPART_ARC
(21,14),-0.706869 # DEPENDENCYPART_ARC
(21,15),-0.347135 # DEPENDENCYPART_ARC
(21,16),-5.4173 # DEPENDENCYPART_ARC
(21,17),-1.72428 # DEPENDENCYPART_ARC
(21,18),-0.166534 # DEPENDENCYPART_ARC
(21,19),-3.45385 # DEPENDENCYPART_ARC
(21,20),-0.030784 # DEPENDENCYPART_ARC
(21,22),1.42494 # DEPENDENCYPART_ARC
(21,23),2.47523 # DEPENDENCYPART_ARC
(21,24),0.672803 # DEPENDENCYPART_ARC
(21,25),-2.39552 # DEPENDENCYPART_ARC
(21,26),-1.07427 # DEPENDENCYPART_ARC
(21,27),-2.87431 # DEPENDENCYPART_ARC
(21,28),-3.75174 # DEPENDENCYPART_ARC
(21,29),-0.913275 # DEPENDENCYPART_ARC
(22,1),-3.00553 # DEPENDENCYPART_ARC
(22,2),-1.89105 # DEPENDENCYPART_ARC
(22,3),-1.55562 # DEPENDENCYPART_ARC
(22,4),-1.95149 # DEPENDENCYPART_ARC
(22,5),-1.2034 # DEPENDENCYPART_ARC
(22,6),-2.47316 # DEPENDENCYPART_ARC
(22,7),-3.06788 # DEPENDENCYPART_ARC
(22,8),-3.30045 # DEPENDENCYPART_ARC
(22,9),-1.77377 # DEPENDENCYPART_ARC
(22,10),-1.52283 # DEPENDENCYPART_ARC
(22,11),-2.32004 # DEPENDENCYPART_ARC
(22,12),-2.30306 # DEPENDENCYPART_ARC
(22,13),-2.94432 # DEPENDENCYPART_ARC
(22,14),-1.22393 # DEPENDENCYPART_ARC
(22,15),-1.03666 # DEPENDENCYPART_ARC
(22,16),-2.90145 # DEPENDENCYPART_ARC
(22,17),-0.574445 # DEPENDENCYPART_ARC
(22,18),-0.928542 # DEPENDENCYPART_ARC
(22,19),-1.56536 # DEPENDENCYPART_ARC
(22,20),-0.22248 # DEPENDENCYPART_ARC
(22,21),-0.611092 # DEPENDENCYPART_ARC
(22,23),-0.568075 # DEPENDENCYPART_ARC
(22,24),-0.286612 # DEPENDENCYPART_ARC
(22,25),-1.20118 # DEPENDENCYPART_ARC
(22,27),-1.48548 # DEPENDENCYPART_ARC
(22,28),-2.44215 # DEPENDENCYPART_ARC
(22,29),-1.36468 # DEPENDENCYPART_ARC
(23,1),-3.31451 # DEPENDENCYPART_ARC
(23,2),-0.680217 # DEPENDENCYPART_ARC
(23,3),-1.07728 # DEPENDENCYPART_ARC
(23,4),-1.03997 # DEPENDENCYPART_ARC
(23,5),-0.717804 # DEPENDENCYPART_ARC
(23,6),-2.86889 # DEPENDENCYPART_ARC
(23,7),-2.54304 # DEPENDENCYPART_ARC
(23,8),-2.41654 # DEPENDENCYPART_ARC
(23,9),-4.24561 # DEPENDENCYPART_ARC
(23,10),-1.15149 # DEPENDENCYPART_ARC
(23,11),-2.19773 # DEPENDENCYPART_ARC
(23,12),-2.36291 # DEPENDENCYPART_ARC
(23,13),-2.03974 # DEPENDENCYPART_ARC
(23,14),-0.721448 # DEPENDENCYPART_ARC
(23,15),-0.565154 # DEPENDENCYPART_ARC
(23,16),-2.14445 # DEPENDENCYPART_ARC
(23,17),-1.11321 # DEPENDENCYPART_ARC
(23,18),-1.41107 # DEPENDENCYPART_ARC
(23,19),-1.30068 # DEPENDENCYPART_ARC
(23,20),0.0639406 # DEPENDENCYPART_ARC
(23,21),-0.620464 # DEPENDENCYPART_ARC
(23,22),4.52881 # DEPENDENCYPART_ARC
(23,24),0.289581 # DEPENDENCYPART_ARC
(23,25),-0.6551 # DEPENDENCYPART_ARC
(23,26),-1.08728 # DEPENDENCYPART_ARC
(23,27),-2.1736 # DEPENDENCYPART_ARC
(23,28),-2.26857 # DEPENDENCYPART_ARC
(23,29),-1.09603 # DEPENDENCYPART_ARC
(24,1),-1.89621 # DEPENDENCYPART_ARC
(24,2),-1.70924 # DEPENDENCYPART_ARC
(24,3),-1.22608 # DEPENDENCYPART_ARC
(24,4),-1.1136 # DEPENDENCYPART_ARC
(24,5),-1.10753 # DEPENDENCYPART_ARC
(24,7),-1.19022 # DEPENDENCYPART_ARC
(24,8),-0.990025 # DEPENDENCYPART_ARC
(24,10),-1.18188 # DEPENDENCYPART_ARC
(24,11),-0.887524 # DEPENDENCYPART_ARC
(24,12),-0.627055 # DEPENDENCYPART_ARC
(24,13),-0.939313 # DEPENDENCYPART_ARC
(24,14),-0.645485 # DEPENDENCYPART_ARC
(24,15),-0.409277 # DEPENDENCYPART_ARC
(24,16),-0.508018 # DEPENDENCYPART_ARC
(24,18),-0.458504 # DEPENDENCYPART_ARC
(24,19),-0.5782 # DEPENDENCYPART_ARC
(24,20),-0.283021 # DEPENDENCYPART_ARC
(24,21),-0.210658 # DEPENDENCYPART_ARC
(24,22),-0.12318 # DEPENDENCYPART_ARC
(24,23),-0.075495 # DEPENDENCYPART_ARC
(24,25),-0.245076 # DEPENDENCYPART_ARC
(24,26),-1.29799 # DEPENDENCYPART_ARC
(24,27),-1.33111 # DEPENDENCYPART_ARC
(24,29),-1.5883 # DEPENDENCYPART_ARC
(25,1),-0.614443 # DEPENDENCYPART_ARC
(25,2),-2.19564 # DEPENDENCYPART_ARC
(25,3),-0.653393 # DEPENDENCYPART_ARC
(25,4),-0.444421 # DEPENDENCYPART_ARC
(25,5),-0.977892 # DEPENDENCYPART_ARC
(25,6),-1.89738 # DEPENDENCYPART_ARC
(25,7),-1.64785 # DEPENDENCYPART_ARC
(25,8),-3.05467 # DEPENDENCYPART_ARC
(25,9),-2.32011 # DEPENDENCYPART_ARC
(25,10),-0.347744 # DEPENDENCYPART_ARC
(25,11),-1.48232 # DEPENDENCYPART_ARC
(25,12),-2.4471 # DEPENDENCYPART_ARC
(25,13),-3.2623 # DEPENDENCYPART_ARC
(25,14),0.170299 # DEPENDENCYPART_ARC
(25,15),1.16265 # DEPENDENCYPART_ARC
(25,16),-3.20005 # DEPENDENCYPART_ARC
(25,17),-1.62393 # DEPENDENCYPART_ARC
(25,18),1.04804 # DEPENDENCYPART_ARC
(25,19),-2.00099 # DEPENDENCYPART_ARC
(25,20),0.814708 # DEPENDENCYPART_ARC
(25,21),-1.87365 # DEPENDENCYPART_ARC
(25,22),-0.107921 # DEPENDENCYPART_ARC
(25,23),0.924397 # DEPENDENCYPART_ARC
(25,24),1.78201 # DEPENDENCYPART_ARC
(25,26),1.07287 # DEPENDENCYPART_ARC
(25,27),3.84137 # DEPENDENCYPART_ARC
(25,28),-2.07973 # DEPENDENCYPART_ARC
(25,29),0.346415 # DEPENDENCYPART_ARC
(26,1),-2.28866 # DEPENDENCYPART_ARC
(26,6),-1.68812 # DEPENDENCYPART_ARC
(26,7),-2.11289 # DEPENDENCYPART_ARC
(26,8),-2.13267 # DEPENDENCYPART_ARC
(26,9),-1.68036 # DEPENDENCYPART_ARC
(26,12),-2.09811 # DEPENDENCYPART_ARC
(26,13),-2.13643 # DEPENDENCYPART_ARC
(26,14),-1.63388 # DEPENDENCYPART_ARC
(26,16),-1.91081 # DEPENDENCYPART_ARC
(26,17),-1.40729 # DEPENDENCYPART_ARC
(26,18),-1.88908 # DEPENDENCYPART_ARC
(26,19),-1.80831 # DEPENDENCYPART_ARC
(26,21),-1.61712 # DEPENDENCYPART_ARC
(26,23),-1.32894 # DEPENDENCYPART_ARC
(26,24),-0.72821 # DEPENDENCYPART_ARC
(26,25),-0.35299 # DEPENDENCYPART_ARC
(26,27),0.32511 # DEPENDENCYPART_ARC
(26,28),-0.717723 # DEPENDENCYPART_ARC
(27,1),-0.818728 # DEPENDENCYPART_ARC
(27,2),-2.82807 # DEPENDENCYPART_ARC
(27,3),-1.42123 # DEPENDENCYPART_ARC
(27,4),-1.36538 # DEPENDENCYPART_ARC
(27,5),-2.18689 # DEPENDENCYPART_ARC
(27,6),-2.80943 # DEPENDENCYPART_ARC
(27,7),-2.08903 # DEPENDENCYPART_ARC
(27,8),-3.42407 # DEPENDENCYPART_ARC
(27,9),-3.21441 # DEPENDENCYPART_ARC
(27,10),-1.00178 # DEPENDENCYPART_ARC
(27,11),-2.31124 # DEPENDENCYPART_ARC
(27,12),-2.98564 # DEPENDENCYPART_ARC
(27,13),-3.88103 # DEPENDENCYPART_ARC
(27,14),-1.202 # DEPENDENCYPART_ARC
(27,15),0.329519 # DEPENDENCYPART_ARC
(27,16),-5.29274 # DEPENDENCYPART_ARC
(27,17),-2.38542 # DEPENDENCYPART_ARC
(27,18),0.203579 # DEPENDENCYPART_ARC
(27,19),-3.05188 # DEPENDENCYPART_ARC
(27,20),0.0318503 # DEPENDENCYPART_ARC
(27,21),-4.44983 # DEPENDENCYPART_ARC
(27,22),-2.5613 # DEPENDENCYPART_ARC
(27,23),0.255906 # DEPENDENCYPART_ARC
(27,24),-0.124065 # DEPENDENCYPART_ARC
(27,25),-0.806266 # DEPENDENCYPART_ARC
(27,26),2.52975 # DEPENDENCYPART_ARC
(27,28),-1.08485 # DEPENDENCYPART_ARC
(27,29),1.12265 # DEPENDENCYPART_ARC
(28,1),-2.363 # DEPENDENCYPART_ARC
(28,4),-1.96617 # DEPENDENCYPART_ARC
(28,7),-2.46085 # DEPENDENCYPART_ARC
(28,8),-2.47295 # DEPENDENCYPART_ARC
(28,12),-2.38613 # DEPENDENCYPART_ARC
(28,13),-2.47026 # DEPENDENCYPART_ARC
(28,18),-2.44604 # DEPENDENCYPART_ARC
(28,19),-2.38576 # DEPENDENCYPART_ARC
(28,20),-1.2478 # DEPENDENCYPART_ARC
(28,23),-1.95925 # DEPENDENCYPART_ARC
(29,1),-1.89264 # DEPENDENCYPART_ARC
(29,3),-1.67162 # DEPENDENCYPART_ARC
(29,6),-1.69305 # DEPENDENCYPART_ARC
(29,7),-1.70978 # DEPENDENCYPART_ARC
(29,8),-1.77753 # DEPENDENCYPART_ARC
(29,9),-0.841599 # DEPENDENCYPART_ARC
(29,12),-1.54914 # DEPENDENCYPART_ARC
(29,13),-1.57331 # DEPENDENCYPART_ARC
(29,14),-1.16225 # DEPENDENCYPART_ARC
(29,16),-1.72695 # DEPENDENCYPART_ARC
(29,17),-0.886912 # DEPENDENCYPART_ARC
(29,18),-1.55613 # DEPENDENCYPART_ARC
(29,19),-1.56148 # DEPENDENCYPART_ARC
(29,20),-0.775778 # DEPENDENCYPART_ARC
(29,21),-1.41854 # DEPENDENCYPART_ARC
(29,22),-1.15692 # DEPENDENCYPART_ARC
(29,23),-1.34269 # DEPENDENCYPART_ARC
(29,24),-1.014 # DEPENDENCYPART_ARC
(29,25),-1.01466 # DEPENDENCYPART_ARC
(29,26),-0.277086 # DEPENDENCYPART_ARC
(29,27),-0.180846 # DEPENDENCYPART_ARC
(29,28),2.08605 # DEPENDENCYPART_ARC
