# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,10,9,10,15,2,2,14,15,12,17,15,23,20,15,22,23,20,25,23,28,28,25,28,29,32,30,0,
(18,26),-0.845115 # DEPENDENCYPART_ARC
(18,27),-1.02272 # DEPENDENCYPART_ARC
(18,28),-0.717719 # DEPENDENCYPART_ARC
(18,29),-1.13246 # DEPENDENCYPART_ARC
(18,30),-0.618281 # DEPENDENCYPART_ARC
(18,32),-0.79947 # DEPENDENCYPART_ARC
(18,33),-0.192628 # DEPENDENCYPART_ARC
(19,2),-1.67348 # DEPENDENCYPART_ARC
(19,5),-1.81355 # DEPENDENCYPART_ARC
(19,10),-1.57125 # DEPENDENCYPART_ARC
(19,11),-1.23331 # DEPENDENCYPART_ARC
(19,14),-1.46684 # DEPENDENCYPART_ARC
(19,17),-0.955439 # DEPENDENCYPART_ARC
(19,18),-0.0345016 # DEPENDENCYPART_ARC
(19,20),0.501746 # DEPENDENCYPART_ARC
(19,21),-0.520751 # DEPENDENCYPART_ARC
(19,22),-0.527126 # DEPENDENCYPART_ARC
(19,24),-1.12384 # DEPENDENCYPART_ARC
(19,25),-1.22752 # DEPENDENCYPART_ARC
(19,28),-1.33834 # DEPENDENCYPART_ARC
(19,31),-1.35438 # DEPENDENCYPART_ARC
(19,32),-1.38802 # DEPENDENCYPART_ARC
(19,33),-0.588156 # DEPENDENCYPART_ARC
(20,1),-0.0700729 # DEPENDENCYPART_ARC
(20,2),-0.955615 # DEPENDENCYPART_ARC
(20,3),-0.941085 # DEPENDENCYPART_ARC
(20,4),-2.5333 # DEPENDENCYPART_ARC
(20,5),-2.12854 # DEPENDENCYPART_ARC
(20,6),-0.230824 # DEPENDENCYPART_ARC
(20,7),-1.09488 # DEPENDENCYPART_ARC
(20,8),-3.09663 # DEPENDENCYPART_ARC
(20,9),-1.94443 # DEPENDENCYPART_ARC
(20,10),-0.556116 # DEPENDENCYPART_ARC
(20,11),0.239323 # DEPENDENCYPART_ARC
(20,12),0.345161 # DEPENDENCYPART_ARC
(20,13),-1.81532 # DEPENDENCYPART_ARC
(20,14),-1.70079 # DEPENDENCYPART_ARC
(20,15),0.0498993 # DEPENDENCYPART_ARC
(20,16),-1.09588 # DEPENDENCYPART_ARC
(20,17),-0.756209 # DEPENDENCYPART_ARC
(20,18),0.612037 # DEPENDENCYPART_ARC
(20,19),2.64624 # DEPENDENCYPART_ARC
(20,21),0.127198 # DEPENDENCYPART_ARC
(20,22),2.73846 # DEPENDENCYPART_ARC
(20,23),1.48208 # DEPENDENCYPART_ARC
(20,24),-0.977103 # DEPENDENCYPART_ARC
(20,25),1.20155 # DEPENDENCYPART_ARC
(20,26),-2.43599 # DEPENDENCYPART_ARC
(20,27),-2.86672 # DEPENDENCYPART_ARC
(20,28),-2.16373 # DEPENDENCYPART_ARC
(20,29),-2.26723 # DEPENDENCYPART_ARC
(20,30),-0.13151 # DEPENDENCYPART_ARC
(20,31),-1.87031 # DEPENDENCYPART_ARC
(20,32),-0.863686 # DEPENDENCYPART_ARC
(20,33),0.332243 # DEPENDENCYPART_ARC
(21,1),-1.62726 # DEPENDENCYPART_ARC
(21,5),-2.49082 # DEPENDENCYPART_ARC
(21,10),-2.41003 # DEPENDENCYPART_ARC
(21,14),-2.28621 # DEPENDENCYPART_ARC
(21,15),-1.09967 # DEPENDENCYPART_ARC
(21,17),-1.73145 # DEPENDENCYPART_ARC
(21,22),-0.129751 # DEPENDENCYPART_ARC
(21,23),-0.078466 # DEPENDENCYPART_ARC
(21,25),-1.29572 # DEPENDENCYPART_ARC
(21,28),-1.60435 # DEPENDENCYPART_ARC
(21,32),-1.97527 # DEPENDENCYPART_ARC
(22,1),-1.81739 # DEPENDENCYPART_ARC
(22,2),-4.0632 # DEPENDENCYPART_ARC
(22,3),-1.42229 # DEPENDENCYPART_ARC
(22,4),-2.94269 # DEPENDENCYPART_ARC
(22,5),-3.31571 # DEPENDENCYPART_ARC
(22,6),-1.33812 # DEPENDENCYPART_ARC
(22,7),-3.09751 # DEPENDENCYPART_ARC
(22,8),-3.27822 # DEPENDENCYPART_ARC
(22,9),-2.81953 # DEPENDENCYPART_ARC
(22,10),-3.12829 # DEPENDENCYPART_ARC
(22,11),-1.50125 # DEPENDENCYPART_ARC
(22,12),-1.12383 # DEPENDENCYPART_ARC
(22,13),-1.98979 # DEPENDENCYPART_ARC
(22,14),-2.28043 # DEPENDENCYPART_ARC
(22,15),-1.18911 # DEPENDENCYPART_ARC
(22,16),-0.494922 # DEPENDENCYPART_ARC
(22,17),-1.34444 # DEPENDENCYPART_ARC
(22,18),-0.972249 # DEPENDENCYPART_ARC
(22,19),-0.471683 # DEPENDENCYPART_ARC
(22,20),-1.73586 # DEPENDENCYPART_ARC
(22,21),3.38412 # DEPENDENCYPART_ARC
(22,23),0.424296 # DEPENDENCYPART_ARC
(22,24),-0.888585 # DEPENDENCYPART_ARC
(22,25),-1.10269 # DEPENDENCYPART_ARC
(22,26),-1.19978 # DEPENDENCYPART_ARC
(22,27),-1.08382 # DEPENDENCYPART_ARC
(22,28),-0.843687 # DEPENDENCYPART_ARC
(22,29),-1.38159 # DEPENDENCYPART_ARC
(22,30),-0.484403 # DEPENDENCYPART_ARC
(22,31),-2.16202 # DEPENDENCYPART_ARC
(22,32),-2.86141 # DEPENDENCYPART_ARC
(22,33),-0.6666 # DEPENDENCYPART_ARC
(23,1),-0.237409 # DEPENDENCYPART_ARC
(23,2),-1.57081 # DEPENDENCYPART_ARC
(23,3),-0.582729 # DEPENDENCYPART_ARC
(23,4),-0.827984 # DEPENDENCYPART_ARC
(23,5),-0.082718 # DEPENDENCYPART_ARC
(23,6),-0.250879 # DEPENDENCYPART_ARC
(23,7),-0.0204966 # DEPENDENCYPART_ARC
(23,8),-0.600892 # DEPENDENCYPART_ARC
(23,9),0.0913863 # DEPENDENCYPART_ARC
(23,10),0.550319 # DEPENDENCYPART_ARC
(23,11),0.117715 # DEPENDENCYPART_ARC
(23,12),-0.0669261 # DEPENDENCYPART_ARC
(23,13),-0.122677 # DEPENDENCYPART_ARC
(23,14),1.33365 # DEPENDENCYPART_ARC
(23,15),0.635214 # DEPENDENCYPART_ARC
(23,16),0.0751516 # DEPENDENCYPART_ARC
(23,17),1.39013 # DEPENDENCYPART_ARC
(23,18),0.995759 # DEPENDENCYPART_ARC
(23,19),0.404063 # DEPENDENCYPART_ARC
(23,20),0.492843 # DEPENDENCYPART_ARC
(23,21),0.924587 # DEPENDENCYPART_ARC
(23,22),2.8742 # DEPENDENCYPART_ARC
(23,24),0.474408 # DEPENDENCYPART_ARC
(23,25),1.79396 # DEPENDENCYPART_ARC
(23,26),-0.280302 # DEPENDENCYPART_ARC
(23,27),0.470777 # DEPENDENCYPART_ARC
(23,28),0.986929 # DEPENDENCYPART_ARC
(23,29),-0.027051 # DEPENDENCYPART_ARC
(23,30),0.324625 # DEPENDENCYPART_ARC
(23,31),-0.65255 # DEPENDENCYPART_ARC
(23,32),0.0105119 # DEPENDENCYPART_ARC
(23,33),0.286464 # DEPENDENCYPART_ARC
(24,1),-2.27029 # DEPENDENCYPART_ARC
(24,5),-2.87608 # DEPENDENCYPART_ARC
(24,10),-2.85096 # DEPENDENCYPART_ARC
(24,14),-2.80115 # DEPENDENCYPART_ARC
(24,15),-1.57738 # DEPENDENCYPART_ARC
(24,17),-2.33097 # DEPENDENCYPART_ARC
(24,22),-1.51728 # DEPENDENCYPART_ARC
(24,23),-0.409909 # DEPENDENCYPART_ARC
(24,25),-0.186284 # DEPENDENCYPART_ARC
(24,28),-1.09441 # DEPENDENCYPART_ARC
(24,32),-1.98267 # DEPENDENCYPART_ARC
(25,1),-1.99309 # DEPENDENCYPART_ARC
(25,2),-4.5325 # DEPENDENCYPART_ARC
(25,3),-1.81634 # DEPENDENCYPART_ARC
(25,4),-3.40406 # DEPENDENCYPART_ARC
(25,5),-3.65805 # DEPENDENCYPART_ARC
(25,6),-1.55283 # DEPENDENCYPART_ARC
(25,7),-3.91646 # DEPENDENCYPART_ARC
(25,8),-3.64654 # DEPENDENCYPART_ARC
(25,9),-3.13296 # DEPENDENCYPART_ARC
(25,10),-3.54943 # DEPENDENCYPART_ARC
(25,11),-1.71521 # DEPENDENCYPART_ARC
(25,12),-1.51702 # DEPENDENCYPART_ARC
(25,13),-3.03495 # DEPENDENCYPART_ARC
(25,14),-2.84303 # DEPENDENCYPART_ARC
(25,15),-1.6476 # DEPENDENCYPART_ARC
(25,16),-1.24919 # DEPENDENCYPART_ARC
(25,17),-2.15877 # DEPENDENCYPART_ARC
(25,18),-1.54834 # DEPENDENCYPART_ARC
(25,19),-1.33537 # DEPENDENCYPART_ARC
(25,20),-3.15603 # DEPENDENCYPART_ARC
(25,21),0.878733 # DEPENDENCYPART_ARC
(25,22),-0.699747 # DEPENDENCYPART_ARC
(25,23),0.177035 # DEPENDENCYPART_ARC
(25,24),2.94206 # DEPENDENCYPART_ARC
(25,26),0.650026 # DEPENDENCYPART_ARC
(25,27),0.704874 # DEPENDENCYPART_ARC
(25,28),2.05971 # DEPENDENCYPART_ARC
(25,29),0.189422 # DEPENDENCYPART_ARC
(25,30),0.700013 # DEPENDENCYPART_ARC
(25,31),-1.08736 # DEPENDENCYPART_ARC
(25,32),-0.979677 # DEPENDENCYPART_ARC
(25,33),0.254256 # DEPENDENCYPART_ARC
(26,1),-1.71411 # DEPENDENCYPART_ARC
(26,3),-1.19267 # DEPENDENCYPART_ARC
(26,6),-0.943157 # DEPENDENCYPART_ARC
(26,12),-0.959185 # DEPENDENCYPART_ARC
(26,30),-0.320752 # DEPENDENCYPART_ARC
(27,1),-2.59758 # DEPENDENCYPART_ARC
(27,2),-3.05903 # DEPENDENCYPART_ARC
(27,3),-1.50173 # DEPENDENCYPART_ARC
(27,4),-3.47173 # DEPENDENCYPART_ARC
(27,5),-3.22592 # DEPENDENCYPART_ARC
(27,6),-1.45001 # DEPENDENCYPART_ARC
(27,7),-1.23885 # DEPENDENCYPART_ARC
(27,8),-3.05346 # DEPENDENCYPART_ARC
(27,9),-3.02107 # DEPENDENCYPART_ARC
(27,10),-2.28975 # DEPENDENCYPART_ARC
(27,11),-1.33568 # DEPENDENCYPART_ARC
(27,12),-1.24596 # DEPENDENCYPART_ARC
(27,13),-1.8598 # DEPENDENCYPART_ARC
(27,14),-2.73799 # DEPENDENCYPART_ARC
(27,15),-1.28634 # DEPENDENCYPART_ARC
(27,16),-1.94722 # DEPENDENCYPART_ARC
(27,17),-3.26748 # DEPENDENCYPART_ARC
(27,18),-1.18622 # DEPENDENCYPART_ARC
(27,20),-2.56907 # DEPENDENCYPART_ARC
(27,21),-1.5354 # DEPENDENCYPART_ARC
(27,22),-2.53729 # DEPENDENCYPART_ARC
(27,23),-0.753312 # DEPENDENCYPART_ARC
(27,24),-0.467254 # DEPENDENCYPART_ARC
(27,25),-1.72967 # DEPENDENCYPART_ARC
(27,26),0.839057 # DEPENDENCYPART_ARC
(27,28),1.39952 # DEPENDENCYPART_ARC
(27,29),-0.689804 # DEPENDENCYPART_ARC
(27,30),0.097631 # DEPENDENCYPART_ARC
(27,31),-1.60658 # DEPENDENCYPART_ARC
(27,32),-1.91045 # DEPENDENCYPART_ARC
(27,33),-0.259802 # DEPENDENCYPART_ARC
(28,1),-2.00961 # DEPENDENCYPART_ARC
(28,2),-3.34577 # DEPENDENCYPART_ARC
(28,3),-1.79489 # DEPENDENCYPART_ARC
(28,4),-5.01623 # DEPENDENCYPART_ARC
(28,5),-5.68384 # DEPENDENCYPART_ARC
(28,6),-1.60652 # DEPENDENCYPART_ARC
(28,7),-5.52281 # DEPENDENCYPART_ARC
(28,8),-3.92182 # DEPENDENCYPART_ARC
(28,9),-4.95287 # DEPENDENCYPART_ARC
(28,10),-4.85021 # DEPENDENCYPART_ARC
(28,11),-1.5508 # DEPENDENCYPART_ARC
(28,12),-1.26319 # DEPENDENCYPART_ARC
(28,13),-5.47354 # DEPENDENCYPART_ARC
(28,14),-4.801 # DEPENDENCYPART_ARC
(28,15),-1.7386 # DEPENDENCYPART_ARC
(28,16),-4.14392 # DEPENDENCYPART_ARC
(28,17),-4.29934 # DEPENDENCYPART_ARC
(28,18),-1.50266 # DEPENDENCYPART_ARC
(28,19),-1.33899 # DEPENDENCYPART_ARC
(28,20),-2.93222 # DEPENDENCYPART_ARC
(28,21),-2.46699 # DEPENDENCYPART_ARC
(28,22),-3.31317 # DEPENDENCYPART_ARC
(28,23),-0.736677 # DEPENDENCYPART_ARC
(28,24),-1.34037 # DEPENDENCYPART_ARC
(28,25),-2.40452 # DEPENDENCYPART_ARC
(28,26),2.00586 # DEPENDENCYPART_ARC
(28,27),2.06717 # DEPENDENCYPART_ARC
(28,29),1.36192 # DEPENDENCYPART_ARC
(28,30),0.597443 # DEPENDENCYPART_ARC
(28,31),-1.0596 # DEPENDENCYPART_ARC
(28,32),-0.775989 # DEPENDENCYPART_ARC
(28,33),-0.000268196 # DEPENDENCYPART_ARC
(29,1),-2.11366 # DEPENDENCYPART_ARC
(29,2),-2.6681 # DEPENDENCYPART_ARC
(29,3),-0.995831 # DEPENDENCYPART_ARC
(29,4),-3.18702 # DEPENDENCYPART_ARC
(29,5),-2.82873 # DEPENDENCYPART_ARC
(29,6),-0.974569 # DEPENDENCYPART_ARC
(29,7),-0.893476 # DEPENDENCYPART_ARC
(29,8),-2.87917 # DEPENDENCYPART_ARC
(29,9),-2.53294 # DEPENDENCYPART_ARC
(29,10),-1.83009 # DEPENDENCYPART_ARC
(29,11),-0.866326 # DEPENDENCYPART_ARC
(29,12),-0.720837 # DEPENDENCYPART_ARC
(29,13),-1.27395 # DEPENDENCYPART_ARC
(29,14),-2.2069 # DEPENDENCYPART_ARC
(29,15),-0.929493 # DEPENDENCYPART_ARC
(29,16),-1.4788 # DEPENDENCYPART_ARC
(29,17),-2.88364 # DEPENDENCYPART_ARC
(29,18),-0.812674 # DEPENDENCYPART_ARC
(29,20),-2.13092 # DEPENDENCYPART_ARC
(29,21),-0.98112 # DEPENDENCYPART_ARC
(29,22),-2.2713 # DEPENDENCYPART_ARC
(29,23),-0.5064 # DEPENDENCYPART_ARC
(29,24),-0.1729 # DEPENDENCYPART_ARC
(29,25),-1.87406 # DEPENDENCYPART_ARC
(29,26),0.235062 # DEPENDENCYPART_ARC
(29,27),0.358134 # DEPENDENCYPART_ARC
(29,28),-1.05067 # DEPENDENCYPART_ARC
(29,30),1.74876 # DEPENDENCYPART_ARC
(29,31),-0.61196 # DEPENDENCYPART_ARC
(29,32),-0.965338 # DEPENDENCYPART_ARC
(29,33),0.345891 # DEPENDENCYPART_ARC
(30,1),-1.24344 # DEPENDENCYPART_ARC
(30,2),-1.56549 # DEPENDENCYPART_ARC
(30,3),-0.531557 # DEPENDENCYPART_ARC
(30,4),-1.92881 # DEPENDENCYPART_ARC
(30,5),-2.05221 # DEPENDENCYPART_ARC
(30,6),-1.03287 # DEPENDENCYPART_ARC
(30,7),-1.42939 # DEPENDENCYPART_ARC
(30,8),-1.9197 # DEPENDENCYPART_ARC
(30,9),-1.88129 # DEPENDENCYPART_ARC
(30,10),-1.69883 # DEPENDENCYPART_ARC
(30,11),-0.838287 # DEPENDENCYPART_ARC
(30,12),-0.83098 # DEPENDENCYPART_ARC
(30,13),-1.2208 # DEPENDENCYPART_ARC
(30,14),-1.71752 # DEPENDENCYPART_ARC
(30,15),-0.912219 # DEPENDENCYPART_ARC
(30,16),-1.20508 # DEPENDENCYPART_ARC
(30,17),-1.77985 # DEPENDENCYPART_ARC
(30,18),-0.820017 # DEPENDENCYPART_ARC
(30,19),-0.949751 # DEPENDENCYPART_ARC
(30,20),-1.18152 # DEPENDENCYPART_ARC
(30,21),-0.78924 # DEPENDENCYPART_ARC
(30,22),-1.43111 # DEPENDENCYPART_ARC
(30,23),-0.57325 # DEPENDENCYPART_ARC
(30,24),-0.735276 # DEPENDENCYPART_ARC
(30,25),-1.24097 # DEPENDENCYPART_ARC
(30,26),-0.435382 # DEPENDENCYPART_ARC
(30,27),-0.799057 # DEPENDENCYPART_ARC
(30,28),-0.820041 # DEPENDENCYPART_ARC
(30,29),0.159092 # DEPENDENCYPART_ARC
(30,31),0.325247 # DEPENDENCYPART_ARC
(30,32),2.75215 # DEPENDENCYPART_ARC
(30,33),0.340348 # DEPENDENCYPART_ARC
(31,1),-2.35976 # DEPENDENCYPART_ARC
(31,5),-2.72167 # DEPENDENCYPART_ARC
(31,10),-2.66335 # DEPENDENCYPART_ARC
(31,14),-2.55365 # DEPENDENCYPART_ARC
(31,15),-1.76047 # DEPENDENCYPART_ARC
(31,17),-2.80966 # DEPENDENCYPART_ARC
(31,22),-2.4026 # DEPENDENCYPART_ARC
(31,23),-1.51333 # DEPENDENCYPART_ARC
(31,25),-2.36626 # DEPENDENCYPART_ARC
(31,28),-2.45097 # DEPENDENCYPART_ARC
(31,32),0.100693 # DEPENDENCYPART_ARC
(32,1),-1.86657 # DEPENDENCYPART_ARC
(32,2),-4.00154 # DEPENDENCYPART_ARC
(32,3),-1.75948 # DEPENDENCYPART_ARC
(32,4),-3.43191 # DEPENDENCYPART_ARC
(32,5),-3.39482 # DEPENDENCYPART_ARC
(32,6),-1.67831 # DEPENDENCYPART_ARC
(32,7),-3.97696 # DEPENDENCYPART_ARC
(32,8),-3.47469 # DEPENDENCYPART_ARC
(32,9),-2.66824 # DEPENDENCYPART_ARC
(32,10),-3.27183 # DEPENDENCYPART_ARC
(32,11),-1.55304 # DEPENDENCYPART_ARC
(32,12),-1.34569 # DEPENDENCYPART_ARC
(32,13),-3.33081 # DEPENDENCYPART_ARC
(32,14),-2.42786 # DEPENDENCYPART_ARC
(32,15),-1.77185 # DEPENDENCYPART_ARC
(32,16),-3.43973 # DEPENDENCYPART_ARC
(32,17),-3.19205 # DEPENDENCYPART_ARC
(32,18),-1.43899 # DEPENDENCYPART_ARC
(32,19),-1.53871 # DEPENDENCYPART_ARC
(32,20),-3.44621 # DEPENDENCYPART_ARC
(32,21),-1.99156 # DEPENDENCYPART_ARC
(32,22),-2.31104 # DEPENDENCYPART_ARC
(32,23),-1.09795 # DEPENDENCYPART_ARC
(32,24),-1.43833 # DEPENDENCYPART_ARC
(32,25),-1.96767 # DEPENDENCYPART_ARC
(32,26),-1.08486 # DEPENDENCYPART_ARC
(32,27),-0.883528 # DEPENDENCYPART_ARC
(32,28),-2.30612 # DEPENDENCYPART_ARC
(32,29),-0.710816 # DEPENDENCYPART_ARC
(32,30),0.292374 # DEPENDENCYPART_ARC
(32,31),3.2932 # DEPENDENCYPART_ARC
(32,33),0.0346724 # DEPENDENCYPART_ARC
(33,1),-2.713 # DEPENDENCYPART_ARC
(33,2),-3.55969 # DEPENDENCYPART_ARC
(33,3),-4.14447 # DEPENDENCYPART_ARC
(33,4),-2.55831 # DEPENDENCYPART_ARC
(33,5),-3.35684 # DEPENDENCYPART_ARC
(33,6),-4.09145 # DEPENDENCYPART_ARC
(33,7),-2.60076 # DEPENDENCYPART_ARC
(33,8),-2.67335 # DEPENDENCYPART_ARC
(33,9),-3.20573 # DEPENDENCYPART_ARC
(33,10),-3.31538 # DEPENDENCYPART_ARC
(33,11),-3.14662 # DEPENDENCYPART_ARC
(33,12),-3.76848 # DEPENDENCYPART_ARC
(33,13),-1.9311 # DEPENDENCYPART_ARC
(33,14),-3.05261 # DEPENDENCYPART_ARC
(33,15),-2.29555 # DEPENDENCYPART_ARC
(33,16),-2.53558 # DEPENDENCYPART_ARC
(33,17),-3.09124 # DEPENDENCYPART_ARC
(33,18),-2.57775 # DEPENDENCYPART_ARC
(33,19),-1.96014 # DEPENDENCYPART_ARC
(33,20),-2.60748 # DEPENDENCYPART_ARC
(33,22),-2.5712 # DEPENDENCYPART_ARC
(33,23),-2.0203 # DEPENDENCYPART_ARC
(33,25),-2.31381 # DEPENDENCYPART_ARC
(33,26),-1.8882 # DEPENDENCYPART_ARC
(33,27),-2.11778 # DEPENDENCYPART_ARC
(33,28),-2.26911 # DEPENDENCYPART_ARC
(33,29),-1.97024 # DEPENDENCYPART_ARC
(33,30),-1.68321 # DEPENDENCYPART_ARC
(33,32),-1.91172 # DEPENDENCYPART_ARC
