# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=25,1,2,2,6,4,6,7,10,8,1,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(18,24),-1.19668 # DEPENDENCYPART_ARC
(18,25),-0.831435 # DEPENDENCYPART_ARC
(18,27),-1.29446 # DEPENDENCYPART_ARC
(18,28),-1.12751 # DEPENDENCYPART_ARC
(18,29),-1.19188 # DEPENDENCYPART_ARC
(18,31),-1.2344 # DEPENDENCYPART_ARC
(18,32),-0.547486 # DEPENDENCYPART_ARC
(19,3),-1.47712 # DEPENDENCYPART_ARC
(19,4),-1.06715 # DEPENDENCYPART_ARC
(19,6),-1.64482 # DEPENDENCYPART_ARC
(19,7),-1.98475 # DEPENDENCYPART_ARC
(19,10),-2.00519 # DEPENDENCYPART_ARC
(19,12),-1.40913 # DEPENDENCYPART_ARC
(19,14),-1.64522 # DEPENDENCYPART_ARC
(19,15),-0.867714 # DEPENDENCYPART_ARC
(19,17),-1.07677 # DEPENDENCYPART_ARC
(19,20),-0.137341 # DEPENDENCYPART_ARC
(19,24),-1.79 # DEPENDENCYPART_ARC
(19,27),-2.74588 # DEPENDENCYPART_ARC
(19,28),-2.31225 # DEPENDENCYPART_ARC
(19,29),-1.96436 # DEPENDENCYPART_ARC
(19,31),-2.11598 # DEPENDENCYPART_ARC
(20,1),-1.50428 # DEPENDENCYPART_ARC
(20,2),-3.03913 # DEPENDENCYPART_ARC
(20,3),-0.654067 # DEPENDENCYPART_ARC
(20,4),-1.11116 # DEPENDENCYPART_ARC
(20,5),-1.01501 # DEPENDENCYPART_ARC
(20,6),-1.73245 # DEPENDENCYPART_ARC
(20,7),-2.72207 # DEPENDENCYPART_ARC
(20,8),-0.906849 # DEPENDENCYPART_ARC
(20,9),-2.74848 # DEPENDENCYPART_ARC
(20,10),-3.00768 # DEPENDENCYPART_ARC
(20,11),-0.943285 # DEPENDENCYPART_ARC
(20,12),-1.04124 # DEPENDENCYPART_ARC
(20,13),-1.21854 # DEPENDENCYPART_ARC
(20,14),-2.05188 # DEPENDENCYPART_ARC
(20,15),-0.41982 # DEPENDENCYPART_ARC
(20,16),-0.123844 # DEPENDENCYPART_ARC
(20,17),-1.07344 # DEPENDENCYPART_ARC
(20,18),0.0732645 # DEPENDENCYPART_ARC
(20,19),3.68227 # DEPENDENCYPART_ARC
(20,21),-0.559653 # DEPENDENCYPART_ARC
(20,22),-0.120095 # DEPENDENCYPART_ARC
(20,23),-2.1325 # DEPENDENCYPART_ARC
(20,24),-1.3714 # DEPENDENCYPART_ARC
(20,25),-3.00729 # DEPENDENCYPART_ARC
(20,26),-2.74462 # DEPENDENCYPART_ARC
(20,27),-3.47673 # DEPENDENCYPART_ARC
(20,28),-2.01755 # DEPENDENCYPART_ARC
(20,29),-2.22966 # DEPENDENCYPART_ARC
(20,30),-2.92143 # DEPENDENCYPART_ARC
(20,31),-2.4495 # DEPENDENCYPART_ARC
(20,32),-0.851705 # DEPENDENCYPART_ARC
(21,1),1.23731 # DEPENDENCYPART_ARC
(21,2),-1.79572 # DEPENDENCYPART_ARC
(21,3),0.0306897 # DEPENDENCYPART_ARC
(21,4),0.012584 # DEPENDENCYPART_ARC
(21,5),-1.70301 # DEPENDENCYPART_ARC
(21,6),-0.690976 # DEPENDENCYPART_ARC
(21,7),-3.30185 # DEPENDENCYPART_ARC
(21,8),-0.288527 # DEPENDENCYPART_ARC
(21,9),-1.44638 # DEPENDENCYPART_ARC
(21,10),-1.72988 # DEPENDENCYPART_ARC
(21,11),0.855189 # DEPENDENCYPART_ARC
(21,12),0.629368 # DEPENDENCYPART_ARC
(21,13),-1.33656 # DEPENDENCYPART_ARC
(21,14),0.0785749 # DEPENDENCYPART_ARC
(21,15),0.676078 # DEPENDENCYPART_ARC
(21,16),-0.475592 # DEPENDENCYPART_ARC
(21,17),0.507709 # DEPENDENCYPART_ARC
(21,18),1.54384 # DEPENDENCYPART_ARC
(21,19),-0.0899767 # DEPENDENCYPART_ARC
(21,20),2.78552 # DEPENDENCYPART_ARC
(21,22),1.7435 # DEPENDENCYPART_ARC
(21,23),-2.33959 # DEPENDENCYPART_ARC
(21,24),0.325723 # DEPENDENCYPART_ARC
(21,25),-1.71873 # DEPENDENCYPART_ARC
(21,26),-2.28544 # DEPENDENCYPART_ARC
(21,27),-1.43789 # DEPENDENCYPART_ARC
(21,28),-3.2706 # DEPENDENCYPART_ARC
(21,29),-3.51827 # DEPENDENCYPART_ARC
(21,30),-3.88696 # DEPENDENCYPART_ARC
(21,31),-3.442 # DEPENDENCYPART_ARC
(21,32),0.0852855 # DEPENDENCYPART_ARC
(22,1),-1.39302 # DEPENDENCYPART_ARC
(22,2),-2.69067 # DEPENDENCYPART_ARC
(22,3),-1.62166 # DEPENDENCYPART_ARC
(22,4),-1.4536 # DEPENDENCYPART_ARC
(22,5),-1.08633 # DEPENDENCYPART_ARC
(22,9),-1.71352 # DEPENDENCYPART_ARC
(22,11),-0.843054 # DEPENDENCYPART_ARC
(22,12),-1.04041 # DEPENDENCYPART_ARC
(22,13),-1.39575 # DEPENDENCYPART_ARC
(22,15),-0.992391 # DEPENDENCYPART_ARC
(22,16),-1.19876 # DEPENDENCYPART_ARC
(22,18),0.119502 # DEPENDENCYPART_ARC
(22,19),-0.931505 # DEPENDENCYPART_ARC
(22,21),-0.458995 # DEPENDENCYPART_ARC
(22,23),0.125943 # DEPENDENCYPART_ARC
(22,25),2.58317 # DEPENDENCYPART_ARC
(22,26),-1.14982 # DEPENDENCYPART_ARC
(22,30),-1.55791 # DEPENDENCYPART_ARC
(22,32),-0.553886 # DEPENDENCYPART_ARC
(23,3),-1.96334 # DEPENDENCYPART_ARC
(23,4),-1.63619 # DEPENDENCYPART_ARC
(23,6),-2.71451 # DEPENDENCYPART_ARC
(23,7),-2.60647 # DEPENDENCYPART_ARC
(23,10),-2.70859 # DEPENDENCYPART_ARC
(23,12),-1.96822 # DEPENDENCYPART_ARC
(23,14),-2.11467 # DEPENDENCYPART_ARC
(23,15),-1.61461 # DEPENDENCYPART_ARC
(23,17),-1.88767 # DEPENDENCYPART_ARC
(23,20),-1.71035 # DEPENDENCYPART_ARC
(23,24),-0.0348192 # DEPENDENCYPART_ARC
(23,27),-2.05378 # DEPENDENCYPART_ARC
(23,28),-1.7435 # DEPENDENCYPART_ARC
(23,29),-1.9026 # DEPENDENCYPART_ARC
(23,31),-1.93471 # DEPENDENCYPART_ARC
(24,1),-2.36134 # DEPENDENCYPART_ARC
(24,2),-4.19225 # DEPENDENCYPART_ARC
(24,3),-1.36817 # DEPENDENCYPART_ARC
(24,4),-1.98217 # DEPENDENCYPART_ARC
(24,5),-3.13406 # DEPENDENCYPART_ARC
(24,6),-3.59782 # DEPENDENCYPART_ARC
(24,7),-3.50099 # DEPENDENCYPART_ARC
(24,8),-1.22563 # DEPENDENCYPART_ARC
(24,9),-3.82748 # DEPENDENCYPART_ARC
(24,10),-3.65584 # DEPENDENCYPART_ARC
(24,11),-1.70082 # DEPENDENCYPART_ARC
(24,12),-1.65847 # DEPENDENCYPART_ARC
(24,13),-2.30923 # DEPENDENCYPART_ARC
(24,14),-2.5219 # DEPENDENCYPART_ARC
(24,15),-1.47339 # DEPENDENCYPART_ARC
(24,16),-1.53632 # DEPENDENCYPART_ARC
(24,17),-1.80875 # DEPENDENCYPART_ARC
(24,18),-1.60684 # DEPENDENCYPART_ARC
(24,19),-0.478935 # DEPENDENCYPART_ARC
(24,20),-1.39894 # DEPENDENCYPART_ARC
(24,21),-2.79597 # DEPENDENCYPART_ARC
(24,22),0.184357 # DEPENDENCYPART_ARC
(24,23),3.00005 # DEPENDENCYPART_ARC
(24,25),-0.912809 # DEPENDENCYPART_ARC
(24,26),-1.71416 # DEPENDENCYPART_ARC
(24,27),-1.5829 # DEPENDENCYPART_ARC
(24,28),-0.802523 # DEPENDENCYPART_ARC
(24,29),-1.11503 # DEPENDENCYPART_ARC
(24,30),-2.64563 # DEPENDENCYPART_ARC
(24,31),-1.70927 # DEPENDENCYPART_ARC
(24,32),-0.855335 # DEPENDENCYPART_ARC
(25,1),1.24378 # DEPENDENCYPART_ARC
(25,2),-2.28834 # DEPENDENCYPART_ARC
(25,3),-1.09998 # DEPENDENCYPART_ARC
(25,4),0.616787 # DEPENDENCYPART_ARC
(25,5),-3.47627 # DEPENDENCYPART_ARC
(25,6),-1.98915 # DEPENDENCYPART_ARC
(25,7),-2.8706 # DEPENDENCYPART_ARC
(25,8),-1.02458 # DEPENDENCYPART_ARC
(25,9),-1.63647 # DEPENDENCYPART_ARC
(25,10),-1.86127 # DEPENDENCYPART_ARC
(25,11),0.324026 # DEPENDENCYPART_ARC
(25,12),-0.232412 # DEPENDENCYPART_ARC
(25,13),-1.69726 # DEPENDENCYPART_ARC
(25,14),0.171687 # DEPENDENCYPART_ARC
(25,15),0.836922 # DEPENDENCYPART_ARC
(25,16),-0.659856 # DEPENDENCYPART_ARC
(25,17),0.615453 # DEPENDENCYPART_ARC
(25,18),0.68 # DEPENDENCYPART_ARC
(25,19),-1.83408 # DEPENDENCYPART_ARC
(25,20),0.850756 # DEPENDENCYPART_ARC
(25,21),-0.841878 # DEPENDENCYPART_ARC
(25,22),0.547623 # DEPENDENCYPART_ARC
(25,23),-0.209351 # DEPENDENCYPART_ARC
(25,24),2.67413 # DEPENDENCYPART_ARC
(25,26),-0.229469 # DEPENDENCYPART_ARC
(25,27),1.79643 # DEPENDENCYPART_ARC
(25,28),-0.696369 # DEPENDENCYPART_ARC
(25,29),-1.13986 # DEPENDENCYPART_ARC
(25,30),-2.78898 # DEPENDENCYPART_ARC
(25,31),-2.34787 # DEPENDENCYPART_ARC
(25,32),0.445565 # DEPENDENCYPART_ARC
(26,3),-1.80837 # DEPENDENCYPART_ARC
(26,4),-1.44761 # DEPENDENCYPART_ARC
(26,6),-2.11196 # DEPENDENCYPART_ARC
(26,7),-2.33808 # DEPENDENCYPART_ARC
(26,10),-2.23158 # DEPENDENCYPART_ARC
(26,12),-1.59945 # DEPENDENCYPART_ARC
(26,14),-2.53048 # DEPENDENCYPART_ARC
(26,15),-1.19317 # DEPENDENCYPART_ARC
(26,17),-2.54911 # DEPENDENCYPART_ARC
(26,20),-2.18191 # DEPENDENCYPART_ARC
(26,24),-2.06911 # DEPENDENCYPART_ARC
(26,27),-0.298276 # DEPENDENCYPART_ARC
(26,28),-0.183614 # DEPENDENCYPART_ARC
(26,29),-0.624288 # DEPENDENCYPART_ARC
(26,31),-1.1407 # DEPENDENCYPART_ARC
(27,1),-2.56793 # DEPENDENCYPART_ARC
(27,2),-4.71284 # DEPENDENCYPART_ARC
(27,3),-1.89894 # DEPENDENCYPART_ARC
(27,4),-2.48886 # DEPENDENCYPART_ARC
(27,5),-2.80192 # DEPENDENCYPART_ARC
(27,6),-3.73735 # DEPENDENCYPART_ARC
(27,7),-3.92134 # DEPENDENCYPART_ARC
(27,8),-1.38186 # DEPENDENCYPART_ARC
(27,9),-4.681 # DEPENDENCYPART_ARC
(27,10),-3.87486 # DEPENDENCYPART_ARC
(27,11),-1.8908 # DEPENDENCYPART_ARC
(27,12),-2.15858 # DEPENDENCYPART_ARC
(27,13),-4.75561 # DEPENDENCYPART_ARC
(27,14),-4.21831 # DEPENDENCYPART_ARC
(27,15),-1.78781 # DEPENDENCYPART_ARC
(27,16),-5.47575 # DEPENDENCYPART_ARC
(27,17),-4.2605 # DEPENDENCYPART_ARC
(27,18),-1.8937 # DEPENDENCYPART_ARC
(27,19),-3.08937 # DEPENDENCYPART_ARC
(27,20),-3.25362 # DEPENDENCYPART_ARC
(27,21),-4.02981 # DEPENDENCYPART_ARC
(27,22),-1.09838 # DEPENDENCYPART_ARC
(27,23),-2.65626 # DEPENDENCYPART_ARC
(27,24),-3.01445 # DEPENDENCYPART_ARC
(27,25),-1.89517 # DEPENDENCYPART_ARC
(27,26),3.50844 # DEPENDENCYPART_ARC
(27,28),2.58513 # DEPENDENCYPART_ARC
(27,29),2.28058 # DEPENDENCYPART_ARC
(27,30),-0.739103 # DEPENDENCYPART_ARC
(27,31),0.811152 # DEPENDENCYPART_ARC
(27,32),0.172831 # DEPENDENCYPART_ARC
(28,1),-2.12945 # DEPENDENCYPART_ARC
(28,2),-4.05049 # DEPENDENCYPART_ARC
(28,3),-1.44576 # DEPENDENCYPART_ARC
(28,4),-2.08667 # DEPENDENCYPART_ARC
(28,5),-4.08005 # DEPENDENCYPART_ARC
(28,6),-4.94735 # DEPENDENCYPART_ARC
(28,7),-3.31111 # DEPENDENCYPART_ARC
(28,8),-0.710579 # DEPENDENCYPART_ARC
(28,9),-5.23249 # DEPENDENCYPART_ARC
(28,10),-4.16548 # DEPENDENCYPART_ARC
(28,11),-1.44603 # DEPENDENCYPART_ARC
(28,12),-1.59273 # DEPENDENCYPART_ARC
(28,13),-4.20872 # DEPENDENCYPART_ARC
(28,14),-3.26337 # DEPENDENCYPART_ARC
(28,15),-1.33945 # DEPENDENCYPART_ARC
(28,16),-4.25414 # DEPENDENCYPART_ARC
(28,17),-3.04346 # DEPENDENCYPART_ARC
(28,18),-1.51262 # DEPENDENCYPART_ARC
(28,19),-3.75239 # DEPENDENCYPART_ARC
(28,20),-3.48187 # DEPENDENCYPART_ARC
(28,21),-3.43954 # DEPENDENCYPART_ARC
(28,22),-0.899925 # DEPENDENCYPART_ARC
(28,23),-1.63745 # DEPENDENCYPART_ARC
(28,24),-1.83953 # DEPENDENCYPART_ARC
(28,25),-1.70566 # DEPENDENCYPART_ARC
(28,26),0.373227 # DEPENDENCYPART_ARC
(28,27),-0.6089 # DEPENDENCYPART_ARC
(28,29),2.62368 # DEPENDENCYPART_ARC
(28,30),-0.263576 # DEPENDENCYPART_ARC
(28,31),0.884924 # DEPENDENCYPART_ARC
(28,32),0.156849 # DEPENDENCYPART_ARC
(29,1),-2.12929 # DEPENDENCYPART_ARC
(29,2),-3.32503 # DEPENDENCYPART_ARC
(29,3),-1.19671 # DEPENDENCYPART_ARC
(29,4),-2.12446 # DEPENDENCYPART_ARC
(29,5),-3.3931 # DEPENDENCYPART_ARC
(29,6),-4.15429 # DEPENDENCYPART_ARC
(29,7),-3.22175 # DEPENDENCYPART_ARC
(29,8),-0.754567 # DEPENDENCYPART_ARC
(29,9),-5.58504 # DEPENDENCYPART_ARC
(29,10),-4.28453 # DEPENDENCYPART_ARC
(29,11),-1.33544 # DEPENDENCYPART_ARC
(29,12),-1.41018 # DEPENDENCYPART_ARC
(29,13),-4.37643 # DEPENDENCYPART_ARC
(29,14),-3.1746 # DEPENDENCYPART_ARC
(29,15),-1.39412 # DEPENDENCYPART_ARC
(29,16),-3.50512 # DEPENDENCYPART_ARC
(29,17),-2.42986 # DEPENDENCYPART_ARC
(29,18),-1.44081 # DEPENDENCYPART_ARC
(29,19),-3.03374 # DEPENDENCYPART_ARC
(29,20),-2.27134 # DEPENDENCYPART_ARC
(29,21),-2.72893 # DEPENDENCYPART_ARC
(29,22),-0.89401 # DEPENDENCYPART_ARC
(29,23),-1.10774 # DEPENDENCYPART_ARC
(29,24),-0.579929 # DEPENDENCYPART_ARC
(29,25),-1.31907 # DEPENDENCYPART_ARC
(29,26),-1.02188 # DEPENDENCYPART_ARC
(29,27),-1.40004 # DEPENDENCYPART_ARC
(29,28),1.722 # DEPENDENCYPART_ARC
(29,30),0.158968 # DEPENDENCYPART_ARC
(29,31),2.30088 # DEPENDENCYPART_ARC
(29,32),0.259732 # DEPENDENCYPART_ARC
(30,3),-1.96054 # DEPENDENCYPART_ARC
(30,4),-1.54515 # DEPENDENCYPART_ARC
(30,6),-3.16897 # DEPENDENCYPART_ARC
(30,7),-2.66792 # DEPENDENCYPART_ARC
(30,10),-3.01451 # DEPENDENCYPART_ARC
(30,12),-1.72844 # DEPENDENCYPART_ARC
(30,14),-2.66145 # DEPENDENCYPART_ARC
(30,15),-1.30168 # DEPENDENCYPART_ARC
(30,17),-2.24507 # DEPENDENCYPART_ARC
(30,20),-2.54408 # DEPENDENCYPART_ARC
(30,24),-1.95686 # DEPENDENCYPART_ARC
(30,27),-2.45327 # DEPENDENCYPART_ARC
(30,28),-1.38507 # DEPENDENCYPART_ARC
(30,29),-0.477754 # DEPENDENCYPART_ARC
(30,31),0.769842 # DEPENDENCYPART_ARC
(31,1),-2.52511 # DEPENDENCYPART_ARC
(31,2),-3.82285 # DEPENDENCYPART_ARC
(31,3),-1.61646 # DEPENDENCYPART_ARC
(31,4),-2.58548 # DEPENDENCYPART_ARC
(31,5),-4.21131 # DEPENDENCYPART_ARC
(31,6),-5.23046 # DEPENDENCYPART_ARC
(31,7),-4.34036 # DEPENDENCYPART_ARC
(31,8),-1.20004 # DEPENDENCYPART_ARC
(31,9),-7.00678 # DEPENDENCYPART_ARC
(31,10),-5.46886 # DEPENDENCYPART_ARC
(31,11),-1.53672 # DEPENDENCYPART_ARC
(31,12),-1.85918 # DEPENDENCYPART_ARC
(31,13),-5.92439 # DEPENDENCYPART_ARC
(31,14),-4.34579 # DEPENDENCYPART_ARC
(31,15),-1.97399 # DEPENDENCYPART_ARC
(31,16),-4.32341 # DEPENDENCYPART_ARC
(31,17),-3.15611 # DEPENDENCYPART_ARC
(31,18),-1.86089 # DEPENDENCYPART_ARC
(31,19),-4.21774 # DEPENDENCYPART_ARC
(31,20),-3.72528 # DEPENDENCYPART_ARC
(31,21),-3.32644 # DEPENDENCYPART_ARC
(31,22),-1.3837 # DEPENDENCYPART_ARC
(31,23),-2.43994 # DEPENDENCYPART_ARC
(31,24),-2.12903 # DEPENDENCYPART_ARC
(31,25),-2.43833 # DEPENDENCYPART_ARC
(31,26),-2.37061 # DEPENDENCYPART_ARC
(31,27),-3.64385 # DEPENDENCYPART_ARC
(31,28),-0.831067 # DEPENDENCYPART_ARC
(31,29),0.820227 # DEPENDENCYPART_ARC
(31,30),3.15281 # DEPENDENCYPART_ARC
(31,32),0.114992 # DEPENDENCYPART_ARC
(32,1),-3.16709 # DEPENDENCYPART_ARC
(32,2),-3.41963 # DEPENDENCYPART_ARC
(32,3),-2.35254 # DEPENDENCYPART_ARC
(32,4),-3.3047 # DEPENDENCYPART_ARC
(32,5),-2.6618 # DEPENDENCYPART_ARC
(32,6),-3.54489 # DEPENDENCYPART_ARC
(32,7),-3.45508 # DEPENDENCYPART_ARC
(32,8),-3.98937 # DEPENDENCYPART_ARC
(32,10),-3.64511 # DEPENDENCYPART_ARC
(32,11),-3.14608 # DEPENDENCYPART_ARC
(32,12),-2.21057 # DEPENDENCYPART_ARC
(32,14),-3.19929 # DEPENDENCYPART_ARC
(32,15),-2.69714 # DEPENDENCYPART_ARC
(32,17),-3.20412 # DEPENDENCYPART_ARC
(32,18),-2.67648 # DEPENDENCYPART_ARC
(32,20),-3.02547 # DEPENDENCYPART_ARC
(32,21),-2.6021 # DEPENDENCYPART_ARC
(32,22),-2.35905 # DEPENDENCYPART_ARC
(32,24),-2.62501 # DEPENDENCYPART_ARC
(32,25),-2.3559 # DEPENDENCYPART_ARC
(32,27),-2.16781 # DEPENDENCYPART_ARC
(32,28),-1.88478 # DEPENDENCYPART_ARC
(32,29),-1.74047 # DEPENDENCYPART_ARC
(32,31),-1.88856 # DEPENDENCYPART_ARC
