# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,25,30,28,30,0,
(20,10),-1.3783 # DEPENDENCYPART_ARC
(20,19),-1.82933 # DEPENDENCYPART_ARC
(20,26),-2.14852 # DEPENDENCYPART_ARC
(20,27),-1.31729 # DEPENDENCYPART_ARC
(20,28),-2.22608 # DEPENDENCYPART_ARC
(20,29),-1.85407 # DEPENDENCYPART_ARC
(20,30),-0.523759 # DEPENDENCYPART_ARC
(20,31),-1.87857 # DEPENDENCYPART_ARC
(21,1),-3.69149 # DEPENDENCYPART_ARC
(21,2),-4.00521 # DEPENDENCYPART_ARC
(21,3),-1.4007 # DEPENDENCYPART_ARC
(21,4),-1.7479 # DEPENDENCYPART_ARC
(21,5),-1.70165 # DEPENDENCYPART_ARC
(21,6),-4.13602 # DEPENDENCYPART_ARC
(21,7),-1.47603 # DEPENDENCYPART_ARC
(21,8),-4.07765 # DEPENDENCYPART_ARC
(21,9),-3.40585 # DEPENDENCYPART_ARC
(21,10),-1.14733 # DEPENDENCYPART_ARC
(21,11),-2.92844 # DEPENDENCYPART_ARC
(21,12),-3.56773 # DEPENDENCYPART_ARC
(21,13),-1.26036 # DEPENDENCYPART_ARC
(21,14),-2.55997 # DEPENDENCYPART_ARC
(21,15),-1.61863 # DEPENDENCYPART_ARC
(21,16),-0.754608 # DEPENDENCYPART_ARC
(21,17),-1.93697 # DEPENDENCYPART_ARC
(21,18),-2.03407 # DEPENDENCYPART_ARC
(21,19),-2.23321 # DEPENDENCYPART_ARC
(21,20),3.23826 # DEPENDENCYPART_ARC
(21,22),-0.641681 # DEPENDENCYPART_ARC
(21,23),-0.0213305 # DEPENDENCYPART_ARC
(21,24),-1.71613 # DEPENDENCYPART_ARC
(21,25),-0.336858 # DEPENDENCYPART_ARC
(21,26),-2.1677 # DEPENDENCYPART_ARC
(21,27),-1.36039 # DEPENDENCYPART_ARC
(21,28),-3.12206 # DEPENDENCYPART_ARC
(21,29),-1.77758 # DEPENDENCYPART_ARC
(21,30),-0.773255 # DEPENDENCYPART_ARC
(21,31),-2.13729 # DEPENDENCYPART_ARC
(21,32),-1.38881 # DEPENDENCYPART_ARC
(22,2),-1.18938 # DEPENDENCYPART_ARC
(22,3),-0.372996 # DEPENDENCYPART_ARC
(22,4),-0.670403 # DEPENDENCYPART_ARC
(22,5),-0.805471 # DEPENDENCYPART_ARC
(22,6),-0.613675 # DEPENDENCYPART_ARC
(22,7),-0.882326 # DEPENDENCYPART_ARC
(22,9),-0.845575 # DEPENDENCYPART_ARC
(22,10),-0.56436 # DEPENDENCYPART_ARC
(22,12),-0.699257 # DEPENDENCYPART_ARC
(22,13),-0.214692 # DEPENDENCYPART_ARC
(22,14),-0.17214 # DEPENDENCYPART_ARC
(22,15),0.539628 # DEPENDENCYPART_ARC
(22,16),0.366674 # DEPENDENCYPART_ARC
(22,18),-0.128661 # DEPENDENCYPART_ARC
(22,19),0.188437 # DEPENDENCYPART_ARC
(22,21),0.213436 # DEPENDENCYPART_ARC
(22,23),0.187511 # DEPENDENCYPART_ARC
(22,24),-0.527593 # DEPENDENCYPART_ARC
(22,25),-0.197727 # DEPENDENCYPART_ARC
(22,26),-0.656627 # DEPENDENCYPART_ARC
(22,27),-0.839749 # DEPENDENCYPART_ARC
(22,28),-1.11572 # DEPENDENCYPART_ARC
(22,29),-1.10727 # DEPENDENCYPART_ARC
(22,30),-0.482976 # DEPENDENCYPART_ARC
(22,31),-1.23586 # DEPENDENCYPART_ARC
(22,32),-0.198544 # DEPENDENCYPART_ARC
(23,2),-2.45348 # DEPENDENCYPART_ARC
(23,3),-0.825136 # DEPENDENCYPART_ARC
(23,4),-1.08675 # DEPENDENCYPART_ARC
(23,6),-2.38494 # DEPENDENCYPART_ARC
(23,7),-0.910713 # DEPENDENCYPART_ARC
(23,9),-2.15712 # DEPENDENCYPART_ARC
(23,10),-0.79677 # DEPENDENCYPART_ARC
(23,12),-2.33756 # DEPENDENCYPART_ARC
(23,13),-0.915208 # DEPENDENCYPART_ARC
(23,14),-2.00407 # DEPENDENCYPART_ARC
(23,16),-0.565191 # DEPENDENCYPART_ARC
(23,18),-1.18007 # DEPENDENCYPART_ARC
(23,19),-1.61394 # DEPENDENCYPART_ARC
(23,21),-1.4251 # DEPENDENCYPART_ARC
(23,22),0.631821 # DEPENDENCYPART_ARC
(23,24),4.0285 # DEPENDENCYPART_ARC
(23,25),-0.684422 # DEPENDENCYPART_ARC
(23,26),0.670097 # DEPENDENCYPART_ARC
(23,27),-0.440496 # DEPENDENCYPART_ARC
(23,28),-0.677277 # DEPENDENCYPART_ARC
(23,29),-2.65746 # DEPENDENCYPART_ARC
(23,30),-0.372284 # DEPENDENCYPART_ARC
(23,31),-3.11421 # DEPENDENCYPART_ARC
(23,32),0.275314 # DEPENDENCYPART_ARC
(24,1),-2.37601 # DEPENDENCYPART_ARC
(24,3),-1.59618 # DEPENDENCYPART_ARC
(24,7),-1.47552 # DEPENDENCYPART_ARC
(24,8),-1.86942 # DEPENDENCYPART_ARC
(24,11),-1.80408 # DEPENDENCYPART_ARC
(24,13),-1.32898 # DEPENDENCYPART_ARC
(24,14),-3.30853 # DEPENDENCYPART_ARC
(24,17),-1.15435 # DEPENDENCYPART_ARC
(24,18),-2.41785 # DEPENDENCYPART_ARC
(24,20),-0.504516 # DEPENDENCYPART_ARC
(24,22),-0.36805 # DEPENDENCYPART_ARC
(24,25),-0.907466 # DEPENDENCYPART_ARC
(24,32),-1.45906 # DEPENDENCYPART_ARC
(25,1),-2.33591 # DEPENDENCYPART_ARC
(25,2),-1.52129 # DEPENDENCYPART_ARC
(25,3),-0.893196 # DEPENDENCYPART_ARC
(25,4),-0.463844 # DEPENDENCYPART_ARC
(25,5),-1.12423 # DEPENDENCYPART_ARC
(25,6),-2.68561 # DEPENDENCYPART_ARC
(25,7),0.243455 # DEPENDENCYPART_ARC
(25,8),-1.21779 # DEPENDENCYPART_ARC
(25,9),-0.919798 # DEPENDENCYPART_ARC
(25,10),-0.146483 # DEPENDENCYPART_ARC
(25,11),-1.81588 # DEPENDENCYPART_ARC
(25,12),-1.87364 # DEPENDENCYPART_ARC
(25,13),-0.470601 # DEPENDENCYPART_ARC
(25,14),-2.21197 # DEPENDENCYPART_ARC
(25,15),-0.71942 # DEPENDENCYPART_ARC
(25,16),0.150155 # DEPENDENCYPART_ARC
(25,17),-1.14699 # DEPENDENCYPART_ARC
(25,18),-0.310271 # DEPENDENCYPART_ARC
(25,19),-0.381765 # DEPENDENCYPART_ARC
(25,20),-1.60677 # DEPENDENCYPART_ARC
(25,21),-2.68678 # DEPENDENCYPART_ARC
(25,22),1.25198 # DEPENDENCYPART_ARC
(25,23),1.78126 # DEPENDENCYPART_ARC
(25,24),1.60616 # DEPENDENCYPART_ARC
(25,26),2.76467 # DEPENDENCYPART_ARC
(25,27),0.551422 # DEPENDENCYPART_ARC
(25,28),0.738461 # DEPENDENCYPART_ARC
(25,29),-1.05345 # DEPENDENCYPART_ARC
(25,30),0.240622 # DEPENDENCYPART_ARC
(25,31),-2.44886 # DEPENDENCYPART_ARC
(25,32),0.0405405 # DEPENDENCYPART_ARC
(26,1),-3.87029 # DEPENDENCYPART_ARC
(26,2),-3.71364 # DEPENDENCYPART_ARC
(26,3),-1.6073 # DEPENDENCYPART_ARC
(26,4),-1.63889 # DEPENDENCYPART_ARC
(26,5),-1.13438 # DEPENDENCYPART_ARC
(26,6),-2.65055 # DEPENDENCYPART_ARC
(26,7),-1.37302 # DEPENDENCYPART_ARC
(26,8),-4.31603 # DEPENDENCYPART_ARC
(26,9),-3.12932 # DEPENDENCYPART_ARC
(26,10),-1.26588 # DEPENDENCYPART_ARC
(26,11),-1.98979 # DEPENDENCYPART_ARC
(26,12),-2.38184 # DEPENDENCYPART_ARC
(26,13),-1.48994 # DEPENDENCYPART_ARC
(26,14),-3.39101 # DEPENDENCYPART_ARC
(26,15),-1.38869 # DEPENDENCYPART_ARC
(26,16),-0.874082 # DEPENDENCYPART_ARC
(26,17),-2.11406 # DEPENDENCYPART_ARC
(26,18),-2.19022 # DEPENDENCYPART_ARC
(26,19),-2.8109 # DEPENDENCYPART_ARC
(26,20),-0.685027 # DEPENDENCYPART_ARC
(26,21),-1.25701 # DEPENDENCYPART_ARC
(26,22),-0.690444 # DEPENDENCYPART_ARC
(26,23),-0.942915 # DEPENDENCYPART_ARC
(26,24),0.94877 # DEPENDENCYPART_ARC
(26,25),-1.29925 # DEPENDENCYPART_ARC
(26,27),1.21357 # DEPENDENCYPART_ARC
(26,28),0.417282 # DEPENDENCYPART_ARC
(26,29),1.13574 # DEPENDENCYPART_ARC
(26,30),0.337293 # DEPENDENCYPART_ARC
(26,31),0.128181 # DEPENDENCYPART_ARC
(26,32),0.162502 # DEPENDENCYPART_ARC
(27,1),-1.77859 # DEPENDENCYPART_ARC
(27,2),-1.81896 # DEPENDENCYPART_ARC
(27,3),-1.46238 # DEPENDENCYPART_ARC
(27,4),-1.44647 # DEPENDENCYPART_ARC
(27,5),-1.44996 # DEPENDENCYPART_ARC
(27,6),-1.74652 # DEPENDENCYPART_ARC
(27,7),-1.15669 # DEPENDENCYPART_ARC
(27,8),-1.24855 # DEPENDENCYPART_ARC
(27,9),-1.48711 # DEPENDENCYPART_ARC
(27,10),-0.708343 # DEPENDENCYPART_ARC
(27,11),-1.34316 # DEPENDENCYPART_ARC
(27,12),-1.64369 # DEPENDENCYPART_ARC
(27,13),-1.06039 # DEPENDENCYPART_ARC
(27,14),-1.22002 # DEPENDENCYPART_ARC
(27,15),-1.45602 # DEPENDENCYPART_ARC
(27,16),-0.922571 # DEPENDENCYPART_ARC
(27,17),-0.554356 # DEPENDENCYPART_ARC
(27,18),-1.0306 # DEPENDENCYPART_ARC
(27,19),-1.24868 # DEPENDENCYPART_ARC
(27,20),-1.08316 # DEPENDENCYPART_ARC
(27,21),-1.27303 # DEPENDENCYPART_ARC
(27,22),-0.673349 # DEPENDENCYPART_ARC
(27,23),-0.537987 # DEPENDENCYPART_ARC
(27,24),-1.25158 # DEPENDENCYPART_ARC
(27,25),-0.434539 # DEPENDENCYPART_ARC
(27,26),-0.123333 # DEPENDENCYPART_ARC
(27,28),0.803583 # DEPENDENCYPART_ARC
(27,29),0.577227 # DEPENDENCYPART_ARC
(27,30),0.342426 # DEPENDENCYPART_ARC
(27,31),-0.28493 # DEPENDENCYPART_ARC
(27,32),-0.810491 # DEPENDENCYPART_ARC
(28,1),-5.68137 # DEPENDENCYPART_ARC
(28,2),-4.86816 # DEPENDENCYPART_ARC
(28,3),-1.67592 # DEPENDENCYPART_ARC
(28,4),-1.58997 # DEPENDENCYPART_ARC
(28,5),-2.51385 # DEPENDENCYPART_ARC
(28,6),-3.91198 # DEPENDENCYPART_ARC
(28,7),-1.55437 # DEPENDENCYPART_ARC
(28,8),-4.64108 # DEPENDENCYPART_ARC
(28,9),-3.49525 # DEPENDENCYPART_ARC
(28,10),-1.45146 # DEPENDENCYPART_ARC
(28,11),-3.65041 # DEPENDENCYPART_ARC
(28,12),-3.48001 # DEPENDENCYPART_ARC
(28,13),-1.49153 # DEPENDENCYPART_ARC
(28,14),-3.25826 # DEPENDENCYPART_ARC
(28,15),-2.0296 # DEPENDENCYPART_ARC
(28,16),-1.00044 # DEPENDENCYPART_ARC
(28,17),-0.963381 # DEPENDENCYPART_ARC
(28,18),-0.777338 # DEPENDENCYPART_ARC
(28,19),-1.52709 # DEPENDENCYPART_ARC
(28,20),-2.48051 # DEPENDENCYPART_ARC
(28,21),-2.23569 # DEPENDENCYPART_ARC
(28,22),-1.05817 # DEPENDENCYPART_ARC
(28,23),-1.69975 # DEPENDENCYPART_ARC
(28,24),-0.490952 # DEPENDENCYPART_ARC
(28,25),-2.03608 # DEPENDENCYPART_ARC
(28,26),-0.335641 # DEPENDENCYPART_ARC
(28,27),1.36516 # DEPENDENCYPART_ARC
(28,29),1.96661 # DEPENDENCYPART_ARC
(28,30),1.70778 # DEPENDENCYPART_ARC
(28,31),0.278042 # DEPENDENCYPART_ARC
(28,32),0.311242 # DEPENDENCYPART_ARC
(29,1),-6.42119 # DEPENDENCYPART_ARC
(29,2),-5.32564 # DEPENDENCYPART_ARC
(29,3),-1.94817 # DEPENDENCYPART_ARC
(29,4),-1.85378 # DEPENDENCYPART_ARC
(29,5),-3.0688 # DEPENDENCYPART_ARC
(29,6),-5.44741 # DEPENDENCYPART_ARC
(29,7),-1.8261 # DEPENDENCYPART_ARC
(29,8),-5.34446 # DEPENDENCYPART_ARC
(29,9),-3.75262 # DEPENDENCYPART_ARC
(29,10),-1.66621 # DEPENDENCYPART_ARC
(29,11),-5.48397 # DEPENDENCYPART_ARC
(29,12),-4.90934 # DEPENDENCYPART_ARC
(29,13),-1.76185 # DEPENDENCYPART_ARC
(29,14),-2.77327 # DEPENDENCYPART_ARC
(29,15),-2.8263 # DEPENDENCYPART_ARC
(29,16),-1.15953 # DEPENDENCYPART_ARC
(29,17),-2.42197 # DEPENDENCYPART_ARC
(29,18),-2.12885 # DEPENDENCYPART_ARC
(29,19),-3.01826 # DEPENDENCYPART_ARC
(29,20),-2.55384 # DEPENDENCYPART_ARC
(29,21),-2.30838 # DEPENDENCYPART_ARC
(29,22),-1.33226 # DEPENDENCYPART_ARC
(29,23),-2.24724 # DEPENDENCYPART_ARC
(29,24),-1.56319 # DEPENDENCYPART_ARC
(29,25),-1.7701 # DEPENDENCYPART_ARC
(29,26),-2.59188 # DEPENDENCYPART_ARC
(29,27),0.491899 # DEPENDENCYPART_ARC
(29,28),0.390446 # DEPENDENCYPART_ARC
(29,30),0.215022 # DEPENDENCYPART_ARC
(29,31),0.240864 # DEPENDENCYPART_ARC
(29,32),-0.498407 # DEPENDENCYPART_ARC
(30,1),-1.03794 # DEPENDENCYPART_ARC
(30,2),-0.978366 # DEPENDENCYPART_ARC
(30,3),-1.51304 # DEPENDENCYPART_ARC
(30,4),-0.989893 # DEPENDENCYPART_ARC
(30,5),-0.683709 # DEPENDENCYPART_ARC
(30,6),0.128327 # DEPENDENCYPART_ARC
(30,7),-0.899787 # DEPENDENCYPART_ARC
(30,8),-0.555341 # DEPENDENCYPART_ARC
(30,9),-0.195462 # DEPENDENCYPART_ARC
(30,10),-0.430261 # DEPENDENCYPART_ARC
(30,11),-0.244626 # DEPENDENCYPART_ARC
(30,12),-0.321242 # DEPENDENCYPART_ARC
(30,13),-1.22728 # DEPENDENCYPART_ARC
(30,14),-0.0359675 # DEPENDENCYPART_ARC
(30,15),0.0971716 # DEPENDENCYPART_ARC
(30,16),-1.27564 # DEPENDENCYPART_ARC
(30,17),-0.819655 # DEPENDENCYPART_ARC
(30,18),-0.893932 # DEPENDENCYPART_ARC
(30,19),-0.188736 # DEPENDENCYPART_ARC
(30,20),-0.375619 # DEPENDENCYPART_ARC
(30,21),0.0207126 # DEPENDENCYPART_ARC
(30,22),-0.404413 # DEPENDENCYPART_ARC
(30,23),-0.444381 # DEPENDENCYPART_ARC
(30,24),0.328207 # DEPENDENCYPART_ARC
(30,25),0.491172 # DEPENDENCYPART_ARC
(30,26),0.657712 # DEPENDENCYPART_ARC
(30,27),0.161635 # DEPENDENCYPART_ARC
(30,28),1.02269 # DEPENDENCYPART_ARC
(30,29),3.44278 # DEPENDENCYPART_ARC
(30,31),2.84069 # DEPENDENCYPART_ARC
(30,32),0.220058 # DEPENDENCYPART_ARC
(31,1),-6.62474 # DEPENDENCYPART_ARC
(31,2),-5.85873 # DEPENDENCYPART_ARC
(31,3),-2.1061 # DEPENDENCYPART_ARC
(31,4),-2.11436 # DEPENDENCYPART_ARC
(31,5),-3.32732 # DEPENDENCYPART_ARC
(31,6),-5.97693 # DEPENDENCYPART_ARC
(31,7),-1.98952 # DEPENDENCYPART_ARC
(31,8),-5.88258 # DEPENDENCYPART_ARC
(31,9),-4.49597 # DEPENDENCYPART_ARC
(31,10),-2.5461 # DEPENDENCYPART_ARC
(31,11),-5.75747 # DEPENDENCYPART_ARC
(31,12),-5.4652 # DEPENDENCYPART_ARC
(31,13),-1.94941 # DEPENDENCYPART_ARC
(31,14),-3.00178 # DEPENDENCYPART_ARC
(31,15),-2.97118 # DEPENDENCYPART_ARC
(31,16),-1.40783 # DEPENDENCYPART_ARC
(31,17),-2.92689 # DEPENDENCYPART_ARC
(31,18),-2.78574 # DEPENDENCYPART_ARC
(31,19),-3.58818 # DEPENDENCYPART_ARC
(31,20),-3.07473 # DEPENDENCYPART_ARC
(31,21),-2.96984 # DEPENDENCYPART_ARC
(31,22),-1.46717 # DEPENDENCYPART_ARC
(31,23),-2.61933 # DEPENDENCYPART_ARC
(31,24),-2.20788 # DEPENDENCYPART_ARC
(31,25),-2.3367 # DEPENDENCYPART_ARC
(31,26),-3.41632 # DEPENDENCYPART_ARC
(31,27),-0.554263 # DEPENDENCYPART_ARC
(31,28),-1.51743 # DEPENDENCYPART_ARC
(31,29),0.713892 # DEPENDENCYPART_ARC
(31,30),0.326248 # DEPENDENCYPART_ARC
(31,32),0.0429719 # DEPENDENCYPART_ARC
(32,2),-3.86042 # DEPENDENCYPART_ARC
(32,3),-2.43853 # DEPENDENCYPART_ARC
(32,4),-2.53669 # DEPENDENCYPART_ARC
(32,5),-4.31367 # DEPENDENCYPART_ARC
(32,6),-3.30713 # DEPENDENCYPART_ARC
(32,7),-3.04593 # DEPENDENCYPART_ARC
(32,9),-3.36592 # DEPENDENCYPART_ARC
(32,10),-3.12768 # DEPENDENCYPART_ARC
(32,12),-3.15908 # DEPENDENCYPART_ARC
(32,13),-2.2496 # DEPENDENCYPART_ARC
(32,14),-2.74064 # DEPENDENCYPART_ARC
(32,15),-1.85548 # DEPENDENCYPART_ARC
(32,16),-2.98754 # DEPENDENCYPART_ARC
(32,18),-2.50974 # DEPENDENCYPART_ARC
(32,19),-2.74581 # DEPENDENCYPART_ARC
(32,21),-2.83524 # DEPENDENCYPART_ARC
(32,22),-2.2457 # DEPENDENCYPART_ARC
(32,23),-2.40899 # DEPENDENCYPART_ARC
(32,24),-2.26435 # DEPENDENCYPART_ARC
(32,25),-2.33366 # DEPENDENCYPART_ARC
(32,26),-2.14041 # DEPENDENCYPART_ARC
(32,27),-1.90076 # DEPENDENCYPART_ARC
(32,28),-1.9345 # DEPENDENCYPART_ARC
(32,29),-1.71042 # DEPENDENCYPART_ARC
(32,30),-1.87032 # DEPENDENCYPART_ARC
(32,31),-1.68938 # DEPENDENCYPART_ARC
