# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,5,11,11,12,8,14,15,18,15,18,12,20,18,20,23,25,25,20,0,
(22,13),-0.054839 # DEPENDENCYPART_ARC
(22,14),-1.15379 # DEPENDENCYPART_ARC
(22,15),-0.488246 # DEPENDENCYPART_ARC
(22,16),-1.07704 # DEPENDENCYPART_ARC
(22,17),-0.293509 # DEPENDENCYPART_ARC
(22,18),-0.538778 # DEPENDENCYPART_ARC
(22,19),-0.114958 # DEPENDENCYPART_ARC
(22,20),-0.290851 # DEPENDENCYPART_ARC
(22,21),1.33617 # DEPENDENCYPART_ARC
(22,23),0.546139 # DEPENDENCYPART_ARC
(22,24),-0.467941 # DEPENDENCYPART_ARC
(22,25),-0.510608 # DEPENDENCYPART_ARC
(22,26),-0.574564 # DEPENDENCYPART_ARC
(23,1),-1.60362 # DEPENDENCYPART_ARC
(23,2),-1.71319 # DEPENDENCYPART_ARC
(23,3),-3.87292 # DEPENDENCYPART_ARC
(23,4),-1.39043 # DEPENDENCYPART_ARC
(23,5),-2.63822 # DEPENDENCYPART_ARC
(23,6),-2.2338 # DEPENDENCYPART_ARC
(23,7),-2.09936 # DEPENDENCYPART_ARC
(23,8),-1.41532 # DEPENDENCYPART_ARC
(23,9),-2.37129 # DEPENDENCYPART_ARC
(23,10),-2.53143 # DEPENDENCYPART_ARC
(23,11),-2.62677 # DEPENDENCYPART_ARC
(23,12),-4.17508 # DEPENDENCYPART_ARC
(23,13),-0.786954 # DEPENDENCYPART_ARC
(23,14),-2.09371 # DEPENDENCYPART_ARC
(23,15),-1.08109 # DEPENDENCYPART_ARC
(23,16),-2.0853 # DEPENDENCYPART_ARC
(23,17),-1.10845 # DEPENDENCYPART_ARC
(23,18),-0.907918 # DEPENDENCYPART_ARC
(23,19),-0.700548 # DEPENDENCYPART_ARC
(23,20),-3.46615 # DEPENDENCYPART_ARC
(23,21),0.411338 # DEPENDENCYPART_ARC
(23,22),1.31474 # DEPENDENCYPART_ARC
(23,24),0.225583 # DEPENDENCYPART_ARC
(23,25),0.201012 # DEPENDENCYPART_ARC
(23,26),0.28616 # DEPENDENCYPART_ARC
(24,1),-1.42191 # DEPENDENCYPART_ARC
(24,4),-1.39115 # DEPENDENCYPART_ARC
(24,5),-2.27235 # DEPENDENCYPART_ARC
(24,7),-2.01031 # DEPENDENCYPART_ARC
(24,11),-2.55402 # DEPENDENCYPART_ARC
(24,13),-1.27524 # DEPENDENCYPART_ARC
(24,15),-0.934173 # DEPENDENCYPART_ARC
(24,18),-0.853771 # DEPENDENCYPART_ARC
(24,21),-0.634767 # DEPENDENCYPART_ARC
(24,22),-0.400859 # DEPENDENCYPART_ARC
(24,25),-0.110244 # DEPENDENCYPART_ARC
(25,1),-1.95764 # DEPENDENCYPART_ARC
(25,2),-1.1512 # DEPENDENCYPART_ARC
(25,3),-3.41664 # DEPENDENCYPART_ARC
(25,4),-1.42534 # DEPENDENCYPART_ARC
(25,5),-3.48144 # DEPENDENCYPART_ARC
(25,6),-3.32989 # DEPENDENCYPART_ARC
(25,7),-2.34234 # DEPENDENCYPART_ARC
(25,8),-2.10107 # DEPENDENCYPART_ARC
(25,9),-2.9864 # DEPENDENCYPART_ARC
(25,10),-3.26503 # DEPENDENCYPART_ARC
(25,11),-3.77626 # DEPENDENCYPART_ARC
(25,12),-2.89699 # DEPENDENCYPART_ARC
(25,13),-1.17758 # DEPENDENCYPART_ARC
(25,14),-3.39523 # DEPENDENCYPART_ARC
(25,15),-0.335169 # DEPENDENCYPART_ARC
(25,16),-2.93964 # DEPENDENCYPART_ARC
(25,17),-0.866884 # DEPENDENCYPART_ARC
(25,18),-0.874972 # DEPENDENCYPART_ARC
(25,19),-1.05914 # DEPENDENCYPART_ARC
(25,20),-2.66772 # DEPENDENCYPART_ARC
(25,21),-0.441262 # DEPENDENCYPART_ARC
(25,22),-0.118549 # DEPENDENCYPART_ARC
(25,23),2.18319 # DEPENDENCYPART_ARC
(25,24),3.39492 # DEPENDENCYPART_ARC
(25,26),0.319051 # DEPENDENCYPART_ARC
(26,1),-2.74968 # DEPENDENCYPART_ARC
(26,2),-3.16431 # DEPENDENCYPART_ARC
(26,3),-2.83587 # DEPENDENCYPART_ARC
(26,4),-2.23223 # DEPENDENCYPART_ARC
(26,5),-3.35707 # DEPENDENCYPART_ARC
(26,7),-3.2434 # DEPENDENCYPART_ARC
(26,8),-2.40447 # DEPENDENCYPART_ARC
(26,10),-2.72029 # DEPENDENCYPART_ARC
(26,11),-3.12627 # DEPENDENCYPART_ARC
(26,12),-2.13549 # DEPENDENCYPART_ARC
(26,13),-1.96409 # DEPENDENCYPART_ARC
(26,14),-2.67458 # DEPENDENCYPART_ARC
(26,15),-2.10207 # DEPENDENCYPART_ARC
(26,16),-2.62202 # DEPENDENCYPART_ARC
(26,17),-2.22102 # DEPENDENCYPART_ARC
(26,18),-2.05104 # DEPENDENCYPART_ARC
(26,20),-2.18143 # DEPENDENCYPART_ARC
(26,21),-1.795 # DEPENDENCYPART_ARC
(26,22),-1.79092 # DEPENDENCYPART_ARC
(26,23),-1.82495 # DEPENDENCYPART_ARC
(26,25),-1.89459 # DEPENDENCYPART_ARC
