# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,2,4,8,8,5,8,11,9,13,11,15,13,18,18,13,20,18,22,20,24,22,26,24,26,30,30,27,0,
(21,31),-0.576419 # DEPENDENCYPART_ARC
(22,1),-1.09159 # DEPENDENCYPART_ARC
(22,2),-1.35217 # DEPENDENCYPART_ARC
(22,3),-0.349718 # DEPENDENCYPART_ARC
(22,4),-0.606604 # DEPENDENCYPART_ARC
(22,5),-1.81993 # DEPENDENCYPART_ARC
(22,6),-2.19839 # DEPENDENCYPART_ARC
(22,7),-4.17125 # DEPENDENCYPART_ARC
(22,8),-2.37069 # DEPENDENCYPART_ARC
(22,9),-0.507918 # DEPENDENCYPART_ARC
(22,10),-1.90427 # DEPENDENCYPART_ARC
(22,11),-1.22393 # DEPENDENCYPART_ARC
(22,12),-2.38683 # DEPENDENCYPART_ARC
(22,13),-2.15791 # DEPENDENCYPART_ARC
(22,14),-1.46014 # DEPENDENCYPART_ARC
(22,15),-2.42462 # DEPENDENCYPART_ARC
(22,16),0.0471542 # DEPENDENCYPART_ARC
(22,17),-0.443309 # DEPENDENCYPART_ARC
(22,18),-3.79151 # DEPENDENCYPART_ARC
(22,19),-0.789236 # DEPENDENCYPART_ARC
(22,20),1.27647 # DEPENDENCYPART_ARC
(22,21),2.39338 # DEPENDENCYPART_ARC
(22,23),-0.145019 # DEPENDENCYPART_ARC
(22,24),2.07498 # DEPENDENCYPART_ARC
(22,25),-2.69412 # DEPENDENCYPART_ARC
(22,26),-1.642 # DEPENDENCYPART_ARC
(22,27),-0.107381 # DEPENDENCYPART_ARC
(22,28),-1.94436 # DEPENDENCYPART_ARC
(22,29),-2.23813 # DEPENDENCYPART_ARC
(22,30),-0.79026 # DEPENDENCYPART_ARC
(22,31),0.0925145 # DEPENDENCYPART_ARC
(23,1),-2.91423 # DEPENDENCYPART_ARC
(23,2),-2.88989 # DEPENDENCYPART_ARC
(23,5),-2.53586 # DEPENDENCYPART_ARC
(23,8),-2.38889 # DEPENDENCYPART_ARC
(23,11),-2.27002 # DEPENDENCYPART_ARC
(23,13),-2.74641 # DEPENDENCYPART_ARC
(23,15),-2.42824 # DEPENDENCYPART_ARC
(23,20),-1.88494 # DEPENDENCYPART_ARC
(23,24),-0.33867 # DEPENDENCYPART_ARC
(23,30),-2.37381 # DEPENDENCYPART_ARC
(24,1),-4.14014 # DEPENDENCYPART_ARC
(24,2),-4.6414 # DEPENDENCYPART_ARC
(24,3),-1.77342 # DEPENDENCYPART_ARC
(24,4),-2.71599 # DEPENDENCYPART_ARC
(24,5),-3.54551 # DEPENDENCYPART_ARC
(24,6),-4.85359 # DEPENDENCYPART_ARC
(24,7),-3.16966 # DEPENDENCYPART_ARC
(24,8),-3.12457 # DEPENDENCYPART_ARC
(24,9),-1.07894 # DEPENDENCYPART_ARC
(24,10),-3.16804 # DEPENDENCYPART_ARC
(24,11),-2.94666 # DEPENDENCYPART_ARC
(24,12),-4.63862 # DEPENDENCYPART_ARC
(24,13),-3.05301 # DEPENDENCYPART_ARC
(24,14),-3.73086 # DEPENDENCYPART_ARC
(24,15),-2.5672 # DEPENDENCYPART_ARC
(24,16),-1.50965 # DEPENDENCYPART_ARC
(24,17),-3.51308 # DEPENDENCYPART_ARC
(24,18),-2.77399 # DEPENDENCYPART_ARC
(24,19),-0.843266 # DEPENDENCYPART_ARC
(24,20),-2.07854 # DEPENDENCYPART_ARC
(24,21),-0.455262 # DEPENDENCYPART_ARC
(24,22),-1.24371 # DEPENDENCYPART_ARC
(24,23),3.99791 # DEPENDENCYPART_ARC
(24,25),0.638733 # DEPENDENCYPART_ARC
(24,26),1.24434 # DEPENDENCYPART_ARC
(24,27),0.139184 # DEPENDENCYPART_ARC
(24,28),-1.12773 # DEPENDENCYPART_ARC
(24,29),-0.625601 # DEPENDENCYPART_ARC
(24,30),-1.25129 # DEPENDENCYPART_ARC
(24,31),0.167064 # DEPENDENCYPART_ARC
(25,3),-1.68084 # DEPENDENCYPART_ARC
(25,6),-1.82315 # DEPENDENCYPART_ARC
(25,7),-4.19605 # DEPENDENCYPART_ARC
(25,10),-1.74556 # DEPENDENCYPART_ARC
(25,12),-2.28232 # DEPENDENCYPART_ARC
(25,14),-2.03132 # DEPENDENCYPART_ARC
(25,16),-1.28772 # DEPENDENCYPART_ARC
(25,18),-3.36699 # DEPENDENCYPART_ARC
(25,19),-0.726375 # DEPENDENCYPART_ARC
(25,22),-2.50313 # DEPENDENCYPART_ARC
(25,23),0.878633 # DEPENDENCYPART_ARC
(25,26),-0.829396 # DEPENDENCYPART_ARC
(25,28),-2.22049 # DEPENDENCYPART_ARC
(25,29),-2.07853 # DEPENDENCYPART_ARC
(25,31),-1.35838 # DEPENDENCYPART_ARC
(26,1),-1.88356 # DEPENDENCYPART_ARC
(26,2),-2.45517 # DEPENDENCYPART_ARC
(26,3),-1.16468 # DEPENDENCYPART_ARC
(26,4),-1.77163 # DEPENDENCYPART_ARC
(26,5),-2.73372 # DEPENDENCYPART_ARC
(26,6),-3.72878 # DEPENDENCYPART_ARC
(26,7),-3.70589 # DEPENDENCYPART_ARC
(26,8),-3.42682 # DEPENDENCYPART_ARC
(26,9),-1.06875 # DEPENDENCYPART_ARC
(26,10),-3.42205 # DEPENDENCYPART_ARC
(26,11),-2.1375 # DEPENDENCYPART_ARC
(26,12),-3.79227 # DEPENDENCYPART_ARC
(26,13),-3.25558 # DEPENDENCYPART_ARC
(26,14),-2.99651 # DEPENDENCYPART_ARC
(26,15),-3.51578 # DEPENDENCYPART_ARC
(26,16),-0.238276 # DEPENDENCYPART_ARC
(26,17),-1.55072 # DEPENDENCYPART_ARC
(26,18),-4.86573 # DEPENDENCYPART_ARC
(26,19),-3.2024 # DEPENDENCYPART_ARC
(26,20),-0.107651 # DEPENDENCYPART_ARC
(26,21),-0.164446 # DEPENDENCYPART_ARC
(26,22),-3.37382 # DEPENDENCYPART_ARC
(26,23),-2.32525 # DEPENDENCYPART_ARC
(26,24),-0.763743 # DEPENDENCYPART_ARC
(26,25),2.96072 # DEPENDENCYPART_ARC
(26,27),1.89162 # DEPENDENCYPART_ARC
(26,28),-0.611537 # DEPENDENCYPART_ARC
(26,29),-0.239204 # DEPENDENCYPART_ARC
(26,30),0.237001 # DEPENDENCYPART_ARC
(26,31),0.330047 # DEPENDENCYPART_ARC
(27,1),-2.2072 # DEPENDENCYPART_ARC
(27,2),-2.21405 # DEPENDENCYPART_ARC
(27,3),-1.62994 # DEPENDENCYPART_ARC
(27,5),-2.17129 # DEPENDENCYPART_ARC
(27,6),-1.70371 # DEPENDENCYPART_ARC
(27,7),-2.03232 # DEPENDENCYPART_ARC
(27,8),-2.18229 # DEPENDENCYPART_ARC
(27,9),-1.37822 # DEPENDENCYPART_ARC
(27,10),-1.56916 # DEPENDENCYPART_ARC
(27,11),-2.04051 # DEPENDENCYPART_ARC
(27,12),-1.52336 # DEPENDENCYPART_ARC
(27,13),-2.06453 # DEPENDENCYPART_ARC
(27,14),-1.56972 # DEPENDENCYPART_ARC
(27,15),-2.02793 # DEPENDENCYPART_ARC
(27,16),-1.08891 # DEPENDENCYPART_ARC
(27,17),-1.79635 # DEPENDENCYPART_ARC
(27,18),-1.60179 # DEPENDENCYPART_ARC
(27,19),-1.31351 # DEPENDENCYPART_ARC
(27,20),-1.78323 # DEPENDENCYPART_ARC
(27,21),-1.03874 # DEPENDENCYPART_ARC
(27,22),-1.42588 # DEPENDENCYPART_ARC
(27,23),-0.834883 # DEPENDENCYPART_ARC
(27,24),-1.24746 # DEPENDENCYPART_ARC
(27,25),-0.632671 # DEPENDENCYPART_ARC
(27,26),-0.226988 # DEPENDENCYPART_ARC
(27,28),0.472984 # DEPENDENCYPART_ARC
(27,29),1.52105 # DEPENDENCYPART_ARC
(27,30),2.23317 # DEPENDENCYPART_ARC
(27,31),0.20468 # DEPENDENCYPART_ARC
(28,1),-2.79353 # DEPENDENCYPART_ARC
(28,2),-2.74548 # DEPENDENCYPART_ARC
(28,5),-2.90536 # DEPENDENCYPART_ARC
(28,8),-2.95077 # DEPENDENCYPART_ARC
(28,11),-2.90198 # DEPENDENCYPART_ARC
(28,13),-2.71951 # DEPENDENCYPART_ARC
(28,15),-2.85161 # DEPENDENCYPART_ARC
(28,20),-2.73287 # DEPENDENCYPART_ARC
(28,24),-2.61229 # DEPENDENCYPART_ARC
(28,30),-0.0437017 # DEPENDENCYPART_ARC
(29,1),-2.99527 # DEPENDENCYPART_ARC
(29,2),-3.09401 # DEPENDENCYPART_ARC
(29,3),-2.10801 # DEPENDENCYPART_ARC
(29,4),-2.44369 # DEPENDENCYPART_ARC
(29,5),-3.0248 # DEPENDENCYPART_ARC
(29,6),-3.50243 # DEPENDENCYPART_ARC
(29,7),-2.8019 # DEPENDENCYPART_ARC
(29,8),-4.30713 # DEPENDENCYPART_ARC
(29,9),-1.86013 # DEPENDENCYPART_ARC
(29,10),-2.88954 # DEPENDENCYPART_ARC
(29,11),-3.4811 # DEPENDENCYPART_ARC
(29,12),-2.79323 # DEPENDENCYPART_ARC
(29,13),-3.28053 # DEPENDENCYPART_ARC
(29,14),-2.46307 # DEPENDENCYPART_ARC
(29,15),-2.97085 # DEPENDENCYPART_ARC
(29,16),-1.96442 # DEPENDENCYPART_ARC
(29,17),-3.92178 # DEPENDENCYPART_ARC
(29,18),-4.46994 # DEPENDENCYPART_ARC
(29,19),-2.22467 # DEPENDENCYPART_ARC
(29,20),-2.61207 # DEPENDENCYPART_ARC
(29,22),-4.08474 # DEPENDENCYPART_ARC
(29,23),-1.64682 # DEPENDENCYPART_ARC
(29,24),-2.59315 # DEPENDENCYPART_ARC
(29,25),-1.5246 # DEPENDENCYPART_ARC
(29,26),-3.7335 # DEPENDENCYPART_ARC
(29,27),-0.482646 # DEPENDENCYPART_ARC
(29,28),0.570504 # DEPENDENCYPART_ARC
(29,30),0.0500996 # DEPENDENCYPART_ARC
(29,31),-0.534761 # DEPENDENCYPART_ARC
(30,1),-1.91868 # DEPENDENCYPART_ARC
(30,2),-2.68851 # DEPENDENCYPART_ARC
(30,3),-1.21149 # DEPENDENCYPART_ARC
(30,4),-1.63636 # DEPENDENCYPART_ARC
(30,5),-2.48882 # DEPENDENCYPART_ARC
(30,6),-5.02276 # DEPENDENCYPART_ARC
(30,7),-2.67955 # DEPENDENCYPART_ARC
(30,8),-2.83303 # DEPENDENCYPART_ARC
(30,9),-0.663592 # DEPENDENCYPART_ARC
(30,10),-3.44567 # DEPENDENCYPART_ARC
(30,11),-2.50392 # DEPENDENCYPART_ARC
(30,12),-3.70182 # DEPENDENCYPART_ARC
(30,13),-1.23205 # DEPENDENCYPART_ARC
(30,14),-2.96027 # DEPENDENCYPART_ARC
(30,15),-1.67319 # DEPENDENCYPART_ARC
(30,16),-1.04845 # DEPENDENCYPART_ARC
(30,17),-2.58192 # DEPENDENCYPART_ARC
(30,18),-2.06242 # DEPENDENCYPART_ARC
(30,19),-1.52339 # DEPENDENCYPART_ARC
(30,20),-1.78854 # DEPENDENCYPART_ARC
(30,21),-0.660724 # DEPENDENCYPART_ARC
(30,22),-2.20849 # DEPENDENCYPART_ARC
(30,23),-0.931694 # DEPENDENCYPART_ARC
(30,24),-2.18261 # DEPENDENCYPART_ARC
(30,25),-1.50471 # DEPENDENCYPART_ARC
(30,26),-1.23764 # DEPENDENCYPART_ARC
(30,27),0.237153 # DEPENDENCYPART_ARC
(30,28),3.35003 # DEPENDENCYPART_ARC
(30,29),3.49681 # DEPENDENCYPART_ARC
(30,31),0.520211 # DEPENDENCYPART_ARC
(31,1),-3.88128 # DEPENDENCYPART_ARC
(31,2),-4.05178 # DEPENDENCYPART_ARC
(31,3),-3.72369 # DEPENDENCYPART_ARC
(31,4),-4.34155 # DEPENDENCYPART_ARC
(31,5),-3.69256 # DEPENDENCYPART_ARC
(31,7),-2.89624 # DEPENDENCYPART_ARC
(31,8),-3.66399 # DEPENDENCYPART_ARC
(31,9),-3.76452 # DEPENDENCYPART_ARC
(31,11),-3.38811 # DEPENDENCYPART_ARC
(31,13),-3.3648 # DEPENDENCYPART_ARC
(31,15),-3.41266 # DEPENDENCYPART_ARC
(31,16),-2.85711 # DEPENDENCYPART_ARC
(31,17),-2.50667 # DEPENDENCYPART_ARC
(31,18),-2.69286 # DEPENDENCYPART_ARC
(31,20),-3.03226 # DEPENDENCYPART_ARC
(31,21),-1.99791 # DEPENDENCYPART_ARC
(31,22),-2.49157 # DEPENDENCYPART_ARC
(31,24),-2.44623 # DEPENDENCYPART_ARC
(31,25),-2.31548 # DEPENDENCYPART_ARC
(31,26),-2.47151 # DEPENDENCYPART_ARC
(31,27),-1.92294 # DEPENDENCYPART_ARC
(31,29),-1.70861 # DEPENDENCYPART_ARC
(31,30),-1.87781 # DEPENDENCYPART_ARC
