# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,6,6,6,0,8,6,11,11,8,8,15,15,21,21,20,20,20,21,8,24,24,21,8,8,28,26,28,0,
(17,10),-1.02173 # DEPENDENCYPART_ARC
(17,11),-1.5488 # DEPENDENCYPART_ARC
(17,12),-1.03303 # DEPENDENCYPART_ARC
(17,13),-0.50173 # DEPENDENCYPART_ARC
(17,14),-0.696709 # DEPENDENCYPART_ARC
(17,15),-0.63074 # DEPENDENCYPART_ARC
(17,16),-0.0242226 # DEPENDENCYPART_ARC
(17,18),0.174634 # DEPENDENCYPART_ARC
(17,19),-0.161655 # DEPENDENCYPART_ARC
(17,20),-0.484753 # DEPENDENCYPART_ARC
(17,21),-0.208036 # DEPENDENCYPART_ARC
(17,22),-1.02067 # DEPENDENCYPART_ARC
(17,23),-0.970776 # DEPENDENCYPART_ARC
(17,24),-0.976206 # DEPENDENCYPART_ARC
(17,25),-0.315071 # DEPENDENCYPART_ARC
(17,26),-0.629704 # DEPENDENCYPART_ARC
(17,27),-0.999682 # DEPENDENCYPART_ARC
(17,28),-1.33613 # DEPENDENCYPART_ARC
(17,29),-2.09292 # DEPENDENCYPART_ARC
(17,30),-0.5039 # DEPENDENCYPART_ARC
(18,1),-1.56716 # DEPENDENCYPART_ARC
(18,2),-1.64246 # DEPENDENCYPART_ARC
(18,3),-1.32422 # DEPENDENCYPART_ARC
(18,4),-1.68857 # DEPENDENCYPART_ARC
(18,5),-1.1493 # DEPENDENCYPART_ARC
(18,6),-1.56551 # DEPENDENCYPART_ARC
(18,7),-0.993346 # DEPENDENCYPART_ARC
(18,8),-1.46088 # DEPENDENCYPART_ARC
(18,9),-0.562506 # DEPENDENCYPART_ARC
(18,10),-0.578237 # DEPENDENCYPART_ARC
(18,11),-1.14294 # DEPENDENCYPART_ARC
(18,12),-0.860721 # DEPENDENCYPART_ARC
(18,13),0.0389006 # DEPENDENCYPART_ARC
(18,14),-0.387617 # DEPENDENCYPART_ARC
(18,15),-0.579713 # DEPENDENCYPART_ARC
(18,16),-0.310316 # DEPENDENCYPART_ARC
(18,17),1.32016 # DEPENDENCYPART_ARC
(18,19),0.612574 # DEPENDENCYPART_ARC
(18,20),0.203188 # DEPENDENCYPART_ARC
(18,21),-0.0382196 # DEPENDENCYPART_ARC
(18,22),-0.642367 # DEPENDENCYPART_ARC
(18,23),-0.0244572 # DEPENDENCYPART_ARC
(18,24),-0.0427273 # DEPENDENCYPART_ARC
(18,25),0.0730796 # DEPENDENCYPART_ARC
(18,26),-0.265746 # DEPENDENCYPART_ARC
(18,27),-0.947718 # DEPENDENCYPART_ARC
(18,28),-0.629829 # DEPENDENCYPART_ARC
(18,29),-1.03155 # DEPENDENCYPART_ARC
(18,30),-0.0254289 # DEPENDENCYPART_ARC
(19,1),-0.950484 # DEPENDENCYPART_ARC
(19,2),-1.04742 # DEPENDENCYPART_ARC
(19,3),-0.719001 # DEPENDENCYPART_ARC
(19,4),-1.03093 # DEPENDENCYPART_ARC
(19,5),-0.511381 # DEPENDENCYPART_ARC
(19,6),-0.980058 # DEPENDENCYPART_ARC
(19,7),-0.375884 # DEPENDENCYPART_ARC
(19,8),-0.756236 # DEPENDENCYPART_ARC
(19,9),0.142321 # DEPENDENCYPART_ARC
(19,10),0.108272 # DEPENDENCYPART_ARC
(19,11),-0.581215 # DEPENDENCYPART_ARC
(19,12),-0.285613 # DEPENDENCYPART_ARC
(19,13),0.656331 # DEPENDENCYPART_ARC
(19,14),0.30171 # DEPENDENCYPART_ARC
(19,15),-0.161508 # DEPENDENCYPART_ARC
(19,16),-0.0281148 # DEPENDENCYPART_ARC
(19,17),1.76124 # DEPENDENCYPART_ARC
(19,18),1.42053 # DEPENDENCYPART_ARC
(19,20),0.366895 # DEPENDENCYPART_ARC
(19,21),0.0619855 # DEPENDENCYPART_ARC
(19,22),-0.447081 # DEPENDENCYPART_ARC
(19,23),-0.0689952 # DEPENDENCYPART_ARC
(19,24),-0.172691 # DEPENDENCYPART_ARC
(19,25),0.0782276 # DEPENDENCYPART_ARC
(19,26),-0.328398 # DEPENDENCYPART_ARC
(19,27),-0.926272 # DEPENDENCYPART_ARC
(19,28),-0.73472 # DEPENDENCYPART_ARC
(19,29),-0.903147 # DEPENDENCYPART_ARC
(19,30),0.000224697 # DEPENDENCYPART_ARC
(20,1),-0.73871 # DEPENDENCYPART_ARC
(20,2),-0.882227 # DEPENDENCYPART_ARC
(20,3),-0.619509 # DEPENDENCYPART_ARC
(20,4),-0.856202 # DEPENDENCYPART_ARC
(20,5),-0.297298 # DEPENDENCYPART_ARC
(20,6),-0.792032 # DEPENDENCYPART_ARC
(20,7),-0.241569 # DEPENDENCYPART_ARC
(20,8),-0.588456 # DEPENDENCYPART_ARC
(20,9),0.63768 # DEPENDENCYPART_ARC
(20,10),0.17836 # DEPENDENCYPART_ARC
(20,11),-0.355552 # DEPENDENCYPART_ARC
(20,12),-0.217781 # DEPENDENCYPART_ARC
(20,13),1.3854 # DEPENDENCYPART_ARC
(20,14),0.839686 # DEPENDENCYPART_ARC
(20,15),-0.0746044 # DEPENDENCYPART_ARC
(20,16),-0.123424 # DEPENDENCYPART_ARC
(20,17),2.00951 # DEPENDENCYPART_ARC
(20,18),1.93578 # DEPENDENCYPART_ARC
(20,19),2.06308 # DEPENDENCYPART_ARC
(20,21),0.281144 # DEPENDENCYPART_ARC
(20,22),-0.447298 # DEPENDENCYPART_ARC
(20,23),-0.258029 # DEPENDENCYPART_ARC
(20,24),-0.424782 # DEPENDENCYPART_ARC
(20,25),-0.325706 # DEPENDENCYPART_ARC
(20,26),-0.593398 # DEPENDENCYPART_ARC
(20,27),-1.14607 # DEPENDENCYPART_ARC
(20,28),-0.943934 # DEPENDENCYPART_ARC
(20,29),-1.22435 # DEPENDENCYPART_ARC
(20,30),-0.0878678 # DEPENDENCYPART_ARC
(21,1),0.403279 # DEPENDENCYPART_ARC
(21,2),-0.289531 # DEPENDENCYPART_ARC
(21,3),0.890081 # DEPENDENCYPART_ARC
(21,4),0.277122 # DEPENDENCYPART_ARC
(21,5),0.0683659 # DEPENDENCYPART_ARC
(21,6),-0.440457 # DEPENDENCYPART_ARC
(21,7),0.0730619 # DEPENDENCYPART_ARC
(21,8),0.122084 # DEPENDENCYPART_ARC
(21,9),-0.334166 # DEPENDENCYPART_ARC
(21,10),0.276533 # DEPENDENCYPART_ARC
(21,11),0.963505 # DEPENDENCYPART_ARC
(21,12),0.657593 # DEPENDENCYPART_ARC
(21,13),-0.0805735 # DEPENDENCYPART_ARC
(21,14),0.320898 # DEPENDENCYPART_ARC
(21,15),1.16994 # DEPENDENCYPART_ARC
(21,16),1.57296 # DEPENDENCYPART_ARC
(21,17),0.33183 # DEPENDENCYPART_ARC
(21,18),0.649037 # DEPENDENCYPART_ARC
(21,19),0.507678 # DEPENDENCYPART_ARC
(21,20),0.882939 # DEPENDENCYPART_ARC
(21,22),0.382466 # DEPENDENCYPART_ARC
(21,23),1.08129 # DEPENDENCYPART_ARC
(21,24),1.02707 # DEPENDENCYPART_ARC
(21,25),0.674537 # DEPENDENCYPART_ARC
(21,26),0.14175 # DEPENDENCYPART_ARC
(21,27),-0.536175 # DEPENDENCYPART_ARC
(21,28),-0.291396 # DEPENDENCYPART_ARC
(21,29),-0.103715 # DEPENDENCYPART_ARC
(21,30),0.467847 # DEPENDENCYPART_ARC
(22,1),-1.87534 # DEPENDENCYPART_ARC
(22,2),-1.7653 # DEPENDENCYPART_ARC
(22,3),-1.56156 # DEPENDENCYPART_ARC
(22,4),-2.42189 # DEPENDENCYPART_ARC
(22,5),-1.53925 # DEPENDENCYPART_ARC
(22,6),-3.49639 # DEPENDENCYPART_ARC
(22,7),-1.43885 # DEPENDENCYPART_ARC
(22,8),-3.31364 # DEPENDENCYPART_ARC
(22,9),-1.62743 # DEPENDENCYPART_ARC
(22,10),-1.23916 # DEPENDENCYPART_ARC
(22,11),-1.80128 # DEPENDENCYPART_ARC
(22,12),-1.27129 # DEPENDENCYPART_ARC
(22,13),-0.917622 # DEPENDENCYPART_ARC
(22,14),-1.19552 # DEPENDENCYPART_ARC
(22,15),-1.30056 # DEPENDENCYPART_ARC
(22,16),-1.11271 # DEPENDENCYPART_ARC
(22,17),-0.659979 # DEPENDENCYPART_ARC
(22,18),-0.97263 # DEPENDENCYPART_ARC
(22,19),-0.759831 # DEPENDENCYPART_ARC
(22,20),-0.488991 # DEPENDENCYPART_ARC
(22,21),-0.06479 # DEPENDENCYPART_ARC
(22,23),0.0468892 # DEPENDENCYPART_ARC
(22,24),-0.3143 # DEPENDENCYPART_ARC
(22,25),-0.192343 # DEPENDENCYPART_ARC
(22,26),-0.489097 # DEPENDENCYPART_ARC
(22,27),-1.04172 # DEPENDENCYPART_ARC
(22,28),-1.29521 # DEPENDENCYPART_ARC
(22,29),-2.11677 # DEPENDENCYPART_ARC
(22,30),-0.468621 # DEPENDENCYPART_ARC
(23,1),-1.86594 # DEPENDENCYPART_ARC
(23,2),-1.9227 # DEPENDENCYPART_ARC
(23,3),-1.59946 # DEPENDENCYPART_ARC
(23,4),-1.82881 # DEPENDENCYPART_ARC
(23,5),-1.25137 # DEPENDENCYPART_ARC
(23,6),-1.74614 # DEPENDENCYPART_ARC
(23,7),-1.14028 # DEPENDENCYPART_ARC
(23,8),-1.58749 # DEPENDENCYPART_ARC
(23,9),-0.80814 # DEPENDENCYPART_ARC
(23,10),-0.824907 # DEPENDENCYPART_ARC
(23,11),-1.49694 # DEPENDENCYPART_ARC
(23,12),-1.23497 # DEPENDENCYPART_ARC
(23,13),-0.268314 # DEPENDENCYPART_ARC
(23,14),-0.68083 # DEPENDENCYPART_ARC
(23,15),-1.30888 # DEPENDENCYPART_ARC
(23,16),-1.33004 # DEPENDENCYPART_ARC
(23,17),-0.060032 # DEPENDENCYPART_ARC
(23,18),-0.561511 # DEPENDENCYPART_ARC
(23,19),-0.829937 # DEPENDENCYPART_ARC
(23,20),-0.605307 # DEPENDENCYPART_ARC
(23,21),-0.269108 # DEPENDENCYPART_ARC
(23,22),1.25365 # DEPENDENCYPART_ARC
(23,24),0.470878 # DEPENDENCYPART_ARC
(23,25),0.197124 # DEPENDENCYPART_ARC
(23,26),0.0584598 # DEPENDENCYPART_ARC
(23,27),-0.734343 # DEPENDENCYPART_ARC
(23,28),-0.281239 # DEPENDENCYPART_ARC
(23,29),-0.914936 # DEPENDENCYPART_ARC
(23,30),0.0856037 # DEPENDENCYPART_ARC
(24,1),-0.800567 # DEPENDENCYPART_ARC
(24,2),-0.917674 # DEPENDENCYPART_ARC
(24,3),-0.713219 # DEPENDENCYPART_ARC
(24,4),-0.749638 # DEPENDENCYPART_ARC
(24,5),-0.088771 # DEPENDENCYPART_ARC
(24,6),-0.662287 # DEPENDENCYPART_ARC
(24,7),-0.0439037 # DEPENDENCYPART_ARC
(24,8),-0.489759 # DEPENDENCYPART_ARC
(24,9),0.743993 # DEPENDENCYPART_ARC
(24,10),0.28163 # DEPENDENCYPART_ARC
(24,11),-0.491184 # DEPENDENCYPART_ARC
(24,12),-0.242439 # DEPENDENCYPART_ARC
(24,13),1.55882 # DEPENDENCYPART_ARC
(24,14),0.722255 # DEPENDENCYPART_ARC
(24,15),-0.192712 # DEPENDENCYPART_ARC
(24,16),-0.393676 # DEPENDENCYPART_ARC
(24,17),1.77572 # DEPENDENCYPART_ARC
(24,18),1.18139 # DEPENDENCYPART_ARC
(24,19),0.573153 # DEPENDENCYPART_ARC
(24,20),0.429726 # DEPENDENCYPART_ARC
(24,21),0.390441 # DEPENDENCYPART_ARC
(24,22),2.60264 # DEPENDENCYPART_ARC
(24,23),2.65737 # DEPENDENCYPART_ARC
(24,25),0.221888 # DEPENDENCYPART_ARC
(24,26),-0.108986 # DEPENDENCYPART_ARC
(24,27),-0.659776 # DEPENDENCYPART_ARC
(24,28),-0.311232 # DEPENDENCYPART_ARC
(24,29),-0.918732 # DEPENDENCYPART_ARC
(24,30),0.00754402 # DEPENDENCYPART_ARC
(25,1),-1.48556 # DEPENDENCYPART_ARC
(25,2),-1.66062 # DEPENDENCYPART_ARC
(25,3),-1.68065 # DEPENDENCYPART_ARC
(25,4),-1.42608 # DEPENDENCYPART_ARC
(25,5),-0.559781 # DEPENDENCYPART_ARC
(25,6),-0.428646 # DEPENDENCYPART_ARC
(25,7),-0.425744 # DEPENDENCYPART_ARC
(25,8),-0.211809 # DEPENDENCYPART_ARC
(25,9),-0.773304 # DEPENDENCYPART_ARC
(25,10),-0.586424 # DEPENDENCYPART_ARC
(25,11),-0.942604 # DEPENDENCYPART_ARC
(25,12),-0.84775 # DEPENDENCYPART_ARC
(25,13),-0.729048 # DEPENDENCYPART_ARC
(25,14),-0.598832 # DEPENDENCYPART_ARC
(25,15),-0.874593 # DEPENDENCYPART_ARC
(25,16),-0.719901 # DEPENDENCYPART_ARC
(25,17),-0.610574 # DEPENDENCYPART_ARC
(25,18),-0.530083 # DEPENDENCYPART_ARC
(25,19),-0.447148 # DEPENDENCYPART_ARC
(25,20),-0.549398 # DEPENDENCYPART_ARC
(25,21),-0.181192 # DEPENDENCYPART_ARC
(25,22),-0.110745 # DEPENDENCYPART_ARC
(25,23),-0.392672 # DEPENDENCYPART_ARC
(25,24),0.0733727 # DEPENDENCYPART_ARC
(25,26),0.0119652 # DEPENDENCYPART_ARC
(25,27),-0.326852 # DEPENDENCYPART_ARC
(25,28),0.127536 # DEPENDENCYPART_ARC
(25,29),-0.759834 # DEPENDENCYPART_ARC
(25,30),0.083439 # DEPENDENCYPART_ARC
(26,1),-2.28251 # DEPENDENCYPART_ARC
(26,2),-2.30248 # DEPENDENCYPART_ARC
(26,3),-1.3925 # DEPENDENCYPART_ARC
(26,4),-2.2631 # DEPENDENCYPART_ARC
(26,5),-1.44275 # DEPENDENCYPART_ARC
(26,6),-1.60145 # DEPENDENCYPART_ARC
(26,7),-1.21703 # DEPENDENCYPART_ARC
(26,8),-1.48347 # DEPENDENCYPART_ARC
(26,9),-1.25558 # DEPENDENCYPART_ARC
(26,10),-1.13041 # DEPENDENCYPART_ARC
(26,11),-1.90514 # DEPENDENCYPART_ARC
(26,12),-0.819876 # DEPENDENCYPART_ARC
(26,13),-1.25253 # DEPENDENCYPART_ARC
(26,14),-1.36933 # DEPENDENCYPART_ARC
(26,15),-1.84907 # DEPENDENCYPART_ARC
(26,16),-0.664371 # DEPENDENCYPART_ARC
(26,17),-1.02272 # DEPENDENCYPART_ARC
(26,18),-1.29996 # DEPENDENCYPART_ARC
(26,19),-1.22241 # DEPENDENCYPART_ARC
(26,20),-1.18998 # DEPENDENCYPART_ARC
(26,21),-0.366194 # DEPENDENCYPART_ARC
(26,22),-0.633034 # DEPENDENCYPART_ARC
(26,23),-0.857265 # DEPENDENCYPART_ARC
(26,24),-0.604267 # DEPENDENCYPART_ARC
(26,25),0.567167 # DEPENDENCYPART_ARC
(26,27),0.0656406 # DEPENDENCYPART_ARC
(26,28),2.55938 # DEPENDENCYPART_ARC
(26,29),0.157083 # DEPENDENCYPART_ARC
(26,30),0.388419 # DEPENDENCYPART_ARC
(27,1),-2.77073 # DEPENDENCYPART_ARC
(27,2),-2.7654 # DEPENDENCYPART_ARC
(27,3),-2.54461 # DEPENDENCYPART_ARC
(27,4),-3.36506 # DEPENDENCYPART_ARC
(27,5),-2.37467 # DEPENDENCYPART_ARC
(27,6),-3.79072 # DEPENDENCYPART_ARC
(27,7),-2.12028 # DEPENDENCYPART_ARC
(27,8),-3.47841 # DEPENDENCYPART_ARC
(27,9),-2.11487 # DEPENDENCYPART_ARC
(27,10),-2.02379 # DEPENDENCYPART_ARC
(27,11),-2.64325 # DEPENDENCYPART_ARC
(27,12),-2.05095 # DEPENDENCYPART_ARC
(27,13),-1.75791 # DEPENDENCYPART_ARC
(27,14),-1.99705 # DEPENDENCYPART_ARC
(27,15),-2.23677 # DEPENDENCYPART_ARC
(27,16),-2.01533 # DEPENDENCYPART_ARC
(27,17),-1.65358 # DEPENDENCYPART_ARC
(27,18),-1.82673 # DEPENDENCYPART_ARC
(27,19),-1.87037 # DEPENDENCYPART_ARC
(27,20),-1.80299 # DEPENDENCYPART_ARC
(27,21),-1.66267 # DEPENDENCYPART_ARC
(27,22),-1.26939 # DEPENDENCYPART_ARC
(27,23),-1.64938 # DEPENDENCYPART_ARC
(27,24),-1.43658 # DEPENDENCYPART_ARC
(27,25),-1.2266 # DEPENDENCYPART_ARC
(27,26),-0.613556 # DEPENDENCYPART_ARC
(27,28),0.281049 # DEPENDENCYPART_ARC
(27,29),-1.30783 # DEPENDENCYPART_ARC
(27,30),-0.328955 # DEPENDENCYPART_ARC
(28,1),-2.79896 # DEPENDENCYPART_ARC
(28,2),-3.30289 # DEPENDENCYPART_ARC
(28,3),-2.27019 # DEPENDENCYPART_ARC
(28,4),-4.9811 # DEPENDENCYPART_ARC
(28,5),-1.61043 # DEPENDENCYPART_ARC
(28,6),-2.93115 # DEPENDENCYPART_ARC
(28,7),-1.48477 # DEPENDENCYPART_ARC
(28,8),-2.78302 # DEPENDENCYPART_ARC
(28,9),-3.77063 # DEPENDENCYPART_ARC
(28,10),-1.56415 # DEPENDENCYPART_ARC
(28,11),-3.36106 # DEPENDENCYPART_ARC
(28,12),-1.41313 # DEPENDENCYPART_ARC
(28,13),-2.67749 # DEPENDENCYPART_ARC
(28,14),-1.24424 # DEPENDENCYPART_ARC
(28,15),-1.90151 # DEPENDENCYPART_ARC
(28,16),-1.61148 # DEPENDENCYPART_ARC
(28,17),-1.92044 # DEPENDENCYPART_ARC
(28,18),-1.11294 # DEPENDENCYPART_ARC
(28,19),-0.986626 # DEPENDENCYPART_ARC
(28,20),-1.1065 # DEPENDENCYPART_ARC
(28,21),-0.825465 # DEPENDENCYPART_ARC
(28,22),-0.972588 # DEPENDENCYPART_ARC
(28,23),-0.748075 # DEPENDENCYPART_ARC
(28,24),-0.705197 # DEPENDENCYPART_ARC
(28,25),-0.262951 # DEPENDENCYPART_ARC
(28,26),0.33043 # DEPENDENCYPART_ARC
(28,27),3.21903 # DEPENDENCYPART_ARC
(28,29),3.46077 # DEPENDENCYPART_ARC
(28,30),0.237564 # DEPENDENCYPART_ARC
(29,1),-2.73583 # DEPENDENCYPART_ARC
(29,2),-2.74133 # DEPENDENCYPART_ARC
(29,3),-1.44774 # DEPENDENCYPART_ARC
(29,4),-3.0471 # DEPENDENCYPART_ARC
(29,5),-1.56566 # DEPENDENCYPART_ARC
(29,6),-3.22361 # DEPENDENCYPART_ARC
(29,7),-1.4428 # DEPENDENCYPART_ARC
(29,8),-3.06701 # DEPENDENCYPART_ARC
(29,9),-1.21922 # DEPENDENCYPART_ARC
(29,10),-1.92394 # DEPENDENCYPART_ARC
(29,11),-2.36534 # DEPENDENCYPART_ARC
(29,12),-0.966688 # DEPENDENCYPART_ARC
(29,13),-1.50163 # DEPENDENCYPART_ARC
(29,14),-1.08772 # DEPENDENCYPART_ARC
(29,15),-2.84681 # DEPENDENCYPART_ARC
(29,16),-0.947699 # DEPENDENCYPART_ARC
(29,17),-1.29958 # DEPENDENCYPART_ARC
(29,18),-1.02894 # DEPENDENCYPART_ARC
(29,19),-1.05689 # DEPENDENCYPART_ARC
(29,20),-0.93433 # DEPENDENCYPART_ARC
(29,21),-0.644524 # DEPENDENCYPART_ARC
(29,22),-1.06581 # DEPENDENCYPART_ARC
(29,23),-0.88006 # DEPENDENCYPART_ARC
(29,24),-0.831052 # DEPENDENCYPART_ARC
(29,25),-0.547769 # DEPENDENCYPART_ARC
(29,26),-0.478023 # DEPENDENCYPART_ARC
(29,27),-0.211507 # DEPENDENCYPART_ARC
(29,28),-1.84911 # DEPENDENCYPART_ARC
(29,30),0.0657043 # DEPENDENCYPART_ARC
(30,1),-3.22424 # DEPENDENCYPART_ARC
(30,2),-3.39113 # DEPENDENCYPART_ARC
(30,3),-3.02935 # DEPENDENCYPART_ARC
(30,4),-3.08255 # DEPENDENCYPART_ARC
(30,5),-1.87541 # DEPENDENCYPART_ARC
(30,6),-2.53482 # DEPENDENCYPART_ARC
(30,7),-1.70695 # DEPENDENCYPART_ARC
(30,8),-2.17475 # DEPENDENCYPART_ARC
(30,9),-2.01798 # DEPENDENCYPART_ARC
(30,10),-1.55555 # DEPENDENCYPART_ARC
(30,11),-2.42008 # DEPENDENCYPART_ARC
(30,12),-2.08984 # DEPENDENCYPART_ARC
(30,13),-1.84254 # DEPENDENCYPART_ARC
(30,14),-1.62356 # DEPENDENCYPART_ARC
(30,15),-2.35056 # DEPENDENCYPART_ARC
(30,16),-2.23638 # DEPENDENCYPART_ARC
(30,17),-1.8341 # DEPENDENCYPART_ARC
(30,18),-1.60222 # DEPENDENCYPART_ARC
(30,19),-1.56621 # DEPENDENCYPART_ARC
(30,20),-1.63637 # DEPENDENCYPART_ARC
(30,21),-1.59325 # DEPENDENCYPART_ARC
(30,22),-1.65469 # DEPENDENCYPART_ARC
(30,23),-1.55748 # DEPENDENCYPART_ARC
(30,24),-1.54468 # DEPENDENCYPART_ARC
(30,25),-1.43621 # DEPENDENCYPART_ARC
(30,26),-1.5611 # DEPENDENCYPART_ARC
(30,27),-1.18313 # DEPENDENCYPART_ARC
(30,28),-1.56441 # DEPENDENCYPART_ARC
(30,29),-0.920933 # DEPENDENCYPART_ARC
