# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(21,24),0.489641 # DEPENDENCYPART_ARC
(22,1),-1.76993 # DEPENDENCYPART_ARC
(22,2),-2.78261 # DEPENDENCYPART_ARC
(22,3),-1.76894 # DEPENDENCYPART_ARC
(22,4),-1.31816 # DEPENDENCYPART_ARC
(22,5),-2.01098 # DEPENDENCYPART_ARC
(22,6),-1.45208 # DEPENDENCYPART_ARC
(22,7),-2.49184 # DEPENDENCYPART_ARC
(22,8),-1.64369 # DEPENDENCYPART_ARC
(22,9),-1.19209 # DEPENDENCYPART_ARC
(22,10),-2.0331 # DEPENDENCYPART_ARC
(22,11),-2.44133 # DEPENDENCYPART_ARC
(22,12),-1.72583 # DEPENDENCYPART_ARC
(22,13),-0.515763 # DEPENDENCYPART_ARC
(22,14),-1.61449 # DEPENDENCYPART_ARC
(22,15),-2.44967 # DEPENDENCYPART_ARC
(22,16),-2.06238 # DEPENDENCYPART_ARC
(22,17),-1.0006 # DEPENDENCYPART_ARC
(22,18),-1.05023 # DEPENDENCYPART_ARC
(22,19),-0.206536 # DEPENDENCYPART_ARC
(22,20),-1.50203 # DEPENDENCYPART_ARC
(22,21),0.186155 # DEPENDENCYPART_ARC
(22,23),0.31006 # DEPENDENCYPART_ARC
(22,24),0.185289 # DEPENDENCYPART_ARC
(23,1),-0.736947 # DEPENDENCYPART_ARC
(23,2),-2.20012 # DEPENDENCYPART_ARC
(23,3),-2.34685 # DEPENDENCYPART_ARC
(23,4),-2.4129 # DEPENDENCYPART_ARC
(23,5),-2.0003 # DEPENDENCYPART_ARC
(23,6),-1.90033 # DEPENDENCYPART_ARC
(23,7),-3.10839 # DEPENDENCYPART_ARC
(23,8),-1.06838 # DEPENDENCYPART_ARC
(23,9),-0.585113 # DEPENDENCYPART_ARC
(23,10),-1.8484 # DEPENDENCYPART_ARC
(23,11),-2.49076 # DEPENDENCYPART_ARC
(23,12),-0.852522 # DEPENDENCYPART_ARC
(23,13),-0.39307 # DEPENDENCYPART_ARC
(23,14),-1.29902 # DEPENDENCYPART_ARC
(23,15),-1.54298 # DEPENDENCYPART_ARC
(23,16),-1.47748 # DEPENDENCYPART_ARC
(23,17),-0.144179 # DEPENDENCYPART_ARC
(23,18),0.104567 # DEPENDENCYPART_ARC
(23,19),0.129198 # DEPENDENCYPART_ARC
(23,20),-0.715801 # DEPENDENCYPART_ARC
(23,21),1.00252 # DEPENDENCYPART_ARC
(23,22),2.68039 # DEPENDENCYPART_ARC
(23,24),0.558808 # DEPENDENCYPART_ARC
(24,1),-2.36803 # DEPENDENCYPART_ARC
(24,2),-2.67919 # DEPENDENCYPART_ARC
(24,3),-2.51595 # DEPENDENCYPART_ARC
(24,4),-2.31961 # DEPENDENCYPART_ARC
(24,5),-2.80341 # DEPENDENCYPART_ARC
(24,6),-2.26245 # DEPENDENCYPART_ARC
(24,7),-2.96665 # DEPENDENCYPART_ARC
(24,8),-2.38707 # DEPENDENCYPART_ARC
(24,9),-2.71339 # DEPENDENCYPART_ARC
(24,10),-2.33504 # DEPENDENCYPART_ARC
(24,11),-2.7957 # DEPENDENCYPART_ARC
(24,12),-2.2636 # DEPENDENCYPART_ARC
(24,13),-2.05562 # DEPENDENCYPART_ARC
(24,14),-2.48877 # DEPENDENCYPART_ARC
(24,15),-2.08516 # DEPENDENCYPART_ARC
(24,16),-2.16663 # DEPENDENCYPART_ARC
(24,17),-1.84224 # DEPENDENCYPART_ARC
(24,18),-1.58683 # DEPENDENCYPART_ARC
(24,19),-1.76299 # DEPENDENCYPART_ARC
(24,20),-1.83583 # DEPENDENCYPART_ARC
(24,21),-1.3546 # DEPENDENCYPART_ARC
(24,22),-1.54048 # DEPENDENCYPART_ARC
(24,23),-1.6075 # DEPENDENCYPART_ARC
