# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(6,3),(6,4),-0.0168137 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0551073 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0347143 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0107928 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.10689 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.10689 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.047725 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00113714 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0872055 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0335564 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0517852 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0123586 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0428209 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0428209 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0605434 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0107579 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0915841 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00947619 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00813094 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0717663 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0717663 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0197218 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0223018 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0341501 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0553965 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0591701 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0591701 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.181059 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.107979 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.021089 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0123416 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0123416 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0579697 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0488292 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0363641 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.218334 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.189417 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.114121 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.00475781 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.189417 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.114121 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00475781 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0571598 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0106642 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.012123 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.00201015 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0778225 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0270395 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0359684 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.067946 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0642569 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0253185 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0253185 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00464144 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0215756 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0261012 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0253185 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0252896 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00452129 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.00464144 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0252272 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.0248165 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0309703 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0186725 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00804216 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.041972 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0333424 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00855101 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0270637 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0270637 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0256507 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.000981557 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00203751 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0270637 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0270024 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0347046 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0256507 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0268947 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.027126 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.0193716 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0216731 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0435073 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0492959 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0384782 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00489929 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00489929 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0117905 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.023882 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0218486 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00489929 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00253772 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0396723 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0117905 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.00354811 # DEPENDENCYPART_SIBL
(7,3),(7,23),8.09542e-05 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.0675512 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0207026 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0461148 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0121533 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00867205 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00867205 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.07885 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00603746 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0593041 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00867205 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00350669 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.108562 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.07885 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.00800983 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.00578496 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.0987539 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.033816 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00161691 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00600392 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00600392 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00501156 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0179419 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00545157 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00600392 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00604216 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.00528878 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.00501156 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.00767087 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.00365611 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.0117394 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0184446 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0472893 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0472893 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0469774 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00290677 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0085776 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0472893 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0472749 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0139462 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0469774 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0472134 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.046814 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0269536 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0190663 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0190663 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.065009 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0488471 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00763206 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0190663 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.019067 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.033273 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.065009 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0190888 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0205883 # DEPENDENCYPART_SIBL
(7,8),(7,24),-0.000869895 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.22724 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.205228 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.116401 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0466144 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.22724 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.22724 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0175972 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.205228 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.227284 # DEPENDENCYPART_SIBL
(7,9),(7,23),-0.228049 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.0747997 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.205228 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.116401 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0466144 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.22724 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.22724 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0175972 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.205228 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.227284 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.228049 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0747997 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0534567 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0548328 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0108875 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0112485 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00841577 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.118607 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0109099 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.0124143 # DEPENDENCYPART_SIBL
(7,11),(7,24),0.0181702 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0203462 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0343123 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0343129 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0124613 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.146309 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0343347 # DEPENDENCYPART_SIBL
(7,12),(7,23),-0.0377524 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.0672797 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0578516 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0578522 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00204117 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0737261 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.057874 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.0593775 # DEPENDENCYPART_SIBL
(7,13),(7,24),-0.0381546 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.22724 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0175972 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.205228 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.227284 # DEPENDENCYPART_SIBL
(7,14),(7,23),-0.228049 # DEPENDENCYPART_SIBL
(7,14),(7,24),-0.0747997 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0153172 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.211848 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.228573 # DEPENDENCYPART_SIBL
(7,16),(7,23),-0.229338 # DEPENDENCYPART_SIBL
(7,16),(7,24),-0.0725198 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0363948 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.0043045 # DEPENDENCYPART_SIBL
(7,17),(7,23),0.00263794 # DEPENDENCYPART_SIBL
(7,17),(7,24),-0.111266 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.0109099 # DEPENDENCYPART_SIBL
(7,19),(7,23),-0.0124143 # DEPENDENCYPART_SIBL
(7,19),(7,24),0.0181702 # DEPENDENCYPART_SIBL
(7,21),(7,23),-0.23176 # DEPENDENCYPART_SIBL
(7,21),(7,24),-0.0754304 # DEPENDENCYPART_SIBL
(7,23),(7,24),-0.0714801 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.018123 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0254287 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.00837704 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0452662 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0486616 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0491801 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0452662 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0486616 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0256747 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.00603643 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0235568 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0450454 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.045564 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0235568 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0450454 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.069547 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0172081 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00408244 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.00408568 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0172081 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.00408244 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.173872 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0194422 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0194423 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.173872 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0194422 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0134966 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0135128 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0745375 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0134966 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0433524 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.102049 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0433523 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.102049 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.0433523 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0134966 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0171786 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.00277856 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.17391 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.00729789 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0158647 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0114074 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0155408 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.00992489 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00779483 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0509929 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0420799 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0436911 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0115065 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.122784 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0306154 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0192961 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0187022 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0528702 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0302957 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0108333 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0154328 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.016728 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.00373092 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.119571 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0795908 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0658628 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0562253 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0300806 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0656254 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0268394 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.024785 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.00637275 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.026681 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0732811 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0876491 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0888257 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.152714 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.074353 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0322641 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0482271 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.146115 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0519836 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0576493 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0381231 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0282256 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0139652 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00796674 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0117848 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0307305 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.00342314 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.018123 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0254287 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0280365 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0452662 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0486616 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.032186 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.00837704 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0256747 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0256457 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0235568 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0450454 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0271607 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00603643 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0115693 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0172081 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00408244 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0234736 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.069547 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.00602416 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00740863 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0303839 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0032421 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0134966 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0517174 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00474226 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0439488 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0320659 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0992927 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0182357 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.00552543 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0588088 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0107327 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00224517 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0494967 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0562237 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0562237 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0144206 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0107121 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0672815 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0722335 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0235579 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.00421787 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.00863679 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.072719 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0315191 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.00410183 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0255915 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0317502 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0209328 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.00300569 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0256391 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0256391 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.00834155 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0181557 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.00491711 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00990002 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0188636 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0021978 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00204407 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0104094 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.0245925 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0186175 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0547887 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0404239 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0262269 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00461018 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00461018 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.00412271 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0237034 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0233943 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.00925488 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.0247649 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0309627 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0115547 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.0148155 # DEPENDENCYPART_SIBL
(11,3),(11,24),-0.0394682 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0799693 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0268359 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0561809 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0376603 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0376603 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.015949 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0120452 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0850934 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0801034 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0172325 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.00647936 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0254806 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.074984 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.0456389 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0275884 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0653122 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.161793 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.161793 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00553847 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0274818 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0341045 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0390403 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.00339785 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.00346362 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00812502 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0395021 # DEPENDENCYPART_SIBL
(11,6),(11,24),0.00426942 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0894571 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.182997 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.182997 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00800047 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0240479 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0573745 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0623103 # DEPENDENCYPART_SIBL
