# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,7,12,13,16,14,20,20,20,14,22,20,24,20,26,24,28,26,30,28,32,30,0,
(17,15),(17,26),-0.0234854 # DEPENDENCYPART_SIBL
(17,15),(17,30),-0.0282629 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.00935029 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0461609 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0107248 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.00460544 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0171799 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.00529337 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0177195 # DEPENDENCYPART_SIBL
(17,16),(17,30),-0.0227411 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.00682786 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0505716 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0505716 # DEPENDENCYPART_SIBL
(17,18),(17,23),0.00977741 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.00904381 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0794891 # DEPENDENCYPART_SIBL
(17,18),(17,30),-0.0790624 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0361581 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.035953 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0266071 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0303311 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.119558 # DEPENDENCYPART_SIBL
(17,19),(17,30),-0.119131 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0805991 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.00285511 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0100933 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.0877251 # DEPENDENCYPART_SIBL
(17,20),(17,30),-0.0866356 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.00299891 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.00406578 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.103041 # DEPENDENCYPART_SIBL
(17,22),(17,30),-0.101951 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0381128 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.00848009 # DEPENDENCYPART_SIBL
(17,23),(17,30),-0.00805125 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.093419 # DEPENDENCYPART_SIBL
(17,24),(17,30),-0.0929911 # DEPENDENCYPART_SIBL
(17,26),(17,30),-0.270086 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.00213149 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.0211248 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.019728 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.00715728 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.12748 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0410822 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0410598 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.00541055 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.00498184 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.00844396 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.0170975 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0195796 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.00705109 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.127373 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0420739 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0420514 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.00157397 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.00698944 # DEPENDENCYPART_SIBL
(18,9),(18,26),-0.00925984 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.0248496 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0400537 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.101201 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.00851329 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.00849643 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0195519 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0952228 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.000430552 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0379253 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.0957614 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.026818 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0200343 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0526299 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0244997 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.02001 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0704163 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.00111071 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.00114057 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.022868 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.00893219 # DEPENDENCYPART_SIBL
(18,16),(18,26),0.000492599 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0018352 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.00185356 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.000603427 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0086626 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.00596649 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.146597 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0186367 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0279019 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0283149 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0188047 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0279019 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0314492 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0642753 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.000538027 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0126747 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0351611 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0343326 # DEPENDENCYPART_SIBL
(19,6),(19,22),0.0393126 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0343326 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0393126 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.109784 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.100446 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.19155 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.172393 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.161928 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0251979 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0351895 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0752525 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.040185 # DEPENDENCYPART_SIBL
(20,15),(20,26),0.0134157 # DEPENDENCYPART_SIBL
(20,15),(20,28),0.0248416 # DEPENDENCYPART_SIBL
(20,15),(20,30),0.0150326 # DEPENDENCYPART_SIBL
(20,15),(20,32),0.0248417 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.0094991 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.00847239 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0540141 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.039274 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0154723 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0151978 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0191751 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0265575 # DEPENDENCYPART_SIBL
(20,16),(20,28),0.0108503 # DEPENDENCYPART_SIBL
(20,16),(20,30),0.0276863 # DEPENDENCYPART_SIBL
(20,16),(20,32),0.012023 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0193811 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0404043 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0157605 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.0583065 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.0212456 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.0268372 # DEPENDENCYPART_SIBL
(20,17),(20,26),0.00568312 # DEPENDENCYPART_SIBL
(20,17),(20,28),0.0545164 # DEPENDENCYPART_SIBL
(20,17),(20,30),0.00638941 # DEPENDENCYPART_SIBL
(20,17),(20,32),0.0548573 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0452914 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0110682 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.000249332 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0198474 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.0395812 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0187807 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.0036986 # DEPENDENCYPART_SIBL
(20,18),(20,30),0.0195057 # DEPENDENCYPART_SIBL
(20,18),(20,32),-0.0036986 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0195882 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0221353 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0215828 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0419563 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.00627368 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0255858 # DEPENDENCYPART_SIBL
(20,19),(20,30),-0.00557841 # DEPENDENCYPART_SIBL
(20,19),(20,32),-0.0255846 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.00368612 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0740067 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0470674 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0405574 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.00368612 # DEPENDENCYPART_SIBL
(20,21),(20,30),-0.0405289 # DEPENDENCYPART_SIBL
(20,21),(20,32),-0.00368612 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0406566 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.00506754 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.00787684 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.122284 # DEPENDENCYPART_SIBL
(20,22),(20,30),0.00816135 # DEPENDENCYPART_SIBL
(20,22),(20,32),-0.122284 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.00352736 # DEPENDENCYPART_SIBL
(20,23),(20,26),0.0164552 # DEPENDENCYPART_SIBL
(20,23),(20,28),0.0607007 # DEPENDENCYPART_SIBL
(20,23),(20,30),0.0164879 # DEPENDENCYPART_SIBL
(20,23),(20,32),0.0607007 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.00749401 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.00260275 # DEPENDENCYPART_SIBL
(20,24),(20,30),0.00752475 # DEPENDENCYPART_SIBL
(20,24),(20,32),-0.0020782 # DEPENDENCYPART_SIBL
(20,26),(20,28),0.0179933 # DEPENDENCYPART_SIBL
(20,26),(20,30),-0.0930254 # DEPENDENCYPART_SIBL
(20,26),(20,32),0.0179946 # DEPENDENCYPART_SIBL
(20,28),(20,30),0.00833354 # DEPENDENCYPART_SIBL
(20,28),(20,32),-0.122221 # DEPENDENCYPART_SIBL
(20,30),(20,32),0.0180189 # DEPENDENCYPART_SIBL
(22,15),(22,16),0.0778085 # DEPENDENCYPART_SIBL
(22,15),(22,20),0.104002 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.366333 # DEPENDENCYPART_SIBL
(22,15),(22,23),-0.0783464 # DEPENDENCYPART_SIBL
(22,15),(22,24),0.0370265 # DEPENDENCYPART_SIBL
(22,15),(22,25),-0.0731041 # DEPENDENCYPART_SIBL
(22,15),(22,26),-0.00228216 # DEPENDENCYPART_SIBL
(22,15),(22,28),0.0221629 # DEPENDENCYPART_SIBL
(22,15),(22,30),-0.00066524 # DEPENDENCYPART_SIBL
(22,15),(22,32),0.0221629 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.024219 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.113492 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0183013 # DEPENDENCYPART_SIBL
(22,16),(22,24),0.0159995 # DEPENDENCYPART_SIBL
(22,16),(22,25),-0.0808828 # DEPENDENCYPART_SIBL
(22,16),(22,26),0.01091 # DEPENDENCYPART_SIBL
(22,16),(22,28),0.00814582 # DEPENDENCYPART_SIBL
(22,16),(22,30),0.0120388 # DEPENDENCYPART_SIBL
(22,16),(22,32),0.00931857 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.128738 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0120187 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.00308187 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0420608 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0016437 # DEPENDENCYPART_SIBL
(22,20),(22,28),-0.0035612 # DEPENDENCYPART_SIBL
(22,20),(22,30),-9.26475e-06 # DEPENDENCYPART_SIBL
(22,20),(22,32),0.000408263 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0183866 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.00211178 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0270774 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0202905 # DEPENDENCYPART_SIBL
(22,21),(22,28),0.10154 # DEPENDENCYPART_SIBL
(22,21),(22,30),0.0228075 # DEPENDENCYPART_SIBL
(22,21),(22,32),0.10154 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.00369908 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.00587792 # DEPENDENCYPART_SIBL
(22,23),(22,26),0.0166262 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.0608782 # DEPENDENCYPART_SIBL
(22,23),(22,30),0.0166589 # DEPENDENCYPART_SIBL
(22,23),(22,32),0.0608782 # DEPENDENCYPART_SIBL
(22,24),(22,25),0.00382931 # DEPENDENCYPART_SIBL
(22,24),(22,26),0.00749401 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.00259621 # DEPENDENCYPART_SIBL
(22,24),(22,30),0.00752475 # DEPENDENCYPART_SIBL
(22,24),(22,32),-0.00207165 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.00718762 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.0473379 # DEPENDENCYPART_SIBL
(22,25),(22,30),-0.00715909 # DEPENDENCYPART_SIBL
(22,25),(22,32),-0.0473379 # DEPENDENCYPART_SIBL
(22,26),(22,28),0.0184708 # DEPENDENCYPART_SIBL
(22,26),(22,30),-0.092561 # DEPENDENCYPART_SIBL
(22,26),(22,32),0.0184721 # DEPENDENCYPART_SIBL
(22,28),(22,30),0.00834336 # DEPENDENCYPART_SIBL
(22,28),(22,32),-0.122205 # DEPENDENCYPART_SIBL
(22,30),(22,32),0.0184964 # DEPENDENCYPART_SIBL
(23,14),(23,16),-0.0520355 # DEPENDENCYPART_SIBL
(23,14),(23,20),-0.0497492 # DEPENDENCYPART_SIBL
(23,14),(23,22),-0.037561 # DEPENDENCYPART_SIBL
(23,14),(23,24),0.309534 # DEPENDENCYPART_SIBL
(23,14),(23,26),0.0378024 # DEPENDENCYPART_SIBL
(23,14),(23,28),0.0421849 # DEPENDENCYPART_SIBL
(23,14),(23,32),0.0377569 # DEPENDENCYPART_SIBL
(23,16),(23,20),0.00913784 # DEPENDENCYPART_SIBL
(23,16),(23,22),0.021302 # DEPENDENCYPART_SIBL
(23,16),(23,24),0.0904268 # DEPENDENCYPART_SIBL
(23,16),(23,26),0.089277 # DEPENDENCYPART_SIBL
(23,16),(23,28),0.11932 # DEPENDENCYPART_SIBL
(23,16),(23,32),0.120492 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.00285745 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.0262991 # DEPENDENCYPART_SIBL
(23,20),(23,26),0.0181377 # DEPENDENCYPART_SIBL
(23,20),(23,28),0.201304 # DEPENDENCYPART_SIBL
(23,20),(23,32),0.205274 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.0321372 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.0240556 # DEPENDENCYPART_SIBL
(23,22),(23,28),0.212442 # DEPENDENCYPART_SIBL
(23,22),(23,32),0.216411 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.00887706 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.0106426 # DEPENDENCYPART_SIBL
(23,24),(23,32),-0.010118 # DEPENDENCYPART_SIBL
(23,26),(23,28),-0.00647064 # DEPENDENCYPART_SIBL
(23,26),(23,32),-0.00646941 # DEPENDENCYPART_SIBL
(23,28),(23,32),-0.0437396 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.0496462 # DEPENDENCYPART_SIBL
(24,22),(24,25),-0.0478018 # DEPENDENCYPART_SIBL
(24,22),(24,26),-0.0438353 # DEPENDENCYPART_SIBL
(24,22),(24,28),-0.0529232 # DEPENDENCYPART_SIBL
(24,22),(24,30),-0.0428961 # DEPENDENCYPART_SIBL
(24,22),(24,32),-0.0489239 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.00228946 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.0696868 # DEPENDENCYPART_SIBL
(24,23),(24,28),0.0426818 # DEPENDENCYPART_SIBL
(24,23),(24,30),0.0657518 # DEPENDENCYPART_SIBL
(24,23),(24,32),0.042712 # DEPENDENCYPART_SIBL
(24,25),(24,26),0.00552596 # DEPENDENCYPART_SIBL
(24,25),(24,28),-0.164166 # DEPENDENCYPART_SIBL
(24,25),(24,30),0.00552596 # DEPENDENCYPART_SIBL
(24,25),(24,32),-0.164166 # DEPENDENCYPART_SIBL
(24,26),(24,28),-0.149199 # DEPENDENCYPART_SIBL
(24,26),(24,30),-0.157471 # DEPENDENCYPART_SIBL
(24,26),(24,32),-0.149197 # DEPENDENCYPART_SIBL
(24,28),(24,30),-0.217293 # DEPENDENCYPART_SIBL
(24,28),(24,32),-0.541529 # DEPENDENCYPART_SIBL
(24,30),(24,32),-0.149197 # DEPENDENCYPART_SIBL
(25,26),(25,28),-0.0109145 # DEPENDENCYPART_SIBL
(26,1),(26,2),0.000223967 # DEPENDENCYPART_SIBL
(26,1),(26,4),-0.00799953 # DEPENDENCYPART_SIBL
(26,1),(26,7),0.000223967 # DEPENDENCYPART_SIBL
(26,1),(26,8),0.0261854 # DEPENDENCYPART_SIBL
(26,1),(26,9),0.022932 # DEPENDENCYPART_SIBL
(26,1),(26,10),-0.00114016 # DEPENDENCYPART_SIBL
(26,1),(26,14),-0.0082678 # DEPENDENCYPART_SIBL
(26,1),(26,16),-0.00996296 # DEPENDENCYPART_SIBL
(26,1),(26,17),0.023615 # DEPENDENCYPART_SIBL
(26,1),(26,18),0.0262162 # DEPENDENCYPART_SIBL
(26,1),(26,19),-0.00416436 # DEPENDENCYPART_SIBL
(26,1),(26,20),-0.0105776 # DEPENDENCYPART_SIBL
(26,1),(26,21),-0.0442495 # DEPENDENCYPART_SIBL
(26,1),(26,22),-0.00799899 # DEPENDENCYPART_SIBL
(26,1),(26,23),-0.0635047 # DEPENDENCYPART_SIBL
(26,1),(26,24),-0.00174768 # DEPENDENCYPART_SIBL
(26,1),(26,25),-0.0731489 # DEPENDENCYPART_SIBL
(26,1),(26,27),-0.0480111 # DEPENDENCYPART_SIBL
(26,1),(26,28),-0.0964069 # DEPENDENCYPART_SIBL
(26,1),(26,30),-0.0630233 # DEPENDENCYPART_SIBL
(26,1),(26,32),-0.0962317 # DEPENDENCYPART_SIBL
(26,1),(26,33),0.0296891 # DEPENDENCYPART_SIBL
(26,2),(26,4),-0.0746389 # DEPENDENCYPART_SIBL
(26,2),(26,7),-0.120284 # DEPENDENCYPART_SIBL
(26,2),(26,8),-0.00753547 # DEPENDENCYPART_SIBL
(26,2),(26,9),-0.0086774 # DEPENDENCYPART_SIBL
(26,2),(26,10),-0.0131624 # DEPENDENCYPART_SIBL
(26,2),(26,14),-0.022965 # DEPENDENCYPART_SIBL
(26,2),(26,16),-0.0624015 # DEPENDENCYPART_SIBL
(26,2),(26,17),-0.0188852 # DEPENDENCYPART_SIBL
(26,2),(26,18),-0.00750804 # DEPENDENCYPART_SIBL
(26,2),(26,19),-0.0400752 # DEPENDENCYPART_SIBL
(26,2),(26,20),-0.0746352 # DEPENDENCYPART_SIBL
(26,2),(26,21),-0.065506 # DEPENDENCYPART_SIBL
(26,2),(26,22),-0.0746352 # DEPENDENCYPART_SIBL
(26,2),(26,23),-0.00762823 # DEPENDENCYPART_SIBL
(26,2),(26,24),-0.0252878 # DEPENDENCYPART_SIBL
(26,2),(26,25),-0.15358 # DEPENDENCYPART_SIBL
(26,2),(26,27),-0.0144732 # DEPENDENCYPART_SIBL
(26,2),(26,28),-0.0110015 # DEPENDENCYPART_SIBL
(26,2),(26,30),0.0562505 # DEPENDENCYPART_SIBL
(26,2),(26,32),-0.010821 # DEPENDENCYPART_SIBL
(26,2),(26,33),-0.0450081 # DEPENDENCYPART_SIBL
(26,4),(26,7),-0.0242549 # DEPENDENCYPART_SIBL
(26,4),(26,8),-0.0150542 # DEPENDENCYPART_SIBL
(26,4),(26,9),-0.0161957 # DEPENDENCYPART_SIBL
(26,4),(26,10),-0.0316581 # DEPENDENCYPART_SIBL
(26,4),(26,14),-0.0263391 # DEPENDENCYPART_SIBL
(26,4),(26,16),-0.0597817 # DEPENDENCYPART_SIBL
(26,4),(26,17),-0.043699 # DEPENDENCYPART_SIBL
(26,4),(26,18),-0.0150543 # DEPENDENCYPART_SIBL
(26,4),(26,19),-0.0717857 # DEPENDENCYPART_SIBL
(26,4),(26,20),-0.182388 # DEPENDENCYPART_SIBL
(26,4),(26,21),-0.0916985 # DEPENDENCYPART_SIBL
(26,4),(26,22),-0.182989 # DEPENDENCYPART_SIBL
(26,4),(26,23),-0.0407432 # DEPENDENCYPART_SIBL
(26,4),(26,24),-0.0341883 # DEPENDENCYPART_SIBL
(26,4),(26,25),0.00797824 # DEPENDENCYPART_SIBL
(26,4),(26,27),0.0144918 # DEPENDENCYPART_SIBL
(26,4),(26,28),-0.0116177 # DEPENDENCYPART_SIBL
(26,4),(26,30),-0.00850741 # DEPENDENCYPART_SIBL
(26,4),(26,32),-0.00747148 # DEPENDENCYPART_SIBL
(26,4),(26,33),-0.0236098 # DEPENDENCYPART_SIBL
(26,7),(26,8),-0.00753547 # DEPENDENCYPART_SIBL
(26,7),(26,9),-0.0086774 # DEPENDENCYPART_SIBL
(26,7),(26,10),-0.0131624 # DEPENDENCYPART_SIBL
(26,7),(26,14),-0.022965 # DEPENDENCYPART_SIBL
(26,7),(26,16),-0.0624015 # DEPENDENCYPART_SIBL
(26,7),(26,17),-0.0188852 # DEPENDENCYPART_SIBL
(26,7),(26,18),-0.00750804 # DEPENDENCYPART_SIBL
(26,7),(26,19),-0.0400752 # DEPENDENCYPART_SIBL
(26,7),(26,20),-0.0746352 # DEPENDENCYPART_SIBL
(26,7),(26,21),-0.065506 # DEPENDENCYPART_SIBL
(26,7),(26,22),-0.0746352 # DEPENDENCYPART_SIBL
(26,7),(26,23),-0.00762823 # DEPENDENCYPART_SIBL
(26,7),(26,24),-0.0252878 # DEPENDENCYPART_SIBL
(26,7),(26,25),-0.15358 # DEPENDENCYPART_SIBL
(26,7),(26,27),-0.0144732 # DEPENDENCYPART_SIBL
(26,7),(26,28),-0.0110015 # DEPENDENCYPART_SIBL
(26,7),(26,30),0.0562505 # DEPENDENCYPART_SIBL
(26,7),(26,32),-0.010821 # DEPENDENCYPART_SIBL
(26,7),(26,33),-0.0450081 # DEPENDENCYPART_SIBL
(26,8),(26,9),-0.0254292 # DEPENDENCYPART_SIBL
(26,8),(26,10),-0.0124754 # DEPENDENCYPART_SIBL
(26,8),(26,14),-0.013794 # DEPENDENCYPART_SIBL
(26,8),(26,16),-0.0212643 # DEPENDENCYPART_SIBL
(26,8),(26,17),0.0117382 # DEPENDENCYPART_SIBL
(26,8),(26,18),-0.0242899 # DEPENDENCYPART_SIBL
(26,8),(26,19),-0.0180017 # DEPENDENCYPART_SIBL
(26,8),(26,20),0.0133175 # DEPENDENCYPART_SIBL
(26,8),(26,21),-0.0264663 # DEPENDENCYPART_SIBL
(26,8),(26,22),0.0138113 # DEPENDENCYPART_SIBL
(26,8),(26,23),0.0117988 # DEPENDENCYPART_SIBL
(26,8),(26,24),-0.0101874 # DEPENDENCYPART_SIBL
(26,8),(26,25),-0.0617323 # DEPENDENCYPART_SIBL
(26,8),(26,27),-0.00996976 # DEPENDENCYPART_SIBL
(26,8),(26,28),-0.00458454 # DEPENDENCYPART_SIBL
(26,8),(26,30),-0.0196613 # DEPENDENCYPART_SIBL
(26,8),(26,32),-0.00440953 # DEPENDENCYPART_SIBL
(26,8),(26,33),-0.0452808 # DEPENDENCYPART_SIBL
(26,9),(26,10),-0.0230411 # DEPENDENCYPART_SIBL
(26,9),(26,14),-0.0207833 # DEPENDENCYPART_SIBL
(26,9),(26,16),-0.024081 # DEPENDENCYPART_SIBL
(26,9),(26,17),0.00892129 # DEPENDENCYPART_SIBL
(26,9),(26,18),-0.0271061 # DEPENDENCYPART_SIBL
(26,9),(26,19),-0.0208178 # DEPENDENCYPART_SIBL
(26,9),(26,20),0.00939166 # DEPENDENCYPART_SIBL
(26,9),(26,21),-0.0293681 # DEPENDENCYPART_SIBL
(26,9),(26,22),0.00988544 # DEPENDENCYPART_SIBL
(26,9),(26,23),0.00853035 # DEPENDENCYPART_SIBL
(26,9),(26,24),-0.0171767 # DEPENDENCYPART_SIBL
(26,9),(26,25),-0.0646984 # DEPENDENCYPART_SIBL
(26,9),(26,27),-0.0112494 # DEPENDENCYPART_SIBL
(26,9),(26,28),-0.00449668 # DEPENDENCYPART_SIBL
(26,9),(26,30),-0.0220264 # DEPENDENCYPART_SIBL
(26,9),(26,32),-0.00432166 # DEPENDENCYPART_SIBL
(26,9),(26,33),-0.049489 # DEPENDENCYPART_SIBL
(26,10),(26,14),-0.0544388 # DEPENDENCYPART_SIBL
(26,10),(26,16),0.00271237 # DEPENDENCYPART_SIBL
(26,10),(26,17),-0.0046061 # DEPENDENCYPART_SIBL
(26,10),(26,18),-0.032866 # DEPENDENCYPART_SIBL
(26,10),(26,19),-0.00941046 # DEPENDENCYPART_SIBL
(26,10),(26,20),0.00684228 # DEPENDENCYPART_SIBL
(26,10),(26,21),-0.0421215 # DEPENDENCYPART_SIBL
(26,10),(26,22),0.006885 # DEPENDENCYPART_SIBL
(26,10),(26,23),0.0232366 # DEPENDENCYPART_SIBL
(26,10),(26,24),-0.0368329 # DEPENDENCYPART_SIBL
(26,10),(26,25),0.0712624 # DEPENDENCYPART_SIBL
(26,10),(26,27),-0.0040969 # DEPENDENCYPART_SIBL
