# _root_ Ασφαλώς , η συνόψιση των μέχρι τώρα οδηγιών , η εναρμόνιση και ο εκσυγχρονισμός τους αποτελούν ένα πολύ ουσιαστικό βήμα .
#goldHeads=16,16,4,12,8,8,6,4,12,11,12,16,14,12,14,0,20,19,20,16,0,
#predictedHeads=16,16,4,12,6,4,6,6,12,11,12,16,14,12,14,0,20,19,20,16,0,
(6,9),(6,11),0.0240946 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0877235 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0240837 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.100024 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.459328 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.463303 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.166289 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0437828 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0545579 # DEPENDENCYPART_SIBL
(6,14),(6,21),-0.166289 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0495474 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0196878 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0271031 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0147333 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0414768 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.001107 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0414768 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0105301 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0414768 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0117037 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.010611 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0326028 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0226903 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0172274 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00252836 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.310449 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00433462 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0732014 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00428504 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.117196 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0253507 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0259334 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.041408 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00987385 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0216555 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00987378 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0259448 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00986328 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0064467 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00890622 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0227118 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0295608 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0423735 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.029332 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0141489 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0293335 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00216299 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0377338 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.015913 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0103758 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.015709 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.076888 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0157617 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00231687 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0148161 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0165086 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.146491 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.141369 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.146492 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0281551 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0136333 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00346304 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0248758 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00345216 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.00196045 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0160427 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.14023 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.146449 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0281551 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0136333 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0163164 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00528224 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0337608 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0281573 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0136333 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0310072 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00667667 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.122183 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0316133 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.101077 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0332296 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.00630114 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0178867 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0182492 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00132439 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00424097 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.00494092 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.00202549 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.119576 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0656242 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.114304 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0479545 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00470094 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.192008 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0392622 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0266868 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0276344 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.000489793 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0322641 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0743518 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.398199 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0702732 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0962993 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0831506 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0128305 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.053608 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.032214 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0168074 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0530163 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.120907 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0337483 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0176049 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0120197 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0272521 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0032316 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00522022 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00716104 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.000221488 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.114587 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.143159 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0334231 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0357064 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0372627 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0383705 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0485656 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0366709 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00214614 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0527393 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0455969 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0300003 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.00409579 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0215744 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0303525 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0200572 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0183266 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.000101307 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.00688123 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00352495 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.00324858 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.000638422 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0608782 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.000719687 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0155541 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0608158 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.014242 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.064914 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0362864 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0142425 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.173872 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0057594 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.123873 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.00632074 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.00478172 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.0184373 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.179804 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0377385 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.000578897 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0108421 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0377379 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0971475 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.119414 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0971408 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0842839 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0526502 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.00561444 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.186654 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0155992 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0781586 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.186653 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0246367 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0331941 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0245804 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0138496 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0613735 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.0652742 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0207594 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0029424 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.00416141 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.216411 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.152488 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.21639 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0221358 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0249867 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.00673526 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0531772 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.035119 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0833181 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.163035 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0832587 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0501179 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0358546 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.00776616 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0391168 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0983637 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.121817 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.098357 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0757366 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0522072 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.00611546 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.219555 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.152482 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.219534 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0221257 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.024982 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.00673074 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00821532 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0437409 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0532076 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0692641 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.104302 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0158037 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.00650507 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.0219187 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.0825054 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0532053 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.069264 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.104302 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0139041 # DEPENDENCYPART_SIBL
(9,16),(9,21),0.129409 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.00265444 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.00667667 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.122366 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.101255 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0332296 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.00630114 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0315833 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.00667667 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.122366 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0175296 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.00132113 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.00502484 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00488737 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.00203125 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.11976 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.114482 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0479545 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00470094 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0655942 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.006372 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.11976 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.03663 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0267331 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.000405869 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0189688 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0322583 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.398377 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0702732 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0962993 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0742521 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0577291 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.41506 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0122864 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0519787 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0182755 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0516343 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.0513919 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.114587 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.143159 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.155474 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0979785 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.380095 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0367987 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0340033 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0455455 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0492902 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0334163 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.00233477 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00989672 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.00284616 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.16647 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0448604 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0300496 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0214905 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0349985 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0303468 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0329581 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.00204165 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.122682 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0176071 # DEPENDENCYPART_SIBL
(11,7),(11,14),-9.80399e-05 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00344103 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00482656 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.00325433 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.00934852 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.156472 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.024959 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00637936 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00707966 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0376166 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.00293926 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.11976 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.03663 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0267331 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.000405869 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0189688 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0322583 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0122864 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0519787 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0182755 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0516343 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0513919 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0137116 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0355647 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.00831227 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0137104 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.00576031 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0533792 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.123873 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0549059 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0184373 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0224547 # DEPENDENCYPART_SIBL
(12,1),(12,2),0.000851903 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.0241918 # DEPENDENCYPART_SIBL
(12,1),(12,6),0.000894542 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.0426108 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0251589 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.000851903 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.00423143 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0241918 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0160203 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.00687368 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.00886481 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.00475905 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.0527925 # DEPENDENCYPART_SIBL
(12,1),(12,19),-0.00578325 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.00353805 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.0207739 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.00461018 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0284564 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.00950084 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.00364315 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0449192 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.042615 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.00461018 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.067411 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.0233447 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.00353466 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.00543776 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0445912 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.00412271 # DEPENDENCYPART_SIBL
(12,2),(12,20),0.0178046 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0394682 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0570781 # DEPENDENCYPART_SIBL
(12,4),(12,7),-0.0319845 # DEPENDENCYPART_SIBL
(12,4),(12,8),-0.0200864 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.114053 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0597122 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0177933 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0361461 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0983 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0406544 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0165236 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0219468 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.00328104 # DEPENDENCYPART_SIBL
(12,4),(12,20),0.0948377 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.0407137 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0123402 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0479632 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.00986457 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0609714 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0469677 # DEPENDENCYPART_SIBL
(12,6),(12,13),0.0212804 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0263986 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0176024 # DEPENDENCYPART_SIBL
(12,6),(12,16),4.70086e-05 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.0190415 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.00888349 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0267106 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.00123305 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.027305 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.000320184 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.00039073 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0263379 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0289672 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.018457 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.00417198 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0274107 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.0393263 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0190146 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0151213 # DEPENDENCYPART_SIBL
(12,7),(12,21),-0.0356006 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.113935 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0597839 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0179114 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0298523 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.114053 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0343607 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.010248 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0156531 # DEPENDENCYPART_SIBL
(12,8),(12,19),0.00301068 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.110591 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0344209 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.042615 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.00461018 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.067411 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0233447 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.00353466 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.00543776 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0445912 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.00412271 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.0178046 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.0394682 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0263821 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0218749 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0116857 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0920066 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0306896 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.00130009 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0253749 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.0110815 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.0716647 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0361461 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0983 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0406544 # DEPENDENCYPART_SIBL
