# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,12,15,18,16,20,18,0,
(6,2),(6,11),0.00772871 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0441423 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0102798 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0400351 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0186934 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.00478387 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0155094 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0666019 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0109159 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0113559 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00922672 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0471001 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0024252 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0113559 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.000170727 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0247014 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.00960062 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00353794 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0592223 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0458025 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0224346 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0339106 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0414606 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0458025 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0316485 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0274768 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0405776 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0743965 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0218849 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0069765 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0210199 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00565559 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0218849 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.00106481 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0055865 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0270587 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0218808 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00698245 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0210258 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00564964 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0218808 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00105886 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.00558055 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0270564 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0658974 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00301394 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0608561 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0173702 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0166589 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0145964 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0742887 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0195211 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0387175 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0580756 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.00240187 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.00479233 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0304688 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0316551 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.00558148 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0112192 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0323434 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0392245 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0450203 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.00835621 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0325654 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0593525 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0166589 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0145964 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0742887 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0158145 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.109192 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0739236 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0493212 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0484622 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.116652 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0456568 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.047603 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0260407 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00345206 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00363096 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0213948 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0447806 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.043709 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0447821 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0109348 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0109348 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0278786 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00502942 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.000412122 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0470841 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00834998 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.00379934 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.000411479 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0570606 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.034651 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.00388492 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0125642 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0113957 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0570198 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0233252 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.214527 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0227877 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0240945 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0432778 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.214543 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.00534163 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0336334 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.05006 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.05006 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.113577 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.311901 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0876163 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0298107 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0527646 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.298216 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0878975 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.010939 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0148316 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0124947 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0579254 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0249797 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.216395 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0239548 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0250001 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0447355 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.216411 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.00649097 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0132799 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.131251 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.116106 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.172762 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.145872 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0925354 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.103882 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.172763 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.104213 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.131251 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.116106 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.172762 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.146019 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0925354 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.103882 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.172763 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.104507 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0067374 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0106717 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0394648 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0115668 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.027017 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0106809 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0153676 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0156184 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.024833 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.00828429 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0732956 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0159209 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0275705 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.217207 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0547282 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.171437 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0458778 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.101723 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.00667987 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0486959 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.00321267 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.10185 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0656878 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.00646932 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.127646 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.00428489 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0373423 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.104302 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.00705697 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0114573 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.00584017 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.00584017 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0193002 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.038931 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0380646 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.213986 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0567939 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0106925 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0380646 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.168415 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0432825 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0206332 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0218017 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.165445 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0166379 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00833765 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0223058 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.00485961 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0428922 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00835284 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.00288272 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0264619 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0264619 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.155777 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.165035 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00921628 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0164586 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.00298142 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0934409 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00893604 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.00106892 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.038757 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0936227 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0311087 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0014743 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0287509 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00530101 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0222218 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0014743 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.00974007 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0936227 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0311087 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0014743 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0288978 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00530101 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0222218 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0014743 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.010034 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.109418 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0200436 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.33665 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.141041 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0897603 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0200436 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.159646 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00800477 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0401174 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0107571 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0543039 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.00831054 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0226615 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0125402 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0312936 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0148834 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.148641 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0416037 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.000749213 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0658906 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.00498333 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.108382 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00663546 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.00105661 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.122326 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0343509 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0536195 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0390219 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0552656 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0632925 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.461624 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0262559 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0246701 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0816887 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.105554 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0485483 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.016414 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.157121 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.034059 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.00700399 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0237593 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0218665 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.116141 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0111339 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0475229 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0299139 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.143923 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0204718 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0110062 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.00521017 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.016405 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.014881 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0648094 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0033122 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0155507 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0447806 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.043709 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0447821 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.160819 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.00856454 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0314222 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0443399 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0388942 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.00834998 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.00379934 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.000411479 # DEPENDENCYPART_SIBL
(13,1),(13,20),-0.000411502 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0570606 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.034651 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.00388492 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.337456 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.00520945 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0363358 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.00477981 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00521915 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0240945 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0432778 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.214543 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.214536 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.00534163 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.0336334 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.100609 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0690879 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0802135 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0343868 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0326458 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0527646 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.298216 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0878975 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.0878973 # DEPENDENCYPART_SIBL
(13,5),(13,21),0.010939 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.338128 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.00517947 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0363058 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.00461352 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.00612472 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0250001 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0447355 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.216411 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.216404 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.00649097 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0794039 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.023969 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.186212 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0685289 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.00548204 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.00739469 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0246367 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.0246367 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.0652742 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.0062125 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0363622 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.00109216 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.083774 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0789195 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0938528 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0938528 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0118962 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0342063 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00100819 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0283833 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.228421 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0496043 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0496041 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0193993 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00420101 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0224399 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0420656 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.215928 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.215921 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.00416373 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.035403 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0407431 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.065938 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0661032 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.0112849 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0656878 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00646932 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.00653111 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.127646 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.00428489 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.00428489 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0373423 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0437396 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.104302 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.104302 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0149639 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.00697677 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.00114016 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.00697677 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.00416436 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.00416436 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0635047 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.0235118 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.00140259 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.00700959 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0635047 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0794737 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0946753 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.041761 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.098835 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.098837 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.0369893 # DEPENDENCYPART_SIBL
(15,4),(15,5),-0.0310572 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.181499 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.0723665 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.071198 # DEPENDENCYPART_SIBL
(15,4),(15,9),-0.040785 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0150148 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.0328862 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.181765 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.040785 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.281557 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.00914781 # DEPENDENCYPART_SIBL
(15,4),(15,17),0.0339823 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.01024 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.0102494 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.0159441 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.00211124 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0157176 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0157176 # DEPENDENCYPART_SIBL
(15,5),(15,9),0.0169295 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0393994 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0438389 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.00191021 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0169295 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.232934 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0130342 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.00268397 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0123621 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0123598 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0315754 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0746902 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0723533 # DEPENDENCYPART_SIBL
