# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=0,1,2,2,6,4,6,7,10,8,15,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(15,9),(15,20),0.0118912 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.0262995 # DEPENDENCYPART_SIBL
(15,9),(15,22),0.0349052 # DEPENDENCYPART_SIBL
(15,9),(15,24),0.0326682 # DEPENDENCYPART_SIBL
(15,9),(15,25),0.0126098 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.114047 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.00768011 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0597122 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0178179 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0468316 # DEPENDENCYPART_SIBL
(15,10),(15,17),0.0981977 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0157522 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.0699262 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.015367 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0227634 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.0982398 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.0296538 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0739061 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.042615 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.00459693 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0822347 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0233686 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0247649 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.013049 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.000276598 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.000643914 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.0233893 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0125867 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.000590645 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0141154 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0182684 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.000258553 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.030182 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.029629 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.0369221 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0222442 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.00027308 # DEPENDENCYPART_SIBL
(15,12),(15,25),0.0180195 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0263683 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0348047 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0116725 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.100169 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.00910576 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0296258 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.00985002 # DEPENDENCYPART_SIBL
(15,13),(15,24),0.0116721 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0433613 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0468376 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.101978 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0165129 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.0737061 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.015374 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0228183 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.10202 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0296608 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.00363997 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0365552 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0033084 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.105607 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0180022 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.00364377 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.107662 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.00299891 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0895911 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.101889 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0609799 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0863542 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.107032 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.000417652 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.00805125 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0163824 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.000723732 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0102394 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.103368 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0596217 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0882696 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.108511 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0463699 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.0242795 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.271038 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0396252 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0600828 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.107038 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.434816 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0632744 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.146587 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.46882 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.060521 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.0154316 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.00760186 # DEPENDENCYPART_SIBL
(17,9),(17,21),0.05861 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.0718667 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.074352 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.152546 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.450741 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0850013 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0128571 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.0517594 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.00633486 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0871441 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0359192 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.167728 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0112665 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0249855 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.00435854 # DEPENDENCYPART_SIBL
(17,14),(17,21),-6.73294e-05 # DEPENDENCYPART_SIBL
(17,14),(17,22),0.0182853 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.000357741 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0202008 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.00964051 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0641675 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.00138727 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.0414553 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0761981 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0410272 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0439529 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.000290004 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.123584 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.000481781 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0608664 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0166589 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0245076 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0139674 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0364176 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0415713 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.00835695 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.114891 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0585236 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.00982333 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.00946441 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.0213074 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.00946441 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.00946441 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0494854 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.0347178 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.0177437 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0483965 # DEPENDENCYPART_SIBL
(18,5),(18,25),0.0347058 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0477579 # DEPENDENCYPART_SIBL
(18,5),(18,28),0.049489 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.00372782 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0316426 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0037323 # DEPENDENCYPART_SIBL
(18,6),(18,17),-0.00392049 # DEPENDENCYPART_SIBL
(18,6),(18,20),0.213089 # DEPENDENCYPART_SIBL
(18,6),(18,21),0.0245547 # DEPENDENCYPART_SIBL
(18,6),(18,22),0.0510449 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.214591 # DEPENDENCYPART_SIBL
(18,6),(18,25),0.0237504 # DEPENDENCYPART_SIBL
(18,6),(18,27),0.216894 # DEPENDENCYPART_SIBL
(18,6),(18,28),0.223958 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.0316389 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.00372312 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0039113 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.213806 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.0250001 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.0514902 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.215307 # DEPENDENCYPART_SIBL
(18,7),(18,25),0.0241958 # DEPENDENCYPART_SIBL
(18,7),(18,27),0.21761 # DEPENDENCYPART_SIBL
(18,7),(18,28),0.224674 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0467012 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0457816 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.0927797 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0711745 # DEPENDENCYPART_SIBL
(18,8),(18,22),0.0946269 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0920029 # DEPENDENCYPART_SIBL
(18,8),(18,25),0.0703221 # DEPENDENCYPART_SIBL
(18,8),(18,27),0.0908916 # DEPENDENCYPART_SIBL
(18,8),(18,28),0.0938113 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.00391303 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.217515 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0249865 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.0514316 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.219017 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.0241821 # DEPENDENCYPART_SIBL
(18,14),(18,27),0.22132 # DEPENDENCYPART_SIBL
(18,14),(18,28),0.228384 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.213251 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0268563 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0514902 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.214753 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.026052 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.217056 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.22412 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0547214 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.00766907 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0441805 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.05368 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0443251 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.0462444 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0466884 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0064833 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.134614 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.00424492 # DEPENDENCYPART_SIBL
(18,21),(18,28),-0.00646932 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0581225 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.00064439 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0570859 # DEPENDENCYPART_SIBL
(18,22),(18,28),-0.0579768 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0536617 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0439003 # DEPENDENCYPART_SIBL
(18,24),(18,28),-0.0458195 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.0045109 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.0067353 # DEPENDENCYPART_SIBL
(18,27),(18,28),-0.0470636 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.443703 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.0738167 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0576992 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.333755 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.00692888 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.0864133 # DEPENDENCYPART_SIBL
(20,13),(20,24),0.0510579 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.00849545 # DEPENDENCYPART_SIBL
(20,13),(20,27),0.0491189 # DEPENDENCYPART_SIBL
(20,13),(20,29),0.0774837 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.017988 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0207162 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.411537 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.000125701 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.123068 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0434663 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.00135155 # DEPENDENCYPART_SIBL
(20,16),(20,27),0.0423161 # DEPENDENCYPART_SIBL
(20,16),(20,29),0.0698921 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.00934158 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0854769 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.00179102 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.0182804 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.00265858 # DEPENDENCYPART_SIBL
(20,17),(20,25),0.000507486 # DEPENDENCYPART_SIBL
(20,17),(20,27),0.00591656 # DEPENDENCYPART_SIBL
(20,17),(20,29),0.0057952 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0650487 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0122673 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.055523 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.026703 # DEPENDENCYPART_SIBL
(20,18),(20,25),0.0112083 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0288808 # DEPENDENCYPART_SIBL
(20,18),(20,29),-0.0178892 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.050812 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.11726 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.0356342 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.0493372 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.034484 # DEPENDENCYPART_SIBL
(20,19),(20,29),0.0620599 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0585749 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.018418 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0926715 # DEPENDENCYPART_SIBL
(20,21),(20,27),0.0206797 # DEPENDENCYPART_SIBL
(20,21),(20,29),0.0184718 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0549436 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.00153518 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.0539787 # DEPENDENCYPART_SIBL
(20,22),(20,29),-0.0537983 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0071878 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.122468 # DEPENDENCYPART_SIBL
(20,24),(20,29),-0.12231 # DEPENDENCYPART_SIBL
(20,25),(20,27),0.0198589 # DEPENDENCYPART_SIBL
(20,25),(20,29),0.017651 # DEPENDENCYPART_SIBL
(20,27),(20,29),-0.123633 # DEPENDENCYPART_SIBL
(21,1),(21,2),0.00637769 # DEPENDENCYPART_SIBL
(21,1),(21,3),0.0224517 # DEPENDENCYPART_SIBL
(21,1),(21,4),-0.0160126 # DEPENDENCYPART_SIBL
(21,1),(21,6),-0.0201349 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.0201349 # DEPENDENCYPART_SIBL
(21,1),(21,8),-0.00916135 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.0201449 # DEPENDENCYPART_SIBL
(21,1),(21,11),0.0104918 # DEPENDENCYPART_SIBL
(21,1),(21,12),0.0311859 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.0211138 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.0160126 # DEPENDENCYPART_SIBL
(21,1),(21,16),0.0109137 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.0245258 # DEPENDENCYPART_SIBL
(21,1),(21,18),0.0104918 # DEPENDENCYPART_SIBL
(21,1),(21,19),0.0171996 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.0183608 # DEPENDENCYPART_SIBL
(21,1),(21,22),0.0686625 # DEPENDENCYPART_SIBL
(21,1),(21,23),0.013881 # DEPENDENCYPART_SIBL
(21,1),(21,24),1.21358e-05 # DEPENDENCYPART_SIBL
(21,1),(21,25),-0.0171793 # DEPENDENCYPART_SIBL
(21,1),(21,27),-0.00317312 # DEPENDENCYPART_SIBL
(21,1),(21,28),0.000733852 # DEPENDENCYPART_SIBL
(21,1),(21,29),-0.012138 # DEPENDENCYPART_SIBL
(21,1),(21,31),0.000926282 # DEPENDENCYPART_SIBL
(21,2),(21,3),-0.00719703 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0180746 # DEPENDENCYPART_SIBL
(21,2),(21,6),-0.0734873 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.0734873 # DEPENDENCYPART_SIBL
(21,2),(21,8),-0.0251833 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.0734973 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.00752377 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.00376372 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.074441 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.0180746 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.0473619 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.0761905 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.00752377 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.0647571 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0713896 # DEPENDENCYPART_SIBL
(21,2),(21,22),0.00303099 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.00892693 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.0143666 # DEPENDENCYPART_SIBL
(21,2),(21,25),0.0531921 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.017189 # DEPENDENCYPART_SIBL
(21,2),(21,28),-0.0142385 # DEPENDENCYPART_SIBL
(21,2),(21,29),-0.0228744 # DEPENDENCYPART_SIBL
(21,2),(21,31),-0.0134204 # DEPENDENCYPART_SIBL
(21,3),(21,4),0.0115865 # DEPENDENCYPART_SIBL
(21,3),(21,6),0.0138577 # DEPENDENCYPART_SIBL
(21,3),(21,7),0.0138577 # DEPENDENCYPART_SIBL
(21,3),(21,8),-0.0114116 # DEPENDENCYPART_SIBL
(21,3),(21,10),0.0138444 # DEPENDENCYPART_SIBL
(21,3),(21,11),0.0112203 # DEPENDENCYPART_SIBL
(21,3),(21,12),-0.0249918 # DEPENDENCYPART_SIBL
(21,3),(21,14),0.0128654 # DEPENDENCYPART_SIBL
(21,3),(21,15),0.0115865 # DEPENDENCYPART_SIBL
(21,3),(21,16),0.0190495 # DEPENDENCYPART_SIBL
(21,3),(21,17),0.0111544 # DEPENDENCYPART_SIBL
(21,3),(21,18),0.0112203 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.0263476 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.0264589 # DEPENDENCYPART_SIBL
(21,3),(21,22),-0.0134408 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.00730181 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.0111441 # DEPENDENCYPART_SIBL
(21,3),(21,25),-0.0230897 # DEPENDENCYPART_SIBL
(21,3),(21,27),-0.0138875 # DEPENDENCYPART_SIBL
(21,3),(21,28),-0.0102891 # DEPENDENCYPART_SIBL
(21,3),(21,29),-0.0215534 # DEPENDENCYPART_SIBL
(21,3),(21,31),-0.0102289 # DEPENDENCYPART_SIBL
(21,4),(21,6),-0.0573385 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.0573385 # DEPENDENCYPART_SIBL
(21,4),(21,8),-0.0417539 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0573485 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.00657752 # DEPENDENCYPART_SIBL
(21,4),(21,12),-0.0287923 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0583426 # DEPENDENCYPART_SIBL
(21,4),(21,15),-0.0752684 # DEPENDENCYPART_SIBL
(21,4),(21,16),0.0171503 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.0627866 # DEPENDENCYPART_SIBL
(21,4),(21,18),-0.00657752 # DEPENDENCYPART_SIBL
(21,4),(21,19),0.0409098 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.0563467 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.0045977 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.0052549 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.00199923 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.046176 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.00122007 # DEPENDENCYPART_SIBL
(21,4),(21,28),0.0027165 # DEPENDENCYPART_SIBL
(21,4),(21,29),-0.0138386 # DEPENDENCYPART_SIBL
(21,4),(21,31),0.00290698 # DEPENDENCYPART_SIBL
(21,6),(21,7),-0.181367 # DEPENDENCYPART_SIBL
(21,6),(21,8),-0.0335874 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.181378 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.040235 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.00283662 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.182326 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.042392 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.0647448 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.184456 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.040235 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.0892626 # DEPENDENCYPART_SIBL
(21,6),(21,20),-0.178811 # DEPENDENCYPART_SIBL
(21,6),(21,22),0.0135318 # DEPENDENCYPART_SIBL
(21,6),(21,23),0.0191923 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.0108316 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.00943561 # DEPENDENCYPART_SIBL
(21,6),(21,27),-0.00461985 # DEPENDENCYPART_SIBL
(21,6),(21,28),-0.00164463 # DEPENDENCYPART_SIBL
(21,6),(21,29),-0.0306431 # DEPENDENCYPART_SIBL
(21,6),(21,31),-0.00991002 # DEPENDENCYPART_SIBL
(21,7),(21,8),-0.0335874 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.181376 # DEPENDENCYPART_SIBL
(21,7),(21,11),-0.0401423 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.00283662 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.182324 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.042392 # DEPENDENCYPART_SIBL
(21,7),(21,16),-0.0647448 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.184454 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.0401423 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.0892626 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.17881 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.0135318 # DEPENDENCYPART_SIBL
(21,7),(21,23),0.0191923 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.0107132 # DEPENDENCYPART_SIBL
(21,7),(21,25),-0.00943561 # DEPENDENCYPART_SIBL
(21,7),(21,27),-0.00450151 # DEPENDENCYPART_SIBL
(21,7),(21,28),-0.00152629 # DEPENDENCYPART_SIBL
(21,7),(21,29),-0.0305248 # DEPENDENCYPART_SIBL
(21,7),(21,31),-0.00979168 # DEPENDENCYPART_SIBL
(21,8),(21,10),0.00766741 # DEPENDENCYPART_SIBL
(21,8),(21,11),0.0329522 # DEPENDENCYPART_SIBL
(21,8),(21,12),-0.0200101 # DEPENDENCYPART_SIBL
(21,8),(21,14),0.00495809 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0101859 # DEPENDENCYPART_SIBL
(21,8),(21,16),-0.020317 # DEPENDENCYPART_SIBL
(21,8),(21,17),0.0050477 # DEPENDENCYPART_SIBL
(21,8),(21,18),0.0329522 # DEPENDENCYPART_SIBL
(21,8),(21,19),-0.0464028 # DEPENDENCYPART_SIBL
(21,8),(21,20),0.0102996 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.0189275 # DEPENDENCYPART_SIBL
(21,8),(21,23),0.00445168 # DEPENDENCYPART_SIBL
(21,8),(21,24),0.00490636 # DEPENDENCYPART_SIBL
(21,8),(21,25),0.00558451 # DEPENDENCYPART_SIBL
(21,8),(21,27),0.000283009 # DEPENDENCYPART_SIBL
(21,8),(21,28),0.00606819 # DEPENDENCYPART_SIBL
(21,8),(21,29),-0.00493187 # DEPENDENCYPART_SIBL
(21,8),(21,31),0.00605711 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.0401548 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.00284395 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.182326 # DEPENDENCYPART_SIBL
