# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(5,9),(5,13),-0.147009 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0384677 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.147042 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0401838 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0329423 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0236978 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0275909 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.107359 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0607514 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.052908 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.273731 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0533929 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0612436 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0530121 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.287748 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0273081 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0571144 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0606688 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.336617 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0069688 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.216482 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0469841 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.217135 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.24025 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.216626 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0492475 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0248568 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.236105 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.226703 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0140417 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0499479 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0977269 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0507263 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0585815 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0505981 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0944824 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0339828 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0544961 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0851542 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0290729 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0173624 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0246317 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0324097 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0359445 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00849269 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0613692 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0345412 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0856571 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0733649 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0872932 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0916207 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0871396 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0818931 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0495352 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0912494 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.152877 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0410384 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0410797 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0415641 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.155615 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0692682 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0411464 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00757167 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0075741 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00760008 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0640005 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0132552 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.00757209 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0437809 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0442654 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.152976 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0692682 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0438477 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.04748 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.149344 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0660522 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0470624 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.158087 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0692461 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0439196 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0162065 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.000354319 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.00859254 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0380779 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00787011 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0108358 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00787011 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00399817 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00777586 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0132866 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0101381 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0331729 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0119985 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.00985854 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0114235 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.000925734 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0114235 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00623402 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00223867 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00175665 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.000833533 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0447825 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00848691 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0140058 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00883628 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.006372 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0119157 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0228869 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0224798 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00840414 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0110339 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0229591 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.122528 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0108011 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0631161 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.003333 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00407981 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.000359685 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0238501 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0093586 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00798274 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0119157 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0228869 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0224798 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00840414 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0110339 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0229591 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.122528 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0141811 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0141258 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0136117 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0786282 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0141707 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0283024 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.119336 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.120832 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0744006 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.119359 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0582689 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.121263 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0731273 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.119791 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0603503 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0895819 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.114868 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.048253 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.00318058 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.056913 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0588007 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00347101 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00339569 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.565364 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.00883751 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.006372 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0629651 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.113506 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0385381 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0262798 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0122042 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00940826 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.024785 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0267591 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.122607 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0136639 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0205108 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0238553 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0179084 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0108065 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00708642 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0225485 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0185351 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0160853 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0108304 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0629651 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.113506 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0385381 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0262798 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0122042 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00940826 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.024785 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0267591 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.122607 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0367616 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0177699 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0102678 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00711919 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0306658 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00806114 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.00897964 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0100288 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0404337 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0223829 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.020049 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.056173 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.050215 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0291237 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0372121 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.00729663 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00774157 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.00567593 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.030794 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0072111 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0472812 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.124231 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0795482 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0198734 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.122759 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0588574 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0960027 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0148546 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.117836 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.04676 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.023846 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.00307965 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0587075 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0320795 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.064219 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0573077 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0112473 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.000926793 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0112473 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0258684 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0259701 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.139895 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0225831 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00296485 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0438292 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0456267 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0122853 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0140227 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.00883627 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.00654926 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.062748 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0646092 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.116078 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0370629 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0123172 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0101951 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0254795 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0268722 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.122332 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0138411 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0202933 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0265042 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.109281 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0110221 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00708191 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0218765 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0191121 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0160808 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0109235 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.062748 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0646092 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.116078 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0370629 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0123172 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0101951 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0254795 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0268722 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.122332 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0160628 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.122798 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.00623829 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.00679348 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0316653 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00896833 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.00865393 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00954982 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.122792 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00623548 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00524141 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0285497 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00842344 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.00710186 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0084968 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0280033 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0328954 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0307926 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.00914084 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0243625 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0384777 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00422364 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.073942 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.028737 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.00369318 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0558615 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0951154 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0154168 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.117836 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0467763 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0244066 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.00307804 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0587222 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0321065 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0642623 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.0573241 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.00883166 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.116318 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0586174 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.11969 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.00440863 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0248437 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0181551 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.122269 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.109516 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0228362 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.125273 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0275737 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0185747 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00746213 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0111433 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.1639 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.362306 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.015388 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0197241 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0495015 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0300332 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.150277 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0249087 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0076615 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0156387 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00990503 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0474865 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0552776 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.131199 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00145653 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0239578 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0032595 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0588537 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0321719 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0642983 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0619472 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.151646 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0956352 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.171387 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0349828 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0152515 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0877007 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.0358846 # DEPENDENCYPART_SIBL
(15,12),(15,13),0.0956024 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0869456 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.00561959 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0858471 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0358185 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0160942 # DEPENDENCYPART_SIBL
(16,3),(16,5),0.00092711 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.138258 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0257995 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.153681 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0280222 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.00641569 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0289547 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.014018 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.107643 # DEPENDENCYPART_SIBL
(16,5),(16,11),0.0227743 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.121485 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0206832 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.0176247 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.0206701 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0108529 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.154595 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.367598 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.14833 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0930566 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0827122 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0387109 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.146496 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.0146667 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0190022 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0216552 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0100568 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0429144 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0465219 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0612331 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0134953 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0193576 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0223747 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00786836 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.00876054 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.042603 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0315052 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0265849 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.00103342 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.00147479 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.0279606 # DEPENDENCYPART_SIBL
(17,7),(17,8),-0.00512262 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0150265 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0242024 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.0478724 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.0190459 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0175958 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.157599 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.204326 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.219968 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.208006 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.104488 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.224949 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.110044 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.0845297 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.0980829 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.144173 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.121306 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),-0.65028 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.356195 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.00400638 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.0347797 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.28892 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.0228186 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.0803681 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.114663 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.17262 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),-0.104476 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.00106801 # DEPENDENCYPART_GRANDPAR
