# _root_ Χάρη στο Κοινοβούλιο , η οδηγία θα μπορέσει τελικά να καλύψει όλους τους οδηγούς όλων των κατηγοριών , αυτοαπασχολούμενους και μη .
#goldHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,18,17,17,14,11,20,18,20,0,
#predictedHeads=8,1,2,8,6,8,8,0,8,11,8,14,14,11,17,17,14,20,20,14,20,0,
(8,4),(8,17),-0.00235627 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0401523 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0133873 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0680622 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0141555 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0639685 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0155038 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0294003 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0490312 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00822801 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.00072707 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0119561 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.014551 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.106353 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0790752 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0976549 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0286183 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.010132 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0297825 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00500214 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.020109 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.00203579 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0207362 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0204802 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0211792 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.00745867 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.00375514 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0506183 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0148116 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0672246 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0768016 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.043429 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0790976 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0281109 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0102056 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0709111 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0235771 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0113912 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0175772 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0648122 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.017455 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.064182 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0109738 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.00828731 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0356332 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0258849 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.000804697 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0801312 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0677267 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0795011 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0695486 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.03573 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.111432 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.054214 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.110468 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0693852 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.109762 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0712048 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0192983 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.189388 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.0162659 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0498798 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.107165 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0498092 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0180863 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.168334 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0736012 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.108512 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.218388 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.00160671 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.188145 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0613437 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.039631 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0172901 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.147127 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0725639 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.00747112 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.199807 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.0672294 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.036162 # DEPENDENCYPART_SIBL
(8,18),(8,22),-0.110021 # DEPENDENCYPART_SIBL
(8,20),(8,22),0.0193903 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0211243 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0221387 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0515256 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0258792 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0304178 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00845009 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00806061 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0371227 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0410522 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00543829 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0342919 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.156655 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0352326 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0657729 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.00359884 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0121708 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00850985 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.00849815 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0195517 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.167208 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00823253 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0698428 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0018281 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00515421 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0106588 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.00788856 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0265925 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0463968 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0719025 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.1329 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0193018 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0271254 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0116083 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.331326 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0709965 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00265405 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00608452 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.00816814 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.00511938 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0472021 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.136341 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00635739 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0129476 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0129178 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0168648 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0101347 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.00109246 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00109483 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.139896 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0289035 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0279573 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.00983086 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.14664 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0187011 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.0188047 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0116003 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.025083 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0126743 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0302355 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0133068 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0199275 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0705138 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0262693 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.000476477 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0166812 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0204822 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.00652251 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.0249295 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0190817 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.00497773 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0371057 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.01162 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0169286 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0187318 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.00205665 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0356823 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0430947 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00108809 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00322461 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0277327 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.00168514 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.0124192 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00542634 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00308505 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.00570998 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.0315807 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.040836 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.172513 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0138627 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00763159 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00133797 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0297368 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0197286 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0219737 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.030364 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.000232622 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00510007 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0337489 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.00137254 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.00697043 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0345981 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.00345434 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0388198 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.122972 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0358213 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0248688 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.047738 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0272482 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.00134279 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0423707 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0238806 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0117938 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.0662011 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0169266 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.010198 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.00759248 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0185633 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0074065 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.00382429 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0191904 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0186917 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.020097 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0225753 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.00893303 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.00507546 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.00429968 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.163947 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0204181 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0100631 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00177751 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0180366 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0134997 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0186593 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0166342 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0303498 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.03777 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0599823 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0196235 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00712461 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.022348 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0138364 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.000855717 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0315776 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0124359 # DEPENDENCYPART_SIBL
(11,9),(11,20),-8.75237e-05 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0304576 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0405395 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0607616 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.152068 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0437232 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.13675 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0193485 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0451501 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0090394 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.0941941 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0179189 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0487438 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.107165 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0486733 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0178308 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.106893 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.167928 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.0734732 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0278061 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.060904 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0296234 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.00759744 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.0606323 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0978418 # DEPENDENCYPART_SIBL
(11,13),(11,22),-0.032958 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.111944 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.220872 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.00478201 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.108791 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.190743 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0646472 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.038495 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0170345 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.105426 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.146721 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.0724359 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0106464 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.114822 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.202406 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0705329 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.0509473 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0357704 # DEPENDENCYPART_SIBL
(11,18),(11,22),-0.109904 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.145697 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.0659337 # DEPENDENCYPART_SIBL
(11,20),(11,22),0.0190911 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.00817361 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00225141 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0286818 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0142279 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0247434 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0225711 # DEPENDENCYPART_SIBL
(12,9),(12,20),0.00863896 # DEPENDENCYPART_SIBL
(12,9),(12,22),0.0128676 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00791693 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0307673 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00100705 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0307881 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0200114 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.00786389 # DEPENDENCYPART_SIBL
(12,11),(12,22),0.0180997 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.000877447 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00668552 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.000882139 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.00112374 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.029754 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.0142569 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0253661 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.108709 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0468263 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.101547 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.0162139 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.00819316 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00536135 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0508764 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0450329 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0469299 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.104363 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.0161005 # DEPENDENCYPART_SIBL
(12,18),(12,20),0.0171571 # DEPENDENCYPART_SIBL
(12,18),(12,22),-0.0743405 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.0466783 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.120225 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.00769555 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.00183186 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.105209 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0284556 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0161128 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.00353338 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.017944 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.0160093 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.0116508 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0102875 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0963001 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.101418 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.352221 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0183664 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0233826 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0414785 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0909765 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.0420337 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0249218 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0383417 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.00185705 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.105234 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0284567 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0161128 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.00402406 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.017944 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0160105 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.010631 # DEPENDENCYPART_SIBL
(14,9),(14,22),-0.0102876 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0691523 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.00116309 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0485738 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0134429 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0178353 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0249655 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0089445 # DEPENDENCYPART_SIBL
(14,12),(14,22),-0.0293485 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0570468 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.066355 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.074556 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0698131 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0333801 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.00626498 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0618996 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0291783 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.0404632 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0489675 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0479046 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.105281 # DEPENDENCYPART_SIBL
(14,15),(14,22),-0.073082 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.00904731 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0545946 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.030794 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0678297 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0474561 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0401101 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.019481 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.173911 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0569861 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.00507828 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.000720027 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.0744639 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.10205 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.0643948 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0404365 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0340151 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.0204067 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.00475025 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0632084 # DEPENDENCYPART_SIBL
(15,6),(15,18),0.0654572 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.0065719 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.0425861 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.100636 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.00255597 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.035247 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0417159 # DEPENDENCYPART_SIBL
(15,13),(15,20),0.0180912 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.0365485 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00497797 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0677563 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0457513 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.00588544 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0328095 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0132129 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.016043 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0195987 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.022503 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.04173 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.10568 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0205094 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0163078 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.076984 # DEPENDENCYPART_SIBL
(15,20),(15,22),0.044884 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.0549824 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0504432 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.034211 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0179573 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0143474 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.0284579 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.00569804 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.07533 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.0379141 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.398989 # DEPENDENCYPART_SIBL
