# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,18,4,8,8,5,8,11,9,13,11,15,13,18,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
(18,4),(18,21),-0.00524594 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0222571 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0115998 # DEPENDENCYPART_SIBL
(18,4),(18,26),-0.0222571 # DEPENDENCYPART_SIBL
(18,4),(18,27),-0.0321432 # DEPENDENCYPART_SIBL
(18,4),(18,30),0.0133716 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.060802 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.184299 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.0348686 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.184294 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.184302 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0923429 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.185617 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0442332 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.143333 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.0129869 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.00704376 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.028991 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0114677 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0158891 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0114677 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0326946 # DEPENDENCYPART_SIBL
(18,5),(18,30),-0.0149692 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.0555175 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0276537 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0555157 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0555166 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0314649 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.0556348 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.00230779 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0688275 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.00528071 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.00573801 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.00578045 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.0202031 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.000793699 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.0202031 # DEPENDENCYPART_SIBL
(18,7),(18,27),-0.023595 # DEPENDENCYPART_SIBL
(18,7),(18,30),0.00256879 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.0335887 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.181367 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.181375 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0910734 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.18269 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.0402565 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.141526 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0151952 # DEPENDENCYPART_SIBL
(18,8),(18,20),0.000949605 # DEPENDENCYPART_SIBL
(18,8),(18,21),0.0311478 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.00844469 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.00789574 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.00844469 # DEPENDENCYPART_SIBL
(18,8),(18,27),0.0383846 # DEPENDENCYPART_SIBL
(18,8),(18,30),-0.00697582 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.00775099 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.00775017 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.049007 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.00771312 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.0329522 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.131669 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.00250563 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0126613 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.00938368 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.00681204 # DEPENDENCYPART_SIBL
(18,9),(18,24),0.0053072 # DEPENDENCYPART_SIBL
(18,9),(18,26),0.00681204 # DEPENDENCYPART_SIBL
(18,9),(18,27),0.0146536 # DEPENDENCYPART_SIBL
(18,9),(18,30),0.00708302 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.181374 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0910722 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.182688 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0436928 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.141524 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0151989 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.00392289 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0311496 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0084352 # DEPENDENCYPART_SIBL
(18,11),(18,24),-0.0127682 # DEPENDENCYPART_SIBL
(18,11),(18,26),-0.0084352 # DEPENDENCYPART_SIBL
(18,11),(18,27),0.038389 # DEPENDENCYPART_SIBL
(18,11),(18,30),-0.0118483 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0910722 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.182689 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.0401529 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.141524 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0151989 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.00461189 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0311496 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0084352 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0134572 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.0084352 # DEPENDENCYPART_SIBL
(18,13),(18,27),0.0379982 # DEPENDENCYPART_SIBL
(18,13),(18,30),-0.0125373 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.00179693 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.00278117 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0190056 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0318028 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0011055 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0372258 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0588513 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.0035308 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0588513 # DEPENDENCYPART_SIBL
(18,14),(18,27),-0.103871 # DEPENDENCYPART_SIBL
(18,14),(18,30),-0.00177283 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.0435907 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.141525 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.0151596 # DEPENDENCYPART_SIBL
(18,15),(18,20),-2.52339e-05 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.0311123 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0109187 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.00887058 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.0109187 # DEPENDENCYPART_SIBL
(18,15),(18,27),0.0381992 # DEPENDENCYPART_SIBL
(18,15),(18,30),-0.00795066 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.00217391 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0270701 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0141527 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0134255 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.00924949 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.00304532 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.00924949 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.00140106 # DEPENDENCYPART_SIBL
(18,16),(18,30),0.00219939 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0227961 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0280278 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0458546 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0771354 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0361252 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0771354 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.030088 # DEPENDENCYPART_SIBL
(18,17),(18,30),-0.0325844 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0247322 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.00113699 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0160808 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0247719 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0160808 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.012964 # DEPENDENCYPART_SIBL
(18,19),(18,30),-0.0247604 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.00345464 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.029293 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.215833 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.029293 # DEPENDENCYPART_SIBL
(18,20),(18,27),0.0825124 # DEPENDENCYPART_SIBL
(18,20),(18,30),-0.215822 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.00263651 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0675643 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.00263651 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0202391 # DEPENDENCYPART_SIBL
(18,21),(18,30),-0.0675521 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0645317 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.193821 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0229121 # DEPENDENCYPART_SIBL
(18,22),(18,30),-0.0645173 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0325658 # DEPENDENCYPART_SIBL
(18,24),(18,27),0.0542082 # DEPENDENCYPART_SIBL
(18,24),(18,30),-0.223552 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.0229121 # DEPENDENCYPART_SIBL
(18,26),(18,30),-0.0645173 # DEPENDENCYPART_SIBL
(18,27),(18,30),-0.0321555 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.434199 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0135584 # DEPENDENCYPART_SIBL
(20,14),(20,22),0.0313388 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.0976287 # DEPENDENCYPART_SIBL
(20,14),(20,26),0.0313388 # DEPENDENCYPART_SIBL
(20,14),(20,27),-0.168124 # DEPENDENCYPART_SIBL
(20,14),(20,30),0.0976109 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0231645 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.00267727 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.0479807 # DEPENDENCYPART_SIBL
(20,19),(20,26),0.00267727 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0840905 # DEPENDENCYPART_SIBL
(20,19),(20,30),0.0479629 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0128 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0475616 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0128 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.0236009 # DEPENDENCYPART_SIBL
(20,21),(20,30),-0.0475617 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.0184371 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0978324 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.00747745 # DEPENDENCYPART_SIBL
(20,22),(20,30),0.0184391 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.000141168 # DEPENDENCYPART_SIBL
(20,24),(20,27),0.0313699 # DEPENDENCYPART_SIBL
(20,24),(20,30),-0.124238 # DEPENDENCYPART_SIBL
(20,26),(20,27),-0.00747745 # DEPENDENCYPART_SIBL
(20,26),(20,30),0.0184391 # DEPENDENCYPART_SIBL
(20,27),(20,30),0.0239555 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0109157 # DEPENDENCYPART_SIBL
(22,1),(22,2),-0.186129 # DEPENDENCYPART_SIBL
(22,1),(22,3),-0.0549689 # DEPENDENCYPART_SIBL
(22,1),(22,4),-0.0334148 # DEPENDENCYPART_SIBL
(22,1),(22,5),-0.19481 # DEPENDENCYPART_SIBL
(22,1),(22,7),-0.0635398 # DEPENDENCYPART_SIBL
(22,1),(22,8),-0.192028 # DEPENDENCYPART_SIBL
(22,1),(22,9),-0.0359451 # DEPENDENCYPART_SIBL
(22,1),(22,11),-0.192023 # DEPENDENCYPART_SIBL
(22,1),(22,13),-0.192031 # DEPENDENCYPART_SIBL
(22,1),(22,15),-0.193346 # DEPENDENCYPART_SIBL
(22,1),(22,16),-0.0549689 # DEPENDENCYPART_SIBL
(22,1),(22,17),-0.143881 # DEPENDENCYPART_SIBL
(22,1),(22,18),-0.025931 # DEPENDENCYPART_SIBL
(22,1),(22,19),-0.0895879 # DEPENDENCYPART_SIBL
(22,1),(22,20),-0.193776 # DEPENDENCYPART_SIBL
(22,1),(22,21),-0.00427863 # DEPENDENCYPART_SIBL
(22,1),(22,23),0.0142868 # DEPENDENCYPART_SIBL
(22,1),(22,24),-0.0201733 # DEPENDENCYPART_SIBL
(22,1),(22,26),-0.0136893 # DEPENDENCYPART_SIBL
(22,1),(22,27),0.0340282 # DEPENDENCYPART_SIBL
(22,1),(22,29),0.017046 # DEPENDENCYPART_SIBL
(22,1),(22,30),-0.0192533 # DEPENDENCYPART_SIBL
(22,2),(22,3),-0.0251027 # DEPENDENCYPART_SIBL
(22,2),(22,4),-0.0179445 # DEPENDENCYPART_SIBL
(22,2),(22,5),-0.175681 # DEPENDENCYPART_SIBL
(22,2),(22,7),-0.046014 # DEPENDENCYPART_SIBL
(22,2),(22,8),-0.172899 # DEPENDENCYPART_SIBL
(22,2),(22,9),-0.0204802 # DEPENDENCYPART_SIBL
(22,2),(22,11),-0.172894 # DEPENDENCYPART_SIBL
(22,2),(22,13),-0.172909 # DEPENDENCYPART_SIBL
(22,2),(22,15),-0.174217 # DEPENDENCYPART_SIBL
(22,2),(22,16),-0.0251027 # DEPENDENCYPART_SIBL
(22,2),(22,17),-0.117265 # DEPENDENCYPART_SIBL
(22,2),(22,18),-0.0115102 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.0732439 # DEPENDENCYPART_SIBL
(22,2),(22,20),-0.174648 # DEPENDENCYPART_SIBL
(22,2),(22,21),0.0153291 # DEPENDENCYPART_SIBL
(22,2),(22,23),0.018478 # DEPENDENCYPART_SIBL
(22,2),(22,24),-0.0220748 # DEPENDENCYPART_SIBL
(22,2),(22,26),8.10174e-05 # DEPENDENCYPART_SIBL
(22,2),(22,27),0.0415237 # DEPENDENCYPART_SIBL
(22,2),(22,29),0.0294776 # DEPENDENCYPART_SIBL
(22,2),(22,30),-0.0211549 # DEPENDENCYPART_SIBL
(22,3),(22,4),0.025103 # DEPENDENCYPART_SIBL
(22,3),(22,5),1.4406e-05 # DEPENDENCYPART_SIBL
(22,3),(22,7),0.00502159 # DEPENDENCYPART_SIBL
(22,3),(22,8),0.00336189 # DEPENDENCYPART_SIBL
(22,3),(22,9),0.0244545 # DEPENDENCYPART_SIBL
(22,3),(22,11),0.00336588 # DEPENDENCYPART_SIBL
(22,3),(22,13),0.00336178 # DEPENDENCYPART_SIBL
(22,3),(22,15),0.00152196 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.0106972 # DEPENDENCYPART_SIBL
(22,3),(22,17),-0.00215531 # DEPENDENCYPART_SIBL
(22,3),(22,18),-0.00339313 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.0216731 # DEPENDENCYPART_SIBL
(22,3),(22,20),0.00126458 # DEPENDENCYPART_SIBL
(22,3),(22,21),-0.121372 # DEPENDENCYPART_SIBL
(22,3),(22,23),-0.0252339 # DEPENDENCYPART_SIBL
(22,3),(22,24),-0.00409266 # DEPENDENCYPART_SIBL
(22,3),(22,26),-0.00921843 # DEPENDENCYPART_SIBL
(22,3),(22,27),-0.00083905 # DEPENDENCYPART_SIBL
(22,3),(22,29),-0.0262598 # DEPENDENCYPART_SIBL
(22,3),(22,30),0.00115204 # DEPENDENCYPART_SIBL
(22,4),(22,5),0.000931731 # DEPENDENCYPART_SIBL
(22,4),(22,7),-0.00332656 # DEPENDENCYPART_SIBL
(22,4),(22,8),0.002108 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.0431401 # DEPENDENCYPART_SIBL
(22,4),(22,11),0.00211124 # DEPENDENCYPART_SIBL
(22,4),(22,13),0.00211042 # DEPENDENCYPART_SIBL
(22,4),(22,15),0.00207323 # DEPENDENCYPART_SIBL
(22,4),(22,16),0.0169295 # DEPENDENCYPART_SIBL
(22,4),(22,17),-0.133085 # DEPENDENCYPART_SIBL
(22,4),(22,18),-0.00199161 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.0450586 # DEPENDENCYPART_SIBL
(22,4),(22,20),-2.94079e-05 # DEPENDENCYPART_SIBL
(22,4),(22,21),0.0446965 # DEPENDENCYPART_SIBL
(22,4),(22,23),-0.00201446 # DEPENDENCYPART_SIBL
(22,4),(22,24),0.0105258 # DEPENDENCYPART_SIBL
(22,4),(22,26),-0.0222493 # DEPENDENCYPART_SIBL
(22,4),(22,27),-0.0316148 # DEPENDENCYPART_SIBL
(22,4),(22,29),0.00167259 # DEPENDENCYPART_SIBL
(22,4),(22,30),0.0122976 # DEPENDENCYPART_SIBL
(22,5),(22,7),-0.060802 # DEPENDENCYPART_SIBL
(22,5),(22,8),-0.184299 # DEPENDENCYPART_SIBL
(22,5),(22,9),-0.0348686 # DEPENDENCYPART_SIBL
(22,5),(22,11),-0.184294 # DEPENDENCYPART_SIBL
(22,5),(22,13),-0.184302 # DEPENDENCYPART_SIBL
(22,5),(22,15),-0.185617 # DEPENDENCYPART_SIBL
(22,5),(22,16),-0.0442332 # DEPENDENCYPART_SIBL
(22,5),(22,17),-0.143333 # DEPENDENCYPART_SIBL
(22,5),(22,18),-0.0248941 # DEPENDENCYPART_SIBL
(22,5),(22,19),-0.0885019 # DEPENDENCYPART_SIBL
(22,5),(22,20),-0.186047 # DEPENDENCYPART_SIBL
(22,5),(22,21),-0.0027924 # DEPENDENCYPART_SIBL
(22,5),(22,23),0.0152063 # DEPENDENCYPART_SIBL
(22,5),(22,24),-0.0165571 # DEPENDENCYPART_SIBL
(22,5),(22,26),-0.0112366 # DEPENDENCYPART_SIBL
(22,5),(22,27),0.0334418 # DEPENDENCYPART_SIBL
(22,5),(22,29),0.0184839 # DEPENDENCYPART_SIBL
(22,5),(22,30),-0.0156372 # DEPENDENCYPART_SIBL
(22,7),(22,8),-0.0555175 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.0276537 # DEPENDENCYPART_SIBL
(22,7),(22,11),-0.0555157 # DEPENDENCYPART_SIBL
(22,7),(22,13),-0.0555166 # DEPENDENCYPART_SIBL
(22,7),(22,15),-0.0556348 # DEPENDENCYPART_SIBL
(22,7),(22,16),-0.00230779 # DEPENDENCYPART_SIBL
(22,7),(22,17),-0.0688275 # DEPENDENCYPART_SIBL
(22,7),(22,18),-0.0372768 # DEPENDENCYPART_SIBL
(22,7),(22,19),-0.0494149 # DEPENDENCYPART_SIBL
(22,7),(22,20),-0.0567743 # DEPENDENCYPART_SIBL
(22,7),(22,21),-0.0547176 # DEPENDENCYPART_SIBL
(22,7),(22,23),-0.00442806 # DEPENDENCYPART_SIBL
(22,7),(22,24),-0.000280247 # DEPENDENCYPART_SIBL
(22,7),(22,26),-0.0201952 # DEPENDENCYPART_SIBL
(22,7),(22,27),-0.0230666 # DEPENDENCYPART_SIBL
(22,7),(22,29),0.0925696 # DEPENDENCYPART_SIBL
(22,7),(22,30),0.00149485 # DEPENDENCYPART_SIBL
(22,8),(22,9),-0.0335887 # DEPENDENCYPART_SIBL
(22,8),(22,11),-0.181367 # DEPENDENCYPART_SIBL
(22,8),(22,13),-0.181375 # DEPENDENCYPART_SIBL
(22,8),(22,15),-0.18269 # DEPENDENCYPART_SIBL
(22,8),(22,16),-0.0402565 # DEPENDENCYPART_SIBL
(22,8),(22,17),-0.141526 # DEPENDENCYPART_SIBL
(22,8),(22,18),-0.023565 # DEPENDENCYPART_SIBL
(22,8),(22,19),-0.0872323 # DEPENDENCYPART_SIBL
(22,8),(22,20),-0.18312 # DEPENDENCYPART_SIBL
(22,8),(22,21),0.000469794 # DEPENDENCYPART_SIBL
(22,8),(22,23),0.0174146 # DEPENDENCYPART_SIBL
(22,8),(22,24),-0.00856375 # DEPENDENCYPART_SIBL
(22,8),(22,26),-0.00821364 # DEPENDENCYPART_SIBL
(22,8),(22,27),0.0391318 # DEPENDENCYPART_SIBL
(22,8),(22,29),0.0206608 # DEPENDENCYPART_SIBL
(22,8),(22,30),-0.00764383 # DEPENDENCYPART_SIBL
(22,9),(22,11),0.00775099 # DEPENDENCYPART_SIBL
(22,9),(22,13),0.00775017 # DEPENDENCYPART_SIBL
(22,9),(22,15),0.00771312 # DEPENDENCYPART_SIBL
(22,9),(22,16),0.0329522 # DEPENDENCYPART_SIBL
(22,9),(22,17),-0.131669 # DEPENDENCYPART_SIBL
(22,9),(22,18),0.00738074 # DEPENDENCYPART_SIBL
(22,9),(22,19),-0.0447343 # DEPENDENCYPART_SIBL
(22,9),(22,20),0.00561035 # DEPENDENCYPART_SIBL
(22,9),(22,21),0.0185312 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.00356441 # DEPENDENCYPART_SIBL
(22,9),(22,24),0.00423321 # DEPENDENCYPART_SIBL
(22,9),(22,26),0.00681983 # DEPENDENCYPART_SIBL
(22,9),(22,27),0.0151821 # DEPENDENCYPART_SIBL
(22,9),(22,29),-0.024364 # DEPENDENCYPART_SIBL
(22,9),(22,30),0.00600903 # DEPENDENCYPART_SIBL
(22,11),(22,13),-0.181374 # DEPENDENCYPART_SIBL
(22,11),(22,15),-0.182688 # DEPENDENCYPART_SIBL
(22,11),(22,16),-0.0436928 # DEPENDENCYPART_SIBL
(22,11),(22,17),-0.141524 # DEPENDENCYPART_SIBL
(22,11),(22,18),-0.0235638 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.0872311 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.183119 # DEPENDENCYPART_SIBL
(22,11),(22,21),0.000473542 # DEPENDENCYPART_SIBL
(22,11),(22,23),0.0174184 # DEPENDENCYPART_SIBL
(22,11),(22,24),-0.0134362 # DEPENDENCYPART_SIBL
(22,11),(22,26),-0.00820415 # DEPENDENCYPART_SIBL
(22,11),(22,27),0.0391362 # DEPENDENCYPART_SIBL
(22,11),(22,29),0.0204241 # DEPENDENCYPART_SIBL
(22,11),(22,30),-0.0125163 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.182689 # DEPENDENCYPART_SIBL
(22,13),(22,16),-0.0401529 # DEPENDENCYPART_SIBL
(22,13),(22,17),-0.141524 # DEPENDENCYPART_SIBL
(22,13),(22,18),-0.0235638 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.0872311 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.183119 # DEPENDENCYPART_SIBL
(22,13),(22,21),0.000473542 # DEPENDENCYPART_SIBL
(22,13),(22,23),0.0174184 # DEPENDENCYPART_SIBL
(22,13),(22,24),-0.0141252 # DEPENDENCYPART_SIBL
(22,13),(22,26),-0.00820416 # DEPENDENCYPART_SIBL
(22,13),(22,27),0.0387455 # DEPENDENCYPART_SIBL
(22,13),(22,29),0.0198729 # DEPENDENCYPART_SIBL
(22,13),(22,30),-0.0132053 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.0435907 # DEPENDENCYPART_SIBL
(22,15),(22,17),-0.141525 # DEPENDENCYPART_SIBL
(22,15),(22,18),-0.0238348 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.0872323 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.183317 # DEPENDENCYPART_SIBL
(22,15),(22,21),0.000473542 # DEPENDENCYPART_SIBL
(22,15),(22,23),0.017379 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.00953859 # DEPENDENCYPART_SIBL
(22,15),(22,26),-0.0106876 # DEPENDENCYPART_SIBL
(22,15),(22,27),0.0389464 # DEPENDENCYPART_SIBL
(22,15),(22,29),0.0206336 # DEPENDENCYPART_SIBL
(22,15),(22,30),-0.00861867 # DEPENDENCYPART_SIBL
(22,16),(22,17),-0.00215531 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.00339313 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.0216731 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.00126458 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.121372 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0252339 # DEPENDENCYPART_SIBL
(22,16),(22,24),-0.00409266 # DEPENDENCYPART_SIBL
(22,16),(22,26),-0.00921843 # DEPENDENCYPART_SIBL
(22,16),(22,27),-0.00083905 # DEPENDENCYPART_SIBL
(22,16),(22,29),-0.0262598 # DEPENDENCYPART_SIBL
(22,16),(22,30),0.00115204 # DEPENDENCYPART_SIBL
(22,17),(22,18),0.0248067 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.00635252 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.0431891 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.0551026 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0244805 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0435222 # DEPENDENCYPART_SIBL
(22,17),(22,26),-0.0797562 # DEPENDENCYPART_SIBL
(22,17),(22,27),-0.0321879 # DEPENDENCYPART_SIBL
(22,17),(22,29),-0.01298 # DEPENDENCYPART_SIBL
(22,17),(22,30),-0.0399815 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0623498 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0747458 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.162135 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.00994012 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.015227 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.056267 # DEPENDENCYPART_SIBL
(22,18),(22,27),0.0155193 # DEPENDENCYPART_SIBL
(22,18),(22,29),-0.0170735 # DEPENDENCYPART_SIBL
(22,18),(22,30),-0.0134498 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.008276 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.00457842 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0257476 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.014113 # DEPENDENCYPART_SIBL
