# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,9,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(4,9),(4,24),-0.0353074 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.0701369 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.00652568 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0476249 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00120962 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.018825 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00999852 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00120962 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0257543 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0268326 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0156014 # DEPENDENCYPART_SIBL
(4,10),(4,27),0.0268327 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.024742 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0220351 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0282367 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.136954 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0220351 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0386067 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0380843 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.00314321 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0380848 # DEPENDENCYPART_SIBL
(4,12),(4,28),-0.0712951 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0122926 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.031753 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.000986056 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00561191 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.00430766 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.0290928 # DEPENDENCYPART_SIBL
(4,13),(4,27),-0.00431264 # DEPENDENCYPART_SIBL
(4,13),(4,28),-0.121287 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00511409 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.00946125 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0256418 # DEPENDENCYPART_SIBL
(4,14),(4,21),0.02672 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.012729 # DEPENDENCYPART_SIBL
(4,14),(4,27),0.0267202 # DEPENDENCYPART_SIBL
(4,14),(4,28),-0.0301501 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0160399 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0134437 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0129233 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.00905591 # DEPENDENCYPART_SIBL
(4,16),(4,27),-0.0129284 # DEPENDENCYPART_SIBL
(4,16),(4,28),0.0162093 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.00561191 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.00430766 # DEPENDENCYPART_SIBL
(4,18),(4,24),-0.0290928 # DEPENDENCYPART_SIBL
(4,18),(4,27),-0.00431264 # DEPENDENCYPART_SIBL
(4,18),(4,28),-0.121287 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.227305 # DEPENDENCYPART_SIBL
(4,19),(4,24),0.0351431 # DEPENDENCYPART_SIBL
(4,19),(4,27),-0.227342 # DEPENDENCYPART_SIBL
(4,19),(4,28),-0.0628942 # DEPENDENCYPART_SIBL
(4,21),(4,24),0.017619 # DEPENDENCYPART_SIBL
(4,21),(4,27),-0.231177 # DEPENDENCYPART_SIBL
(4,21),(4,28),-0.0768506 # DEPENDENCYPART_SIBL
(4,24),(4,27),-0.00931005 # DEPENDENCYPART_SIBL
(4,24),(4,28),-0.054084 # DEPENDENCYPART_SIBL
(4,27),(4,28),-0.0750506 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0251891 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0634272 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.000241286 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0436224 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00913375 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.094625 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.000322603 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00238424 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00331883 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00299183 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00298865 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.140984 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00972765 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0160399 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0111231 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.357638 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0256963 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0250848 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.282224 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0324679 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0280202 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0914966 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0734896 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0775122 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0099078 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00518258 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0134073 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.00829682 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00803714 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0389048 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.00518238 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0134073 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0154198 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.0101184 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0131136 # DEPENDENCYPART_SIBL
(9,2),(9,24),-0.00870955 # DEPENDENCYPART_SIBL
(9,2),(9,25),0.00744419 # DEPENDENCYPART_SIBL
(9,2),(9,27),0.0105088 # DEPENDENCYPART_SIBL
(9,2),(9,28),-0.0221698 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.127509 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0767527 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0581879 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0505373 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0487947 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0790874 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0275369 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0610065 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0649891 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0311997 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.013391 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0275369 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0610065 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0509899 # DEPENDENCYPART_SIBL
(9,3),(9,21),0.0528297 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0478027 # DEPENDENCYPART_SIBL
(9,3),(9,24),0.0414298 # DEPENDENCYPART_SIBL
(9,3),(9,25),0.0517536 # DEPENDENCYPART_SIBL
(9,3),(9,27),0.0528222 # DEPENDENCYPART_SIBL
(9,3),(9,28),-0.0201714 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0184531 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0660491 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0431962 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.0432857 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.000191166 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0348954 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0246085 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.013854 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0314535 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.051577 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0348955 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0246085 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.00626703 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.00545676 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.0505448 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.0273554 # DEPENDENCYPART_SIBL
(9,4),(9,25),-0.00654502 # DEPENDENCYPART_SIBL
(9,4),(9,27),-0.00545985 # DEPENDENCYPART_SIBL
(9,4),(9,28),-0.0421504 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0384365 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0274674 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0274236 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0017693 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0432527 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0173164 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0140926 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0399472 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0338107 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0432527 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0173164 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0091529 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.00685789 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0301515 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.0739896 # DEPENDENCYPART_SIBL
(9,5),(9,25),-0.00162835 # DEPENDENCYPART_SIBL
(9,5),(9,27),-0.00705857 # DEPENDENCYPART_SIBL
(9,5),(9,28),-0.045214 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.103245 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0537569 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0232427 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0322013 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0918623 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0412117 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0282328 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0600459 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0322013 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0918623 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0248722 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0255623 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.0214865 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.0624248 # DEPENDENCYPART_SIBL
(9,6),(9,25),0.0243525 # DEPENDENCYPART_SIBL
(9,6),(9,27),0.0273028 # DEPENDENCYPART_SIBL
(9,6),(9,28),-0.0923441 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0166496 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0250969 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0651009 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0351148 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0388216 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0565173 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0506018 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0651009 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0351148 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0201697 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0195114 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.046666 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.0939364 # DEPENDENCYPART_SIBL
(9,7),(9,25),-0.0204855 # DEPENDENCYPART_SIBL
(9,7),(9,27),-0.019513 # DEPENDENCYPART_SIBL
(9,7),(9,28),-0.0559229 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.010975 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0544795 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0170688 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0246997 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0458958 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0332709 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0544795 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0170688 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.000770041 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.00142841 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.0389994 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.0826782 # DEPENDENCYPART_SIBL
(9,8),(9,25),0.000454285 # DEPENDENCYPART_SIBL
(9,8),(9,27),0.00142677 # DEPENDENCYPART_SIBL
(9,8),(9,28),-0.041203 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0539252 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00525978 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0281837 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0537876 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0414447 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0539252 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.00525978 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0226144 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0236927 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0171736 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.0320992 # DEPENDENCYPART_SIBL
(9,10),(9,25),0.0232488 # DEPENDENCYPART_SIBL
(9,10),(9,27),0.0236928 # DEPENDENCYPART_SIBL
(9,10),(9,28),-0.0293286 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0351805 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0434258 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.119731 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.173684 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.115796 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0351805 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0503437 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.0498213 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.000328868 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.024283 # DEPENDENCYPART_SIBL
(9,12),(9,25),-0.0507901 # DEPENDENCYPART_SIBL
(9,12),(9,27),-0.0498217 # DEPENDENCYPART_SIBL
(9,12),(9,28),-0.0834482 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0137943 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.058882 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0514633 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0556044 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.00100569 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0054889 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.00418466 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.00745933 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.0406768 # DEPENDENCYPART_SIBL
(9,13),(9,25),-0.00468575 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.00418964 # DEPENDENCYPART_SIBL
(9,13),(9,28),-0.120911 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0620407 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0365603 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0621783 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0135114 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0225018 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0235801 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.0142209 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.0292267 # DEPENDENCYPART_SIBL
(9,14),(9,25),0.0231363 # DEPENDENCYPART_SIBL
(9,14),(9,27),0.0235802 # DEPENDENCYPART_SIBL
(9,14),(9,28),-0.0347367 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.159874 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.105251 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0238217 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0300412 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.029473 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.00930775 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.010095 # DEPENDENCYPART_SIBL
(9,15),(9,25),-0.0304418 # DEPENDENCYPART_SIBL
(9,15),(9,27),-0.0294735 # DEPENDENCYPART_SIBL
(9,15),(9,28),-0.0678097 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0674798 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.034735 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0293221 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0288017 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.0167926 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.0430994 # DEPENDENCYPART_SIBL
(9,16),(9,25),-0.0292592 # DEPENDENCYPART_SIBL
(9,16),(9,27),-0.0288068 # DEPENDENCYPART_SIBL
(9,16),(9,28),-0.00139331 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0351805 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0503437 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0498213 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.000328869 # DEPENDENCYPART_SIBL
(9,17),(9,24),-0.024283 # DEPENDENCYPART_SIBL
(9,17),(9,25),-0.0507901 # DEPENDENCYPART_SIBL
(9,17),(9,27),-0.0498217 # DEPENDENCYPART_SIBL
(9,17),(9,28),-0.0834482 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0054889 # DEPENDENCYPART_SIBL
(9,18),(9,21),-0.00418466 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.00745933 # DEPENDENCYPART_SIBL
(9,18),(9,24),-0.0406768 # DEPENDENCYPART_SIBL
(9,18),(9,25),-0.00468575 # DEPENDENCYPART_SIBL
(9,18),(9,27),-0.00418964 # DEPENDENCYPART_SIBL
(9,18),(9,28),-0.120911 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.232411 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0201401 # DEPENDENCYPART_SIBL
(9,19),(9,24),0.0140425 # DEPENDENCYPART_SIBL
(9,19),(9,25),-0.23286 # DEPENDENCYPART_SIBL
(9,19),(9,27),-0.232448 # DEPENDENCYPART_SIBL
(9,19),(9,28),-0.0617648 # DEPENDENCYPART_SIBL
(9,21),(9,23),-0.0333749 # DEPENDENCYPART_SIBL
(9,21),(9,24),-0.00348157 # DEPENDENCYPART_SIBL
(9,21),(9,25),-0.236695 # DEPENDENCYPART_SIBL
(9,21),(9,27),-0.236283 # DEPENDENCYPART_SIBL
(9,21),(9,28),-0.0757211 # DEPENDENCYPART_SIBL
(9,23),(9,24),-0.0465425 # DEPENDENCYPART_SIBL
(9,23),(9,25),-0.0689822 # DEPENDENCYPART_SIBL
(9,23),(9,27),-0.0685392 # DEPENDENCYPART_SIBL
(9,23),(9,28),0.00868535 # DEPENDENCYPART_SIBL
(9,24),(9,25),-0.0171867 # DEPENDENCYPART_SIBL
(9,24),(9,27),-0.0165829 # DEPENDENCYPART_SIBL
(9,24),(9,28),-0.0613349 # DEPENDENCYPART_SIBL
(9,25),(9,27),-0.238535 # DEPENDENCYPART_SIBL
(9,25),(9,28),-0.0782773 # DEPENDENCYPART_SIBL
(9,27),(9,28),-0.0739212 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0251891 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0634275 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0403179 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.021559 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0632055 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0069345 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.023088 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.00655279 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0215711 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.023088 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0946252 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0341915 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0206252 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0917092 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.014613 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.024378 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0374956 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0408668 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.024378 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0263408 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0207548 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0144205 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.00530852 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.016467 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0354235 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0235551 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.016467 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.00479366 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0302658 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00120251 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0207677 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0187016 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0135283 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0207677 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0326441 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00364594 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0315702 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0189472 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0295918 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0315702 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00504037 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0156908 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0345156 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0224779 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0156908 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0103485 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0250511 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0651725 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0103485 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0167236 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0232517 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0138031 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0347429 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0360545 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.000727396 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0158821 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0207012 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0195767 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0110235 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0250242 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00322102 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0166492 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0272176 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0452692 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.00810233 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0185851 # DEPENDENCYPART_SIBL
(12,13),(12,19),0.0570594 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0151622 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0658103 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.00161807 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0596685 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.00485361 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.0583329 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00515037 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.0202832 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0496236 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0172941 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.137786 # DEPENDENCYPART_SIBL
(13,2),(13,17),0.0185608 # DEPENDENCYPART_SIBL
(13,2),(13,18),0.0137564 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.209814 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.207406 # DEPENDENCYPART_SIBL
(13,2),(13,23),0.0120147 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.00867611 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0974067 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.00840988 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0196903 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.172078 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0315234 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.106048 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0321031 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.00988009 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0486242 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.0493445 # DEPENDENCYPART_SIBL
(13,4),(13,23),0.258511 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0688229 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.00982136 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0234759 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.102949 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0521358 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.118701 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0526532 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0111973 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0943969 # DEPENDENCYPART_SIBL
