# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,7,12,0,12,15,12,15,16,17,18,21,19,23,21,0,
(6,4),(6,10),-0.0261352 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0329752 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0193939 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0178508 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0193939 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0354748 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0354748 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.00870043 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.00888329 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0754638 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.120471 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00394488 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0311671 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0333024 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0346803 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0670865 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0507884 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0670865 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0241974 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0241974 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.00394488 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.00376303 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0484226 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0243735 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.106098 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.018177 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00605301 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0184698 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0313173 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0189245 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.114323 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.114323 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0244052 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0243735 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.011983 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.114446 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.206761 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0103519 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0351349 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.000379044 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0351725 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0113759 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0113759 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.220457 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.220437 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0702421 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00879459 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0181385 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0178168 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0205443 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0177541 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0675286 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0675286 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.013964 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.013964 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.0462932 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00455394 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0301143 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00229916 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.030152 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0256662 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0256662 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.214959 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.21494 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0665345 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00672803 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.00468539 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0067657 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0319819 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0319819 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.00918407 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.00920123 # DEPENDENCYPART_SIBL
(6,11),(6,24),-0.10997 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.026747 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.194714 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0110649 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0110649 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.0596897 # DEPENDENCYPART_SIBL
(6,12),(6,23),-0.0596872 # DEPENDENCYPART_SIBL
(6,12),(6,24),0.0189867 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0160496 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0318192 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0318192 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.0387214 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.0387214 # DEPENDENCYPART_SIBL
(6,13),(6,24),-0.0157611 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0110649 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0110649 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0596897 # DEPENDENCYPART_SIBL
(6,15),(6,23),-0.0596872 # DEPENDENCYPART_SIBL
(6,15),(6,24),0.0189846 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0728949 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.017694 # DEPENDENCYPART_SIBL
(6,16),(6,23),-0.0176623 # DEPENDENCYPART_SIBL
(6,16),(6,24),-0.0707843 # DEPENDENCYPART_SIBL
(6,19),(6,21),-0.017694 # DEPENDENCYPART_SIBL
(6,19),(6,23),-0.0176623 # DEPENDENCYPART_SIBL
(6,19),(6,24),-0.0707843 # DEPENDENCYPART_SIBL
(6,21),(6,23),-0.220437 # DEPENDENCYPART_SIBL
(6,21),(6,24),-0.0702421 # DEPENDENCYPART_SIBL
(6,23),(6,24),-0.0702421 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.229104 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.518375 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.122932 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.169858 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0582059 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.123748 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0626906 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0820229 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.106641 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0616034 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.022681 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0180335 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0721524 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0308755 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0194607 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0315672 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0525357 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0525357 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.024238 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0617941 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.00953509 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0259604 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00614581 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0183013 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0121198 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0245807 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0122918 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0142135 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0142135 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.008036 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0155777 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00745177 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.012598 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0120242 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.000152955 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0233389 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.000844619 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0237656 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0237656 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00461635 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.00809872 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.000143426 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0084603 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00405019 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0277371 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.00474186 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0650939 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0650939 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0444508 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0442267 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0458025 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0316485 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0314584 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0309568 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0274768 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0274768 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.035243 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0311279 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0155074 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0133887 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0159375 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.024948 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.024948 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0400854 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.00881752 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0506434 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.00839998 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0339796 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0339796 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0166589 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0640991 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0162414 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0145964 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0145964 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0548434 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0929542 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0158145 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.0158145 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.00259517 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.000643855 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.000643855 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0158145 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0158145 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.024518 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0144278 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0892337 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0498474 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00564532 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00620533 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00513172 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.00513172 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0892337 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0498474 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00564532 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00620533 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00513172 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.00513172 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0464346 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00938876 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0068614 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.00653822 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.00653822 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0230351 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0100995 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.000420138 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.000420138 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.000309719 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00340255 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.00340255 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0312284 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0312284 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0415379 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0808306 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0655785 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.105362 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0929412 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0808306 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0510867 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0802138 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0146294 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00724999 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0153211 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.00923882 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00932785 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.036752 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0166455 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0147471 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0146871 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00367623 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0238253 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.00298456 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0869344 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0659225 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0646158 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.00791409 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.194563 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0085582 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.00980931 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.00924986 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0643251 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0159517 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0145857 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00653861 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.000517275 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0263397 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.000174389 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0267922 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0359635 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0239042 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0926069 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00255748 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0924881 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0147471 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0146871 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00367623 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0238253 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00298456 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0250666 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00279114 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0275652 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.00296312 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0138204 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0630483 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0134028 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0522174 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0970882 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.000908319 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.338128 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0594798 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.034621 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.00371864 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0203063 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00506836 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0250001 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.054595 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.025001 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.25538 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.00596296 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.186654 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0677327 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.184876 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.00548204 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0420122 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0613692 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.00425133 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0153298 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.018762 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0154194 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.263083 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.172995 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0339828 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0336334 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0539208 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0344227 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0527646 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.115685 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0521645 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0203063 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00506836 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0250001 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.054595 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.025001 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0252247 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0893085 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0968124 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.238886 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.026676 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0526351 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0228972 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0152552 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0139112 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.00167594 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0555157 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.00230779 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.158672 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0390381 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.024842 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0555157 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0296507 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0561351 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.00230779 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0159332 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.00578042 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0205059 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0215496 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.00154277 # DEPENDENCYPART_SIBL
(12,2),(12,18),0.0931976 # DEPENDENCYPART_SIBL
(12,2),(12,19),0.0215496 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.00154277 # DEPENDENCYPART_SIBL
(12,2),(12,23),0.00135865 # DEPENDENCYPART_SIBL
(12,2),(12,24),-0.0410685 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0401423 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.281557 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0277193 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0310571 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.181366 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.059384 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.183252 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0401423 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.00809847 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.0313653 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.00820415 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.00950363 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.00977133 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.0258082 # DEPENDENCYPART_SIBL
(12,3),(12,19),0.00950363 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.00977133 # DEPENDENCYPART_SIBL
(12,3),(12,23),-0.00995319 # DEPENDENCYPART_SIBL
(12,3),(12,24),-0.0157035 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.0239426 # DEPENDENCYPART_SIBL
(12,4),(12,6),0.00367585 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.025103 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.00336588 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.00498857 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00088808 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0106972 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.00971517 # DEPENDENCYPART_SIBL
(12,4),(12,14),0.0134488 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.00921843 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0134842 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.00128132 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.0238806 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.0134842 # DEPENDENCYPART_SIBL
(12,4),(12,21),0.00128132 # DEPENDENCYPART_SIBL
(12,4),(12,23),0.00109845 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.0661995 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.127467 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0524319 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0122493 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0267168 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0116396 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0163077 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0497941 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0222331 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0666697 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.016118 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.00479672 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0216005 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.016118 # DEPENDENCYPART_SIBL
(12,5),(12,21),0.00479672 # DEPENDENCYPART_SIBL
(12,5),(12,23),0.00461487 # DEPENDENCYPART_SIBL
(12,5),(12,24),-0.0482883 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0143887 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0748179 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0635235 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.0754251 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0107369 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.000766511 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0208392 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0547437 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.00765797 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0148603 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0179264 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.00765797 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0148603 # DEPENDENCYPART_SIBL
(12,6),(12,23),-0.0150421 # DEPENDENCYPART_SIBL
(12,6),(12,24),-0.039123 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.00211124 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.00333773 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.000529034 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.0169295 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00452865 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.00524594 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0222493 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0130342 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.0123621 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.00308881 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0130342 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.0123621 # DEPENDENCYPART_SIBL
(12,7),(12,23),0.0121801 # DEPENDENCYPART_SIBL
(12,7),(12,24),-0.0315754 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.059384 # DEPENDENCYPART_SIBL
