# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(4,7),(4,15),-0.00973728 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00102571 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0575993 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0232468 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00801638 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00953298 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0110219 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0708134 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0106345 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0331437 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.162787 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0454839 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.114751 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.131671 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.063153 # DEPENDENCYPART_SIBL
(6,3),(6,8),1.50515e-05 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.029844 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0631315 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0700998 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.108595 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.087333 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0314971 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.108421 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.108522 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0469429 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00262083 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.108488 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.108497 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00102571 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0575993 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0572918 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00801638 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00803384 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.109903 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.052529 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.151113 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0153787 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0548451 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0153787 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.264947 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0705567 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0865267 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0875975 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0888338 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.143744 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0286572 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0148395 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0286572 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0265514 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0266027 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0060889 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00711185 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0951781 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.067227 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0879363 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.067227 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0421238 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00471369 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0314001 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0258865 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0296176 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0236633 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0085813 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0183013 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0142135 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0090903 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0128541 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0121198 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00791774 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0453701 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0487674 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0224348 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00662978 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0177637 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0183013 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0142135 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0090903 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0128541 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0121198 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0145964 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0608277 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0149007 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0166589 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0201729 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0171981 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00227201 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0255898 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.00705488 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.00702088 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.144624 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.017488 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0224847 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.017488 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0442128 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.00302465 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0197095 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0254086 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0151486 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.00546956 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.018688 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0034575 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.018688 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0153298 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0918755 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0507106 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0495846 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.261808 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0284044 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0230997 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0144756 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.021302 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.102896 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.120319 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.119439 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0894987 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0810514 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0518356 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0370823 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.282919 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0895609 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0880544 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0471272 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0100506 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.021302 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.102896 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.120319 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.119439 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0894987 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0810514 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0447355 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.216889 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.222212 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0250001 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.131143 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00430265 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.00431129 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.00151271 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0242803 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0451898 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0534443 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.0843713 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0547095 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.0843518 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.00375684 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0507799 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0350614 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0862839 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0794355 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0441628 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0843434 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0149747 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.00565319 # DEPENDENCYPART_SIBL
(9,8),(9,10),7.05448e-05 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0160074 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0229126 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0575384 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0157369 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.454505 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.238243 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0357177 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0357177 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.04741 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0357177 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.00307483 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.0344091 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.320643 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.166474 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.320952 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0287379 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.105636 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.165189 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.319547 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0298078 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.105117 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0402572 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.128725 # DEPENDENCYPART_SIBL
(9,15),(9,24),0.0923796 # DEPENDENCYPART_SIBL
(9,16),(9,18),0.029615 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.105298 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.0279065 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0523812 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.151114 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0162872 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0576531 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0715812 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.147754 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.0580786 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.087424 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.12245 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.088625 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0856092 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.126343 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.108409 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0856092 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.095318 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.0816336 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.143745 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0277486 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0257172 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0114236 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.144754 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0364087 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0083099 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0142311 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0938909 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.00959681 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0201902 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0158623 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.00959681 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0120832 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.00824519 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0675889 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.118467 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0733736 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.368334 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0248923 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0239572 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0645898 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0277057 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.028731 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.155606 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0347046 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.028731 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.0104961 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.0270315 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0240089 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0346836 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.117273 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0477995 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0111304 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0324596 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0137892 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0106187 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0125911 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00443317 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.0106187 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.014877 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.0100771 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00931725 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.13906 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0178183 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.00187563 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.039269 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.000100779 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.00486869 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0338073 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0124454 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.00486869 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0103405 # DEPENDENCYPART_SIBL
(11,7),(11,23),0.00407827 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.101896 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0385444 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00516659 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00906776 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.012269 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0275803 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.0210562 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0382264 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0275803 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0137111 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0349758 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0104534 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0337413 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0882662 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0621941 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0524831 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.141856 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.00383448 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.0524831 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.032766 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.0508108 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0337468 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.00818967 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.037693 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.00783214 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0213128 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.0132958 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.00783214 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0147368 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.00802193 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.000326427 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.00698934 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.000875578 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0028636 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.0212748 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.000875578 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.000523991 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.00068578 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.00738055 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.124088 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.00389669 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.0643707 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.124088 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.0731334 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.123959 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0178732 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.0117571 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0619528 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.0178732 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.00771924 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.0172726 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00390172 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.0637974 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.12429 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.0731149 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.124162 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.0133641 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.00623837 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0094274 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.00642816 # DEPENDENCYPART_SIBL
(11,19),(11,20),0.0425559 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.00908833 # DEPENDENCYPART_SIBL
(11,19),(11,23),0.041989 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.0731149 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.124162 # DEPENDENCYPART_SIBL
(11,21),(11,23),0.0138971 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.010152 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.00084109 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00922607 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0256621 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.00308402 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.144752 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0256644 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.138113 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.00592894 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.0951781 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0079958 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.0191656 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.0168868 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.00101784 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.139373 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.01704 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.121286 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.00843222 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.000152955 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.00549001 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0338522 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0124006 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.166716 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0020945 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.156493 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.00500095 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0193263 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0409058 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0422373 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0231232 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.0597995 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.406333 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.10087 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0655845 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.057257 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.144903 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.00688165 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.12135 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0082939 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.000382149 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.00809141 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0338511 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0124011 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.152043 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0632515 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0339967 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.130451 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0259571 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0484147 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0505957 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.031192 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0106896 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0184956 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0117571 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0619528 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.00296065 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0647384 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0133641 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0330938 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0169875 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.114138 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0169875 # DEPENDENCYPART_SIBL
(15,1),(15,7),0.0525079 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0601024 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.00569887 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.00354806 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0523184 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0265609 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0248675 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0525079 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0039608 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.0142262 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0727723 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.0676323 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0039608 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0112222 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0117079 # DEPENDENCYPART_SIBL
(15,1),(15,24),0.146803 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0621629 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.0156442 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0621629 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0734873 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.00752377 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0334745 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.056897 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0734895 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0621412 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0450054 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.0734873 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0167837 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0207547 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.0185518 # DEPENDENCYPART_SIBL
(15,2),(15,19),0.0470313 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.0167837 # DEPENDENCYPART_SIBL
(15,2),(15,21),0.0229424 # DEPENDENCYPART_SIBL
(15,2),(15,23),-0.0158305 # DEPENDENCYPART_SIBL
(15,2),(15,24),-0.0376651 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.00974606 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.0283665 # DEPENDENCYPART_SIBL
