# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,15,0,17,15,17,20,15,22,20,22,25,23,0,
(7,2),(7,19),0.256172 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.256138 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0199174 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0116164 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00612472 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0246509 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0851577 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0579254 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0508866 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.209193 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0240764 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.024994 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.024994 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.024994 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0243939 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0159956 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0236871 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0894987 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.11133 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.101234 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0869081 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.11916 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0671406 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.239077 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.239077 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.239077 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.239043 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00583204 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0233809 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0924355 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0652032 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0477722 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.208777 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0237575 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0245578 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0245578 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0245578 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0239576 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.035403 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0166634 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00954051 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0243527 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0659392 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.015719 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.00437904 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.00437904 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.00437904 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0043775 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0147877 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0140443 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0336331 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00646971 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.146957 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0139112 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0139112 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0139112 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0139097 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0348188 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0181985 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0347559 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00798976 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0101148 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0101148 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0101148 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0101108 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00103632 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0106794 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0394648 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.00166127 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.00166127 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.00166127 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.00165731 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.00022064 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0188 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0162065 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.0162065 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0162065 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.016205 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.235878 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.069268 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.069268 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.069268 # DEPENDENCYPART_SIBL
(7,13),(7,22),0.0688542 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0678845 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0678845 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0678845 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.067883 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0316914 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0316914 # DEPENDENCYPART_SIBL
(7,16),(7,22),0.0316898 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.0316914 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0316898 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.0316898 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0149639 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0536175 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0232833 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0293528 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0536248 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00325074 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.158828 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0384429 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0146954 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00561692 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.00409242 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.00522888 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0142069 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0981868 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0107175 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.000466948 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.0138028 # DEPENDENCYPART_SIBL
(9,2),(9,25),-0.000802169 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0809291 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0590467 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.18259 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0401424 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.281557 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.00499631 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0139112 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0150759 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0147541 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00422622 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0305692 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0257788 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0388159 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0161696 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.00948819 # DEPENDENCYPART_SIBL
(9,3),(9,25),-0.0140256 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.00646541 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0326207 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.00808347 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.102963 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0731161 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0466738 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0456482 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0126202 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.069441 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0215976 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.014406 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0109159 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0136977 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0540328 # DEPENDENCYPART_SIBL
(9,4),(9,25),-0.013915 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0555538 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00230779 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.158672 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0354034 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0116559 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00137592 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.00260007 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00727249 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0160945 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0931976 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00942314 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0019593 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0215496 # DEPENDENCYPART_SIBL
(9,5),(9,25),-0.00229452 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0451799 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.281589 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.00229161 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0211991 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0119017 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.015187 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00454448 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0317786 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0253458 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0384937 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0166025 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.00631391 # DEPENDENCYPART_SIBL
(9,6),(9,25),-0.0144585 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0239426 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0146554 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.020585 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0139428 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.00325987 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0423738 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0319117 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0238806 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00507086 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0146007 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0134842 # DEPENDENCYPART_SIBL
(9,7),(9,25),-0.00255598 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0270534 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.061283 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0229546 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00344528 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0349491 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.058669 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0216005 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00746663 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.00414239 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.016118 # DEPENDENCYPART_SIBL
(9,8),(9,25),-0.0143886 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0571359 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.00572525 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0074027 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0186889 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.00475626 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.070896 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.00948225 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.00737967 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0203138 # DEPENDENCYPART_SIBL
(9,10),(9,25),0.00750506 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.000453726 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.032798 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0791829 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0302294 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0470321 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00133859 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.032775 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.0327801 # DEPENDENCYPART_SIBL
(9,11),(9,25),0.0329004 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.00795045 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0191289 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00884634 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0888299 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0540515 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.00804287 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.0706643 # DEPENDENCYPART_SIBL
(9,12),(9,25),-0.00762822 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.000492108 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0495191 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.116017 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.114758 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.229642 # DEPENDENCYPART_SIBL
(9,13),(9,23),0.00807626 # DEPENDENCYPART_SIBL
(9,13),(9,25),-0.229414 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.00573227 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0509368 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.034985 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.00419424 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.033281 # DEPENDENCYPART_SIBL
(9,14),(9,25),0.00436572 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.105464 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.121286 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0676067 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.0101703 # DEPENDENCYPART_SIBL
(9,15),(9,25),-0.0674725 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0523875 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0344316 # DEPENDENCYPART_SIBL
(9,16),(9,23),0.0503807 # DEPENDENCYPART_SIBL
(9,16),(9,25),-0.0343066 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.0615379 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.0150747 # DEPENDENCYPART_SIBL
(9,17),(9,25),-0.0613917 # DEPENDENCYPART_SIBL
(9,20),(9,23),0.0218848 # DEPENDENCYPART_SIBL
(9,20),(9,25),-0.220171 # DEPENDENCYPART_SIBL
(9,23),(9,25),-0.0221449 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.158744 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0245813 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0642731 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0163985 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0402543 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00614405 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0227955 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.025353 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.072809 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0712676 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0298958 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0126381 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.020163 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.293268 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.115598 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0946251 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0430228 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0266551 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0228747 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0197445 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.000612573 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0353642 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0159748 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0139736 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0123361 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.144317 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00605167 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0272533 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0670389 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0175133 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0162951 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.027548 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0189169 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0283229 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0435252 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.00445407 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.00785487 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.166088 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0245598 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0649257 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0341553 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00530172 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.00608087 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0225211 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0238553 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.161015 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0245823 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.064264 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0321877 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.008022 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.00588323 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0224133 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0248586 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0729413 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0713939 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0272288 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0881781 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0182955 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.33665 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.15637 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0946091 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.028644 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.00744858 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0219192 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0216962 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0010945 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0185202 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0162315 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0143303 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0128081 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.14458 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.07598 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0114091 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0125534 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00653591 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0124096 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0334148 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0142299 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0312152 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0423094 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.00207469 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0124136 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0512113 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0467678 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0194823 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0151851 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0223067 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0115369 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0117397 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0296462 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0566613 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.209642 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.332256 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0241189 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0507804 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.122938 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.145419 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.138751 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.143332 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0952467 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0422956 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0407849 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0214998 # DEPENDENCYPART_SIBL
(13,4),(13,18),0.0214998 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0214998 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0212516 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0249574 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0152433 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0191809 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.00895368 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0132552 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0132552 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0132552 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0116787 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0235692 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0325805 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.00798619 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0216472 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0216472 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0216472 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0196137 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0344424 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00778942 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.025286 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.025286 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.025286 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0594293 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0407363 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0647864 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0647864 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0647864 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0112695 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.00315418 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.00315418 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.00315418 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0110904 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0110904 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0110904 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0434259 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0434259 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0434259 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.00677919 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.00567873 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0300545 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.0219068 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00447742 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.024994 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.024994 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.024994 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.0243939 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.00703215 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.00672867 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0484996 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0642551 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0486367 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.0486367 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0486367 # DEPENDENCYPART_SIBL
(14,10),(14,22),0.0485551 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.00707952 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.0520057 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0683602 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.047785 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.047785 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.047785 # DEPENDENCYPART_SIBL
(14,11),(14,22),0.0477033 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0216507 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.023847 # DEPENDENCYPART_SIBL
