# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,4,15,4,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(7,5),(7,13),-0.0102819 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.010894 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00609881 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00255756 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.00922214 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.000977398 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0327631 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0648474 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0312487 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0481811 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0517667 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0847865 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0568401 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0295387 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0519836 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0050682 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00450184 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0298067 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0281749 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00370359 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0733188 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0467858 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0336498 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00367957 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.117434 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0797565 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0137001 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.116581 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.034368 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.00923276 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0548643 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.116462 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0738035 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0197211 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.115838 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0410065 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.012672 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0490271 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.11572 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0126735 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0148629 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00227621 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.000178192 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0504396 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0169337 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0334232 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0401017 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0170131 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0185865 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0333547 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0404908 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00841359 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0548382 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.122933 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0135763 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.00220557 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0608782 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.00385078 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.00905576 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.00394976 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0697604 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.420902 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0794907 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0326632 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0495958 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0594807 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0573504 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0309533 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.162404 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0023536 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0170482 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00967397 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00411044 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0305723 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0266166 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.144737 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0532343 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0467936 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.115864 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0151171 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0385453 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0723219 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0212027 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.117688 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0160816 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0475455 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0126735 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0147008 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.000494778 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0504396 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0335853 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0176861 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0185864 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0104993 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0540752 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.00385068 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0201917 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.00816119 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.15625 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0111679 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.145983 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00503689 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0160757 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00869401 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0063088 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0110398 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0323289 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0256442 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0262792 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.119571 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0596567 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.11575 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0536287 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.00891355 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0248136 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.025325 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.192005 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0164927 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.00407504 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.135022 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0264912 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.130472 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0202491 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00431731 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0232382 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0117682 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0109851 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0095246 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00265209 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0565428 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.411554 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0415513 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0275999 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0445352 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0460023 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0884342 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0666577 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.02589 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.145981 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00566107 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0160707 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00869401 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00115727 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0110398 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0320941 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0256391 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0144863 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.062205 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0378257 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0941868 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0233572 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.029081 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.047516 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0168048 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0093564 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.000836603 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0099072 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0341904 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0263733 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0126735 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0148413 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00227622 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.000474443 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0499721 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0334448 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0401017 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0176658 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.018119 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0411325 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0103352 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0537289 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0129153 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.00268144 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00244821 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0219106 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0383714 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0582591 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.00549405 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0565596 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0572156 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0384535 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0622201 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.00510271 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0557892 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0611766 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.174082 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0651893 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0628868 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.173396 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.101173 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.225693 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.518289 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0205703 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.00187525 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.136704 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0169382 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.0816583 # DEPENDENCYPART_SIBL
(12,3),(12,14),0.050236 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0118374 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.00366612 # DEPENDENCYPART_SIBL
(12,3),(12,18),0.080609 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0712455 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0502495 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0116509 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00367742 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0701962 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0462397 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0200852 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0309124 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.109266 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.024959 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0103745 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0576152 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00293792 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00326729 # DEPENDENCYPART_SIBL
(12,16),(12,18),0.0118374 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0262792 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.119712 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.115892 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.062559 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0640886 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0484304 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.017918 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.191923 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.021935 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00506685 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0248862 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0351942 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.13517 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.13062 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.029301 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0309867 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0220329 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.016493 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0110704 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00400239 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.00364425 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.023321 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0178756 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.405844 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.06518 # DEPENDENCYPART_SIBL
(13,6),(13,10),0.0742768 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0449994 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.101431 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0854757 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.052937 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0270003 # DEPENDENCYPART_SIBL
(13,6),(13,17),0.0474226 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0421798 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0417545 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0546909 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0423781 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0711616 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0189137 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0124409 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0449207 # DEPENDENCYPART_SIBL
(13,8),(13,17),0.0421959 # DEPENDENCYPART_SIBL
(13,8),(13,18),0.0918985 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0156909 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0119867 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0250214 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0111008 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.026888 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0260905 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.00787496 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0069666 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0120898 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0252845 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0119201 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0254693 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0256776 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00760751 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0105748 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0111446 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0635214 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0358673 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0258106 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0572248 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0571654 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0170511 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00732609 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0312819 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0272284 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0150817 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0134999 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.00341384 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.00502269 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.0581519 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00269686 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.010208 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.00638365 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0190438 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.00127717 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0347368 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.348916 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0160863 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.00434281 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.00444584 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.00635162 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0298258 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0200627 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0065869 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00687701 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0440277 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.0229298 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.218867 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.0971832 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.186654 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.186654 # DEPENDENCYPART_SIBL
(14,4),(14,10),0.18496 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0275652 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.0678332 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.18366 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.00239577 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0146548 # DEPENDENCYPART_SIBL
(14,4),(14,17),-0.0613692 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0246367 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0447808 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.0446952 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0431522 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0251923 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0151244 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.044233 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0939387 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0671832 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0690186 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.121294 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.00382166 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.00572685 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0298258 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0200619 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.00596272 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00412821 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.046104 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.025001 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.216411 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.00592617 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0299677 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0202862 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0061578 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.00753227 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.0436036 # DEPENDENCYPART_SIBL
(14,9),(14,17),0.0225584 # DEPENDENCYPART_SIBL
(14,9),(14,18),0.21044 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0298392 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0200783 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0068207 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.00436296 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0459336 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0247008 # DEPENDENCYPART_SIBL
(14,10),(14,18),0.210869 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0604569 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0376777 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0335631 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.281615 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0334902 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0615456 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0205071 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0814773 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0801125 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.239025 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.130725 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.00346391 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0454501 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0246611 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.213518 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0366066 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0171436 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.00668788 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.0173163 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.00293452 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.00859254 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0318807 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0623299 # DEPENDENCYPART_SIBL
(15,1),(15,4),0.0132426 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.0453955 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0648052 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0648052 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0649191 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.002485 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0319494 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0669559 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0132426 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0069785 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.123488 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.0479219 # DEPENDENCYPART_SIBL
(15,1),(15,19),-0.0215968 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0623299 # DEPENDENCYPART_SIBL
(15,2),(15,4),0.0132426 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0453955 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0648052 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0648052 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0649191 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.002485 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0319494 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0669559 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.0132426 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0069785 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.123488 # DEPENDENCYPART_SIBL
(15,2),(15,18),0.0479219 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0215968 # DEPENDENCYPART_SIBL
(15,3),(15,4),-0.0221596 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.0433592 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.236172 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.236275 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.238164 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.031044 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0769471 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.240741 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.0221596 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0142908 # DEPENDENCYPART_SIBL
(15,3),(15,17),0.0305369 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00101682 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0340845 # DEPENDENCYPART_SIBL
