# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,11,12,7,11,11,11,16,14,18,16,0,
(7,12),(7,16),-0.0320659 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0148982 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0608782 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.00844794 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0488408 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0103362 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00416533 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.139158 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0447821 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.043709 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0447821 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0109348 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00722758 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00834204 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0194788 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0470841 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0218505 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0194788 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.000411479 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.000411479 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0570606 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0153298 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00425133 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0153298 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0145201 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0610523 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.261808 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0339828 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0116129 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0977269 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0339827 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0507263 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0507263 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0141014 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.034621 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00371864 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0113262 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0627147 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0250001 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.025001 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.024077 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0486232 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0250009 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.216411 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.216408 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.00673526 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0336334 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.05006 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0747147 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0527646 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0521645 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0298107 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.315609 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0521644 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0878975 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0878975 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.010939 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0113262 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0627147 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0250001 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.025001 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.024077 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0486232 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.0250009 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.216411 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.216408 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00673526 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.100886 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0925354 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0858285 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.146019 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.102843 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0858285 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.172763 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.172763 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.104507 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0282196 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0105813 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.00904367 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0284457 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0105813 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0168461 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0168461 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.00785778 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0139112 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.146844 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0441878 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0139112 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00646933 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00646933 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.127454 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0555924 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0845222 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0316914 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.00859254 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00859254 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.00265444 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0236922 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0678668 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00321267 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.00321267 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.10185 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0131556 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.00757167 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.00757167 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0292661 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.00859254 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.00859254 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.00265444 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0437396 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.104302 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.104302 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.000128177 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.00717952 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.00169028 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.00717952 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.00435258 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0636929 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0351005 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0516923 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0383611 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.123255 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0516923 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0990202 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0990202 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0367825 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0734945 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0132389 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0734945 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0399707 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.00752377 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0627117 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0164693 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0185856 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00171354 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0164693 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.013409 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.013409 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.037682 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0312381 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.181373 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0711848 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0401423 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0862465 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0258081 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00424413 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.00202034 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.025808 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.00977751 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.00978072 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0157205 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00210397 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0157176 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0169295 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0458044 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0030395 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.00535009 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.02019 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0030395 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0123068 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0123068 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0316416 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0711848 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0401423 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0862465 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0258081 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00424413 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.00202034 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.025808 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00977751 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.00978072 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0157205 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.00561594 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0407602 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0383577 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0138083 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0546973 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0383577 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0110953 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0110953 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0392887 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0193344 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0242266 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0419433 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0158944 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0242266 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.000917088 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.000917088 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0665963 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0042847 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0713586 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00509656 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.00429057 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0184607 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0184532 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0776186 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00977354 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.051667 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.103761 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0343066 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0343066 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0659336 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0253011 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0509546 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.00436572 # DEPENDENCYPART_SIBL
(11,13),(11,18),0.00436572 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.109893 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0915387 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0183506 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0183506 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0465303 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0343066 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0343066 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0659336 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.225248 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.070126 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.070126 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0144152 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0324155 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.0315553 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.00969711 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0502624 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.00512479 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.0314227 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0755704 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.0360891 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.0324155 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0315553 # DEPENDENCYPART_SIBL
(12,7),(12,11),0.00969711 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0502624 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.00512479 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0314227 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0755704 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.0360891 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.00581882 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0421392 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.24524 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0304673 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0252509 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.104113 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.135461 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0669801 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.00322102 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0313595 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.027469 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.0453167 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.00870212 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0211376 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.000623364 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00348233 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0334767 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0187765 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.028958 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0186718 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0576152 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0743278 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0156926 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.00560247 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0361286 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00619851 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0396643 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.0160805 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.139158 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0447821 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.043709 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0447821 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.160819 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.138939 # DEPENDENCYPART_SIBL
(13,1),(13,12),-0.00813349 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0218505 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0194788 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.000411479 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.000411479 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0570606 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.0153298 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.00425133 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0153298 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.226703 # DEPENDENCYPART_SIBL
(13,3),(13,11),0.102827 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.018688 # DEPENDENCYPART_SIBL
(13,3),(13,14),0.0977269 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0339827 # DEPENDENCYPART_SIBL
(13,3),(13,16),0.0507263 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.0507263 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0141014 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.034621 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.00371864 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.338128 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0607005 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0199174 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0486232 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0250009 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.216411 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.216408 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.00673526 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0336334 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.100609 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0280621 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.0538626 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.315609 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0521644 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0878975 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.0878975 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.010939 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.338128 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0607005 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0199174 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0486232 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0250009 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.216411 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.216408 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.00673526 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.246402 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0678593 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0173624 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0613693 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0246367 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0246367 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0652742 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.018688 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0977199 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0337336 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0507263 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0507263 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0139769 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.105286 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.238519 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.120492 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.120548 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.029594 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0131556 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.00757167 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00757167 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0292661 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.00859254 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00859254 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.00265444 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0437396 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.104302 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.104302 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0455708 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0702546 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0106345 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.000644215 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0427086 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0034761 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.209264 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.162787 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0901706 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.213232 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.102618 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.102613 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.13062 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.108566 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0163153 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0163153 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.137916 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0198933 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.0286572 # DEPENDENCYPART_SIBL
(16,3),(16,13),0.0114236 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.0148395 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.0264419 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0271744 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00664786 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0139227 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0975597 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0734128 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0832878 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0774934 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.0755585 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.0223334 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.00788797 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0259057 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0287481 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.011325 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0147486 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0265328 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.027175 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.00664842 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0140478 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0348239 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0236633 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0107966 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0459059 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00881774 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0301439 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.113506 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0255837 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.02645 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0272927 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.122607 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.010133 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0318825 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0234731 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0372115 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0417621 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0129616 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.017727 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0134078 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.026587 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0572435 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0422167 # DEPENDENCYPART_SIBL
(19,1),(19,3),0.0824182 # DEPENDENCYPART_SIBL
(19,1),(19,5),0.0317024 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.000507305 # DEPENDENCYPART_SIBL
(19,1),(19,14),0.0104968 # DEPENDENCYPART_SIBL
(19,1),(19,16),0.0317024 # DEPENDENCYPART_SIBL
(19,1),(19,18),0.0317024 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.0264908 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.0206833 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.00103342 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.0264908 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.0264908 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.0110788 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.00502361 # DEPENDENCYPART_SIBL
