# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,4,6,6,0,8,6,11,11,8,21,15,15,21,21,20,20,20,21,8,24,24,21,21,8,28,26,28,0,
(3,6),(3,8),-0.136202 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.00711173 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.113802 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.00711366 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0064742 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.11176 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00647613 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.16957 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0437417 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.0250261 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0174027 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0138544 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00781033 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0432364 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00344853 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00161048 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00361184 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0208635 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0134349 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00400762 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0453081 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00133096 # DEPENDENCYPART_SIBL
(4,2),(4,10),-9.78392e-05 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00775207 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0099774 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0280336 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00851852 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0187668 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0129535 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00940129 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.224165 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00247204 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0947216 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00104275 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0173486 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0732225 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0079639 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0310643 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0476941 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0470048 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00100847 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0179518 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0711458 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0016946 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0169613 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00688928 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.180259 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.085544 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.187228 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0475871 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.03498 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0136764 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.01106 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00305613 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0110668 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0154502 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0197365 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.00305613 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0310141 # DEPENDENCYPART_SIBL
(6,1),(6,28),-0.0089738 # DEPENDENCYPART_SIBL
(6,1),(6,30),0.00845749 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0636698 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.170674 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0777987 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0459465 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0421523 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0046935 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0080619 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00470031 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.015695 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00719368 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.0080619 # DEPENDENCYPART_SIBL
(6,2),(6,26),0.0516756 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.00260713 # DEPENDENCYPART_SIBL
(6,2),(6,30),0.014065 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.017103 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0810843 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0217913 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.082798 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0410078 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0100281 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0410078 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0125018 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0575989 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.0100281 # DEPENDENCYPART_SIBL
(6,3),(6,26),-0.0611303 # DEPENDENCYPART_SIBL
(6,3),(6,28),-0.0423534 # DEPENDENCYPART_SIBL
(6,3),(6,30),-0.084797 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0769076 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0622293 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0538272 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0245211 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.03084 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0245142 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0438171 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0327264 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.03084 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.088402 # DEPENDENCYPART_SIBL
(6,4),(6,28),0.0266073 # DEPENDENCYPART_SIBL
(6,4),(6,30),0.0362412 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0118913 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0719369 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.035864 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00537284 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.035864 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.019098 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0746778 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.00537284 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.000715003 # DEPENDENCYPART_SIBL
(6,5),(6,28),0.0353011 # DEPENDENCYPART_SIBL
(6,5),(6,30),0.00141474 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.000297894 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0727044 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0439014 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0722662 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.044103 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.112413 # DEPENDENCYPART_SIBL
(6,7),(6,25),-0.0439014 # DEPENDENCYPART_SIBL
(6,7),(6,26),-0.020492 # DEPENDENCYPART_SIBL
(6,7),(6,28),-0.0730145 # DEPENDENCYPART_SIBL
(6,7),(6,30),-0.0529794 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0771505 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0107761 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0767123 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00366345 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.198295 # DEPENDENCYPART_SIBL
(6,8),(6,25),-0.0107761 # DEPENDENCYPART_SIBL
(6,8),(6,26),0.0011569 # DEPENDENCYPART_SIBL
(6,8),(6,28),-0.0774606 # DEPENDENCYPART_SIBL
(6,8),(6,30),0.0170844 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00688037 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.217427 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.00620906 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.183938 # DEPENDENCYPART_SIBL
(6,11),(6,25),0.00688037 # DEPENDENCYPART_SIBL
(6,11),(6,26),0.00923105 # DEPENDENCYPART_SIBL
(6,11),(6,28),-0.218355 # DEPENDENCYPART_SIBL
(6,11),(6,30),-0.0563604 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.00801416 # DEPENDENCYPART_SIBL
(6,12),(6,16),4.45056e-05 # DEPENDENCYPART_SIBL
(6,12),(6,21),-0.102451 # DEPENDENCYPART_SIBL
(6,12),(6,25),-0.0378996 # DEPENDENCYPART_SIBL
(6,12),(6,26),-0.0179979 # DEPENDENCYPART_SIBL
(6,12),(6,28),-0.00931188 # DEPENDENCYPART_SIBL
(6,12),(6,30),-0.0984871 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0105035 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.188233 # DEPENDENCYPART_SIBL
(6,15),(6,25),0.00258594 # DEPENDENCYPART_SIBL
(6,15),(6,26),-0.0122611 # DEPENDENCYPART_SIBL
(6,15),(6,28),-0.222649 # DEPENDENCYPART_SIBL
(6,15),(6,30),-0.0606548 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0351959 # DEPENDENCYPART_SIBL
(6,16),(6,25),-0.0313925 # DEPENDENCYPART_SIBL
(6,16),(6,26),-0.00122352 # DEPENDENCYPART_SIBL
(6,16),(6,28),0.000274657 # DEPENDENCYPART_SIBL
(6,16),(6,30),-0.108883 # DEPENDENCYPART_SIBL
(6,21),(6,25),-0.0200577 # DEPENDENCYPART_SIBL
(6,21),(6,26),-0.00517563 # DEPENDENCYPART_SIBL
(6,21),(6,28),-0.0154407 # DEPENDENCYPART_SIBL
(6,21),(6,30),0.0211094 # DEPENDENCYPART_SIBL
(6,25),(6,26),-0.0179979 # DEPENDENCYPART_SIBL
(6,25),(6,28),-0.00931188 # DEPENDENCYPART_SIBL
(6,25),(6,30),-0.0984871 # DEPENDENCYPART_SIBL
(6,26),(6,28),-0.0125811 # DEPENDENCYPART_SIBL
(6,26),(6,30),-0.0136858 # DEPENDENCYPART_SIBL
(6,28),(6,30),-0.0624203 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.188035 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0647916 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.192743 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0126857 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0295875 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0230237 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.00658475 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00409437 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0291506 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0121107 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.012948 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0291574 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.00347086 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.0126732 # DEPENDENCYPART_SIBL
(8,1),(8,25),-0.0121107 # DEPENDENCYPART_SIBL
(8,1),(8,26),0.0172983 # DEPENDENCYPART_SIBL
(8,1),(8,28),-0.0270644 # DEPENDENCYPART_SIBL
(8,1),(8,30),-0.0137814 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0349254 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.174191 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.040899 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0153162 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.00341602 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0107753 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0082378 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0310522 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0146992 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0177501 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.031059 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0038786 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0063824 # DEPENDENCYPART_SIBL
(8,2),(8,25),-0.0146992 # DEPENDENCYPART_SIBL
(8,2),(8,26),0.0303566 # DEPENDENCYPART_SIBL
(8,2),(8,28),-0.0289658 # DEPENDENCYPART_SIBL
(8,2),(8,30),-0.0157681 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0102259 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0579858 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0269704 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.166596 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.031766 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0308359 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0155985 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0295834 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0345191 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0155985 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0352508 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0138923 # DEPENDENCYPART_SIBL
(8,3),(8,25),0.0295834 # DEPENDENCYPART_SIBL
(8,3),(8,26),-0.0479209 # DEPENDENCYPART_SIBL
(8,3),(8,28),-0.0169441 # DEPENDENCYPART_SIBL
(8,3),(8,30),-0.0732105 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0313847 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0272043 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0151362 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.028808 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0262697 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00121545 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0106476 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0314968 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.00120864 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0268123 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0338534 # DEPENDENCYPART_SIBL
(8,4),(8,25),0.0106476 # DEPENDENCYPART_SIBL
(8,4),(8,26),0.0695332 # DEPENDENCYPART_SIBL
(8,4),(8,28),0.0033017 # DEPENDENCYPART_SIBL
(8,4),(8,30),0.0089768 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.115519 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.112776 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0323551 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0121691 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.00988681 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0229218 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0392123 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.00988681 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.00704104 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0642229 # DEPENDENCYPART_SIBL
(8,5),(8,25),-0.0229218 # DEPENDENCYPART_SIBL
(8,5),(8,26),0.000308347 # DEPENDENCYPART_SIBL
(8,5),(8,28),0.00932394 # DEPENDENCYPART_SIBL
(8,5),(8,30),-0.0267572 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.185237 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0137293 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00291898 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0301083 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0136891 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0352597 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0301083 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0242212 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0300713 # DEPENDENCYPART_SIBL
(8,6),(8,25),-0.0136891 # DEPENDENCYPART_SIBL
(8,6),(8,26),-0.00067266 # DEPENDENCYPART_SIBL
(8,6),(8,28),-0.0306717 # DEPENDENCYPART_SIBL
(8,6),(8,30),-0.0425314 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0640946 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0362241 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.115398 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0776702 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0779546 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.115398 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0165765 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0242406 # DEPENDENCYPART_SIBL
(8,7),(8,25),-0.0776702 # DEPENDENCYPART_SIBL
(8,7),(8,26),0.111674 # DEPENDENCYPART_SIBL
(8,7),(8,28),0.114835 # DEPENDENCYPART_SIBL
(8,7),(8,30),-0.0911996 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0173704 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0306329 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0174297 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0147621 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0301918 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.00781621 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0987078 # DEPENDENCYPART_SIBL
(8,9),(8,25),-0.0174297 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.0511966 # DEPENDENCYPART_SIBL
(8,9),(8,28),-0.0309425 # DEPENDENCYPART_SIBL
(8,9),(8,30),-0.0330665 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0326297 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.00693223 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0140507 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0321914 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.00404199 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0747838 # DEPENDENCYPART_SIBL
(8,10),(8,25),-0.00693223 # DEPENDENCYPART_SIBL
(8,10),(8,26),0.016869 # DEPENDENCYPART_SIBL
(8,10),(8,28),-0.0329397 # DEPENDENCYPART_SIBL
(8,10),(8,30),-0.0213481 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00214084 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0378242 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.226565 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0102481 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.203134 # DEPENDENCYPART_SIBL
(8,11),(8,25),-0.00214084 # DEPENDENCYPART_SIBL
(8,11),(8,26),0.0103105 # DEPENDENCYPART_SIBL
(8,11),(8,28),-0.227493 # DEPENDENCYPART_SIBL
(8,11),(8,30),-0.0699123 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0155596 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00813523 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00707367 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.105354 # DEPENDENCYPART_SIBL
(8,12),(8,25),-0.0374395 # DEPENDENCYPART_SIBL
(8,12),(8,26),-0.00602142 # DEPENDENCYPART_SIBL
(8,12),(8,28),-0.00943295 # DEPENDENCYPART_SIBL
(8,12),(8,30),-0.102558 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0432865 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00340162 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.143146 # DEPENDENCYPART_SIBL
(8,14),(8,25),-0.00783785 # DEPENDENCYPART_SIBL
(8,14),(8,26),0.0384125 # DEPENDENCYPART_SIBL
(8,14),(8,28),-0.0457819 # DEPENDENCYPART_SIBL
(8,14),(8,30),-0.0435683 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0145425 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.207428 # DEPENDENCYPART_SIBL
(8,15),(8,25),-0.00643527 # DEPENDENCYPART_SIBL
(8,15),(8,26),-0.0111817 # DEPENDENCYPART_SIBL
(8,15),(8,28),-0.231787 # DEPENDENCYPART_SIBL
(8,15),(8,30),-0.0742067 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0366243 # DEPENDENCYPART_SIBL
(8,16),(8,25),-0.0279828 # DEPENDENCYPART_SIBL
(8,16),(8,26),0.0122277 # DEPENDENCYPART_SIBL
(8,16),(8,28),0.00162838 # DEPENDENCYPART_SIBL
(8,16),(8,30),-0.110004 # DEPENDENCYPART_SIBL
(8,21),(8,25),-0.0121587 # DEPENDENCYPART_SIBL
(8,21),(8,26),0.0217379 # DEPENDENCYPART_SIBL
(8,21),(8,28),-0.00835629 # DEPENDENCYPART_SIBL
(8,21),(8,30),0.0245047 # DEPENDENCYPART_SIBL
(8,25),(8,26),-0.00602142 # DEPENDENCYPART_SIBL
(8,25),(8,28),-0.00943295 # DEPENDENCYPART_SIBL
(8,25),(8,30),-0.102558 # DEPENDENCYPART_SIBL
(8,26),(8,28),-0.0226792 # DEPENDENCYPART_SIBL
(8,26),(8,30),-0.0261191 # DEPENDENCYPART_SIBL
(8,28),(8,30),-0.0759722 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0668167 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0562088 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0574384 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0873407 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00280403 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.180764 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0373365 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00642877 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0245654 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.192008 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0268495 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.0123841 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0368437 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0369933 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.105848 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.00892053 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00703181 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0258891 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0078281 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.00669008 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0184777 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0161811 # DEPENDENCYPART_SIBL
(11,4),(11,26),0.00182134 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.020932 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.110537 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.00345082 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.00892029 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0389443 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.037538 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00612057 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0287284 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0248983 # DEPENDENCYPART_SIBL
(11,6),(11,26),-0.0251253 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.110538 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.00345106 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.00754132 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0382959 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0366881 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.00404545 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0267645 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0241016 # DEPENDENCYPART_SIBL
(11,8),(11,26),-0.023483 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0895839 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0483745 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0590633 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0459305 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0575032 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.065582 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.00645494 # DEPENDENCYPART_SIBL
(11,9),(11,26),-0.0245791 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.00416982 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0037867 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0297202 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0899772 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0112572 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.00471744 # DEPENDENCYPART_SIBL
(11,10),(11,26),-0.00966892 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0186449 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.00425255 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0506709 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.00668894 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0585162 # DEPENDENCYPART_SIBL
(11,12),(11,26),0.0111685 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0191577 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0139564 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0504474 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0648288 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.00816658 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0135565 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0342874 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.113659 # DEPENDENCYPART_SIBL
(11,14),(11,26),0.00195089 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.039998 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.173975 # DEPENDENCYPART_SIBL
