# _root_ Το πάρτυ διαρκεί μέχρι τις 10 ή 11 το βράδυ , όταν οι περισσότεροι πάνε για ντουζ , ένα εσπρέσο και μετά δείπνο και περισσότερη διασκέδαση.Μέχρι πρωίας .
#goldHeads=2,3,0,3,7,7,10,7,10,4,3,10,14,15,12,15,18,21,20,18,16,21,24,21,26,24,26,0,
#predictedHeads=2,3,0,3,6,4,3,7,10,8,12,3,14,15,12,15,16,21,20,21,15,21,22,23,24,25,24,0,
(18,16),(18,27),0.0938113 # DEPENDENCYPART_SIBL
(18,16),(18,28),0.0102558 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0627147 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.216411 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.152488 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.216374 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0239451 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0558631 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.216411 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.00673526 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0168461 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.00968657 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0168461 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.0103304 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0130034 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.0168461 # DEPENDENCYPART_SIBL
(18,19),(18,28),-0.00785778 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.00821532 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0437396 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.0689519 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.0768886 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0437396 # DEPENDENCYPART_SIBL
(18,20),(18,28),0.104302 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.015589 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.0216708 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0251822 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.015589 # DEPENDENCYPART_SIBL
(18,21),(18,28),0.0825054 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.0689513 # DEPENDENCYPART_SIBL
(18,23),(18,26),0.076873 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0440034 # DEPENDENCYPART_SIBL
(18,23),(18,28),0.11057 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.00664838 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.00956545 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.00394857 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.0106534 # DEPENDENCYPART_SIBL
(18,26),(18,28),0.000125317 # DEPENDENCYPART_SIBL
(18,27),(18,28),0.104302 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.0495771 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.043407 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.0865967 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0552215 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.375626 # DEPENDENCYPART_SIBL
(20,13),(20,21),0.0479359 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0387674 # DEPENDENCYPART_SIBL
(20,13),(20,23),0.0367195 # DEPENDENCYPART_SIBL
(20,13),(20,25),0.0130261 # DEPENDENCYPART_SIBL
(20,13),(20,26),0.0209153 # DEPENDENCYPART_SIBL
(20,13),(20,27),0.0367195 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.00706203 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.0229665 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.0335542 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.103349 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0106823 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0713644 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.00903326 # DEPENDENCYPART_SIBL
(20,14),(20,25),0.0251337 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.0246258 # DEPENDENCYPART_SIBL
(20,14),(20,27),0.00903403 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.001905 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.0315304 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.16491 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0134373 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0358302 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0542175 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0764414 # DEPENDENCYPART_SIBL
(20,16),(20,26),-0.0420912 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0542152 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.00940436 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.129437 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.00602416 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0472244 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.00320456 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.00788595 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0218127 # DEPENDENCYPART_SIBL
(20,17),(20,27),0.0032421 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0884715 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0268394 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0388696 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.023515 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0251092 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0093438 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.026681 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0120834 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.00204748 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.00729689 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.0182552 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0112483 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.00729689 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0103112 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.00474226 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.013501 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0116159 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.00474226 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.00737123 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0125497 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.0270838 # DEPENDENCYPART_SIBL
(20,22),(20,27),0.00737123 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0194684 # DEPENDENCYPART_SIBL
(20,23),(20,26),0.05398 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.122468 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.0126754 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.032146 # DEPENDENCYPART_SIBL
(20,26),(20,27),0.0398075 # DEPENDENCYPART_SIBL
(21,2),(21,3),0.0398136 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0580621 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.00565857 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.0190439 # DEPENDENCYPART_SIBL
(21,2),(21,11),0.11177 # DEPENDENCYPART_SIBL
(21,2),(21,12),0.000891259 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.0439175 # DEPENDENCYPART_SIBL
(21,2),(21,15),0.0407255 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.0602881 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.0190424 # DEPENDENCYPART_SIBL
(21,2),(21,18),0.11177 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.060673 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0190424 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.0711982 # DEPENDENCYPART_SIBL
(21,2),(21,23),0.0970673 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.0200422 # DEPENDENCYPART_SIBL
(21,2),(21,25),-0.00386577 # DEPENDENCYPART_SIBL
(21,2),(21,26),-0.00625125 # DEPENDENCYPART_SIBL
(21,2),(21,27),0.0971049 # DEPENDENCYPART_SIBL
(21,2),(21,28),-0.0413226 # DEPENDENCYPART_SIBL
(21,3),(21,4),-0.0812602 # DEPENDENCYPART_SIBL
(21,3),(21,7),-0.0734621 # DEPENDENCYPART_SIBL
(21,3),(21,10),-0.181917 # DEPENDENCYPART_SIBL
(21,3),(21,11),-0.00608945 # DEPENDENCYPART_SIBL
(21,3),(21,12),-0.0684045 # DEPENDENCYPART_SIBL
(21,3),(21,14),-0.140088 # DEPENDENCYPART_SIBL
(21,3),(21,15),-0.0568833 # DEPENDENCYPART_SIBL
(21,3),(21,16),-0.0737013 # DEPENDENCYPART_SIBL
(21,3),(21,17),-0.181917 # DEPENDENCYPART_SIBL
(21,3),(21,18),-0.00608945 # DEPENDENCYPART_SIBL
(21,3),(21,19),-0.113886 # DEPENDENCYPART_SIBL
(21,3),(21,20),-0.181917 # DEPENDENCYPART_SIBL
(21,3),(21,22),-0.0140328 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.0564441 # DEPENDENCYPART_SIBL
(21,3),(21,24),0.00759127 # DEPENDENCYPART_SIBL
(21,3),(21,25),-0.00698919 # DEPENDENCYPART_SIBL
(21,3),(21,26),0.0173308 # DEPENDENCYPART_SIBL
(21,3),(21,27),-0.0564434 # DEPENDENCYPART_SIBL
(21,3),(21,28),-0.00228494 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.00383228 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0469677 # DEPENDENCYPART_SIBL
(21,4),(21,11),0.00986457 # DEPENDENCYPART_SIBL
(21,4),(21,12),0.00161227 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0366727 # DEPENDENCYPART_SIBL
(21,4),(21,15),0.0126442 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.0309552 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.0469677 # DEPENDENCYPART_SIBL
(21,4),(21,18),0.00986457 # DEPENDENCYPART_SIBL
(21,4),(21,19),-0.0627426 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.0469677 # DEPENDENCYPART_SIBL
(21,4),(21,22),0.407474 # DEPENDENCYPART_SIBL
(21,4),(21,23),-0.0263476 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.0396443 # DEPENDENCYPART_SIBL
(21,4),(21,25),0.00886745 # DEPENDENCYPART_SIBL
(21,4),(21,26),0.0217047 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.0263459 # DEPENDENCYPART_SIBL
(21,4),(21,28),-0.00123305 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.02999 # DEPENDENCYPART_SIBL
(21,7),(21,11),0.0145298 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.0113562 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.0264224 # DEPENDENCYPART_SIBL
(21,7),(21,15),0.000124339 # DEPENDENCYPART_SIBL
(21,7),(21,16),0.00205412 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.02999 # DEPENDENCYPART_SIBL
(21,7),(21,18),0.0145298 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.0245958 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.02999 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.009205 # DEPENDENCYPART_SIBL
(21,7),(21,23),-0.0167639 # DEPENDENCYPART_SIBL
(21,7),(21,24),0.00934358 # DEPENDENCYPART_SIBL
(21,7),(21,25),0.00821347 # DEPENDENCYPART_SIBL
(21,7),(21,26),0.00265357 # DEPENDENCYPART_SIBL
(21,7),(21,27),-0.0167639 # DEPENDENCYPART_SIBL
(21,7),(21,28),-0.0160287 # DEPENDENCYPART_SIBL
(21,10),(21,11),0.114047 # DEPENDENCYPART_SIBL
(21,10),(21,12),0.00186926 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.0429395 # DEPENDENCYPART_SIBL
(21,10),(21,15),0.0425425 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.0593101 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.0166435 # DEPENDENCYPART_SIBL
(21,10),(21,18),0.114047 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.0596343 # DEPENDENCYPART_SIBL
(21,10),(21,20),-0.0166435 # DEPENDENCYPART_SIBL
(21,10),(21,22),-0.0696171 # DEPENDENCYPART_SIBL
(21,10),(21,23),0.098228 # DEPENDENCYPART_SIBL
(21,10),(21,24),-0.0201697 # DEPENDENCYPART_SIBL
(21,10),(21,25),-0.00350651 # DEPENDENCYPART_SIBL
(21,10),(21,26),-0.006614 # DEPENDENCYPART_SIBL
(21,10),(21,27),0.0982656 # DEPENDENCYPART_SIBL
(21,10),(21,28),-0.0407237 # DEPENDENCYPART_SIBL
(21,11),(21,12),0.0400558 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.000681987 # DEPENDENCYPART_SIBL
(21,11),(21,15),0.045004 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.020978 # DEPENDENCYPART_SIBL
(21,11),(21,17),0.00461018 # DEPENDENCYPART_SIBL
(21,11),(21,18),0.0449192 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.0414696 # DEPENDENCYPART_SIBL
(21,11),(21,20),0.00461018 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.0298006 # DEPENDENCYPART_SIBL
(21,11),(21,23),0.0265603 # DEPENDENCYPART_SIBL
(21,11),(21,24),-0.0115547 # DEPENDENCYPART_SIBL
(21,11),(21,25),0.0040581 # DEPENDENCYPART_SIBL
(21,11),(21,26),-0.0160171 # DEPENDENCYPART_SIBL
(21,11),(21,27),0.0233943 # DEPENDENCYPART_SIBL
(21,11),(21,28),-0.0394682 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.0212427 # DEPENDENCYPART_SIBL
(21,12),(21,15),0.0053925 # DEPENDENCYPART_SIBL
(21,12),(21,16),0.00458296 # DEPENDENCYPART_SIBL
(21,12),(21,17),-0.0320855 # DEPENDENCYPART_SIBL
(21,12),(21,18),0.00922099 # DEPENDENCYPART_SIBL
(21,12),(21,19),-0.0217663 # DEPENDENCYPART_SIBL
(21,12),(21,20),-0.0320855 # DEPENDENCYPART_SIBL
(21,12),(21,22),0.0133814 # DEPENDENCYPART_SIBL
(21,12),(21,23),-0.0239163 # DEPENDENCYPART_SIBL
(21,12),(21,24),0.0314293 # DEPENDENCYPART_SIBL
(21,12),(21,25),0.0148586 # DEPENDENCYPART_SIBL
(21,12),(21,26),0.00990596 # DEPENDENCYPART_SIBL
(21,12),(21,27),-0.0239163 # DEPENDENCYPART_SIBL
(21,12),(21,28),-0.0166889 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.0284961 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.00425015 # DEPENDENCYPART_SIBL
(21,14),(21,17),-0.00308985 # DEPENDENCYPART_SIBL
(21,14),(21,18),0.173905 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.00373741 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.00308985 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.0274195 # DEPENDENCYPART_SIBL
(21,14),(21,23),0.00431907 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.021714 # DEPENDENCYPART_SIBL
(21,14),(21,25),0.390455 # DEPENDENCYPART_SIBL
(21,14),(21,26),0.0090461 # DEPENDENCYPART_SIBL
(21,14),(21,27),0.00431984 # DEPENDENCYPART_SIBL
(21,14),(21,28),-0.0125959 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.073356 # DEPENDENCYPART_SIBL
(21,15),(21,17),-0.181572 # DEPENDENCYPART_SIBL
(21,15),(21,18),-0.00488088 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.11354 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.181572 # DEPENDENCYPART_SIBL
(21,15),(21,22),-0.0133232 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.0556486 # DEPENDENCYPART_SIBL
(21,15),(21,24),0.00827329 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.00630717 # DEPENDENCYPART_SIBL
(21,15),(21,26),0.0180371 # DEPENDENCYPART_SIBL
(21,15),(21,27),-0.0556479 # DEPENDENCYPART_SIBL
(21,15),(21,28),-0.00160291 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.0648716 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.0469778 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.0860031 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.0648716 # DEPENDENCYPART_SIBL
(21,16),(21,22),0.458737 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.0706511 # DEPENDENCYPART_SIBL
(21,16),(21,24),0.0287623 # DEPENDENCYPART_SIBL
(21,16),(21,25),-0.0255002 # DEPENDENCYPART_SIBL
(21,16),(21,26),0.00344137 # DEPENDENCYPART_SIBL
(21,16),(21,27),-0.0706487 # DEPENDENCYPART_SIBL
(21,16),(21,28),-0.0149556 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.114053 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.0596283 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0177933 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.070474 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.0982732 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0196725 # DEPENDENCYPART_SIBL
(21,17),(21,25),-0.00349099 # DEPENDENCYPART_SIBL
(21,17),(21,26),-0.00588238 # DEPENDENCYPART_SIBL
(21,17),(21,27),0.0983107 # DEPENDENCYPART_SIBL
(21,17),(21,28),-0.0407137 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.0414696 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.00461018 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0298006 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.0265603 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.0115547 # DEPENDENCYPART_SIBL
(21,18),(21,25),0.0040581 # DEPENDENCYPART_SIBL
(21,18),(21,26),-0.0160171 # DEPENDENCYPART_SIBL
(21,18),(21,27),0.0233943 # DEPENDENCYPART_SIBL
(21,18),(21,28),-0.0394682 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.0301674 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0231145 # DEPENDENCYPART_SIBL
(21,19),(21,23),0.0210604 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0210552 # DEPENDENCYPART_SIBL
(21,19),(21,25),0.0443971 # DEPENDENCYPART_SIBL
(21,19),(21,26),-0.00680068 # DEPENDENCYPART_SIBL
(21,19),(21,27),0.0210604 # DEPENDENCYPART_SIBL
(21,19),(21,28),-0.0415728 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.070474 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0982732 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.0196725 # DEPENDENCYPART_SIBL
(21,20),(21,25),-0.00349099 # DEPENDENCYPART_SIBL
(21,20),(21,26),-0.00588238 # DEPENDENCYPART_SIBL
(21,20),(21,27),0.0983107 # DEPENDENCYPART_SIBL
(21,20),(21,28),-0.0407137 # DEPENDENCYPART_SIBL
(21,22),(21,23),0.0282893 # DEPENDENCYPART_SIBL
(21,22),(21,24),0.057245 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.0341202 # DEPENDENCYPART_SIBL
(21,22),(21,26),0.0272332 # DEPENDENCYPART_SIBL
(21,22),(21,27),0.0282893 # DEPENDENCYPART_SIBL
(21,22),(21,28),-0.00960772 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.0585206 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.0610527 # DEPENDENCYPART_SIBL
(21,23),(21,26),0.00164527 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.0866173 # DEPENDENCYPART_SIBL
(21,23),(21,28),-0.0228779 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.000271276 # DEPENDENCYPART_SIBL
(21,24),(21,26),0.00863104 # DEPENDENCYPART_SIBL
(21,24),(21,27),0.0470122 # DEPENDENCYPART_SIBL
(21,24),(21,28),0.0731364 # DEPENDENCYPART_SIBL
(21,25),(21,26),-0.0449476 # DEPENDENCYPART_SIBL
(21,25),(21,27),-0.0758551 # DEPENDENCYPART_SIBL
(21,25),(21,28),-0.0798299 # DEPENDENCYPART_SIBL
(21,26),(21,27),0.0456143 # DEPENDENCYPART_SIBL
(21,26),(21,28),0.0375033 # DEPENDENCYPART_SIBL
(21,27),(21,28),-0.029146 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0164127 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0504335 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.046734 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0348124 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0385738 # DEPENDENCYPART_SIBL
(22,20),(22,27),-0.0502532 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0681329 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0513773 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0259796 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0170824 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.0682042 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.45879 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.198715 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.174351 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.467144 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.00648863 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.0335061 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0713291 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.0666519 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.147423 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.120992 # DEPENDENCYPART_SIBL
(23,13),(23,19),-0.375956 # DEPENDENCYPART_SIBL
(23,13),(23,21),0.141469 # DEPENDENCYPART_SIBL
(23,13),(23,22),0.0544743 # DEPENDENCYPART_SIBL
(23,13),(23,24),0.0485342 # DEPENDENCYPART_SIBL
(23,13),(23,25),0.0131118 # DEPENDENCYPART_SIBL
(23,13),(23,26),0.0215136 # DEPENDENCYPART_SIBL
(23,13),(23,27),0.035052 # DEPENDENCYPART_SIBL
(23,19),(23,21),0.194334 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.0701536 # DEPENDENCYPART_SIBL
(23,19),(23,24),-0.013064 # DEPENDENCYPART_SIBL
(23,19),(23,25),0.0165056 # DEPENDENCYPART_SIBL
(23,19),(23,26),-0.0122289 # DEPENDENCYPART_SIBL
(23,19),(23,27),-0.0112864 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.0243903 # DEPENDENCYPART_SIBL
(23,21),(23,24),-0.0154134 # DEPENDENCYPART_SIBL
(23,21),(23,25),0.0207812 # DEPENDENCYPART_SIBL
(23,21),(23,26),0.0643992 # DEPENDENCYPART_SIBL
(23,21),(23,27),0.0551506 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.0134539 # DEPENDENCYPART_SIBL
(23,22),(23,25),-0.0552718 # DEPENDENCYPART_SIBL
(23,22),(23,26),-0.0300168 # DEPENDENCYPART_SIBL
(23,22),(23,27),-0.0209805 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.013501 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.0116159 # DEPENDENCYPART_SIBL
(23,24),(23,27),-0.00478737 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.0126754 # DEPENDENCYPART_SIBL
(23,25),(23,27),-0.0321911 # DEPENDENCYPART_SIBL
(23,26),(23,27),0.0397624 # DEPENDENCYPART_SIBL
(24,2),(24,3),0.0398136 # DEPENDENCYPART_SIBL
(24,2),(24,4),-0.0580621 # DEPENDENCYPART_SIBL
(24,2),(24,7),-0.00565857 # DEPENDENCYPART_SIBL
(24,2),(24,10),-0.0190439 # DEPENDENCYPART_SIBL
(24,2),(24,11),0.11177 # DEPENDENCYPART_SIBL
(24,2),(24,12),0.000891259 # DEPENDENCYPART_SIBL
(24,2),(24,14),-0.0439175 # DEPENDENCYPART_SIBL
(24,2),(24,15),0.0407255 # DEPENDENCYPART_SIBL
(24,2),(24,16),-0.0602881 # DEPENDENCYPART_SIBL
(24,2),(24,17),-0.0190424 # DEPENDENCYPART_SIBL
(24,2),(24,18),0.11177 # DEPENDENCYPART_SIBL
(24,2),(24,19),-0.060673 # DEPENDENCYPART_SIBL
(24,2),(24,20),-0.0190424 # DEPENDENCYPART_SIBL
(24,2),(24,21),-0.00436227 # DEPENDENCYPART_SIBL
(24,2),(24,22),-0.0761645 # DEPENDENCYPART_SIBL
(24,2),(24,23),-0.0190424 # DEPENDENCYPART_SIBL
(24,2),(24,25),-0.00386577 # DEPENDENCYPART_SIBL
(24,2),(24,26),-0.00625125 # DEPENDENCYPART_SIBL
(24,2),(24,27),0.0971049 # DEPENDENCYPART_SIBL
(24,2),(24,28),-0.0413226 # DEPENDENCYPART_SIBL
(24,3),(24,4),-0.0812602 # DEPENDENCYPART_SIBL
(24,3),(24,7),-0.0734621 # DEPENDENCYPART_SIBL
(24,3),(24,10),-0.181917 # DEPENDENCYPART_SIBL
(24,3),(24,11),-0.00608945 # DEPENDENCYPART_SIBL
(24,3),(24,12),-0.0684045 # DEPENDENCYPART_SIBL
(24,3),(24,14),-0.140088 # DEPENDENCYPART_SIBL
(24,3),(24,15),-0.0568833 # DEPENDENCYPART_SIBL
(24,3),(24,16),-0.0737013 # DEPENDENCYPART_SIBL
(24,3),(24,17),-0.181917 # DEPENDENCYPART_SIBL
(24,3),(24,18),-0.00608945 # DEPENDENCYPART_SIBL
(24,3),(24,19),-0.113886 # DEPENDENCYPART_SIBL
(24,3),(24,20),-0.181917 # DEPENDENCYPART_SIBL
(24,3),(24,21),-0.03783 # DEPENDENCYPART_SIBL
(24,3),(24,22),-0.0945175 # DEPENDENCYPART_SIBL
(24,3),(24,23),-0.181919 # DEPENDENCYPART_SIBL
(24,3),(24,25),-0.00698919 # DEPENDENCYPART_SIBL
(24,3),(24,26),0.0173308 # DEPENDENCYPART_SIBL
(24,3),(24,27),-0.0564434 # DEPENDENCYPART_SIBL
(24,3),(24,28),-0.00228494 # DEPENDENCYPART_SIBL
(24,4),(24,7),-0.00383228 # DEPENDENCYPART_SIBL
(24,4),(24,10),-0.0469677 # DEPENDENCYPART_SIBL
(24,4),(24,11),0.00986457 # DEPENDENCYPART_SIBL
(24,4),(24,12),0.00161227 # DEPENDENCYPART_SIBL
(24,4),(24,14),-0.0366727 # DEPENDENCYPART_SIBL
(24,4),(24,15),0.0126442 # DEPENDENCYPART_SIBL
(24,4),(24,16),-0.0309552 # DEPENDENCYPART_SIBL
(24,4),(24,17),-0.0469677 # DEPENDENCYPART_SIBL
(24,4),(24,18),0.00986457 # DEPENDENCYPART_SIBL
