# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,9,9,6,9,2,2,14,15,12,17,15,20,20,17,22,23,20,25,23,28,28,25,28,29,32,30,0,
(17,19),(17,20),-0.0072741 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0473386 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0539142 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.0184922 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0470556 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.101981 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.0153303 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.0153298 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.00340542 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.0153298 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0153371 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.261741 # DEPENDENCYPART_SIBL
(18,2),(18,22),0.0507263 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.0811949 # DEPENDENCYPART_SIBL
(18,2),(18,25),0.0507124 # DEPENDENCYPART_SIBL
(18,2),(18,27),0.0339783 # DEPENDENCYPART_SIBL
(18,2),(18,28),0.0507213 # DEPENDENCYPART_SIBL
(18,2),(18,29),0.0339828 # DEPENDENCYPART_SIBL
(18,2),(18,30),0.0958045 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.0037237 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0298278 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0037237 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.00375159 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0242982 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.216404 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.102113 # DEPENDENCYPART_SIBL
(18,5),(18,25),0.216369 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0249743 # DEPENDENCYPART_SIBL
(18,5),(18,28),0.216398 # DEPENDENCYPART_SIBL
(18,5),(18,29),0.0249992 # DEPENDENCYPART_SIBL
(18,5),(18,30),0.0425292 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0298258 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.00371864 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.00374653 # DEPENDENCYPART_SIBL
(18,9),(18,20),0.0243 # DEPENDENCYPART_SIBL
(18,9),(18,22),0.216409 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.102115 # DEPENDENCYPART_SIBL
(18,9),(18,25),0.216375 # DEPENDENCYPART_SIBL
(18,9),(18,27),0.0249761 # DEPENDENCYPART_SIBL
(18,9),(18,28),0.216403 # DEPENDENCYPART_SIBL
(18,9),(18,29),0.025001 # DEPENDENCYPART_SIBL
(18,9),(18,30),0.042531 # DEPENDENCYPART_SIBL
(18,12),(18,14),-0.0366442 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0367015 # DEPENDENCYPART_SIBL
(18,12),(18,20),0.0465731 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.0615456 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.117274 # DEPENDENCYPART_SIBL
(18,12),(18,25),0.0615317 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.0334705 # DEPENDENCYPART_SIBL
(18,12),(18,28),0.0615409 # DEPENDENCYPART_SIBL
(18,12),(18,29),0.0334902 # DEPENDENCYPART_SIBL
(18,12),(18,30),0.30059 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.00374653 # DEPENDENCYPART_SIBL
(18,14),(18,20),0.0243 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.216409 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.102115 # DEPENDENCYPART_SIBL
(18,14),(18,25),0.216375 # DEPENDENCYPART_SIBL
(18,14),(18,27),0.0249761 # DEPENDENCYPART_SIBL
(18,14),(18,28),0.216403 # DEPENDENCYPART_SIBL
(18,14),(18,29),0.025001 # DEPENDENCYPART_SIBL
(18,14),(18,30),0.042531 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.023466 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.216604 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.102108 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.216569 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.0249692 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.216598 # DEPENDENCYPART_SIBL
(18,17),(18,29),0.0249941 # DEPENDENCYPART_SIBL
(18,17),(18,30),0.0425208 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00646936 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0396829 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.00646936 # DEPENDENCYPART_SIBL
(18,20),(18,27),0.0139112 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.00646954 # DEPENDENCYPART_SIBL
(18,20),(18,29),0.0139112 # DEPENDENCYPART_SIBL
(18,20),(18,30),0.0350974 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0186121 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0437396 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.0692682 # DEPENDENCYPART_SIBL
(18,22),(18,28),-0.0449837 # DEPENDENCYPART_SIBL
(18,22),(18,29),0.0692682 # DEPENDENCYPART_SIBL
(18,22),(18,30),0.139425 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0262323 # DEPENDENCYPART_SIBL
(18,23),(18,27),0.0191391 # DEPENDENCYPART_SIBL
(18,23),(18,28),-0.0262325 # DEPENDENCYPART_SIBL
(18,23),(18,29),0.0193193 # DEPENDENCYPART_SIBL
(18,23),(18,30),0.0231793 # DEPENDENCYPART_SIBL
(18,25),(18,27),0.0692682 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.0449837 # DEPENDENCYPART_SIBL
(18,25),(18,29),0.0692682 # DEPENDENCYPART_SIBL
(18,25),(18,30),0.139425 # DEPENDENCYPART_SIBL
(18,27),(18,28),-0.00987957 # DEPENDENCYPART_SIBL
(18,27),(18,29),0.0316913 # DEPENDENCYPART_SIBL
(18,27),(18,30),0.0642994 # DEPENDENCYPART_SIBL
(18,28),(18,29),0.0692681 # DEPENDENCYPART_SIBL
(18,28),(18,30),0.139425 # DEPENDENCYPART_SIBL
(18,29),(18,30),0.0608777 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0133598 # DEPENDENCYPART_SIBL
(20,1),(20,3),-0.0326834 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0259971 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.00909347 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.00821493 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0259971 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0153024 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.00821493 # DEPENDENCYPART_SIBL
(20,1),(20,14),-0.00909347 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.0173842 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.00918961 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.0153024 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.0754976 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0032098 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0285433 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.00327806 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.0279732 # DEPENDENCYPART_SIBL
(20,1),(20,27),-0.0256603 # DEPENDENCYPART_SIBL
(20,1),(20,28),-0.0279732 # DEPENDENCYPART_SIBL
(20,1),(20,30),-0.0432265 # DEPENDENCYPART_SIBL
(20,1),(20,32),-0.0287582 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.0334745 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.0621629 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.069434 # DEPENDENCYPART_SIBL
(20,2),(20,6),-0.00410027 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.0621629 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.0025074 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.00410027 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.069434 # DEPENDENCYPART_SIBL
(20,2),(20,15),-0.0286862 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.0695184 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.0025074 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.160817 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.00104492 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0161503 # DEPENDENCYPART_SIBL
(20,2),(20,23),0.00439971 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0161469 # DEPENDENCYPART_SIBL
(20,2),(20,27),-0.0161049 # DEPENDENCYPART_SIBL
(20,2),(20,28),-0.016147 # DEPENDENCYPART_SIBL
(20,2),(20,30),-0.019408 # DEPENDENCYPART_SIBL
(20,2),(20,32),-0.0173667 # DEPENDENCYPART_SIBL
(20,3),(20,4),-0.0128275 # DEPENDENCYPART_SIBL
(20,3),(20,5),0.0105527 # DEPENDENCYPART_SIBL
(20,3),(20,6),-0.0347135 # DEPENDENCYPART_SIBL
(20,3),(20,8),-0.0127604 # DEPENDENCYPART_SIBL
(20,3),(20,11),0.0597651 # DEPENDENCYPART_SIBL
(20,3),(20,12),-0.0347135 # DEPENDENCYPART_SIBL
(20,3),(20,14),0.0105527 # DEPENDENCYPART_SIBL
(20,3),(20,15),-0.00105905 # DEPENDENCYPART_SIBL
(20,3),(20,17),0.0103699 # DEPENDENCYPART_SIBL
(20,3),(20,18),0.0597651 # DEPENDENCYPART_SIBL
(20,3),(20,19),-0.000787739 # DEPENDENCYPART_SIBL
(20,3),(20,21),0.000518762 # DEPENDENCYPART_SIBL
(20,3),(20,22),-0.00928282 # DEPENDENCYPART_SIBL
(20,3),(20,23),0.0287879 # DEPENDENCYPART_SIBL
(20,3),(20,25),-0.00927949 # DEPENDENCYPART_SIBL
(20,3),(20,27),-0.0156827 # DEPENDENCYPART_SIBL
(20,3),(20,28),-0.00927949 # DEPENDENCYPART_SIBL
(20,3),(20,30),-0.0303134 # DEPENDENCYPART_SIBL
(20,3),(20,32),-0.0104228 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0514625 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.00350719 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0278256 # DEPENDENCYPART_SIBL
(20,4),(20,11),0.00270858 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.00350719 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0514625 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.0228822 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.0515425 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.00270858 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.0533989 # DEPENDENCYPART_SIBL
(20,4),(20,21),0.00525151 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.000593686 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.0125588 # DEPENDENCYPART_SIBL
(20,4),(20,25),-0.000587409 # DEPENDENCYPART_SIBL
(20,4),(20,27),0.097172 # DEPENDENCYPART_SIBL
(20,4),(20,28),-0.00059028 # DEPENDENCYPART_SIBL
(20,4),(20,30),-0.0231894 # DEPENDENCYPART_SIBL
(20,4),(20,32),-0.00318071 # DEPENDENCYPART_SIBL
(20,5),(20,6),-0.0191601 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.0575227 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0336049 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.0191601 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.175789 # DEPENDENCYPART_SIBL
(20,5),(20,15),-0.0336619 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.175908 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0336049 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.0033162 # DEPENDENCYPART_SIBL
(20,5),(20,21),0.0372064 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0111498 # DEPENDENCYPART_SIBL
(20,5),(20,23),0.0431822 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.0111517 # DEPENDENCYPART_SIBL
(20,5),(20,27),0.0269706 # DEPENDENCYPART_SIBL
(20,5),(20,28),-0.0111439 # DEPENDENCYPART_SIBL
(20,5),(20,30),-0.00944887 # DEPENDENCYPART_SIBL
(20,5),(20,32),-0.0108409 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.0171999 # DEPENDENCYPART_SIBL
(20,6),(20,11),0.0548817 # DEPENDENCYPART_SIBL
(20,6),(20,12),-0.0429489 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.00168783 # DEPENDENCYPART_SIBL
(20,6),(20,15),-0.00426928 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.00187068 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.0548817 # DEPENDENCYPART_SIBL
(20,6),(20,19),-0.0232337 # DEPENDENCYPART_SIBL
(20,6),(20,21),0.00224008 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0135543 # DEPENDENCYPART_SIBL
(20,6),(20,23),0.0340799 # DEPENDENCYPART_SIBL
(20,6),(20,25),-0.013551 # DEPENDENCYPART_SIBL
(20,6),(20,27),-0.00964747 # DEPENDENCYPART_SIBL
(20,6),(20,28),-0.013551 # DEPENDENCYPART_SIBL
(20,6),(20,30),-0.00736833 # DEPENDENCYPART_SIBL
(20,6),(20,32),-0.0146943 # DEPENDENCYPART_SIBL
(20,8),(20,11),0.00270858 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.00350719 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.0514625 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.0228822 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0515425 # DEPENDENCYPART_SIBL
(20,8),(20,18),0.00270858 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.0533989 # DEPENDENCYPART_SIBL
(20,8),(20,21),0.00525151 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.000593686 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0125588 # DEPENDENCYPART_SIBL
(20,8),(20,25),-0.000587409 # DEPENDENCYPART_SIBL
(20,8),(20,27),0.097172 # DEPENDENCYPART_SIBL
(20,8),(20,28),-0.00059028 # DEPENDENCYPART_SIBL
(20,8),(20,30),-0.0231894 # DEPENDENCYPART_SIBL
(20,8),(20,32),-0.00318071 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0672358 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0224122 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0195968 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0220839 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.00429539 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.110077 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.0100784 # DEPENDENCYPART_SIBL
(20,11),(20,22),0.00389382 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.0132042 # DEPENDENCYPART_SIBL
(20,11),(20,25),0.00389716 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.0212445 # DEPENDENCYPART_SIBL
(20,11),(20,28),0.00389526 # DEPENDENCYPART_SIBL
(20,11),(20,30),-0.00914401 # DEPENDENCYPART_SIBL
(20,11),(20,32),0.00311835 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.00168783 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.00426928 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.00187068 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0548817 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0232337 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.00224008 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0135543 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0340799 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.013551 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.00964747 # DEPENDENCYPART_SIBL
(20,12),(20,28),-0.013551 # DEPENDENCYPART_SIBL
(20,12),(20,30),-0.00736833 # DEPENDENCYPART_SIBL
(20,12),(20,32),-0.0146943 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.0336619 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.175907 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.033602 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0033162 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0372064 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0111476 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0431822 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.0111495 # DEPENDENCYPART_SIBL
(20,14),(20,27),0.0269706 # DEPENDENCYPART_SIBL
(20,14),(20,28),-0.0111416 # DEPENDENCYPART_SIBL
(20,14),(20,30),-0.00944887 # DEPENDENCYPART_SIBL
(20,14),(20,32),-0.0108387 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.0286417 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.00371695 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0212362 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0278883 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0137158 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.0555064 # DEPENDENCYPART_SIBL
(20,15),(20,25),0.0137192 # DEPENDENCYPART_SIBL
(20,15),(20,27),0.00130655 # DEPENDENCYPART_SIBL
(20,15),(20,28),0.0137192 # DEPENDENCYPART_SIBL
(20,15),(20,30),0.0258655 # DEPENDENCYPART_SIBL
(20,15),(20,32),0.0125371 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0336299 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.00319483 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.036767 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0109874 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0427443 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0109893 # DEPENDENCYPART_SIBL
(20,17),(20,27),0.0265328 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.0109815 # DEPENDENCYPART_SIBL
(20,17),(20,30),-0.00988779 # DEPENDENCYPART_SIBL
(20,17),(20,32),-0.0106785 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.110077 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0100784 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00389382 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0132042 # DEPENDENCYPART_SIBL
(20,18),(20,25),0.00389716 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0212445 # DEPENDENCYPART_SIBL
(20,18),(20,28),0.00389526 # DEPENDENCYPART_SIBL
(20,18),(20,30),-0.00914401 # DEPENDENCYPART_SIBL
(20,18),(20,32),0.00311835 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0945761 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.138517 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0719529 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.13852 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.0494795 # DEPENDENCYPART_SIBL
(20,19),(20,28),0.13852 # DEPENDENCYPART_SIBL
(20,19),(20,30),0.0229477 # DEPENDENCYPART_SIBL
(20,19),(20,32),0.137573 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0211216 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0299323 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0211198 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.0539863 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0211198 # DEPENDENCYPART_SIBL
(20,21),(20,30),0.0022167 # DEPENDENCYPART_SIBL
(20,21),(20,32),-0.0212163 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.116969 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.226244 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.114429 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.227488 # DEPENDENCYPART_SIBL
(20,22),(20,30),-0.0200026 # DEPENDENCYPART_SIBL
(20,22),(20,32),-0.226345 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0623746 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.0759947 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.0623746 # DEPENDENCYPART_SIBL
(20,23),(20,30),-0.0423959 # DEPENDENCYPART_SIBL
(20,23),(20,32),-0.0624712 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.114428 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.227487 # DEPENDENCYPART_SIBL
(20,25),(20,30),-0.0200015 # DEPENDENCYPART_SIBL
(20,25),(20,32),-0.226344 # DEPENDENCYPART_SIBL
(20,27),(20,28),-0.0365785 # DEPENDENCYPART_SIBL
(20,27),(20,30),0.0256693 # DEPENDENCYPART_SIBL
(20,27),(20,32),-0.0366751 # DEPENDENCYPART_SIBL
(20,28),(20,30),-0.0200015 # DEPENDENCYPART_SIBL
(20,28),(20,32),-0.226344 # DEPENDENCYPART_SIBL
(20,30),(20,32),-0.00438511 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.082619 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.376813 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.0713828 # DEPENDENCYPART_SIBL
(22,16),(22,24),-0.0286795 # DEPENDENCYPART_SIBL
(22,16),(22,25),0.0202223 # DEPENDENCYPART_SIBL
(22,16),(22,27),0.0206301 # DEPENDENCYPART_SIBL
(22,16),(22,28),0.0202188 # DEPENDENCYPART_SIBL
(22,16),(22,30),-0.00137358 # DEPENDENCYPART_SIBL
(22,16),(22,32),0.0201626 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.144762 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0170067 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0378799 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.000202095 # DEPENDENCYPART_SIBL
(22,20),(22,27),-0.0330445 # DEPENDENCYPART_SIBL
(22,20),(22,28),-0.000203829 # DEPENDENCYPART_SIBL
(22,20),(22,30),-0.0434214 # DEPENDENCYPART_SIBL
(22,20),(22,32),-0.00048664 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0146213 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.00303311 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0679421 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.0272497 # DEPENDENCYPART_SIBL
(22,21),(22,28),0.0679386 # DEPENDENCYPART_SIBL
(22,21),(22,30),0.0383447 # DEPENDENCYPART_SIBL
(22,21),(22,32),0.0678824 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0147778 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0175833 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0144879 # DEPENDENCYPART_SIBL
(22,23),(22,28),-0.0188271 # DEPENDENCYPART_SIBL
(22,23),(22,30),0.00312737 # DEPENDENCYPART_SIBL
(22,23),(22,32),-0.0175866 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.00872692 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0279198 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.00997062 # DEPENDENCYPART_SIBL
(22,24),(22,30),-0.0127953 # DEPENDENCYPART_SIBL
(22,24),(22,32),-0.00873013 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.0242595 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.130578 # DEPENDENCYPART_SIBL
(22,25),(22,30),0.0344359 # DEPENDENCYPART_SIBL
(22,25),(22,32),-0.126858 # DEPENDENCYPART_SIBL
(22,27),(22,28),-0.029896 # DEPENDENCYPART_SIBL
(22,27),(22,30),0.0335799 # DEPENDENCYPART_SIBL
(22,27),(22,32),-0.0286555 # DEPENDENCYPART_SIBL
(22,28),(22,30),0.0344359 # DEPENDENCYPART_SIBL
(22,28),(22,32),-0.126858 # DEPENDENCYPART_SIBL
(22,30),(22,32),-0.000977546 # DEPENDENCYPART_SIBL
(23,1),(23,2),-0.00371371 # DEPENDENCYPART_SIBL
(23,1),(23,3),-0.054181 # DEPENDENCYPART_SIBL
(23,1),(23,4),-0.0293218 # DEPENDENCYPART_SIBL
(23,1),(23,5),-0.00533618 # DEPENDENCYPART_SIBL
(23,1),(23,6),-0.0339444 # DEPENDENCYPART_SIBL
(23,1),(23,8),-0.0293218 # DEPENDENCYPART_SIBL
(23,1),(23,9),-0.00533617 # DEPENDENCYPART_SIBL
(23,1),(23,10),-0.00533619 # DEPENDENCYPART_SIBL
(23,1),(23,11),0.0320804 # DEPENDENCYPART_SIBL
(23,1),(23,12),-0.0339444 # DEPENDENCYPART_SIBL
(23,1),(23,14),-0.00533617 # DEPENDENCYPART_SIBL
(23,1),(23,15),0.00693859 # DEPENDENCYPART_SIBL
(23,1),(23,16),-0.00153434 # DEPENDENCYPART_SIBL
(23,1),(23,17),-0.0054659 # DEPENDENCYPART_SIBL
(23,1),(23,18),0.0320804 # DEPENDENCYPART_SIBL
(23,1),(23,19),-0.0349874 # DEPENDENCYPART_SIBL
(23,1),(23,20),-0.00371371 # DEPENDENCYPART_SIBL
(23,1),(23,21),-0.0106296 # DEPENDENCYPART_SIBL
(23,1),(23,22),-0.00533617 # DEPENDENCYPART_SIBL
(23,1),(23,24),-0.023533 # DEPENDENCYPART_SIBL
(23,1),(23,25),-0.0145917 # DEPENDENCYPART_SIBL
(23,1),(23,27),-0.0041118 # DEPENDENCYPART_SIBL
(23,1),(23,28),-0.0145917 # DEPENDENCYPART_SIBL
(23,1),(23,29),-0.00159585 # DEPENDENCYPART_SIBL
(23,1),(23,30),-0.00462738 # DEPENDENCYPART_SIBL
(23,1),(23,32),-0.0156429 # DEPENDENCYPART_SIBL
(23,2),(23,3),-0.0719352 # DEPENDENCYPART_SIBL
(23,2),(23,4),-0.0871841 # DEPENDENCYPART_SIBL
(23,2),(23,5),-0.103389 # DEPENDENCYPART_SIBL
(23,2),(23,6),-0.0491981 # DEPENDENCYPART_SIBL
(23,2),(23,8),-0.0871841 # DEPENDENCYPART_SIBL
(23,2),(23,9),-0.103389 # DEPENDENCYPART_SIBL
(23,2),(23,10),-0.103389 # DEPENDENCYPART_SIBL
(23,2),(23,11),0.0881084 # DEPENDENCYPART_SIBL
(23,2),(23,12),-0.0491981 # DEPENDENCYPART_SIBL
(23,2),(23,14),-0.103389 # DEPENDENCYPART_SIBL
(23,2),(23,15),-0.0346224 # DEPENDENCYPART_SIBL
