# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,11,17,16,17,11,20,20,17,0,
(8,4),(8,9),0.0316389 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0194771 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0149896 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0258875 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0176298 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0232398 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0121034 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0174018 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0235885 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0145104 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.129857 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0343712 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.010523 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.048921 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0366825 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0160448 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0366443 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0238952 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.015518 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0863694 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.16642 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0103975 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0226208 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00979084 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0214307 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.033461 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0214307 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0364816 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0222865 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0475746 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.069295 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.138492 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00975485 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0484436 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0258762 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0484436 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0137284 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.137078 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.0958112 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0158466 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00860598 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0567318 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0232815 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0567303 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0837308 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0176533 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0389503 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.021736 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.11675 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0183072 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.11675 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.20429 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.228552 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0758915 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0683252 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0046959 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0683252 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0468234 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.000433974 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.03091 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0143718 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.103764 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.145672 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0322387 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0682342 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0539272 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0387177 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.000394536 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.11518 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.145672 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0352901 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0682342 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0118599 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.0172223 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.0729663 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.161578 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.00273875 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0114786 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.161578 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.038836 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0438654 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0509967 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0570217 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0509929 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00904421 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0459581 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.047319 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0328075 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0708996 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.431804 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.084098 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0229303 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0329646 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0632186 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0329647 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0374939 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.012345 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0462745 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0571178 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0835357 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0731824 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0395257 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0258105 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.190215 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0257722 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0294199 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0299361 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.120814 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.143906 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0661237 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0353782 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0450459 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0268671 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0450458 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0248059 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.00833034 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0142347 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.084098 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0229303 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0329646 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0632186 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0329647 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0374939 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.012345 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0462745 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.00936835 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0168461 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0251394 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0168461 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00308442 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.015055 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.00893895 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.030797 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0547269 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.030794 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0687074 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.00853393 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0475883 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0396881 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0433523 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.102927 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0303509 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0645261 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.00488621 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00178983 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.059157 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0747882 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.102927 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0334023 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0645261 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.00608716 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0402958 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0590511 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0151595 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0216934 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.144201 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0545853 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0544962 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0113784 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0231709 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.000134996 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00446754 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.00917572 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0601484 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0220418 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0069874 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0813435 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0622408 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0619385 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0916948 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.00701994 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00700801 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0127392 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.015382 # DEPENDENCYPART_SIBL
(11,2),(11,17),0.040219 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.0237521 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.159908 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.0639204 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0644873 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0207987 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.00683082 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.000547952 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.00628867 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0243174 # DEPENDENCYPART_SIBL
(11,4),(11,17),0.00796793 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.00288546 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0685915 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0690377 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.037166 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.030942 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0214058 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0306594 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.33915 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0659041 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.158222 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0163413 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0253677 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.011605 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.000936508 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00532501 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.01797 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0122653 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.0060374 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0250226 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0117369 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.000792842 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00542003 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0178168 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.013267 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.00588788 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0202641 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0221423 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.00260158 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0423667 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0156115 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0480169 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.000480328 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.00633961 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0250388 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.00805599 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.00320884 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00591259 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.00547182 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0209577 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.00302094 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0063873 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0716257 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0402332 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0299214 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.110324 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0393368 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0144904 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0243806 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0276773 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0493798 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0312774 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.00748853 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.0726466 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.024359 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0276773 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0502093 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0313937 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.00769654 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.074481 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0139058 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0255284 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0118474 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00849004 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0171098 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00745926 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0299992 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0169774 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0692827 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0186896 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0171605 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.0576101 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0507854 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.00620359 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.00648566 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.334478 # DEPENDENCYPART_SIBL
(14,4),(14,6),0.0601825 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0610495 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00380541 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.00939231 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0199204 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.0268897 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.154058 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.0262033 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.215651 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.00830919 # DEPENDENCYPART_SIBL
(14,5),(14,6),0.245393 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.246449 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.18648 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0841176 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0678593 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0613692 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.0331941 # DEPENDENCYPART_SIBL
(14,5),(14,19),-0.0643954 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0246367 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.0652742 # DEPENDENCYPART_SIBL
(14,6),(14,8),0.101872 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0157219 # DEPENDENCYPART_SIBL
(14,6),(14,11),0.00862015 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.018857 # DEPENDENCYPART_SIBL
(14,6),(14,16),0.0337647 # DEPENDENCYPART_SIBL
(14,6),(14,17),0.105887 # DEPENDENCYPART_SIBL
(14,6),(14,19),0.032887 # DEPENDENCYPART_SIBL
(14,6),(14,20),0.0498289 # DEPENDENCYPART_SIBL
(14,6),(14,21),0.0139348 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0153398 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.00907569 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.018688 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.0337796 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.107 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.0329019 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.0504433 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0138963 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.00936987 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0199196 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.024955 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.152251 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0242599 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.21567 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.00668819 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0194713 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0513643 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.117085 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0509179 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0853744 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.00582471 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.239077 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.12577 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.237575 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.120782 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.029594 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.023477 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0309278 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.00859256 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.00265444 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0211718 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.015589 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.0825054 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.00926431 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.00554768 # DEPENDENCYPART_SIBL
(14,20),(14,21),0.104302 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.024359 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0322707 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0276773 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.0313178 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0748765 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.026643 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0139058 # DEPENDENCYPART_SIBL
(16,11),(16,19),0.0118474 # DEPENDENCYPART_SIBL
(16,11),(16,20),0.0174517 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.00864995 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0226712 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.104108 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0287713 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0710636 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.00620174 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.0579802 # DEPENDENCYPART_SIBL
(17,1),(17,5),0.00552543 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.0056195 # DEPENDENCYPART_SIBL
(17,1),(17,8),5.71904e-05 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.056374 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.0473808 # DEPENDENCYPART_SIBL
(17,1),(17,12),-0.0764056 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0576304 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.00552543 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0764056 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.0576304 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.00465554 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0145442 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.0672819 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0315191 # DEPENDENCYPART_SIBL
(17,4),(17,5),0.102789 # DEPENDENCYPART_SIBL
(17,4),(17,6),0.031794 # DEPENDENCYPART_SIBL
(17,4),(17,8),0.0390335 # DEPENDENCYPART_SIBL
(17,4),(17,10),-0.0213882 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.06112 # DEPENDENCYPART_SIBL
(17,4),(17,12),-0.0630617 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.045396 # DEPENDENCYPART_SIBL
(17,4),(17,14),0.102789 # DEPENDENCYPART_SIBL
(17,4),(17,15),-0.0630617 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.0453938 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.0137302 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.00941594 # DEPENDENCYPART_SIBL
(17,4),(17,20),0.0857449 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.0473763 # DEPENDENCYPART_SIBL
(17,5),(17,6),0.0371836 # DEPENDENCYPART_SIBL
(17,5),(17,8),0.0446833 # DEPENDENCYPART_SIBL
(17,5),(17,10),0.00415292 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.0166502 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.0582982 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.000679463 # DEPENDENCYPART_SIBL
(17,5),(17,14),0.0449192 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0582982 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.000679463 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.0602166 # DEPENDENCYPART_SIBL
(17,5),(17,19),0.00142988 # DEPENDENCYPART_SIBL
(17,5),(17,20),0.0233938 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0394682 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0578177 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.182553 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.119554 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.118232 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.140334 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.00567313 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.118232 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.140334 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.00109586 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.0132684 # DEPENDENCYPART_SIBL
(17,6),(17,20),-0.0628258 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.00804172 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.181722 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.11808 # DEPENDENCYPART_SIBL
(17,8),(17,12),-0.117615 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.139716 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.00519743 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.117615 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.139716 # DEPENDENCYPART_SIBL
(17,8),(17,18),0.00534947 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.0066762 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.0556755 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0016066 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0579601 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0599649 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.0422992 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.113512 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0599649 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0422971 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0095541 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.00509106 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0949037 # DEPENDENCYPART_SIBL
