# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(7,3),(7,10),-0.0165158 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.000694326 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0198727 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0535875 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0834107 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0268394 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0393077 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0249415 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0257921 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.191497 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.143781 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0235565 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0378801 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0409733 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00527288 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0272447 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0365207 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0195266 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0308841 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00881589 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0656884 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0194248 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0134966 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00474666 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00599037 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0277457 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00873947 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0517899 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0320713 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0393821 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0416237 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0869129 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.00422084 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.00409925 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0860629 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00483246 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0432284 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0272532 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0216033 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0457428 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0361164 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0360231 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.012998 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0126801 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0216033 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0568977 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0913308 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.00488088 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0592552 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.11802 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.181572 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0106275 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00627389 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0556479 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00709726 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0233346 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.436896 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.00241234 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.00627389 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.00160291 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.00210687 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0249943 # DEPENDENCYPART_SIBL
(8,3),(8,6),2.98662e-05 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0255062 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0213582 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.00649102 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.00743586 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0129158 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0300335 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0224577 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.05035 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00649102 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0220293 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.041153 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.044943 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.00461018 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0746584 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00412271 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0233943 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0247649 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0541958 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0588989 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0389023 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.00412271 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.0394682 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.11802 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.181572 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0106275 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00204548 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0557735 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00727934 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0233346 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.435281 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.00277704 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.00204548 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.00196707 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0393343 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00403818 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0464346 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0326842 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0528274 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0202108 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.00387613 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0376532 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0464346 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0424022 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.034337 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.00327311 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0983107 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0157717 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0505754 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.036264 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0292373 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00327311 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0407246 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.045606 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0103189 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0380681 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0205776 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.107147 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0067642 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.045606 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0185167 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0757749 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0722558 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0536225 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.147594 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0472057 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.101431 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0796253 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00299891 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0421982 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.102852 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0106932 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0610309 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.029146 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0276316 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0111512 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.00631 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0387476 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0839002 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.055368 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0135359 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0342505 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0866628 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.0969333 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0292403 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.132676 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0201324 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.025251 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0796253 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0145239 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0280479 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0755704 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0502406 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00068148 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00500423 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0512512 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0594709 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00394059 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0104486 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0226821 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0667461 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0189711 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.014101 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0636728 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0469429 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0524167 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0114604 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0236808 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0188823 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00555645 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.001215 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0114236 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0229511 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.143781 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0256486 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0497204 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.143781 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0286572 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0265514 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0234798 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0881051 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0159787 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0450452 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.00946336 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0183122 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.109443 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0295666 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.138954 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.109443 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0124764 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0193615 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00357785 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.00289301 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0389173 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0163593 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0535875 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0834107 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0656223 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0881228 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0834107 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0150472 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.192008 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0107575 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.011875 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0232682 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.024785 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.143781 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0256486 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0497204 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.143781 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0286572 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0267335 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0234798 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0864894 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.015614 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0408168 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0632718 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.146587 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.431644 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0367427 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0603062 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.00113053 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0489487 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.102098 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0354608 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0357761 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.136946 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.02226 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0119697 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00556498 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.00495846 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.00336468 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.00741934 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0112427 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0300871 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0202008 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.00733883 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.00730072 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0811236 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0212981 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0367427 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0603062 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00113053 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0489487 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.102098 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0354608 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0183013 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.041017 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.00562937 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0118801 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.02597 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0336005 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0115511 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0752947 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.00507862 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.00107919 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0137656 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0144855 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0835998 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.00601738 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.00761776 # DEPENDENCYPART_SIBL
(12,2),(12,4),0.226703 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.10011 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0153298 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.203186 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.018688 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0153298 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0701678 # DEPENDENCYPART_SIBL
(12,2),(12,14),0.258279 # DEPENDENCYPART_SIBL
(12,2),(12,15),0.161804 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.0339828 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.0141014 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.242989 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.186654 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.343608 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0678593 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.186654 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0198229 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0259696 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0264171 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0613692 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0652742 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0153298 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.203186 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.018688 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0153298 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0701678 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.256664 # DEPENDENCYPART_SIBL
(12,5),(12,15),0.161439 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0382112 # DEPENDENCYPART_SIBL
(12,5),(12,17),0.0137373 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0944602 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0200606 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.00371895 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.0720187 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.023619 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0469064 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0250007 # DEPENDENCYPART_SIBL
(12,7),(12,17),0.00672412 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0186986 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.01035 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.12851 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.103483 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.200841 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0790076 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0888097 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.021302 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0711965 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0879105 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.098929 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.239077 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.029594 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0720189 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0236194 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0469066 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.025001 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.00673526 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.00325882 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0235815 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0179127 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.113938 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.0204171 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0131814 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.114901 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.000703199 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0112737 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.00265444 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0522444 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.0632005 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.029677 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.130937 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0220804 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0647673 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0979308 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.130937 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0632005 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.197938 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.00612201 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.024479 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0198173 # DEPENDENCYPART_SIBL
(13,3),(13,4),0.0356899 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0453348 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.00574068 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.0422524 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0156143 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0140817 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.00574068 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0356899 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.04243 # DEPENDENCYPART_SIBL
(13,3),(13,15),0.0374444 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.00250754 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0224612 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0814739 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0252053 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.0769676 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0138828 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.013633 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0252053 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0694602 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0444685 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.00609705 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0281529 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0342499 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.130937 # DEPENDENCYPART_SIBL
(13,5),(13,8),-0.0220804 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0647673 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0979308 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.130937 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0632005 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.196322 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0064867 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0202505 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0201814 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.00547244 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0351421 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0316541 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0424795 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.068478 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0236505 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.00890097 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0164219 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.00473067 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0481094 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0417485 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.0425774 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0619556 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0523075 # DEPENDENCYPART_SIBL
(13,8),(13,15),0.00896954 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.00541599 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0297228 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0073689 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.000827579 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0414298 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0280553 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0367717 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.0278684 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0450768 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.028446 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.118715 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0651394 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.00835598 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.266897 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0126023 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.068478 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0236504 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.00890097 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0164219 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00474156 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0444685 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.00609705 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0281529 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0342499 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.00882929 # DEPENDENCYPART_SIBL
