# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,16,21,18,19,22,0,0,
(10,2),(10,13),0.0737177 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.085901 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0222914 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0192642 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0328312 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0255336 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0233247 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.113178 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.113777 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0538533 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.0568722 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.114231 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0601884 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.00534257 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0611678 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0201947 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.213666 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.102112 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.227642 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0490225 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.211704 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0234072 # DEPENDENCYPART_SIBL
(11,2),(11,23),0.0268469 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.000637062 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0851512 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0316645 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0412597 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0978269 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0422068 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.17907 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.0412003 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.0392752 # DEPENDENCYPART_SIBL
(11,4),(11,23),0.0572825 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0695188 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0187431 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.100471 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0784507 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0941879 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.109471 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0892506 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.00262859 # DEPENDENCYPART_SIBL
(11,5),(11,23),0.0165399 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0186894 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0489303 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0811034 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0498773 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.171543 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.048871 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0103435 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.0319599 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.116628 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0835029 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.11844 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.099865 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.118826 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0670974 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.059235 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0204562 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0503454 # DEPENDENCYPART_SIBL
(11,13),(11,19),0.109878 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0434338 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.204793 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.129907 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.026463 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0284304 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0276201 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.0558297 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.0418232 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.102894 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0454209 # DEPENDENCYPART_SIBL
(11,16),(11,21),0.217607 # DEPENDENCYPART_SIBL
(11,16),(11,23),0.138259 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0061225 # DEPENDENCYPART_SIBL
(11,19),(11,21),0.0247949 # DEPENDENCYPART_SIBL
(11,19),(11,23),0.00615749 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.203445 # DEPENDENCYPART_SIBL
(11,20),(11,23),0.130379 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.0140282 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.128006 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0121609 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00742863 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.11755 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.00768223 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0214703 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0106454 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0236933 # DEPENDENCYPART_SIBL
(13,5),(13,20),-0.0180828 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0766938 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0737994 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.388598 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0183467 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.0785614 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0208275 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0231648 # DEPENDENCYPART_SIBL
(13,9),(13,20),-0.0282284 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0360678 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.149003 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0196687 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0517031 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0101311 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0042069 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.00829162 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.115888 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00702116 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0449131 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0353987 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0115328 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.045707 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.00616828 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0697481 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0152681 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.049062 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0225304 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.014376 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0146143 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.00859963 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0160528 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0140576 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.035136 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0141835 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.115767 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.123808 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0288303 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0329035 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.0179206 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0282562 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0381815 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0321507 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.116085 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0378892 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0173176 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0307393 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.120088 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.00422237 # DEPENDENCYPART_SIBL
(14,2),(14,20),0.0694681 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.00243796 # DEPENDENCYPART_SIBL
(14,2),(14,23),-0.0062108 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0832731 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0686995 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0830864 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.120811 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0349532 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0798209 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.111718 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0475771 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0471564 # DEPENDENCYPART_SIBL
(14,4),(14,19),0.00257213 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0669477 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.00309103 # DEPENDENCYPART_SIBL
(14,4),(14,23),0.00359902 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.00291475 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0170133 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0296157 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0362452 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.00632975 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0118059 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0258459 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.00310759 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.0623134 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0211725 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.0163067 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.0035362 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0593463 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0872119 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0881051 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0560164 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0808686 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0405735 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0363891 # DEPENDENCYPART_SIBL
(14,8),(14,19),0.00821711 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0561803 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.0228971 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.0088427 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0128852 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.0497151 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.18646 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.00829082 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0442156 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.0147027 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.00194108 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.00747183 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0769717 # DEPENDENCYPART_SIBL
(14,9),(14,23),-0.0494274 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.139582 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0177429 # DEPENDENCYPART_SIBL
(14,10),(14,13),-2.83472e-06 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0154436 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.015327 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0326016 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.00336074 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.00500162 # DEPENDENCYPART_SIBL
(14,10),(14,23),0.0227556 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.00831234 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.022909 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0389569 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0182626 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0459098 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0132099 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.156305 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.105602 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0174027 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0429938 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0104334 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0375681 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0116727 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.0920143 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.0531023 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0124831 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.172336 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0198365 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0998692 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.000620439 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.00597031 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.00883412 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.00883807 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.00875366 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.020325 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0178649 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.00829829 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.11256 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.00148638 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0167968 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0250063 # DEPENDENCYPART_SIBL
(14,19),(14,21),0.0560903 # DEPENDENCYPART_SIBL
(14,19),(14,23),0.0272868 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0155155 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.024467 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.0258412 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.128252 # DEPENDENCYPART_SIBL
(16,5),(16,10),-0.00958986 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.120666 # DEPENDENCYPART_SIBL
(16,5),(16,13),0.0300288 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.0878906 # DEPENDENCYPART_SIBL
(16,5),(16,15),-0.101647 # DEPENDENCYPART_SIBL
(16,5),(16,17),-0.0182585 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.034281 # DEPENDENCYPART_SIBL
(16,5),(16,20),-0.00735798 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.0209673 # DEPENDENCYPART_SIBL
(16,5),(16,23),0.00693023 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.0837255 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.387954 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.100432 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.144762 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.417678 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0561461 # DEPENDENCYPART_SIBL
(16,9),(16,19),0.011529 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.00842651 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0917063 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0507117 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.166528 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0190687 # DEPENDENCYPART_SIBL
(16,10),(16,14),0.0136178 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.150415 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.0550612 # DEPENDENCYPART_SIBL
(16,10),(16,19),0.00777054 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0105482 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0166501 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.00301579 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0691259 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.120486 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.448723 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.02771 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.110831 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.038564 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0980168 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0342894 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.0333759 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.164918 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0274774 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.01322 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0114271 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.00383751 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.0139785 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.121636 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.00316533 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0506721 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0359184 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.00228962 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.0186218 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0640055 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0350018 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0259008 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0973123 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0545507 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0373877 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0144049 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0505223 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0435573 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.025957 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0445472 # DEPENDENCYPART_SIBL
(16,19),(16,23),0.0135965 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0616964 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0455832 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.00423395 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.00428254 # DEPENDENCYPART_SIBL
(19,4),(19,5),0.0245434 # DEPENDENCYPART_SIBL
(19,4),(19,8),0.011039 # DEPENDENCYPART_SIBL
(19,4),(19,11),0.144368 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.00765901 # DEPENDENCYPART_SIBL
(19,4),(19,14),0.0538375 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.0145585 # DEPENDENCYPART_SIBL
(19,4),(19,17),0.0278175 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.0260268 # DEPENDENCYPART_SIBL
(19,4),(19,21),0.0406622 # DEPENDENCYPART_SIBL
(19,4),(19,23),0.0257439 # DEPENDENCYPART_SIBL
(19,5),(19,8),0.0290279 # DEPENDENCYPART_SIBL
(19,5),(19,11),0.0460505 # DEPENDENCYPART_SIBL
(19,5),(19,13),0.0181063 # DEPENDENCYPART_SIBL
(19,5),(19,14),0.0772039 # DEPENDENCYPART_SIBL
(19,5),(19,16),0.0229049 # DEPENDENCYPART_SIBL
(19,5),(19,17),0.0229266 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0614909 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.00209954 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0109832 # DEPENDENCYPART_SIBL
(19,8),(19,11),0.158317 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.00487795 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.057554 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.0117774 # DEPENDENCYPART_SIBL
(19,8),(19,17),0.0252206 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.023976 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.016655 # DEPENDENCYPART_SIBL
(19,8),(19,23),0.00675622 # DEPENDENCYPART_SIBL
(19,11),(19,13),0.0387828 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0812184 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0341995 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0410954 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.0111609 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.360876 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.205971 # DEPENDENCYPART_SIBL
(19,13),(19,14),0.0599593 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.0133952 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.0189885 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.0040979 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.00919224 # DEPENDENCYPART_SIBL
(19,13),(19,23),-0.00499265 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0037752 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0551373 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0225413 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0228164 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.00794756 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0192986 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.00546543 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.00406873 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0113507 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0400859 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.069096 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0552091 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0122604 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0314814 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0346151 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.023086 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.152899 # DEPENDENCYPART_SIBL
(20,4),(20,13),-0.0190591 # DEPENDENCYPART_SIBL
(20,4),(20,14),0.0225438 # DEPENDENCYPART_SIBL
(20,4),(20,15),-0.162653 # DEPENDENCYPART_SIBL
(20,4),(20,16),-0.0257908 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.152899 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0028359 # DEPENDENCYPART_SIBL
(20,4),(20,19),-0.00541687 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0167788 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.00593373 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.162078 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.0195966 # DEPENDENCYPART_SIBL
(20,8),(20,14),0.0229449 # DEPENDENCYPART_SIBL
(20,8),(20,15),-0.171265 # DEPENDENCYPART_SIBL
(20,8),(20,16),-0.0263282 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.162078 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.00406917 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.00612885 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0329396 # DEPENDENCYPART_SIBL
(20,8),(20,23),-0.00507887 # DEPENDENCYPART_SIBL
(20,12),(20,13),0.0709676 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.122178 # DEPENDENCYPART_SIBL
(20,12),(20,15),-0.451657 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0735288 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.414688 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.093807 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0816792 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.101018 # DEPENDENCYPART_SIBL
(20,12),(20,23),-0.033556 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.0334246 # DEPENDENCYPART_SIBL
(20,13),(20,15),-0.169978 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0112358 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.157483 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0220104 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0132735 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.00885734 # DEPENDENCYPART_SIBL
(20,13),(20,23),0.0113529 # DEPENDENCYPART_SIBL
(20,14),(20,15),-0.125341 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.0165569 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.104437 # DEPENDENCYPART_SIBL
(20,14),(20,18),-0.00445746 # DEPENDENCYPART_SIBL
(20,14),(20,19),-0.0282126 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.00704308 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0162634 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0193942 # DEPENDENCYPART_SIBL
(20,15),(20,17),-0.496082 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.0711053 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0614998 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.101857 # DEPENDENCYPART_SIBL
(20,15),(20,23),-0.0553601 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.157536 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0241445 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.00815304 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0142951 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.00470443 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.093807 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0816792 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.101018 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.033556 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.00611974 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0228626 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0210475 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0327263 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0103941 # DEPENDENCYPART_SIBL
