# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,3,8,8,5,3,19,10,11,14,12,10,10,18,16,0,19,23,23,20,0,
(7,8),(7,10),-0.00973728 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0331012 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0232468 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00574323 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.000276341 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0862961 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.105021 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0508017 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.375977 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0710592 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0595737 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0572686 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0419479 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.00133751 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00632915 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.137916 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0286582 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.028854 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0958672 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.000758141 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0173791 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.111106 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0124341 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0181055 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.020221 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0237273 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.154611 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0138672 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0634362 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0217273 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0181551 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0734128 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0496026 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0240997 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00949616 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0183013 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0121198 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0168384 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0166589 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0597106 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0572214 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0552873 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.00580151 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0298259 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0211441 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.00429157 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0289591 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.00843096 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.000832639 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0196686 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0167819 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.25985 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00159066 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0187834 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0359872 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0889702 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0604288 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0366442 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0472485 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.021302 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0894987 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0250001 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0219138 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0160262 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0171658 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0567552 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.17842 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0379916 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0172778 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0424462 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.000195801 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.000966983 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0128253 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0351948 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.00391211 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.00576319 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0105459 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.00284081 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.012394 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.012534 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00581003 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0625718 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0741533 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.00813327 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0273446 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0113956 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0165777 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0219769 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0113525 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0181286 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0172628 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0289878 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0607831 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0178203 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.0405712 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0141957 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0291214 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00436736 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00148177 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0137668 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0273783 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.022423 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0133338 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00468637 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0252651 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0231081 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0152199 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.020827 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0236656 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0452483 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0224989 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0126136 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.03955 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0182788 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0186353 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0117384 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0301831 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00308293 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0103928 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0124236 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.00501006 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.00848933 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.012981 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0543026 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0555157 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00230779 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.034183 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0230666 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.00141146 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00727249 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0215496 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0931552 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.000726223 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.00840329 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0162928 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.000168914 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0410685 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0401423 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0203091 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0391362 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00990264 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00421021 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.00950363 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0256885 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00618633 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.00895803 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0120349 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0129393 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0157035 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0313592 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00083905 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.00115001 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0423738 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0134842 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0239231 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0121373 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0111315 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0351126 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.000128476 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.0661995 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.097585 # DEPENDENCYPART_SIBL
(10,11),(10,14),-3.84896e-05 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0164345 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0161888 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0765396 # DEPENDENCYPART_SIBL
(10,11),(10,18),-3.84897e-05 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0507465 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.00896552 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.00156151 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.042201 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0321249 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.100141 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.119361 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.116268 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0321249 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.236005 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0553181 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0336479 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.14391 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0103407 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.012665 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.11445 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.226211 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.201998 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0398881 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.226806 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.0702988 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.033281 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0509368 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.00436571 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0357273 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0141993 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.0016252 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.109892 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0822436 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0221449 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.160276 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0101285 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0236679 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0703386 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0343489 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.145708 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.00349531 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0364205 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.0659716 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.203441 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0413228 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.228241 # DEPENDENCYPART_SIBL
(10,18),(10,24),-0.0720304 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.00996754 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.0149873 # DEPENDENCYPART_SIBL
(10,19),(10,24),0.0195206 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.0673663 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.0126617 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.0734319 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0222562 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0308939 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0121455 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.157528 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0146133 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00509453 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0163923 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0131937 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0288049 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0163923 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.0168598 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.140012 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.00812235 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0169375 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0417486 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0284814 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.00578888 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0529019 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.00327431 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0191358 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.0529019 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.00284766 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0119264 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0318257 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.176879 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0695471 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.114821 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0160852 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.00239343 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.106858 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0160853 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.118953 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.0080529 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.16327 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0648776 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0188249 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00863062 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0260409 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0594955 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0113803 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0168018 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.00788033 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0710773 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0807598 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.00537297 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.326025 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0483037 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.000953902 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0606593 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.101675 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00121138 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0132024 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0169773 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0246227 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0132024 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0164487 # DEPENDENCYPART_SIBL
(11,10),(11,20),0.140877 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.00504549 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0585105 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0614473 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.00504549 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0720703 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0149868 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0157542 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0174299 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.147983 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.140491 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0329743 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0668754 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.0028374 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0248846 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0071114 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0351542 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.0695157 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0256865 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.140495 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0329743 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0120881 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0557784 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.00654458 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0372516 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.459785 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0309248 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.00795444 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0343207 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0765478 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.00694982 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0765478 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0588359 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.147691 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0352721 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.147691 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.155113 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0547456 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.525757 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.489462 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0236298 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.104819 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.489466 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0208923 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.107628 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0181055 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0589972 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0108704 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.00466533 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0288338 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.160248 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0640492 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0135992 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0592129 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.075865 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0257878 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0757684 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0939905 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.00326118 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.044331 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0180985 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0145964 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.00507862 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0608782 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.0109457 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0274773 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0201027 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.00460133 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0320678 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0160054 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.00917088 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0552873 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.0298259 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0211441 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.00429157 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.00580151 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0304936 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.00429157 # DEPENDENCYPART_SIBL
(15,2),(15,16),0.0505602 # DEPENDENCYPART_SIBL
(15,2),(15,17),0.0333836 # DEPENDENCYPART_SIBL
(15,2),(15,18),0.237703 # DEPENDENCYPART_SIBL
(15,2),(15,19),0.15825 # DEPENDENCYPART_SIBL
(15,2),(15,20),0.0271132 # DEPENDENCYPART_SIBL
(15,2),(15,22),0.033422 # DEPENDENCYPART_SIBL
(15,2),(15,23),0.234056 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.000832639 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0196686 # DEPENDENCYPART_SIBL
(15,3),(15,8),-0.0167819 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.00843096 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.00894959 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.0167819 # DEPENDENCYPART_SIBL
(15,3),(15,16),0.088579 # DEPENDENCYPART_SIBL
(15,3),(15,17),0.0332386 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.0473531 # DEPENDENCYPART_SIBL
(15,3),(15,19),0.116222 # DEPENDENCYPART_SIBL
(15,3),(15,20),0.266023 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.0332386 # DEPENDENCYPART_SIBL
(15,3),(15,23),0.0473531 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0604288 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0366442 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0587674 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0874616 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0366442 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.302182 # DEPENDENCYPART_SIBL
(15,5),(15,17),0.0334892 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.0615455 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.180686 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0465204 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.0334902 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0615456 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.021302 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0202995 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.02865 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.021302 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.102896 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.239077 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.120492 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.12577 # DEPENDENCYPART_SIBL
(15,7),(15,20),0.0944383 # DEPENDENCYPART_SIBL
(15,7),(15,22),0.23907 # DEPENDENCYPART_SIBL
(15,7),(15,23),0.120492 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.00543269 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0304935 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.00371864 # DEPENDENCYPART_SIBL
(15,8),(15,16),0.0447355 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0249624 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.219161 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.152488 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.0231542 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0250008 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.215514 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.00327699 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0359872 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0840223 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0516398 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0881585 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.115294 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.0880133 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0516398 # DEPENDENCYPART_SIBL
(15,11),(15,23),0.0881585 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.037561 # DEPENDENCYPART_SIBL
