# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,20,4,7,5,7,10,7,10,11,12,15,25,15,18,16,18,25,20,23,21,25,0,27,25,29,27,
(19,18),(19,22),-0.00740844 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.00322797 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.00431908 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0141287 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0175784 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.00528776 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0184964 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0320659 # DEPENDENCYPART_SIBL
(20,1),(20,2),-0.0564083 # DEPENDENCYPART_SIBL
(20,1),(20,4),0.0104659 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.056394 # DEPENDENCYPART_SIBL
(20,1),(20,7),-0.0153661 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0177016 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.0113137 # DEPENDENCYPART_SIBL
(20,1),(20,11),-0.0576922 # DEPENDENCYPART_SIBL
(20,1),(20,12),-0.0159909 # DEPENDENCYPART_SIBL
(20,1),(20,13),-0.0177057 # DEPENDENCYPART_SIBL
(20,1),(20,14),0.116107 # DEPENDENCYPART_SIBL
(20,1),(20,15),0.00227653 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.02836 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.035752 # DEPENDENCYPART_SIBL
(20,1),(20,18),-0.0177016 # DEPENDENCYPART_SIBL
(20,1),(20,19),-0.0177017 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0427694 # DEPENDENCYPART_SIBL
(20,1),(20,22),0.00832034 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.0828625 # DEPENDENCYPART_SIBL
(20,1),(20,24),-0.00176363 # DEPENDENCYPART_SIBL
(20,1),(20,25),-0.0460333 # DEPENDENCYPART_SIBL
(20,1),(20,27),-0.0427694 # DEPENDENCYPART_SIBL
(20,2),(20,4),0.0358071 # DEPENDENCYPART_SIBL
(20,2),(20,5),-0.062869 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.0118395 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.011053 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.00781817 # DEPENDENCYPART_SIBL
(20,2),(20,11),-0.0634529 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.0068506 # DEPENDENCYPART_SIBL
(20,2),(20,13),-0.0110536 # DEPENDENCYPART_SIBL
(20,2),(20,14),0.0950438 # DEPENDENCYPART_SIBL
(20,2),(20,15),0.0263768 # DEPENDENCYPART_SIBL
(20,2),(20,16),0.020371 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.0270617 # DEPENDENCYPART_SIBL
(20,2),(20,18),-0.011053 # DEPENDENCYPART_SIBL
(20,2),(20,19),-0.011053 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0437338 # DEPENDENCYPART_SIBL
(20,2),(20,22),-0.0138703 # DEPENDENCYPART_SIBL
(20,2),(20,23),-0.0378368 # DEPENDENCYPART_SIBL
(20,2),(20,24),-0.00684171 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0459707 # DEPENDENCYPART_SIBL
(20,2),(20,27),-0.0437338 # DEPENDENCYPART_SIBL
(20,4),(20,5),-0.0379951 # DEPENDENCYPART_SIBL
(20,4),(20,7),0.0262665 # DEPENDENCYPART_SIBL
(20,4),(20,8),0.0247626 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.00998282 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0408266 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.032303 # DEPENDENCYPART_SIBL
(20,4),(20,13),0.0247624 # DEPENDENCYPART_SIBL
(20,4),(20,14),0.0530511 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.0209421 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.0149226 # DEPENDENCYPART_SIBL
(20,4),(20,17),-0.00717884 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.0247626 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.0247626 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0171861 # DEPENDENCYPART_SIBL
(20,4),(20,22),0.019968 # DEPENDENCYPART_SIBL
(20,4),(20,23),-0.00482125 # DEPENDENCYPART_SIBL
(20,4),(20,24),0.0240802 # DEPENDENCYPART_SIBL
(20,4),(20,25),-0.0232949 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.0171861 # DEPENDENCYPART_SIBL
(20,5),(20,7),-0.0190685 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.0182821 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.0172956 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0732845 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.0140797 # DEPENDENCYPART_SIBL
(20,5),(20,13),-0.0182826 # DEPENDENCYPART_SIBL
(20,5),(20,14),0.0865842 # DEPENDENCYPART_SIBL
(20,5),(20,15),0.00563657 # DEPENDENCYPART_SIBL
(20,5),(20,16),0.0111803 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0360396 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0182821 # DEPENDENCYPART_SIBL
(20,5),(20,19),-0.0182821 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.0510808 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0207224 # DEPENDENCYPART_SIBL
(20,5),(20,23),-0.0438609 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.0297075 # DEPENDENCYPART_SIBL
(20,5),(20,25),-0.0533176 # DEPENDENCYPART_SIBL
(20,5),(20,27),-0.0510808 # DEPENDENCYPART_SIBL
(20,7),(20,8),-0.0177795 # DEPENDENCYPART_SIBL
(20,7),(20,10),-0.0114408 # DEPENDENCYPART_SIBL
(20,7),(20,11),-0.0567354 # DEPENDENCYPART_SIBL
(20,7),(20,12),-0.0160688 # DEPENDENCYPART_SIBL
(20,7),(20,13),-0.0177835 # DEPENDENCYPART_SIBL
(20,7),(20,14),0.115351 # DEPENDENCYPART_SIBL
(20,7),(20,15),0.00288168 # DEPENDENCYPART_SIBL
(20,7),(20,16),0.0341435 # DEPENDENCYPART_SIBL
(20,7),(20,17),-0.0347951 # DEPENDENCYPART_SIBL
(20,7),(20,18),-0.0177795 # DEPENDENCYPART_SIBL
(20,7),(20,19),-0.0177796 # DEPENDENCYPART_SIBL
(20,7),(20,21),-0.0370342 # DEPENDENCYPART_SIBL
(20,7),(20,22),0.00895567 # DEPENDENCYPART_SIBL
(20,7),(20,23),0.0875935 # DEPENDENCYPART_SIBL
(20,7),(20,24),-0.00322452 # DEPENDENCYPART_SIBL
(20,7),(20,25),-0.0402981 # DEPENDENCYPART_SIBL
(20,7),(20,27),-0.0370342 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0113137 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0576922 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.0159909 # DEPENDENCYPART_SIBL
(20,8),(20,13),-0.0177057 # DEPENDENCYPART_SIBL
(20,8),(20,14),0.116107 # DEPENDENCYPART_SIBL
(20,8),(20,15),0.00227653 # DEPENDENCYPART_SIBL
(20,8),(20,16),0.02836 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.035752 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0177016 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.0177017 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0427694 # DEPENDENCYPART_SIBL
(20,8),(20,22),0.00832034 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0828625 # DEPENDENCYPART_SIBL
(20,8),(20,24),-0.00176363 # DEPENDENCYPART_SIBL
(20,8),(20,25),-0.0460333 # DEPENDENCYPART_SIBL
(20,8),(20,27),-0.0427694 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0421329 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.0122241 # DEPENDENCYPART_SIBL
(20,10),(20,13),-0.0146147 # DEPENDENCYPART_SIBL
(20,10),(20,14),0.0441819 # DEPENDENCYPART_SIBL
(20,10),(20,15),0.00105896 # DEPENDENCYPART_SIBL
(20,10),(20,16),0.0122156 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0289147 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.0146144 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0146144 # DEPENDENCYPART_SIBL
(20,10),(20,21),-0.044354 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.00103153 # DEPENDENCYPART_SIBL
(20,10),(20,23),-0.00672506 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.0060411 # DEPENDENCYPART_SIBL
(20,10),(20,25),-0.0461697 # DEPENDENCYPART_SIBL
(20,10),(20,27),-0.0445525 # DEPENDENCYPART_SIBL
(20,11),(20,12),-0.0251378 # DEPENDENCYPART_SIBL
(20,11),(20,13),-0.0293292 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0471213 # DEPENDENCYPART_SIBL
(20,11),(20,15),-0.0102694 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.00922299 # DEPENDENCYPART_SIBL
(20,11),(20,17),-0.0507773 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0293287 # DEPENDENCYPART_SIBL
(20,11),(20,19),-0.0293287 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.0708548 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.0232547 # DEPENDENCYPART_SIBL
(20,11),(20,23),-0.0391854 # DEPENDENCYPART_SIBL
(20,11),(20,24),-0.0286312 # DEPENDENCYPART_SIBL
(20,11),(20,25),-0.0730917 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.0708548 # DEPENDENCYPART_SIBL
(20,12),(20,13),-0.0279615 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.105323 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.00130762 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0474996 # DEPENDENCYPART_SIBL
(20,12),(20,17),-0.0352425 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.0279574 # DEPENDENCYPART_SIBL
(20,12),(20,19),-0.0279575 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0271731 # DEPENDENCYPART_SIBL
(20,12),(20,22),0.021236 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0978592 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.0137592 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.030437 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.0271731 # DEPENDENCYPART_SIBL
(20,13),(20,14),0.115264 # DEPENDENCYPART_SIBL
(20,13),(20,15),0.00226149 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.0283372 # DEPENDENCYPART_SIBL
(20,13),(20,17),-0.0357671 # DEPENDENCYPART_SIBL
(20,13),(20,18),-0.0177227 # DEPENDENCYPART_SIBL
(20,13),(20,19),-0.0177229 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0431706 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.00813324 # DEPENDENCYPART_SIBL
(20,13),(20,23),0.0815466 # DEPENDENCYPART_SIBL
(20,13),(20,24),-0.00393536 # DEPENDENCYPART_SIBL
(20,13),(20,25),-0.0464345 # DEPENDENCYPART_SIBL
(20,13),(20,27),-0.0431706 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.0519329 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0915573 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.015841 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.0124836 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0124836 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0221316 # DEPENDENCYPART_SIBL
(20,14),(20,22),0.0342993 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.00753146 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.156305 # DEPENDENCYPART_SIBL
(20,14),(20,25),0.0251943 # DEPENDENCYPART_SIBL
(20,14),(20,27),0.0221316 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.00975047 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.0114727 # DEPENDENCYPART_SIBL
(20,15),(20,18),-0.0140091 # DEPENDENCYPART_SIBL
(20,15),(20,19),-0.0140092 # DEPENDENCYPART_SIBL
(20,15),(20,21),-0.0129674 # DEPENDENCYPART_SIBL
(20,15),(20,22),0.0120556 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.00560381 # DEPENDENCYPART_SIBL
(20,15),(20,24),-0.00874432 # DEPENDENCYPART_SIBL
(20,15),(20,25),-0.0148035 # DEPENDENCYPART_SIBL
(20,15),(20,27),-0.0129674 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0565012 # DEPENDENCYPART_SIBL
(20,16),(20,18),-0.103389 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.103389 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.209719 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0235717 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0466148 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0189843 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.207184 # DEPENDENCYPART_SIBL
(20,16),(20,27),0.209626 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0118468 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0118468 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0397063 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.000955912 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0170178 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0815962 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.044309 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0397071 # DEPENDENCYPART_SIBL
(20,18),(20,19),-0.0177017 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.0427694 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.00832034 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0828625 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.00176363 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0460333 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0427694 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0427694 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.00832034 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0828625 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.00176363 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0460333 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0427694 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0654708 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0185579 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0795323 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.330008 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.326902 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0304928 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0195011 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.129645 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.129233 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.00343078 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.126702 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.124674 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0452054 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.0416462 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.331053 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.0113009 # DEPENDENCYPART_SIBL
(21,1),(21,4),-0.00527428 # DEPENDENCYPART_SIBL
(21,1),(21,5),-0.0322806 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.165936 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.0659035 # DEPENDENCYPART_SIBL
(21,1),(21,11),-0.0310571 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.18137 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.0235615 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.0858823 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.181366 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.181366 # DEPENDENCYPART_SIBL
(21,1),(21,20),-0.0351858 # DEPENDENCYPART_SIBL
(21,1),(21,22),0.0258082 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.00981372 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.00421021 # DEPENDENCYPART_SIBL
(21,1),(21,25),-0.01021 # DEPENDENCYPART_SIBL
(21,1),(21,27),-0.00847695 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.0274314 # DEPENDENCYPART_SIBL
(21,2),(21,5),-0.0577549 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.00740015 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.0200281 # DEPENDENCYPART_SIBL
(21,2),(21,11),-0.0452811 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.0164267 # DEPENDENCYPART_SIBL
(21,2),(21,16),-0.000320619 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.0589562 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.0164255 # DEPENDENCYPART_SIBL
(21,2),(21,19),-0.0164255 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0084995 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.0252889 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.0287319 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.0229162 # DEPENDENCYPART_SIBL
(21,2),(21,25),-0.0162939 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.0153987 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.0250265 # DEPENDENCYPART_SIBL
(21,4),(21,7),0.0346967 # DEPENDENCYPART_SIBL
(21,4),(21,10),-0.0187246 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.0187609 # DEPENDENCYPART_SIBL
(21,4),(21,13),0.0203247 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.0108667 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.0378119 # DEPENDENCYPART_SIBL
(21,4),(21,18),0.0203255 # DEPENDENCYPART_SIBL
(21,4),(21,19),0.0203255 # DEPENDENCYPART_SIBL
(21,4),(21,20),0.0113275 # DEPENDENCYPART_SIBL
(21,4),(21,22),0.000704631 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.00144616 # DEPENDENCYPART_SIBL
(21,4),(21,24),0.0536443 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.0192707 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.0166151 # DEPENDENCYPART_SIBL
(21,5),(21,7),0.000664699 # DEPENDENCYPART_SIBL
(21,5),(21,10),-0.0110271 # DEPENDENCYPART_SIBL
(21,5),(21,11),-0.0352609 # DEPENDENCYPART_SIBL
(21,5),(21,13),-0.00836188 # DEPENDENCYPART_SIBL
(21,5),(21,16),0.000891488 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.0497284 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.00836062 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.00836062 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.00400851 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.0130014 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.015248 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.0155802 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.00950835 # DEPENDENCYPART_SIBL
(21,5),(21,27),-0.00861315 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.0710379 # DEPENDENCYPART_SIBL
(21,7),(21,11),-0.0356497 # DEPENDENCYPART_SIBL
(21,7),(21,13),-0.186488 # DEPENDENCYPART_SIBL
(21,7),(21,16),-0.0257677 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.0904748 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.186483 # DEPENDENCYPART_SIBL
(21,7),(21,19),-0.186483 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.0404019 # DEPENDENCYPART_SIBL
(21,7),(21,22),0.0234296 # DEPENDENCYPART_SIBL
(21,7),(21,23),-7.44708e-05 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.0093832 # DEPENDENCYPART_SIBL
(21,7),(21,25),-0.0097519 # DEPENDENCYPART_SIBL
(21,7),(21,27),-0.00801881 # DEPENDENCYPART_SIBL
(21,10),(21,11),-0.00678049 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.0228522 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.0121541 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.0366079 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.0228513 # DEPENDENCYPART_SIBL
(21,10),(21,19),-0.0228513 # DEPENDENCYPART_SIBL
(21,10),(21,20),0.000890708 # DEPENDENCYPART_SIBL
(21,10),(21,22),-0.0371838 # DEPENDENCYPART_SIBL
(21,10),(21,23),-0.0158763 # DEPENDENCYPART_SIBL
(21,10),(21,24),-0.00278957 # DEPENDENCYPART_SIBL
(21,10),(21,25),-0.0411975 # DEPENDENCYPART_SIBL
(21,10),(21,27),-0.0411021 # DEPENDENCYPART_SIBL
(21,11),(21,13),0.00210997 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.00199153 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.0457453 # DEPENDENCYPART_SIBL
(21,11),(21,18),0.00211124 # DEPENDENCYPART_SIBL
(21,11),(21,19),0.00211124 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.00160675 # DEPENDENCYPART_SIBL
(21,11),(21,22),0.00308881 # DEPENDENCYPART_SIBL
(21,11),(21,23),0.012348 # DEPENDENCYPART_SIBL
(21,11),(21,24),0.00543321 # DEPENDENCYPART_SIBL
(21,11),(21,25),-0.0234173 # DEPENDENCYPART_SIBL
(21,11),(21,27),-0.0225221 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.0235654 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.0858824 # DEPENDENCYPART_SIBL
(21,13),(21,18),-0.181369 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.181369 # DEPENDENCYPART_SIBL
(21,13),(21,20),-0.0351859 # DEPENDENCYPART_SIBL
(21,13),(21,22),0.0257932 # DEPENDENCYPART_SIBL
(21,13),(21,23),-0.0107737 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.00620982 # DEPENDENCYPART_SIBL
(21,13),(21,25),-0.0104391 # DEPENDENCYPART_SIBL
(21,13),(21,27),-0.00870605 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.0629491 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.0734873 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.0734873 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.0286862 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0164693 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.013417 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.0185518 # DEPENDENCYPART_SIBL
(21,16),(21,25),0.0551166 # DEPENDENCYPART_SIBL
(21,16),(21,27),0.0558321 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.0196772 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.0196772 # DEPENDENCYPART_SIBL
(21,17),(21,20),0.038584 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.019005 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.0104782 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.0917344 # DEPENDENCYPART_SIBL
(21,17),(21,25),-0.0258016 # DEPENDENCYPART_SIBL
(21,17),(21,27),-0.0229631 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.181366 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.0351858 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0258082 # DEPENDENCYPART_SIBL
(21,18),(21,23),-0.00981372 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.00421021 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.01021 # DEPENDENCYPART_SIBL
(21,18),(21,27),-0.00847695 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0351858 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0258082 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.00981372 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.00421021 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.01021 # DEPENDENCYPART_SIBL
(21,19),(21,27),-0.00847695 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.00195123 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.0158352 # DEPENDENCYPART_SIBL
(21,20),(21,24),0.00842534 # DEPENDENCYPART_SIBL
(21,20),(21,25),-0.010834 # DEPENDENCYPART_SIBL
(21,20),(21,27),-0.010332 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.0343132 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.00977009 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.00705906 # DEPENDENCYPART_SIBL
(21,22),(21,27),0.0058784 # DEPENDENCYPART_SIBL
(21,23),(21,24),-0.0102378 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.0360173 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.0348163 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.00918205 # DEPENDENCYPART_SIBL
(21,24),(21,27),-0.00643239 # DEPENDENCYPART_SIBL
(21,25),(21,27),-0.19704 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.0101933 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0755563 # DEPENDENCYPART_SIBL
(22,19),(22,24),0.0502624 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.00445661 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0334768 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.0213866 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.121334 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.0469429 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.010801 # DEPENDENCYPART_SIBL
(22,24),(22,25),0.0206444 # DEPENDENCYPART_SIBL
(23,17),(23,18),0.100478 # DEPENDENCYPART_SIBL
(23,17),(23,19),0.100478 # DEPENDENCYPART_SIBL
(23,17),(23,21),0.0942918 # DEPENDENCYPART_SIBL
(23,17),(23,22),0.0789346 # DEPENDENCYPART_SIBL
(23,17),(23,24),-0.0811167 # DEPENDENCYPART_SIBL
(23,17),(23,25),0.0431387 # DEPENDENCYPART_SIBL
(23,17),(23,26),-0.0556254 # DEPENDENCYPART_SIBL
