# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,26,30,28,30,0,
(19,18),(19,28),0.0145866 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.0113465 # DEPENDENCYPART_SIBL
(19,18),(19,30),-0.00790507 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0096515 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0320963 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0294452 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.00444069 # DEPENDENCYPART_SIBL
(19,20),(19,26),0.0134078 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0514837 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.0134078 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.0134078 # DEPENDENCYPART_SIBL
(19,20),(19,30),-0.05838 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0292042 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0916592 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0130056 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.116415 # DEPENDENCYPART_SIBL
(19,21),(19,27),0.0594907 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.116414 # DEPENDENCYPART_SIBL
(19,21),(19,29),-0.116414 # DEPENDENCYPART_SIBL
(19,21),(19,30),-0.171185 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.00857082 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.0166589 # DEPENDENCYPART_SIBL
(19,22),(19,26),0.0608572 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.0643403 # DEPENDENCYPART_SIBL
(19,22),(19,28),0.0606975 # DEPENDENCYPART_SIBL
(19,22),(19,29),0.0608782 # DEPENDENCYPART_SIBL
(19,22),(19,30),-0.000719687 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.00934653 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.00250288 # DEPENDENCYPART_SIBL
(19,23),(19,27),0.0127017 # DEPENDENCYPART_SIBL
(19,23),(19,28),-0.00254469 # DEPENDENCYPART_SIBL
(19,23),(19,29),-0.00250288 # DEPENDENCYPART_SIBL
(19,23),(19,30),-0.0809667 # DEPENDENCYPART_SIBL
(19,25),(19,26),0.0184963 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0552041 # DEPENDENCYPART_SIBL
(19,25),(19,28),0.0184964 # DEPENDENCYPART_SIBL
(19,25),(19,29),0.0184964 # DEPENDENCYPART_SIBL
(19,25),(19,30),-0.0726282 # DEPENDENCYPART_SIBL
(19,26),(19,27),0.0538664 # DEPENDENCYPART_SIBL
(19,26),(19,28),-0.1223 # DEPENDENCYPART_SIBL
(19,26),(19,29),-0.1223 # DEPENDENCYPART_SIBL
(19,26),(19,30),-0.173922 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.0362016 # DEPENDENCYPART_SIBL
(19,27),(19,29),0.036402 # DEPENDENCYPART_SIBL
(19,27),(19,30),0.016401 # DEPENDENCYPART_SIBL
(19,28),(19,29),-0.122205 # DEPENDENCYPART_SIBL
(19,28),(19,30),-0.174302 # DEPENDENCYPART_SIBL
(19,29),(19,30),-0.173872 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.0740268 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.351788 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.0590216 # DEPENDENCYPART_SIBL
(21,17),(21,23),0.0090873 # DEPENDENCYPART_SIBL
(21,17),(21,25),0.0121126 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0831405 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0117487 # DEPENDENCYPART_SIBL
(21,19),(21,23),0.0218114 # DEPENDENCYPART_SIBL
(21,19),(21,25),9.21432e-05 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0604894 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0075893 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.0377519 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.00857082 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.0166589 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.00934653 # DEPENDENCYPART_SIBL
(22,2),(22,3),0.0766945 # DEPENDENCYPART_SIBL
(22,2),(22,12),-0.0357231 # DEPENDENCYPART_SIBL
(22,2),(22,16),-0.0501014 # DEPENDENCYPART_SIBL
(22,2),(22,18),-0.0395978 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.0352982 # DEPENDENCYPART_SIBL
(22,2),(22,21),-0.0354427 # DEPENDENCYPART_SIBL
(22,2),(22,23),0.0660173 # DEPENDENCYPART_SIBL
(22,2),(22,25),0.016895 # DEPENDENCYPART_SIBL
(22,2),(22,26),0.201994 # DEPENDENCYPART_SIBL
(22,2),(22,27),0.0491779 # DEPENDENCYPART_SIBL
(22,2),(22,28),0.204119 # DEPENDENCYPART_SIBL
(22,2),(22,29),0.202008 # DEPENDENCYPART_SIBL
(22,2),(22,31),0.202008 # DEPENDENCYPART_SIBL
(22,3),(22,12),0.0659591 # DEPENDENCYPART_SIBL
(22,3),(22,16),-0.0289539 # DEPENDENCYPART_SIBL
(22,3),(22,18),0.00328716 # DEPENDENCYPART_SIBL
(22,3),(22,19),0.0661291 # DEPENDENCYPART_SIBL
(22,3),(22,21),0.0661123 # DEPENDENCYPART_SIBL
(22,3),(22,23),0.0342393 # DEPENDENCYPART_SIBL
(22,3),(22,25),0.0266466 # DEPENDENCYPART_SIBL
(22,3),(22,26),0.0485379 # DEPENDENCYPART_SIBL
(22,3),(22,27),0.0522202 # DEPENDENCYPART_SIBL
(22,3),(22,28),0.0461907 # DEPENDENCYPART_SIBL
(22,3),(22,29),0.0432335 # DEPENDENCYPART_SIBL
(22,3),(22,31),0.0432335 # DEPENDENCYPART_SIBL
(22,12),(22,16),-0.0327241 # DEPENDENCYPART_SIBL
(22,12),(22,18),-0.0221479 # DEPENDENCYPART_SIBL
(22,12),(22,19),-0.00804626 # DEPENDENCYPART_SIBL
(22,12),(22,21),-0.0081907 # DEPENDENCYPART_SIBL
(22,12),(22,23),0.0713535 # DEPENDENCYPART_SIBL
(22,12),(22,25),0.0244633 # DEPENDENCYPART_SIBL
(22,12),(22,26),0.218604 # DEPENDENCYPART_SIBL
(22,12),(22,27),0.0560207 # DEPENDENCYPART_SIBL
(22,12),(22,28),0.22073 # DEPENDENCYPART_SIBL
(22,12),(22,29),0.218618 # DEPENDENCYPART_SIBL
(22,12),(22,31),0.218618 # DEPENDENCYPART_SIBL
(22,16),(22,18),-0.0520356 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.037561 # DEPENDENCYPART_SIBL
(22,16),(22,21),-0.037566 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.308558 # DEPENDENCYPART_SIBL
(22,16),(22,25),0.0410898 # DEPENDENCYPART_SIBL
(22,16),(22,26),0.0318277 # DEPENDENCYPART_SIBL
(22,16),(22,27),0.101945 # DEPENDENCYPART_SIBL
(22,16),(22,28),0.0409382 # DEPENDENCYPART_SIBL
(22,16),(22,29),0.0377569 # DEPENDENCYPART_SIBL
(22,16),(22,31),0.0377569 # DEPENDENCYPART_SIBL
(22,18),(22,19),0.021302 # DEPENDENCYPART_SIBL
(22,18),(22,21),0.0212929 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0986432 # DEPENDENCYPART_SIBL
(22,18),(22,25),0.0894987 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.120612 # DEPENDENCYPART_SIBL
(22,18),(22,27),0.0958915 # DEPENDENCYPART_SIBL
(22,18),(22,28),0.123963 # DEPENDENCYPART_SIBL
(22,18),(22,29),0.120723 # DEPENDENCYPART_SIBL
(22,18),(22,31),0.120723 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.00386307 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0718491 # DEPENDENCYPART_SIBL
(22,19),(22,25),0.0250001 # DEPENDENCYPART_SIBL
(22,19),(22,26),0.216397 # DEPENDENCYPART_SIBL
(22,19),(22,27),0.0565166 # DEPENDENCYPART_SIBL
(22,19),(22,28),0.218522 # DEPENDENCYPART_SIBL
(22,19),(22,29),0.216411 # DEPENDENCYPART_SIBL
(22,19),(22,31),0.216411 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0715882 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0245373 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.214107 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.0561053 # DEPENDENCYPART_SIBL
(22,21),(22,28),0.216233 # DEPENDENCYPART_SIBL
(22,21),(22,29),0.214121 # DEPENDENCYPART_SIBL
(22,21),(22,31),0.214121 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.010349 # DEPENDENCYPART_SIBL
(22,23),(22,26),0.000696708 # DEPENDENCYPART_SIBL
(22,23),(22,27),0.000904787 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.000654938 # DEPENDENCYPART_SIBL
(22,23),(22,29),0.000696771 # DEPENDENCYPART_SIBL
(22,23),(22,31),0.000696771 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.00646956 # DEPENDENCYPART_SIBL
(22,25),(22,27),0.0153358 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.00646933 # DEPENDENCYPART_SIBL
(22,25),(22,29),-0.00646932 # DEPENDENCYPART_SIBL
(22,25),(22,31),-0.00646932 # DEPENDENCYPART_SIBL
(22,26),(22,27),0.07676 # DEPENDENCYPART_SIBL
(22,26),(22,28),-0.0438344 # DEPENDENCYPART_SIBL
(22,26),(22,29),-0.0438344 # DEPENDENCYPART_SIBL
(22,26),(22,31),-0.0438344 # DEPENDENCYPART_SIBL
(22,27),(22,28),0.00688929 # DEPENDENCYPART_SIBL
(22,27),(22,29),0.00708971 # DEPENDENCYPART_SIBL
(22,27),(22,31),0.00708971 # DEPENDENCYPART_SIBL
(22,28),(22,29),-0.0437396 # DEPENDENCYPART_SIBL
(22,28),(22,31),-0.0437396 # DEPENDENCYPART_SIBL
(22,29),(22,31),-0.0437396 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.00949969 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.0689649 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.0673867 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.101247 # DEPENDENCYPART_SIBL
(23,24),(23,26),-0.217381 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.115421 # DEPENDENCYPART_SIBL
(24,22),(24,25),0.00280768 # DEPENDENCYPART_SIBL
(25,2),(25,4),-0.0103943 # DEPENDENCYPART_SIBL
(25,2),(25,5),-0.0316897 # DEPENDENCYPART_SIBL
(25,2),(25,7),-0.0489119 # DEPENDENCYPART_SIBL
(25,2),(25,9),-0.184175 # DEPENDENCYPART_SIBL
(25,2),(25,10),-0.0410054 # DEPENDENCYPART_SIBL
(25,2),(25,12),-0.184321 # DEPENDENCYPART_SIBL
(25,2),(25,13),-0.109322 # DEPENDENCYPART_SIBL
(25,2),(25,14),-0.0228732 # DEPENDENCYPART_SIBL
(25,2),(25,15),-0.0657993 # DEPENDENCYPART_SIBL
(25,2),(25,16),-0.0247313 # DEPENDENCYPART_SIBL
(25,2),(25,18),-0.0581763 # DEPENDENCYPART_SIBL
(25,2),(25,19),-0.184175 # DEPENDENCYPART_SIBL
(25,2),(25,20),-0.0882598 # DEPENDENCYPART_SIBL
(25,2),(25,21),-0.184315 # DEPENDENCYPART_SIBL
(25,2),(25,22),-0.0489119 # DEPENDENCYPART_SIBL
(25,2),(25,23),-0.0246755 # DEPENDENCYPART_SIBL
(25,2),(25,24),-0.144986 # DEPENDENCYPART_SIBL
(25,2),(25,26),-0.00311452 # DEPENDENCYPART_SIBL
(25,2),(25,27),-0.00485943 # DEPENDENCYPART_SIBL
(25,2),(25,28),-0.00376601 # DEPENDENCYPART_SIBL
(25,2),(25,29),-0.0106222 # DEPENDENCYPART_SIBL
(25,2),(25,30),-0.00657717 # DEPENDENCYPART_SIBL
(25,2),(25,31),-0.0106222 # DEPENDENCYPART_SIBL
(25,2),(25,32),-0.0241587 # DEPENDENCYPART_SIBL
(25,4),(25,5),-0.0108737 # DEPENDENCYPART_SIBL
(25,4),(25,7),0.0324256 # DEPENDENCYPART_SIBL
(25,4),(25,9),0.0192225 # DEPENDENCYPART_SIBL
(25,4),(25,10),0.0166303 # DEPENDENCYPART_SIBL
(25,4),(25,12),0.0187598 # DEPENDENCYPART_SIBL
(25,4),(25,13),-0.0236045 # DEPENDENCYPART_SIBL
(25,4),(25,14),-0.0101297 # DEPENDENCYPART_SIBL
(25,4),(25,15),-0.00227726 # DEPENDENCYPART_SIBL
(25,4),(25,16),-0.00987037 # DEPENDENCYPART_SIBL
(25,4),(25,18),-0.0169259 # DEPENDENCYPART_SIBL
(25,4),(25,19),0.0192225 # DEPENDENCYPART_SIBL
(25,4),(25,20),-0.0266714 # DEPENDENCYPART_SIBL
(25,4),(25,21),0.0192225 # DEPENDENCYPART_SIBL
(25,4),(25,22),0.0324256 # DEPENDENCYPART_SIBL
(25,4),(25,23),0.00118787 # DEPENDENCYPART_SIBL
(25,4),(25,24),-0.0596539 # DEPENDENCYPART_SIBL
(25,4),(25,26),0.00078303 # DEPENDENCYPART_SIBL
(25,4),(25,27),-0.0188046 # DEPENDENCYPART_SIBL
(25,4),(25,28),-0.00157783 # DEPENDENCYPART_SIBL
(25,4),(25,29),-0.00789358 # DEPENDENCYPART_SIBL
(25,4),(25,30),-0.00254346 # DEPENDENCYPART_SIBL
(25,4),(25,31),-0.00789358 # DEPENDENCYPART_SIBL
(25,4),(25,32),-0.0337889 # DEPENDENCYPART_SIBL
(25,5),(25,7),0.0705094 # DEPENDENCYPART_SIBL
(25,5),(25,9),0.00440777 # DEPENDENCYPART_SIBL
(25,5),(25,10),0.00469632 # DEPENDENCYPART_SIBL
(25,5),(25,12),0.00434742 # DEPENDENCYPART_SIBL
(25,5),(25,13),0.000675378 # DEPENDENCYPART_SIBL
(25,5),(25,14),0.00929662 # DEPENDENCYPART_SIBL
(25,5),(25,15),-0.0135112 # DEPENDENCYPART_SIBL
(25,5),(25,16),-0.0453005 # DEPENDENCYPART_SIBL
(25,5),(25,18),0.010298 # DEPENDENCYPART_SIBL
(25,5),(25,19),0.00440777 # DEPENDENCYPART_SIBL
(25,5),(25,20),-0.0440499 # DEPENDENCYPART_SIBL
(25,5),(25,21),0.00440777 # DEPENDENCYPART_SIBL
(25,5),(25,22),0.0705094 # DEPENDENCYPART_SIBL
(25,5),(25,23),-0.0219211 # DEPENDENCYPART_SIBL
(25,5),(25,24),-0.129 # DEPENDENCYPART_SIBL
(25,5),(25,26),0.00145864 # DEPENDENCYPART_SIBL
(25,5),(25,27),-0.0341933 # DEPENDENCYPART_SIBL
(25,5),(25,28),0.0156074 # DEPENDENCYPART_SIBL
(25,5),(25,29),0.000395813 # DEPENDENCYPART_SIBL
(25,5),(25,30),-0.000666552 # DEPENDENCYPART_SIBL
(25,5),(25,31),0.000395813 # DEPENDENCYPART_SIBL
(25,5),(25,32),-0.0282089 # DEPENDENCYPART_SIBL
(25,7),(25,9),0.00336588 # DEPENDENCYPART_SIBL
(25,7),(25,10),0.0192829 # DEPENDENCYPART_SIBL
(25,7),(25,12),0.00330554 # DEPENDENCYPART_SIBL
(25,7),(25,13),-0.0604206 # DEPENDENCYPART_SIBL
(25,7),(25,14),-0.0034558 # DEPENDENCYPART_SIBL
(25,7),(25,15),-0.00734792 # DEPENDENCYPART_SIBL
(25,7),(25,16),0.00831979 # DEPENDENCYPART_SIBL
(25,7),(25,18),0.00502159 # DEPENDENCYPART_SIBL
(25,7),(25,19),0.00336588 # DEPENDENCYPART_SIBL
(25,7),(25,20),-0.028539 # DEPENDENCYPART_SIBL
(25,7),(25,21),0.00334214 # DEPENDENCYPART_SIBL
(25,7),(25,22),-0.0106972 # DEPENDENCYPART_SIBL
(25,7),(25,23),0.0316517 # DEPENDENCYPART_SIBL
(25,7),(25,24),0.0385732 # DEPENDENCYPART_SIBL
(25,7),(25,26),0.03014 # DEPENDENCYPART_SIBL
(25,7),(25,27),-0.0358702 # DEPENDENCYPART_SIBL
(25,7),(25,28),0.0203052 # DEPENDENCYPART_SIBL
(25,7),(25,29),0.00128132 # DEPENDENCYPART_SIBL
(25,7),(25,30),-0.0112809 # DEPENDENCYPART_SIBL
(25,7),(25,31),0.00128132 # DEPENDENCYPART_SIBL
(25,7),(25,32),-0.0736344 # DEPENDENCYPART_SIBL
(25,9),(25,10),-0.042392 # DEPENDENCYPART_SIBL
(25,9),(25,12),-0.181511 # DEPENDENCYPART_SIBL
(25,9),(25,13),-0.104837 # DEPENDENCYPART_SIBL
(25,9),(25,14),-0.0236142 # DEPENDENCYPART_SIBL
(25,9),(25,15),-0.067186 # DEPENDENCYPART_SIBL
(25,9),(25,16),-0.0257382 # DEPENDENCYPART_SIBL
(25,9),(25,18),-0.0590467 # DEPENDENCYPART_SIBL
(25,9),(25,19),-0.181366 # DEPENDENCYPART_SIBL
(25,9),(25,20),-0.088303 # DEPENDENCYPART_SIBL
(25,9),(25,21),-0.181505 # DEPENDENCYPART_SIBL
(25,9),(25,22),-0.0401423 # DEPENDENCYPART_SIBL
(25,9),(25,23),-0.0258719 # DEPENDENCYPART_SIBL
(25,9),(25,24),-0.146024 # DEPENDENCYPART_SIBL
(25,9),(25,26),-0.00226363 # DEPENDENCYPART_SIBL
(25,9),(25,27),-0.00709961 # DEPENDENCYPART_SIBL
(25,9),(25,28),-0.00291512 # DEPENDENCYPART_SIBL
(25,9),(25,29),-0.00977133 # DEPENDENCYPART_SIBL
(25,9),(25,30),-0.0091075 # DEPENDENCYPART_SIBL
(25,9),(25,31),-0.00977133 # DEPENDENCYPART_SIBL
(25,9),(25,32),-0.0231384 # DEPENDENCYPART_SIBL
(25,10),(25,12),-0.0573988 # DEPENDENCYPART_SIBL
(25,10),(25,13),-0.0580453 # DEPENDENCYPART_SIBL
(25,10),(25,14),-0.0324641 # DEPENDENCYPART_SIBL
(25,10),(25,15),0.000286737 # DEPENDENCYPART_SIBL
(25,10),(25,16),-0.0629256 # DEPENDENCYPART_SIBL
(25,10),(25,18),-0.0618289 # DEPENDENCYPART_SIBL
(25,10),(25,19),-0.0573385 # DEPENDENCYPART_SIBL
(25,10),(25,20),0.0122147 # DEPENDENCYPART_SIBL
(25,10),(25,21),-0.057341 # DEPENDENCYPART_SIBL
(25,10),(25,22),-0.00657752 # DEPENDENCYPART_SIBL
(25,10),(25,23),-0.0332985 # DEPENDENCYPART_SIBL
(25,10),(25,24),-0.0786566 # DEPENDENCYPART_SIBL
(25,10),(25,26),0.0165591 # DEPENDENCYPART_SIBL
(25,10),(25,27),-0.00186456 # DEPENDENCYPART_SIBL
(25,10),(25,28),0.00992422 # DEPENDENCYPART_SIBL
(25,10),(25,29),0.00293728 # DEPENDENCYPART_SIBL
(25,10),(25,30),-0.0420316 # DEPENDENCYPART_SIBL
(25,10),(25,31),0.00293728 # DEPENDENCYPART_SIBL
(25,10),(25,32),-0.0381033 # DEPENDENCYPART_SIBL
(25,12),(25,13),-0.105075 # DEPENDENCYPART_SIBL
(25,12),(25,14),-0.0237922 # DEPENDENCYPART_SIBL
(25,12),(25,15),-0.067186 # DEPENDENCYPART_SIBL
(25,12),(25,16),-0.0257382 # DEPENDENCYPART_SIBL
(25,12),(25,18),-0.0590467 # DEPENDENCYPART_SIBL
(25,12),(25,19),-0.182065 # DEPENDENCYPART_SIBL
(25,12),(25,20),-0.088303 # DEPENDENCYPART_SIBL
(25,12),(25,21),-0.182204 # DEPENDENCYPART_SIBL
(25,12),(25,22),-0.040619 # DEPENDENCYPART_SIBL
(25,12),(25,23),-0.0258719 # DEPENDENCYPART_SIBL
(25,12),(25,24),-0.146024 # DEPENDENCYPART_SIBL
(25,12),(25,26),0.000169556 # DEPENDENCYPART_SIBL
(25,12),(25,27),-0.00749975 # DEPENDENCYPART_SIBL
(25,12),(25,28),-0.000481933 # DEPENDENCYPART_SIBL
(25,12),(25,29),-0.00733814 # DEPENDENCYPART_SIBL
(25,12),(25,30),-0.00976832 # DEPENDENCYPART_SIBL
(25,12),(25,31),-0.00733814 # DEPENDENCYPART_SIBL
(25,12),(25,32),-0.0235504 # DEPENDENCYPART_SIBL
(25,13),(25,14),-0.00701194 # DEPENDENCYPART_SIBL
(25,13),(25,15),-0.00852818 # DEPENDENCYPART_SIBL
(25,13),(25,16),-0.012954 # DEPENDENCYPART_SIBL
(25,13),(25,18),-0.00906561 # DEPENDENCYPART_SIBL
(25,13),(25,19),-0.0140016 # DEPENDENCYPART_SIBL
(25,13),(25,20),-0.0420074 # DEPENDENCYPART_SIBL
(25,13),(25,21),-0.0140135 # DEPENDENCYPART_SIBL
(25,13),(25,22),-0.0602708 # DEPENDENCYPART_SIBL
(25,13),(25,23),0.00336813 # DEPENDENCYPART_SIBL
(25,13),(25,24),-0.0284918 # DEPENDENCYPART_SIBL
(25,13),(25,26),-0.0749895 # DEPENDENCYPART_SIBL
(25,13),(25,27),-0.0767246 # DEPENDENCYPART_SIBL
(25,13),(25,28),-0.0801271 # DEPENDENCYPART_SIBL
(25,13),(25,29),-0.0930899 # DEPENDENCYPART_SIBL
(25,13),(25,30),-0.0331788 # DEPENDENCYPART_SIBL
(25,13),(25,31),-0.0930899 # DEPENDENCYPART_SIBL
(25,13),(25,32),0.0203434 # DEPENDENCYPART_SIBL
(25,14),(25,15),-0.0451624 # DEPENDENCYPART_SIBL
(25,14),(25,16),-0.0230174 # DEPENDENCYPART_SIBL
(25,14),(25,18),-0.0623197 # DEPENDENCYPART_SIBL
(25,14),(25,19),-0.0737217 # DEPENDENCYPART_SIBL
(25,14),(25,20),-0.0648888 # DEPENDENCYPART_SIBL
(25,14),(25,21),-0.0737217 # DEPENDENCYPART_SIBL
(25,14),(25,22),-0.00803475 # DEPENDENCYPART_SIBL
(25,14),(25,23),-0.00734931 # DEPENDENCYPART_SIBL
(25,14),(25,24),-0.128031 # DEPENDENCYPART_SIBL
(25,14),(25,26),-0.00689318 # DEPENDENCYPART_SIBL
(25,14),(25,27),-0.0177382 # DEPENDENCYPART_SIBL
(25,14),(25,28),-0.00784827 # DEPENDENCYPART_SIBL
(25,14),(25,29),-0.014025 # DEPENDENCYPART_SIBL
(25,14),(25,30),-0.0303524 # DEPENDENCYPART_SIBL
(25,14),(25,31),-0.014025 # DEPENDENCYPART_SIBL
(25,14),(25,32),-0.0461729 # DEPENDENCYPART_SIBL
(25,15),(25,16),-0.00717175 # DEPENDENCYPART_SIBL
(25,15),(25,18),-0.00324322 # DEPENDENCYPART_SIBL
(25,15),(25,19),-0.0272739 # DEPENDENCYPART_SIBL
(25,15),(25,20),-0.040726 # DEPENDENCYPART_SIBL
(25,15),(25,21),-0.0272739 # DEPENDENCYPART_SIBL
(25,15),(25,22),0.000739979 # DEPENDENCYPART_SIBL
(25,15),(25,23),0.00483071 # DEPENDENCYPART_SIBL
(25,15),(25,24),-0.0582642 # DEPENDENCYPART_SIBL
(25,15),(25,26),0.0215571 # DEPENDENCYPART_SIBL
(25,15),(25,27),-0.0211738 # DEPENDENCYPART_SIBL
(25,15),(25,28),0.021202 # DEPENDENCYPART_SIBL
(25,15),(25,29),0.014215 # DEPENDENCYPART_SIBL
(25,15),(25,30),0.000980038 # DEPENDENCYPART_SIBL
(25,15),(25,31),0.014215 # DEPENDENCYPART_SIBL
(25,15),(25,32),-0.0556352 # DEPENDENCYPART_SIBL
(25,16),(25,18),-0.00445474 # DEPENDENCYPART_SIBL
(25,16),(25,19),-0.0117582 # DEPENDENCYPART_SIBL
(25,16),(25,20),-0.0496465 # DEPENDENCYPART_SIBL
(25,16),(25,21),-0.0117582 # DEPENDENCYPART_SIBL
(25,16),(25,22),0.0126085 # DEPENDENCYPART_SIBL
(25,16),(25,23),-0.019875 # DEPENDENCYPART_SIBL
(25,16),(25,24),-0.135666 # DEPENDENCYPART_SIBL
(25,16),(25,26),-0.0420151 # DEPENDENCYPART_SIBL
(25,16),(25,27),-0.0411197 # DEPENDENCYPART_SIBL
(25,16),(25,28),-0.0243751 # DEPENDENCYPART_SIBL
(25,16),(25,29),-0.0377249 # DEPENDENCYPART_SIBL
(25,16),(25,30),-0.000937683 # DEPENDENCYPART_SIBL
(25,16),(25,31),-0.0377249 # DEPENDENCYPART_SIBL
(25,16),(25,32),-0.0434171 # DEPENDENCYPART_SIBL
(25,18),(25,19),-0.0555157 # DEPENDENCYPART_SIBL
(25,18),(25,20),-0.0375026 # DEPENDENCYPART_SIBL
(25,18),(25,21),-0.0555171 # DEPENDENCYPART_SIBL
(25,18),(25,22),-0.00230779 # DEPENDENCYPART_SIBL
(25,18),(25,23),-0.0181148 # DEPENDENCYPART_SIBL
(25,18),(25,24),-0.0666417 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.0090945 # DEPENDENCYPART_SIBL
(25,18),(25,27),-0.0362155 # DEPENDENCYPART_SIBL
(25,18),(25,28),0.0152546 # DEPENDENCYPART_SIBL
(25,18),(25,29),0.00177314 # DEPENDENCYPART_SIBL
(25,18),(25,30),-0.00855276 # DEPENDENCYPART_SIBL
(25,18),(25,31),0.00177314 # DEPENDENCYPART_SIBL
(25,18),(25,32),-0.0485033 # DEPENDENCYPART_SIBL
(25,19),(25,20),-0.088303 # DEPENDENCYPART_SIBL
(25,19),(25,21),-0.181505 # DEPENDENCYPART_SIBL
(25,19),(25,22),-0.0401423 # DEPENDENCYPART_SIBL
(25,19),(25,23),-0.0258719 # DEPENDENCYPART_SIBL
(25,19),(25,24),-0.146024 # DEPENDENCYPART_SIBL
(25,19),(25,26),-0.00226363 # DEPENDENCYPART_SIBL
(25,19),(25,27),-0.00709961 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.00291512 # DEPENDENCYPART_SIBL
(25,19),(25,29),-0.00977133 # DEPENDENCYPART_SIBL
(25,19),(25,30),-0.0091075 # DEPENDENCYPART_SIBL
(25,19),(25,31),-0.00977133 # DEPENDENCYPART_SIBL
(25,19),(25,32),-0.0231384 # DEPENDENCYPART_SIBL
(25,20),(25,21),0.00146335 # DEPENDENCYPART_SIBL
(25,20),(25,22),0.0185703 # DEPENDENCYPART_SIBL
(25,20),(25,23),0.0193058 # DEPENDENCYPART_SIBL
(25,20),(25,24),-0.0329392 # DEPENDENCYPART_SIBL
(25,20),(25,26),-0.0130428 # DEPENDENCYPART_SIBL
(25,20),(25,27),-0.042186 # DEPENDENCYPART_SIBL
(25,20),(25,28),-0.0143852 # DEPENDENCYPART_SIBL
(25,20),(25,29),-0.0203717 # DEPENDENCYPART_SIBL
(25,20),(25,30),-0.0500416 # DEPENDENCYPART_SIBL
(25,20),(25,31),-0.0203717 # DEPENDENCYPART_SIBL
(25,20),(25,32),-0.102133 # DEPENDENCYPART_SIBL
(25,21),(25,22),-0.0454812 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.0259073 # DEPENDENCYPART_SIBL
(25,21),(25,24),-0.146024 # DEPENDENCYPART_SIBL
(25,21),(25,26),-0.00434103 # DEPENDENCYPART_SIBL
