# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,30,26,0,33,31,33,33,34,0,
(15,22),-0.819576 # DEPENDENCYPART_ARC
(15,23),-0.573095 # DEPENDENCYPART_ARC
(15,24),-0.739134 # DEPENDENCYPART_ARC
(15,25),-0.994457 # DEPENDENCYPART_ARC
(15,26),-0.136774 # DEPENDENCYPART_ARC
(15,27),-0.792455 # DEPENDENCYPART_ARC
(15,28),-1.19989 # DEPENDENCYPART_ARC
(15,29),-1.69374 # DEPENDENCYPART_ARC
(15,30),-0.482051 # DEPENDENCYPART_ARC
(15,31),-1.84933 # DEPENDENCYPART_ARC
(15,32),-1.23743 # DEPENDENCYPART_ARC
(15,33),-1.23072 # DEPENDENCYPART_ARC
(15,34),-1.86263 # DEPENDENCYPART_ARC
(16,1),-1.05265 # DEPENDENCYPART_ARC
(16,2),-0.449692 # DEPENDENCYPART_ARC
(16,3),-0.727312 # DEPENDENCYPART_ARC
(16,4),-0.792094 # DEPENDENCYPART_ARC
(16,5),-0.972022 # DEPENDENCYPART_ARC
(16,6),-0.00947019 # DEPENDENCYPART_ARC
(16,7),-1.02829 # DEPENDENCYPART_ARC
(16,8),-0.523816 # DEPENDENCYPART_ARC
(16,9),-0.338903 # DEPENDENCYPART_ARC
(16,10),0.273839 # DEPENDENCYPART_ARC
(16,11),-0.133237 # DEPENDENCYPART_ARC
(16,12),0.24499 # DEPENDENCYPART_ARC
(16,13),0.261836 # DEPENDENCYPART_ARC
(16,14),0.164004 # DEPENDENCYPART_ARC
(16,15),1.86241 # DEPENDENCYPART_ARC
(16,17),-0.0516622 # DEPENDENCYPART_ARC
(16,18),-0.173245 # DEPENDENCYPART_ARC
(16,19),-0.790001 # DEPENDENCYPART_ARC
(16,20),-0.541682 # DEPENDENCYPART_ARC
(16,21),-0.655733 # DEPENDENCYPART_ARC
(16,22),-0.929246 # DEPENDENCYPART_ARC
(16,23),-0.616228 # DEPENDENCYPART_ARC
(16,24),-1.01053 # DEPENDENCYPART_ARC
(16,25),-1.0653 # DEPENDENCYPART_ARC
(16,26),-0.449682 # DEPENDENCYPART_ARC
(16,27),-0.790718 # DEPENDENCYPART_ARC
(16,28),-1.21116 # DEPENDENCYPART_ARC
(16,29),-1.97707 # DEPENDENCYPART_ARC
(16,30),-0.87015 # DEPENDENCYPART_ARC
(16,31),-1.96797 # DEPENDENCYPART_ARC
(16,32),-1.3827 # DEPENDENCYPART_ARC
(16,33),-1.34094 # DEPENDENCYPART_ARC
(16,34),-2.02632 # DEPENDENCYPART_ARC
(17,1),-0.478724 # DEPENDENCYPART_ARC
(17,2),-0.863168 # DEPENDENCYPART_ARC
(17,3),-0.441989 # DEPENDENCYPART_ARC
(17,4),-0.164781 # DEPENDENCYPART_ARC
(17,5),-0.256779 # DEPENDENCYPART_ARC
(17,6),-0.477269 # DEPENDENCYPART_ARC
(17,7),-2.02499 # DEPENDENCYPART_ARC
(17,8),-1.40522 # DEPENDENCYPART_ARC
(17,9),-0.368208 # DEPENDENCYPART_ARC
(17,10),0.161885 # DEPENDENCYPART_ARC
(17,11),0.2352 # DEPENDENCYPART_ARC
(17,12),-0.204974 # DEPENDENCYPART_ARC
(17,13),0.56 # DEPENDENCYPART_ARC
(17,14),0.234459 # DEPENDENCYPART_ARC
(17,15),0.693752 # DEPENDENCYPART_ARC
(17,16),1.84829 # DEPENDENCYPART_ARC
(17,18),0.152442 # DEPENDENCYPART_ARC
(17,19),0.016709 # DEPENDENCYPART_ARC
(17,20),-0.532117 # DEPENDENCYPART_ARC
(17,21),-0.522684 # DEPENDENCYPART_ARC
(17,22),-0.181467 # DEPENDENCYPART_ARC
(17,23),-0.681109 # DEPENDENCYPART_ARC
(17,24),-1.09791 # DEPENDENCYPART_ARC
(17,25),-0.498993 # DEPENDENCYPART_ARC
(17,26),-0.380756 # DEPENDENCYPART_ARC
(17,27),-0.580837 # DEPENDENCYPART_ARC
(17,28),-1.19774 # DEPENDENCYPART_ARC
(17,29),-1.38473 # DEPENDENCYPART_ARC
(17,30),-1.12221 # DEPENDENCYPART_ARC
(17,31),-1.41731 # DEPENDENCYPART_ARC
(17,32),-1.51505 # DEPENDENCYPART_ARC
(17,33),-1.46205 # DEPENDENCYPART_ARC
(17,34),-1.95017 # DEPENDENCYPART_ARC
(18,1),-0.794236 # DEPENDENCYPART_ARC
(18,3),-0.866566 # DEPENDENCYPART_ARC
(18,4),-0.834273 # DEPENDENCYPART_ARC
(18,5),-0.840624 # DEPENDENCYPART_ARC
(18,6),-0.996477 # DEPENDENCYPART_ARC
(18,9),-1.07928 # DEPENDENCYPART_ARC
(18,10),-0.512107 # DEPENDENCYPART_ARC
(18,11),-0.687013 # DEPENDENCYPART_ARC
(18,12),-0.715696 # DEPENDENCYPART_ARC
(18,13),-0.74285 # DEPENDENCYPART_ARC
(18,15),-0.493039 # DEPENDENCYPART_ARC
(18,16),-0.408407 # DEPENDENCYPART_ARC
(18,17),0.679347 # DEPENDENCYPART_ARC
(18,19),0.0796894 # DEPENDENCYPART_ARC
(18,25),-0.550949 # DEPENDENCYPART_ARC
(18,27),-0.136167 # DEPENDENCYPART_ARC
(18,28),-0.784149 # DEPENDENCYPART_ARC
(18,29),-1.19346 # DEPENDENCYPART_ARC
(18,31),-1.35475 # DEPENDENCYPART_ARC
(18,34),-1.42203 # DEPENDENCYPART_ARC
(19,1),-0.595486 # DEPENDENCYPART_ARC
(19,2),-0.424977 # DEPENDENCYPART_ARC
(19,3),-1.66599 # DEPENDENCYPART_ARC
(19,4),-0.0933137 # DEPENDENCYPART_ARC
(19,5),-0.659808 # DEPENDENCYPART_ARC
(19,6),-0.0513578 # DEPENDENCYPART_ARC
(19,7),-3.12717 # DEPENDENCYPART_ARC
(19,8),-2.31972 # DEPENDENCYPART_ARC
(19,9),-0.142536 # DEPENDENCYPART_ARC
(19,10),0.590147 # DEPENDENCYPART_ARC
(19,11),0.916252 # DEPENDENCYPART_ARC
(19,12),-0.640927 # DEPENDENCYPART_ARC
(19,13),0.351789 # DEPENDENCYPART_ARC
(19,14),1.79173 # DEPENDENCYPART_ARC
(19,15),0.506047 # DEPENDENCYPART_ARC
(19,16),0.541906 # DEPENDENCYPART_ARC
(19,17),2.77585 # DEPENDENCYPART_ARC
(19,18),3.00743 # DEPENDENCYPART_ARC
(19,20),0.587992 # DEPENDENCYPART_ARC
(19,21),-0.247565 # DEPENDENCYPART_ARC
(19,22),-0.193726 # DEPENDENCYPART_ARC
(19,23),-0.559932 # DEPENDENCYPART_ARC
(19,24),-0.0332856 # DEPENDENCYPART_ARC
(19,25),-1.15711 # DEPENDENCYPART_ARC
(19,26),-1.02134 # DEPENDENCYPART_ARC
(19,27),-0.332889 # DEPENDENCYPART_ARC
(19,28),-0.479173 # DEPENDENCYPART_ARC
(19,29),-1.74858 # DEPENDENCYPART_ARC
(19,30),-1.63416 # DEPENDENCYPART_ARC
(19,31),-1.89255 # DEPENDENCYPART_ARC
(19,32),-1.4469 # DEPENDENCYPART_ARC
(19,33),-1.83669 # DEPENDENCYPART_ARC
(19,34),-1.54403 # DEPENDENCYPART_ARC
(20,1),-0.0944576 # DEPENDENCYPART_ARC
(20,2),0.431918 # DEPENDENCYPART_ARC
(20,3),-0.568146 # DEPENDENCYPART_ARC
(20,4),-0.107657 # DEPENDENCYPART_ARC
(20,5),-0.503643 # DEPENDENCYPART_ARC
(20,6),-0.917297 # DEPENDENCYPART_ARC
(20,7),-7.032 # DEPENDENCYPART_ARC
(20,8),-6.06523 # DEPENDENCYPART_ARC
(20,9),-0.51892 # DEPENDENCYPART_ARC
(20,10),0.0700504 # DEPENDENCYPART_ARC
(20,11),0.727722 # DEPENDENCYPART_ARC
(20,12),-3.71967 # DEPENDENCYPART_ARC
(20,13),0.264057 # DEPENDENCYPART_ARC
(20,14),0.633518 # DEPENDENCYPART_ARC
(20,15),-0.0243186 # DEPENDENCYPART_ARC
(20,16),-0.436197 # DEPENDENCYPART_ARC
(20,17),-0.343863 # DEPENDENCYPART_ARC
(20,18),-0.00973446 # DEPENDENCYPART_ARC
(20,19),1.4689 # DEPENDENCYPART_ARC
(20,21),0.357299 # DEPENDENCYPART_ARC
(20,22),0.536842 # DEPENDENCYPART_ARC
(20,23),-0.144023 # DEPENDENCYPART_ARC
(20,24),-0.232124 # DEPENDENCYPART_ARC
(20,25),0.0116862 # DEPENDENCYPART_ARC
(20,26),0.185271 # DEPENDENCYPART_ARC
(20,27),0.431754 # DEPENDENCYPART_ARC
(20,28),-0.720725 # DEPENDENCYPART_ARC
(20,29),-1.39785 # DEPENDENCYPART_ARC
(20,30),-0.710783 # DEPENDENCYPART_ARC
(20,31),-2.24475 # DEPENDENCYPART_ARC
(20,32),-1.57645 # DEPENDENCYPART_ARC
(20,33),-1.09652 # DEPENDENCYPART_ARC
(20,34),-1.54128 # DEPENDENCYPART_ARC
(21,1),0.115906 # DEPENDENCYPART_ARC
(21,2),0.864011 # DEPENDENCYPART_ARC
(21,3),-0.140135 # DEPENDENCYPART_ARC
(21,4),0.32387 # DEPENDENCYPART_ARC
(21,5),0.362805 # DEPENDENCYPART_ARC
(21,6),-0.349976 # DEPENDENCYPART_ARC
(21,7),-7.26158 # DEPENDENCYPART_ARC
(21,8),-6.81264 # DEPENDENCYPART_ARC
(21,9),0.305637 # DEPENDENCYPART_ARC
(21,10),0.379452 # DEPENDENCYPART_ARC
(21,11),1.64426 # DEPENDENCYPART_ARC
(21,12),-4.04296 # DEPENDENCYPART_ARC
(21,13),0.903911 # DEPENDENCYPART_ARC
(21,14),1.09958 # DEPENDENCYPART_ARC
(21,15),0.367314 # DEPENDENCYPART_ARC
(21,16),0.103422 # DEPENDENCYPART_ARC
(21,17),0.0674627 # DEPENDENCYPART_ARC
(21,18),-0.00707382 # DEPENDENCYPART_ARC
(21,19),2.23758 # DEPENDENCYPART_ARC
(21,20),3.27655 # DEPENDENCYPART_ARC
(21,22),0.598222 # DEPENDENCYPART_ARC
(21,23),-0.524162 # DEPENDENCYPART_ARC
(21,24),-0.5896 # DEPENDENCYPART_ARC
(21,25),-1.3377 # DEPENDENCYPART_ARC
(21,26),-0.330363 # DEPENDENCYPART_ARC
(21,27),0.0273526 # DEPENDENCYPART_ARC
(21,28),-0.736274 # DEPENDENCYPART_ARC
(21,29),-2.1709 # DEPENDENCYPART_ARC
(21,30),-1.17276 # DEPENDENCYPART_ARC
(21,31),-2.09712 # DEPENDENCYPART_ARC
(21,32),-1.96123 # DEPENDENCYPART_ARC
(21,33),-1.33995 # DEPENDENCYPART_ARC
(21,34),-1.89673 # DEPENDENCYPART_ARC
(22,1),-1.10066 # DEPENDENCYPART_ARC
(22,2),-0.567593 # DEPENDENCYPART_ARC
(22,3),-2.33589 # DEPENDENCYPART_ARC
(22,4),-0.00140812 # DEPENDENCYPART_ARC
(22,5),-0.594585 # DEPENDENCYPART_ARC
(22,6),-0.184458 # DEPENDENCYPART_ARC
(22,7),-4.82433 # DEPENDENCYPART_ARC
(22,8),-3.73327 # DEPENDENCYPART_ARC
(22,9),-0.131736 # DEPENDENCYPART_ARC
(22,10),0.279393 # DEPENDENCYPART_ARC
(22,11),2.44666 # DEPENDENCYPART_ARC
(22,12),-2.79591 # DEPENDENCYPART_ARC
(22,13),0.773686 # DEPENDENCYPART_ARC
(22,14),1.58552 # DEPENDENCYPART_ARC
(22,15),0.363151 # DEPENDENCYPART_ARC
(22,16),0.247441 # DEPENDENCYPART_ARC
(22,17),1.25601 # DEPENDENCYPART_ARC
(22,18),1.46456 # DEPENDENCYPART_ARC
(22,19),1.80937 # DEPENDENCYPART_ARC
(22,20),1.07247 # DEPENDENCYPART_ARC
(22,21),2.90051 # DEPENDENCYPART_ARC
(22,23),-0.362004 # DEPENDENCYPART_ARC
(22,24),-0.038064 # DEPENDENCYPART_ARC
(22,25),-0.299954 # DEPENDENCYPART_ARC
(22,26),-1.41183 # DEPENDENCYPART_ARC
(22,27),-0.553024 # DEPENDENCYPART_ARC
(22,28),-0.938029 # DEPENDENCYPART_ARC
(22,29),-1.99518 # DEPENDENCYPART_ARC
(22,30),-2.24049 # DEPENDENCYPART_ARC
(22,31),-1.52088 # DEPENDENCYPART_ARC
(22,32),-1.54715 # DEPENDENCYPART_ARC
(22,33),-2.28384 # DEPENDENCYPART_ARC
(22,34),-1.83847 # DEPENDENCYPART_ARC
(23,1),-0.0388269 # DEPENDENCYPART_ARC
(23,2),0.880035 # DEPENDENCYPART_ARC
(23,3),0.153913 # DEPENDENCYPART_ARC
(23,4),0.109359 # DEPENDENCYPART_ARC
(23,5),-0.0579974 # DEPENDENCYPART_ARC
(23,6),-0.527754 # DEPENDENCYPART_ARC
(23,7),-9.85439 # DEPENDENCYPART_ARC
(23,8),-9.26916 # DEPENDENCYPART_ARC
(23,9),0.0290994 # DEPENDENCYPART_ARC
(23,10),-0.0439538 # DEPENDENCYPART_ARC
(23,11),1.28701 # DEPENDENCYPART_ARC
(23,12),-6.14894 # DEPENDENCYPART_ARC
(23,13),0.70706 # DEPENDENCYPART_ARC
(23,14),1.01639 # DEPENDENCYPART_ARC
(23,15),0.330383 # DEPENDENCYPART_ARC
(23,16),-0.174148 # DEPENDENCYPART_ARC
(23,17),-0.177167 # DEPENDENCYPART_ARC
(23,18),-0.353012 # DEPENDENCYPART_ARC
(23,19),1.22164 # DEPENDENCYPART_ARC
(23,20),-0.941308 # DEPENDENCYPART_ARC
(23,21),-0.0948038 # DEPENDENCYPART_ARC
(23,22),2.70924 # DEPENDENCYPART_ARC
(23,24),-0.111901 # DEPENDENCYPART_ARC
(23,25),-0.697797 # DEPENDENCYPART_ARC
(23,26),-0.621414 # DEPENDENCYPART_ARC
(23,27),0.263747 # DEPENDENCYPART_ARC
(23,28),-1.1076 # DEPENDENCYPART_ARC
(23,29),-2.39151 # DEPENDENCYPART_ARC
(23,30),-1.73014 # DEPENDENCYPART_ARC
(23,31),-2.67466 # DEPENDENCYPART_ARC
(23,32),-1.81467 # DEPENDENCYPART_ARC
(23,33),-1.84077 # DEPENDENCYPART_ARC
(23,34),-1.85253 # DEPENDENCYPART_ARC
(24,1),-0.876041 # DEPENDENCYPART_ARC
(24,2),-0.778002 # DEPENDENCYPART_ARC
(24,3),-0.714303 # DEPENDENCYPART_ARC
(24,4),-0.224698 # DEPENDENCYPART_ARC
(24,5),-0.480467 # DEPENDENCYPART_ARC
(24,6),-1.0074 # DEPENDENCYPART_ARC
(24,7),-4.56202 # DEPENDENCYPART_ARC
(24,8),-3.93158 # DEPENDENCYPART_ARC
(24,9),-0.467491 # DEPENDENCYPART_ARC
(24,10),-0.203153 # DEPENDENCYPART_ARC
(24,11),0.276412 # DEPENDENCYPART_ARC
(24,12),-2.77075 # DEPENDENCYPART_ARC
(24,13),0.531446 # DEPENDENCYPART_ARC
(24,14),0.590513 # DEPENDENCYPART_ARC
(24,15),0.234831 # DEPENDENCYPART_ARC
(24,16),0.207926 # DEPENDENCYPART_ARC
(24,17),-0.0029751 # DEPENDENCYPART_ARC
(24,19),0.579462 # DEPENDENCYPART_ARC
(24,20),-0.601182 # DEPENDENCYPART_ARC
(24,21),-0.00434903 # DEPENDENCYPART_ARC
(24,22),1.88561 # DEPENDENCYPART_ARC
(24,23),2.59066 # DEPENDENCYPART_ARC
(24,25),-0.134741 # DEPENDENCYPART_ARC
(24,26),-0.377068 # DEPENDENCYPART_ARC
(24,27),-0.507228 # DEPENDENCYPART_ARC
(24,28),-1.06212 # DEPENDENCYPART_ARC
(24,29),-1.41326 # DEPENDENCYPART_ARC
(24,30),-1.21541 # DEPENDENCYPART_ARC
(24,31),-1.51616 # DEPENDENCYPART_ARC
(24,32),-1.60952 # DEPENDENCYPART_ARC
(24,33),-1.39497 # DEPENDENCYPART_ARC
(24,34),-1.65126 # DEPENDENCYPART_ARC
(25,1),-2.5221 # DEPENDENCYPART_ARC
(25,2),-2.44312 # DEPENDENCYPART_ARC
(25,3),-3.36525 # DEPENDENCYPART_ARC
(25,4),-2.01587 # DEPENDENCYPART_ARC
(25,5),-2.84876 # DEPENDENCYPART_ARC
(25,6),-1.27796 # DEPENDENCYPART_ARC
(25,7),-7.283 # DEPENDENCYPART_ARC
(25,8),-6.77766 # DEPENDENCYPART_ARC
(25,9),-0.817351 # DEPENDENCYPART_ARC
(25,10),-0.581854 # DEPENDENCYPART_ARC
(25,11),-0.586362 # DEPENDENCYPART_ARC
(25,12),-4.95511 # DEPENDENCYPART_ARC
(25,13),-1.47473 # DEPENDENCYPART_ARC
(25,14),0.111153 # DEPENDENCYPART_ARC
(25,15),-0.3991 # DEPENDENCYPART_ARC
(25,16),-0.560281 # DEPENDENCYPART_ARC
(25,17),0.209984 # DEPENDENCYPART_ARC
(25,18),0.432532 # DEPENDENCYPART_ARC
(25,19),-1.16194 # DEPENDENCYPART_ARC
(25,20),-2.08873 # DEPENDENCYPART_ARC
(25,21),-1.37599 # DEPENDENCYPART_ARC
(25,22),-0.649653 # DEPENDENCYPART_ARC
(25,23),-0.20528 # DEPENDENCYPART_ARC
(25,24),2.28961 # DEPENDENCYPART_ARC
(25,26),-0.203136 # DEPENDENCYPART_ARC
(25,27),0.77629 # DEPENDENCYPART_ARC
(25,28),-0.540385 # DEPENDENCYPART_ARC
(25,29),-0.971112 # DEPENDENCYPART_ARC
(25,30),-1.55108 # DEPENDENCYPART_ARC
(25,31),-1.36691 # DEPENDENCYPART_ARC
(25,32),-1.23159 # DEPENDENCYPART_ARC
(25,33),-1.6498 # DEPENDENCYPART_ARC
(25,34),-1.18687 # DEPENDENCYPART_ARC
(26,1),-1.23876 # DEPENDENCYPART_ARC
(26,2),-0.874259 # DEPENDENCYPART_ARC
(26,3),-1.04305 # DEPENDENCYPART_ARC
(26,4),-1.18503 # DEPENDENCYPART_ARC
(26,5),-0.514985 # DEPENDENCYPART_ARC
(26,6),-0.181478 # DEPENDENCYPART_ARC
(26,9),-0.274706 # DEPENDENCYPART_ARC
(26,10),-0.109678 # DEPENDENCYPART_ARC
(26,11),0.592237 # DEPENDENCYPART_ARC
(26,14),0.506249 # DEPENDENCYPART_ARC
(26,15),0.204427 # DEPENDENCYPART_ARC
(26,16),0.0862326 # DEPENDENCYPART_ARC
(26,19),-0.448998 # DEPENDENCYPART_ARC
(26,24),0.685243 # DEPENDENCYPART_ARC
(26,25),2.0936 # DEPENDENCYPART_ARC
(26,27),2.17228 # DEPENDENCYPART_ARC
(26,28),0.607392 # DEPENDENCYPART_ARC
(26,29),0.488358 # DEPENDENCYPART_ARC
(26,30),0.748107 # DEPENDENCYPART_ARC
(26,31),-0.0472456 # DEPENDENCYPART_ARC
(26,34),-0.0848654 # DEPENDENCYPART_ARC
(27,1),-2.67575 # DEPENDENCYPART_ARC
(27,2),-1.48284 # DEPENDENCYPART_ARC
(27,3),-2.65108 # DEPENDENCYPART_ARC
(27,4),-2.52081 # DEPENDENCYPART_ARC
(27,5),-2.25431 # DEPENDENCYPART_ARC
(27,6),-1.27316 # DEPENDENCYPART_ARC
(27,7),-2.101 # DEPENDENCYPART_ARC
(27,8),-1.97498 # DEPENDENCYPART_ARC
(27,9),-0.926187 # DEPENDENCYPART_ARC
(27,10),-1.15341 # DEPENDENCYPART_ARC
(27,11),-1.60177 # DEPENDENCYPART_ARC
(27,12),-1.74961 # DEPENDENCYPART_ARC
(27,13),-1.42659 # DEPENDENCYPART_ARC
(27,14),-0.399029 # DEPENDENCYPART_ARC
(27,15),-0.449458 # DEPENDENCYPART_ARC
(27,16),-0.447351 # DEPENDENCYPART_ARC
(27,17),-1.11113 # DEPENDENCYPART_ARC
(27,18),-0.832772 # DEPENDENCYPART_ARC
(27,19),-1.29101 # DEPENDENCYPART_ARC
(27,20),-1.09212 # DEPENDENCYPART_ARC
(27,21),-0.967613 # DEPENDENCYPART_ARC
(27,22),-1.15911 # DEPENDENCYPART_ARC
(27,23),-0.631638 # DEPENDENCYPART_ARC
(27,24),-0.623077 # DEPENDENCYPART_ARC
(27,25),-0.522039 # DEPENDENCYPART_ARC
(27,28),-0.15462 # DEPENDENCYPART_ARC
(27,29),-0.918837 # DEPENDENCYPART_ARC
(27,31),-1.16049 # DEPENDENCYPART_ARC
(27,32),-1.3217 # DEPENDENCYPART_ARC
(27,33),-1.21451 # DEPENDENCYPART_ARC
(27,34),-1.25908 # DEPENDENCYPART_ARC
(28,1),-0.339255 # DEPENDENCYPART_ARC
(28,2),-0.743122 # DEPENDENCYPART_ARC
(28,3),-0.409601 # DEPENDENCYPART_ARC
(28,4),-0.415715 # DEPENDENCYPART_ARC
(28,5),-0.191428 # DEPENDENCYPART_ARC
(28,6),-1.45979 # DEPENDENCYPART_ARC
(28,7),-5.37241 # DEPENDENCYPART_ARC
(28,8),-5.02503 # DEPENDENCYPART_ARC
(28,9),-0.709999 # DEPENDENCYPART_ARC
(28,10),-0.0846311 # DEPENDENCYPART_ARC
(28,11),0.570371 # DEPENDENCYPART_ARC
(28,12),-3.70505 # DEPENDENCYPART_ARC
(28,13),0.406827 # DEPENDENCYPART_ARC
(28,14),0.12214 # DEPENDENCYPART_ARC
(28,15),-1.1 # DEPENDENCYPART_ARC
(28,16),-0.966043 # DEPENDENCYPART_ARC
(28,17),-0.567797 # DEPENDENCYPART_ARC
(28,18),-0.144572 # DEPENDENCYPART_ARC
(28,19),0.495489 # DEPENDENCYPART_ARC
(28,20),-2.30137 # DEPENDENCYPART_ARC
(28,21),-1.87818 # DEPENDENCYPART_ARC
(28,22),0.400369 # DEPENDENCYPART_ARC
(28,23),-1.3898 # DEPENDENCYPART_ARC
(28,24),0.115276 # DEPENDENCYPART_ARC
(28,25),0.711971 # DEPENDENCYPART_ARC
(28,26),0.278857 # DEPENDENCYPART_ARC
(28,27),-0.11129 # DEPENDENCYPART_ARC
(28,29),0.139414 # DEPENDENCYPART_ARC
(28,30),-0.404453 # DEPENDENCYPART_ARC
(28,31),-0.0435437 # DEPENDENCYPART_ARC
(28,32),-0.314246 # DEPENDENCYPART_ARC
(28,33),-0.259716 # DEPENDENCYPART_ARC
(28,34),-1.01143 # DEPENDENCYPART_ARC
(29,1),-3.13417 # DEPENDENCYPART_ARC
(29,2),-2.65614 # DEPENDENCYPART_ARC
(29,3),-3.37784 # DEPENDENCYPART_ARC
(29,4),-2.69018 # DEPENDENCYPART_ARC
(29,5),-3.49378 # DEPENDENCYPART_ARC
(29,6),-2.0434 # DEPENDENCYPART_ARC
(29,7),-8.30528 # DEPENDENCYPART_ARC
(29,8),-7.5709 # DEPENDENCYPART_ARC
(29,9),-1.33655 # DEPENDENCYPART_ARC
(29,10),-1.28185 # DEPENDENCYPART_ARC
(29,11),-2.78696 # DEPENDENCYPART_ARC
(29,12),-7.09788 # DEPENDENCYPART_ARC
(29,13),-2.99943 # DEPENDENCYPART_ARC
(29,14),-0.82084 # DEPENDENCYPART_ARC
(29,15),-1.28026 # DEPENDENCYPART_ARC
(29,16),-1.4941 # DEPENDENCYPART_ARC
(29,17),-1.32296 # DEPENDENCYPART_ARC
(29,18),-0.860637 # DEPENDENCYPART_ARC
(29,19),-2.91685 # DEPENDENCYPART_ARC
(29,20),-3.14767 # DEPENDENCYPART_ARC
(29,21),-2.76949 # DEPENDENCYPART_ARC
(29,22),-2.51423 # DEPENDENCYPART_ARC
(29,23),-1.28921 # DEPENDENCYPART_ARC
(29,24),-0.577956 # DEPENDENCYPART_ARC
(29,25),-1.99641 # DEPENDENCYPART_ARC
(29,26),-1.30554 # DEPENDENCYPART_ARC
(29,27),-0.896074 # DEPENDENCYPART_ARC
(29,28),0.359515 # DEPENDENCYPART_ARC
(29,30),0.359937 # DEPENDENCYPART_ARC
(29,31),-0.202974 # DEPENDENCYPART_ARC
(29,32),-0.422903 # DEPENDENCYPART_ARC
(29,33),-1.18501 # DEPENDENCYPART_ARC
(29,34),-0.53429 # DEPENDENCYPART_ARC
(30,1),-2.23033 # DEPENDENCYPART_ARC
(30,2),-1.74528 # DEPENDENCYPART_ARC
(30,3),-1.86877 # DEPENDENCYPART_ARC
(30,4),-2.18336 # DEPENDENCYPART_ARC
(30,5),-1.44212 # DEPENDENCYPART_ARC
(30,6),-1.06314 # DEPENDENCYPART_ARC
(30,9),-1.21712 # DEPENDENCYPART_ARC
(30,10),-1.29808 # DEPENDENCYPART_ARC
(30,11),-0.751468 # DEPENDENCYPART_ARC
(30,14),-0.759761 # DEPENDENCYPART_ARC
(30,15),-0.957244 # DEPENDENCYPART_ARC
(30,16),-1.02741 # DEPENDENCYPART_ARC
(30,19),-1.75025 # DEPENDENCYPART_ARC
(30,24),-1.12605 # DEPENDENCYPART_ARC
(30,25),-0.560338 # DEPENDENCYPART_ARC
(30,26),0.512035 # DEPENDENCYPART_ARC
(30,27),-0.884482 # DEPENDENCYPART_ARC
(30,28),-0.259334 # DEPENDENCYPART_ARC
(30,29),-0.015707 # DEPENDENCYPART_ARC
(30,31),0.220047 # DEPENDENCYPART_ARC
(30,34),-0.359089 # DEPENDENCYPART_ARC
(31,1),-2.09051 # DEPENDENCYPART_ARC
(31,2),-2.06113 # DEPENDENCYPART_ARC
(31,3),-3.57334 # DEPENDENCYPART_ARC
(31,4),-1.27268 # DEPENDENCYPART_ARC
(31,5),-1.9194 # DEPENDENCYPART_ARC
(31,6),-1.19932 # DEPENDENCYPART_ARC
(31,7),-8.30416 # DEPENDENCYPART_ARC
(31,8),-7.42085 # DEPENDENCYPART_ARC
(31,9),-1.08816 # DEPENDENCYPART_ARC
(31,10),-0.665543 # DEPENDENCYPART_ARC
(31,11),-0.284881 # DEPENDENCYPART_ARC
(31,12),-7.53757 # DEPENDENCYPART_ARC
(31,13),-1.63764 # DEPENDENCYPART_ARC
(31,14),0.230948 # DEPENDENCYPART_ARC
(31,15),-0.451919 # DEPENDENCYPART_ARC
(31,16),-0.837014 # DEPENDENCYPART_ARC
(31,17),-0.774664 # DEPENDENCYPART_ARC
(31,18),-0.274436 # DEPENDENCYPART_ARC
(31,19),-1.05625 # DEPENDENCYPART_ARC
(31,20),-3.22369 # DEPENDENCYPART_ARC
(31,21),-2.44253 # DEPENDENCYPART_ARC
(31,22),-1.02006 # DEPENDENCYPART_ARC
(31,23),-1.82737 # DEPENDENCYPART_ARC
(31,24),-0.44774 # DEPENDENCYPART_ARC
(31,25),0.245433 # DEPENDENCYPART_ARC
(31,26),-0.502719 # DEPENDENCYPART_ARC
(31,27),-0.75388 # DEPENDENCYPART_ARC
(31,28),0.487552 # DEPENDENCYPART_ARC
(31,29),1.54314 # DEPENDENCYPART_ARC
(31,30),2.27247 # DEPENDENCYPART_ARC
(31,32),0.381377 # DEPENDENCYPART_ARC
(31,33),-0.647612 # DEPENDENCYPART_ARC
(31,34),-0.241877 # DEPENDENCYPART_ARC
(32,1),-0.161204 # DEPENDENCYPART_ARC
(32,2),0.53226 # DEPENDENCYPART_ARC
(32,3),-0.894897 # DEPENDENCYPART_ARC
(32,4),-0.2871 # DEPENDENCYPART_ARC
(32,5),-0.775243 # DEPENDENCYPART_ARC
(32,6),-1.67193 # DEPENDENCYPART_ARC
(32,7),-15.1489 # DEPENDENCYPART_ARC
(32,8),-14.2237 # DEPENDENCYPART_ARC
(32,9),-0.930845 # DEPENDENCYPART_ARC
(32,10),-1.2028 # DEPENDENCYPART_ARC
(32,11),-0.506007 # DEPENDENCYPART_ARC
