# _root_ Gazetecilere uçak havada _ yanarak geldi yere _ çakıldı _ diyen tanıklar , anket heyetinin _ hazırladığı raporlara göre , _ _ farklı konuşmuşlardı .
#goldHeads=10,6,6,5,6,10,9,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
#predictedHeads=6,3,6,5,6,9,6,9,10,11,12,24,0,15,16,17,18,19,24,0,22,23,24,25,0,
(21,13),-1.05684 # DEPENDENCYPART_ARC
(21,14),-1.09664 # DEPENDENCYPART_ARC
(21,15),-1.90752 # DEPENDENCYPART_ARC
(21,16),-1.21603 # DEPENDENCYPART_ARC
(21,17),-1.52302 # DEPENDENCYPART_ARC
(21,18),-1.9143 # DEPENDENCYPART_ARC
(21,19),0.123288 # DEPENDENCYPART_ARC
(21,20),0.349507 # DEPENDENCYPART_ARC
(21,22),0.419459 # DEPENDENCYPART_ARC
(21,23),-0.234419 # DEPENDENCYPART_ARC
(21,24),-1.44261 # DEPENDENCYPART_ARC
(21,25),-0.181506 # DEPENDENCYPART_ARC
(22,1),-1.13417 # DEPENDENCYPART_ARC
(22,2),-0.863118 # DEPENDENCYPART_ARC
(22,3),-1.0591 # DEPENDENCYPART_ARC
(22,4),-9.1764 # DEPENDENCYPART_ARC
(22,5),-0.958178 # DEPENDENCYPART_ARC
(22,6),-0.598166 # DEPENDENCYPART_ARC
(22,7),-0.783757 # DEPENDENCYPART_ARC
(22,8),-5.44296 # DEPENDENCYPART_ARC
(22,9),-0.641503 # DEPENDENCYPART_ARC
(22,10),-4.65963 # DEPENDENCYPART_ARC
(22,11),-0.856761 # DEPENDENCYPART_ARC
(22,12),-0.395935 # DEPENDENCYPART_ARC
(22,13),-0.809493 # DEPENDENCYPART_ARC
(22,14),0.0102609 # DEPENDENCYPART_ARC
(22,15),-0.604979 # DEPENDENCYPART_ARC
(22,16),-1.04185 # DEPENDENCYPART_ARC
(22,17),-0.867454 # DEPENDENCYPART_ARC
(22,18),-0.17973 # DEPENDENCYPART_ARC
(22,19),-0.180647 # DEPENDENCYPART_ARC
(22,20),0.139838 # DEPENDENCYPART_ARC
(22,21),3.64921 # DEPENDENCYPART_ARC
(22,23),-0.163716 # DEPENDENCYPART_ARC
(22,24),-0.53819 # DEPENDENCYPART_ARC
(22,25),-0.739374 # DEPENDENCYPART_ARC
(23,1),-2.21983 # DEPENDENCYPART_ARC
(23,2),-1.31185 # DEPENDENCYPART_ARC
(23,3),-1.7199 # DEPENDENCYPART_ARC
(23,4),-7.71904 # DEPENDENCYPART_ARC
(23,5),-0.251213 # DEPENDENCYPART_ARC
(23,6),-1.11413 # DEPENDENCYPART_ARC
(23,7),-0.88729 # DEPENDENCYPART_ARC
(23,8),-6.52008 # DEPENDENCYPART_ARC
(23,9),-1.16494 # DEPENDENCYPART_ARC
(23,10),-5.10184 # DEPENDENCYPART_ARC
(23,11),0.165979 # DEPENDENCYPART_ARC
(23,12),-0.760176 # DEPENDENCYPART_ARC
(23,13),-0.133165 # DEPENDENCYPART_ARC
(23,14),-0.261837 # DEPENDENCYPART_ARC
(23,15),-1.09645 # DEPENDENCYPART_ARC
(23,16),-2.19726 # DEPENDENCYPART_ARC
(23,17),-0.102424 # DEPENDENCYPART_ARC
(23,18),-1.25508 # DEPENDENCYPART_ARC
(23,19),0.613265 # DEPENDENCYPART_ARC
(23,20),0.305368 # DEPENDENCYPART_ARC
(23,21),0.981324 # DEPENDENCYPART_ARC
(23,22),2.9297 # DEPENDENCYPART_ARC
(23,24),-1.25502 # DEPENDENCYPART_ARC
(23,25),-0.572869 # DEPENDENCYPART_ARC
(24,1),0.922418 # DEPENDENCYPART_ARC
(24,2),0.436921 # DEPENDENCYPART_ARC
(24,3),-0.411188 # DEPENDENCYPART_ARC
(24,4),-10.7068 # DEPENDENCYPART_ARC
(24,5),0.261356 # DEPENDENCYPART_ARC
(24,6),0.629994 # DEPENDENCYPART_ARC
(24,7),0.457464 # DEPENDENCYPART_ARC
(24,8),-7.64318 # DEPENDENCYPART_ARC
(24,9),0.739058 # DEPENDENCYPART_ARC
(24,10),-6.65112 # DEPENDENCYPART_ARC
(24,11),0.107948 # DEPENDENCYPART_ARC
(24,12),2.07731 # DEPENDENCYPART_ARC
(24,13),-0.178091 # DEPENDENCYPART_ARC
(24,14),1.13368 # DEPENDENCYPART_ARC
(24,15),-0.436587 # DEPENDENCYPART_ARC
(24,16),-3.21139 # DEPENDENCYPART_ARC
(24,17),-0.0757452 # DEPENDENCYPART_ARC
(24,18),1.36942 # DEPENDENCYPART_ARC
(24,19),1.89358 # DEPENDENCYPART_ARC
(24,20),0.730491 # DEPENDENCYPART_ARC
(24,21),1.02599 # DEPENDENCYPART_ARC
(24,22),0.800483 # DEPENDENCYPART_ARC
(24,23),3.72877 # DEPENDENCYPART_ARC
(24,25),-0.376324 # DEPENDENCYPART_ARC
(25,1),-0.821484 # DEPENDENCYPART_ARC
(25,2),-1.01651 # DEPENDENCYPART_ARC
(25,3),-1.14702 # DEPENDENCYPART_ARC
(25,4),-7.94689 # DEPENDENCYPART_ARC
(25,5),-0.600431 # DEPENDENCYPART_ARC
(25,6),-0.0200047 # DEPENDENCYPART_ARC
(25,7),-0.669562 # DEPENDENCYPART_ARC
(25,8),-5.56985 # DEPENDENCYPART_ARC
(25,9),0.0537666 # DEPENDENCYPART_ARC
(25,10),-5.35053 # DEPENDENCYPART_ARC
(25,11),-0.688312 # DEPENDENCYPART_ARC
(25,12),-0.196738 # DEPENDENCYPART_ARC
(25,13),-0.604992 # DEPENDENCYPART_ARC
(25,14),0.00623556 # DEPENDENCYPART_ARC
(25,15),-0.145662 # DEPENDENCYPART_ARC
(25,16),-3.34745 # DEPENDENCYPART_ARC
(25,17),-0.437696 # DEPENDENCYPART_ARC
(25,18),0.0808356 # DEPENDENCYPART_ARC
(25,19),-0.300632 # DEPENDENCYPART_ARC
(25,20),-0.0279086 # DEPENDENCYPART_ARC
(25,21),-1.35421 # DEPENDENCYPART_ARC
(25,22),-0.849589 # DEPENDENCYPART_ARC
(25,23),0.234918 # DEPENDENCYPART_ARC
(25,24),1.6627 # DEPENDENCYPART_ARC
