# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,7,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,26,26,25,26,27,29,29,30,0,
(17,10),1.78508 # DEPENDENCYPART_ARC
(17,11),0.718848 # DEPENDENCYPART_ARC
(17,12),-3.1032 # DEPENDENCYPART_ARC
(17,13),1.57764 # DEPENDENCYPART_ARC
(17,14),-0.610226 # DEPENDENCYPART_ARC
(17,15),2.39498 # DEPENDENCYPART_ARC
(17,16),3.47051 # DEPENDENCYPART_ARC
(17,18),0.708446 # DEPENDENCYPART_ARC
(17,19),-0.499131 # DEPENDENCYPART_ARC
(17,20),-1.74442 # DEPENDENCYPART_ARC
(17,21),-1.12382 # DEPENDENCYPART_ARC
(17,22),-1.97098 # DEPENDENCYPART_ARC
(17,23),-1.47773 # DEPENDENCYPART_ARC
(17,24),-1.31058 # DEPENDENCYPART_ARC
(17,25),-1.66751 # DEPENDENCYPART_ARC
(17,26),-1.85757 # DEPENDENCYPART_ARC
(17,27),-1.86218 # DEPENDENCYPART_ARC
(17,28),-1.76224 # DEPENDENCYPART_ARC
(17,29),-1.36465 # DEPENDENCYPART_ARC
(17,30),-2.21055 # DEPENDENCYPART_ARC
(18,1),0.332576 # DEPENDENCYPART_ARC
(18,2),0.264365 # DEPENDENCYPART_ARC
(18,3),-0.482166 # DEPENDENCYPART_ARC
(18,4),-0.297593 # DEPENDENCYPART_ARC
(18,5),0.539081 # DEPENDENCYPART_ARC
(18,6),-1.25165 # DEPENDENCYPART_ARC
(18,7),0.257161 # DEPENDENCYPART_ARC
(18,8),-0.0371819 # DEPENDENCYPART_ARC
(18,9),1.04305 # DEPENDENCYPART_ARC
(18,10),0.738756 # DEPENDENCYPART_ARC
(18,11),0.470945 # DEPENDENCYPART_ARC
(18,12),0.204509 # DEPENDENCYPART_ARC
(18,13),1.82509 # DEPENDENCYPART_ARC
(18,14),0.756957 # DEPENDENCYPART_ARC
(18,15),1.57347 # DEPENDENCYPART_ARC
(18,16),2.10579 # DEPENDENCYPART_ARC
(18,17),2.89477 # DEPENDENCYPART_ARC
(18,19),-0.500644 # DEPENDENCYPART_ARC
(18,20),-1.35088 # DEPENDENCYPART_ARC
(18,21),-1.36305 # DEPENDENCYPART_ARC
(18,22),-1.55495 # DEPENDENCYPART_ARC
(18,23),-1.78107 # DEPENDENCYPART_ARC
(18,24),-1.53316 # DEPENDENCYPART_ARC
(18,25),-1.54963 # DEPENDENCYPART_ARC
(18,26),-1.93076 # DEPENDENCYPART_ARC
(18,27),-1.86239 # DEPENDENCYPART_ARC
(18,28),-1.6432 # DEPENDENCYPART_ARC
(18,29),-1.75569 # DEPENDENCYPART_ARC
(18,30),-2.11653 # DEPENDENCYPART_ARC
(19,1),-0.853273 # DEPENDENCYPART_ARC
(19,2),-0.373643 # DEPENDENCYPART_ARC
(19,3),-1.13438 # DEPENDENCYPART_ARC
(19,4),-0.794926 # DEPENDENCYPART_ARC
(19,5),-0.205251 # DEPENDENCYPART_ARC
(19,6),-3.74274 # DEPENDENCYPART_ARC
(19,7),-0.213425 # DEPENDENCYPART_ARC
(19,8),-0.0843542 # DEPENDENCYPART_ARC
(19,9),0.513541 # DEPENDENCYPART_ARC
(19,10),0.517841 # DEPENDENCYPART_ARC
(19,11),-0.128525 # DEPENDENCYPART_ARC
(19,12),-1.91261 # DEPENDENCYPART_ARC
(19,13),0.306837 # DEPENDENCYPART_ARC
(19,14),-1.49092 # DEPENDENCYPART_ARC
(19,15),0.319946 # DEPENDENCYPART_ARC
(19,16),-0.300768 # DEPENDENCYPART_ARC
(19,17),-0.188114 # DEPENDENCYPART_ARC
(19,18),0.283148 # DEPENDENCYPART_ARC
(19,20),0.0898665 # DEPENDENCYPART_ARC
(19,21),-0.394987 # DEPENDENCYPART_ARC
(19,22),-0.241138 # DEPENDENCYPART_ARC
(19,23),-0.245832 # DEPENDENCYPART_ARC
(19,24),-0.621151 # DEPENDENCYPART_ARC
(19,25),-0.609914 # DEPENDENCYPART_ARC
(19,26),-0.619877 # DEPENDENCYPART_ARC
(19,27),-0.680499 # DEPENDENCYPART_ARC
(19,28),-0.819313 # DEPENDENCYPART_ARC
(19,29),-0.496911 # DEPENDENCYPART_ARC
(19,30),-2.51484 # DEPENDENCYPART_ARC
(20,1),-1.83542 # DEPENDENCYPART_ARC
(20,2),-2.61062 # DEPENDENCYPART_ARC
(20,3),-1.53469 # DEPENDENCYPART_ARC
(20,4),-0.557801 # DEPENDENCYPART_ARC
(20,5),-1.89225 # DEPENDENCYPART_ARC
(20,6),-5.11479 # DEPENDENCYPART_ARC
(20,7),-1.79711 # DEPENDENCYPART_ARC
(20,8),-1.02036 # DEPENDENCYPART_ARC
(20,9),-1.58583 # DEPENDENCYPART_ARC
(20,10),-3.05902 # DEPENDENCYPART_ARC
(20,11),-1.66717 # DEPENDENCYPART_ARC
(20,12),-2.84208 # DEPENDENCYPART_ARC
(20,13),-1.99254 # DEPENDENCYPART_ARC
(20,14),-1.65979 # DEPENDENCYPART_ARC
(20,15),-2.04167 # DEPENDENCYPART_ARC
(20,16),-1.77427 # DEPENDENCYPART_ARC
(20,17),0.305718 # DEPENDENCYPART_ARC
(20,18),-0.378279 # DEPENDENCYPART_ARC
(20,19),0.225303 # DEPENDENCYPART_ARC
(20,21),0.0143327 # DEPENDENCYPART_ARC
(20,22),-0.0108776 # DEPENDENCYPART_ARC
(20,23),-0.426598 # DEPENDENCYPART_ARC
(20,24),-0.272075 # DEPENDENCYPART_ARC
(20,25),-0.737571 # DEPENDENCYPART_ARC
(20,26),-0.505795 # DEPENDENCYPART_ARC
(20,27),-1.45527 # DEPENDENCYPART_ARC
(20,28),-0.660039 # DEPENDENCYPART_ARC
(20,29),-1.06883 # DEPENDENCYPART_ARC
(20,30),-0.851061 # DEPENDENCYPART_ARC
(21,1),-0.671437 # DEPENDENCYPART_ARC
(21,2),-0.0513895 # DEPENDENCYPART_ARC
(21,3),-1.61154 # DEPENDENCYPART_ARC
(21,4),-0.956831 # DEPENDENCYPART_ARC
(21,5),-0.585559 # DEPENDENCYPART_ARC
(21,6),-10.8732 # DEPENDENCYPART_ARC
(21,7),-0.881255 # DEPENDENCYPART_ARC
(21,8),-1.49413 # DEPENDENCYPART_ARC
(21,9),-0.600339 # DEPENDENCYPART_ARC
(21,10),0.314039 # DEPENDENCYPART_ARC
(21,11),-0.434146 # DEPENDENCYPART_ARC
(21,12),-6.75718 # DEPENDENCYPART_ARC
(21,13),-0.0382786 # DEPENDENCYPART_ARC
(21,14),-4.52502 # DEPENDENCYPART_ARC
(21,15),0.42434 # DEPENDENCYPART_ARC
(21,16),-1.70817 # DEPENDENCYPART_ARC
(21,17),-1.30368 # DEPENDENCYPART_ARC
(21,18),0.444967 # DEPENDENCYPART_ARC
(21,19),-0.0305701 # DEPENDENCYPART_ARC
(21,20),2.26068 # DEPENDENCYPART_ARC
(21,22),-0.236585 # DEPENDENCYPART_ARC
(21,23),0.195439 # DEPENDENCYPART_ARC
(21,24),-0.333626 # DEPENDENCYPART_ARC
(21,25),-0.673645 # DEPENDENCYPART_ARC
(21,26),-0.673785 # DEPENDENCYPART_ARC
(21,27),-0.619433 # DEPENDENCYPART_ARC
(21,28),-0.764672 # DEPENDENCYPART_ARC
(21,29),-0.731263 # DEPENDENCYPART_ARC
(21,30),-1.11665 # DEPENDENCYPART_ARC
(22,1),-1.44669 # DEPENDENCYPART_ARC
(22,2),0.275634 # DEPENDENCYPART_ARC
(22,3),-1.09356 # DEPENDENCYPART_ARC
(22,4),0.110026 # DEPENDENCYPART_ARC
(22,5),-0.125282 # DEPENDENCYPART_ARC
(22,6),-5.18124 # DEPENDENCYPART_ARC
(22,7),-0.865634 # DEPENDENCYPART_ARC
(22,8),-0.184576 # DEPENDENCYPART_ARC
(22,9),0.151392 # DEPENDENCYPART_ARC
(22,10),0.440783 # DEPENDENCYPART_ARC
(22,11),-0.0656314 # DEPENDENCYPART_ARC
(22,12),-2.97293 # DEPENDENCYPART_ARC
(22,13),-1.58204 # DEPENDENCYPART_ARC
(22,14),-1.7761 # DEPENDENCYPART_ARC
(22,15),-0.475707 # DEPENDENCYPART_ARC
(22,16),-0.817786 # DEPENDENCYPART_ARC
(22,17),-0.280182 # DEPENDENCYPART_ARC
(22,18),0.318836 # DEPENDENCYPART_ARC
(22,19),0.281632 # DEPENDENCYPART_ARC
(22,20),2.89296 # DEPENDENCYPART_ARC
(22,21),3.07331 # DEPENDENCYPART_ARC
(22,23),-0.0386735 # DEPENDENCYPART_ARC
(22,24),-0.53785 # DEPENDENCYPART_ARC
(22,25),-0.92136 # DEPENDENCYPART_ARC
(22,26),-0.40963 # DEPENDENCYPART_ARC
(22,27),-0.893383 # DEPENDENCYPART_ARC
(22,28),-0.99992 # DEPENDENCYPART_ARC
(22,29),-1.30665 # DEPENDENCYPART_ARC
(22,30),-1.21501 # DEPENDENCYPART_ARC
(23,1),-2.14601 # DEPENDENCYPART_ARC
(23,2),-2.95001 # DEPENDENCYPART_ARC
(23,3),-1.72883 # DEPENDENCYPART_ARC
(23,4),-0.47019 # DEPENDENCYPART_ARC
(23,5),-2.23891 # DEPENDENCYPART_ARC
(23,6),-7.10019 # DEPENDENCYPART_ARC
(23,7),-2.22075 # DEPENDENCYPART_ARC
(23,8),-0.701258 # DEPENDENCYPART_ARC
(23,9),-1.83509 # DEPENDENCYPART_ARC
(23,10),-2.90159 # DEPENDENCYPART_ARC
(23,11),-1.18712 # DEPENDENCYPART_ARC
(23,12),-4.78074 # DEPENDENCYPART_ARC
(23,13),-3.40713 # DEPENDENCYPART_ARC
(23,14),-3.58229 # DEPENDENCYPART_ARC
(23,15),-2.12411 # DEPENDENCYPART_ARC
(23,16),-3.7384 # DEPENDENCYPART_ARC
(23,17),-2.01457 # DEPENDENCYPART_ARC
(23,18),-0.426129 # DEPENDENCYPART_ARC
(23,19),-0.289688 # DEPENDENCYPART_ARC
(23,20),0.221196 # DEPENDENCYPART_ARC
(23,21),0.329889 # DEPENDENCYPART_ARC
(23,22),1.64147 # DEPENDENCYPART_ARC
(23,24),0.105856 # DEPENDENCYPART_ARC
(23,25),-0.546862 # DEPENDENCYPART_ARC
(23,26),-0.455904 # DEPENDENCYPART_ARC
(23,27),-1.1355 # DEPENDENCYPART_ARC
(23,28),-0.638015 # DEPENDENCYPART_ARC
(23,29),-1.32179 # DEPENDENCYPART_ARC
(23,30),-0.879435 # DEPENDENCYPART_ARC
(24,1),-1.13144 # DEPENDENCYPART_ARC
(24,2),-0.789959 # DEPENDENCYPART_ARC
(24,3),-2.32315 # DEPENDENCYPART_ARC
(24,4),-1.12876 # DEPENDENCYPART_ARC
(24,5),-1.38113 # DEPENDENCYPART_ARC
(24,6),-13.9027 # DEPENDENCYPART_ARC
(24,7),-0.958757 # DEPENDENCYPART_ARC
(24,8),-1.76281 # DEPENDENCYPART_ARC
(24,9),-0.914224 # DEPENDENCYPART_ARC
(24,10),-0.611384 # DEPENDENCYPART_ARC
(24,11),-1.37445 # DEPENDENCYPART_ARC
(24,12),-9.85181 # DEPENDENCYPART_ARC
(24,13),-1.10739 # DEPENDENCYPART_ARC
(24,14),-7.57835 # DEPENDENCYPART_ARC
(24,15),-0.490009 # DEPENDENCYPART_ARC
(24,16),-5.48978 # DEPENDENCYPART_ARC
(24,17),-4.55387 # DEPENDENCYPART_ARC
(24,18),-0.342349 # DEPENDENCYPART_ARC
(24,19),-0.260075 # DEPENDENCYPART_ARC
(24,20),0.352845 # DEPENDENCYPART_ARC
(24,21),-0.96369 # DEPENDENCYPART_ARC
(24,22),1.16306 # DEPENDENCYPART_ARC
(24,23),1.70111 # DEPENDENCYPART_ARC
(24,25),0.433362 # DEPENDENCYPART_ARC
(24,26),0.735308 # DEPENDENCYPART_ARC
(24,27),0.114383 # DEPENDENCYPART_ARC
(24,28),-0.113622 # DEPENDENCYPART_ARC
(24,29),0.0911334 # DEPENDENCYPART_ARC
(24,30),-0.969824 # DEPENDENCYPART_ARC
(25,1),-0.651514 # DEPENDENCYPART_ARC
(25,2),0.0555108 # DEPENDENCYPART_ARC
(25,3),-2.01596 # DEPENDENCYPART_ARC
(25,4),-1.15902 # DEPENDENCYPART_ARC
(25,5),-0.641691 # DEPENDENCYPART_ARC
(25,6),-15.0326 # DEPENDENCYPART_ARC
(25,7),-1.13487 # DEPENDENCYPART_ARC
(25,8),-1.98507 # DEPENDENCYPART_ARC
(25,9),-0.635201 # DEPENDENCYPART_ARC
(25,10),0.190238 # DEPENDENCYPART_ARC
(25,11),-0.887438 # DEPENDENCYPART_ARC
(25,12),-10.8716 # DEPENDENCYPART_ARC
(25,13),-0.535166 # DEPENDENCYPART_ARC
(25,14),-8.51967 # DEPENDENCYPART_ARC
(25,15),-0.314547 # DEPENDENCYPART_ARC
(25,16),-6.11938 # DEPENDENCYPART_ARC
(25,17),-5.51079 # DEPENDENCYPART_ARC
(25,18),0.176821 # DEPENDENCYPART_ARC
(25,19),-0.253971 # DEPENDENCYPART_ARC
(25,20),0.835311 # DEPENDENCYPART_ARC
(25,21),-2.16305 # DEPENDENCYPART_ARC
(25,22),1.55894 # DEPENDENCYPART_ARC
(25,23),1.94799 # DEPENDENCYPART_ARC
(25,24),3.1054 # DEPENDENCYPART_ARC
(25,26),0.636483 # DEPENDENCYPART_ARC
(25,27),0.0627004 # DEPENDENCYPART_ARC
(25,28),-0.485596 # DEPENDENCYPART_ARC
(25,29),-0.269069 # DEPENDENCYPART_ARC
(25,30),-1.03206 # DEPENDENCYPART_ARC
(26,1),-1.67289 # DEPENDENCYPART_ARC
(26,2),-0.615791 # DEPENDENCYPART_ARC
(26,3),-1.82595 # DEPENDENCYPART_ARC
(26,4),-0.25486 # DEPENDENCYPART_ARC
(26,5),-0.68304 # DEPENDENCYPART_ARC
(26,6),-7.27333 # DEPENDENCYPART_ARC
(26,7),-1.13461 # DEPENDENCYPART_ARC
(26,8),-0.724656 # DEPENDENCYPART_ARC
(26,9),-0.34338 # DEPENDENCYPART_ARC
(26,10),-0.425252 # DEPENDENCYPART_ARC
(26,11),-0.682236 # DEPENDENCYPART_ARC
(26,12),-5.1455 # DEPENDENCYPART_ARC
(26,13),-1.22313 # DEPENDENCYPART_ARC
(26,14),-3.80297 # DEPENDENCYPART_ARC
(26,15),-0.839592 # DEPENDENCYPART_ARC
(26,16),-3.33506 # DEPENDENCYPART_ARC
(26,17),-2.33561 # DEPENDENCYPART_ARC
(26,18),0.105565 # DEPENDENCYPART_ARC
(26,19),-0.168775 # DEPENDENCYPART_ARC
(26,20),1.72645 # DEPENDENCYPART_ARC
(26,21),-0.321295 # DEPENDENCYPART_ARC
(26,22),2.00908 # DEPENDENCYPART_ARC
(26,23),2.0366 # DEPENDENCYPART_ARC
(26,24),1.1074 # DEPENDENCYPART_ARC
(26,25),2.92981 # DEPENDENCYPART_ARC
(26,27),-0.031383 # DEPENDENCYPART_ARC
(26,28),-0.40971 # DEPENDENCYPART_ARC
(26,29),-1.16048 # DEPENDENCYPART_ARC
(26,30),-0.64634 # DEPENDENCYPART_ARC
(27,1),-2.0965 # DEPENDENCYPART_ARC
(27,2),-0.73781 # DEPENDENCYPART_ARC
(27,3),-2.14 # DEPENDENCYPART_ARC
(27,4),-0.51484 # DEPENDENCYPART_ARC
(27,5),-1.66585 # DEPENDENCYPART_ARC
(27,6),-9.11366 # DEPENDENCYPART_ARC
(27,7),-1.28724 # DEPENDENCYPART_ARC
(27,8),-0.878408 # DEPENDENCYPART_ARC
(27,9),-1.20528 # DEPENDENCYPART_ARC
(27,10),-0.819066 # DEPENDENCYPART_ARC
(27,11),-0.624781 # DEPENDENCYPART_ARC
(27,12),-6.70282 # DEPENDENCYPART_ARC
(27,13),-1.58415 # DEPENDENCYPART_ARC
(27,14),-5.36049 # DEPENDENCYPART_ARC
(27,15),-1.45486 # DEPENDENCYPART_ARC
(27,16),-5.06744 # DEPENDENCYPART_ARC
(27,17),-3.71748 # DEPENDENCYPART_ARC
(27,18),-0.00122989 # DEPENDENCYPART_ARC
(27,19),-0.290974 # DEPENDENCYPART_ARC
(27,20),0.552095 # DEPENDENCYPART_ARC
(27,21),-1.97367 # DEPENDENCYPART_ARC
(27,22),1.99109 # DEPENDENCYPART_ARC
(27,23),0.814832 # DEPENDENCYPART_ARC
(27,24),-0.316933 # DEPENDENCYPART_ARC
(27,25),0.60787 # DEPENDENCYPART_ARC
(27,26),3.3404 # DEPENDENCYPART_ARC
(27,28),0.00676816 # DEPENDENCYPART_ARC
(27,29),-0.748276 # DEPENDENCYPART_ARC
(27,30),-0.593926 # DEPENDENCYPART_ARC
(28,1),-0.854644 # DEPENDENCYPART_ARC
(28,2),-0.918008 # DEPENDENCYPART_ARC
(28,3),-2.42633 # DEPENDENCYPART_ARC
(28,4),-1.2632 # DEPENDENCYPART_ARC
(28,5),-1.54869 # DEPENDENCYPART_ARC
(28,6),-18.3249 # DEPENDENCYPART_ARC
(28,7),-1.13215 # DEPENDENCYPART_ARC
(28,8),-2.16161 # DEPENDENCYPART_ARC
(28,9),-1.0445 # DEPENDENCYPART_ARC
(28,10),-0.779442 # DEPENDENCYPART_ARC
(28,11),-1.77742 # DEPENDENCYPART_ARC
(28,12),-14.2374 # DEPENDENCYPART_ARC
(28,13),-1.45647 # DEPENDENCYPART_ARC
(28,14),-11.8608 # DEPENDENCYPART_ARC
(28,15),-0.746579 # DEPENDENCYPART_ARC
(28,16),-9.89219 # DEPENDENCYPART_ARC
(28,17),-8.76065 # DEPENDENCYPART_ARC
(28,18),-0.448816 # DEPENDENCYPART_ARC
(28,19),-0.624802 # DEPENDENCYPART_ARC
(28,20),-0.102907 # DEPENDENCYPART_ARC
(28,21),-5.60575 # DEPENDENCYPART_ARC
(28,22),0.24172 # DEPENDENCYPART_ARC
(28,23),0.407419 # DEPENDENCYPART_ARC
(28,24),-2.21492 # DEPENDENCYPART_ARC
(28,25),-0.946569 # DEPENDENCYPART_ARC
(28,26),1.22067 # DEPENDENCYPART_ARC
(28,27),1.77114 # DEPENDENCYPART_ARC
(28,29),0.802818 # DEPENDENCYPART_ARC
(28,30),-0.254485 # DEPENDENCYPART_ARC
(29,1),0.147759 # DEPENDENCYPART_ARC
(29,2),-1.88653 # DEPENDENCYPART_ARC
(29,3),-2.25122 # DEPENDENCYPART_ARC
(29,4),-0.97706 # DEPENDENCYPART_ARC
(29,5),-0.448813 # DEPENDENCYPART_ARC
(29,6),-14.1018 # DEPENDENCYPART_ARC
(29,7),-0.152343 # DEPENDENCYPART_ARC
(29,8),-1.51005 # DEPENDENCYPART_ARC
(29,9),-0.357683 # DEPENDENCYPART_ARC
(29,10),-1.01538 # DEPENDENCYPART_ARC
(29,11),-0.853416 # DEPENDENCYPART_ARC
(29,12),-10.8362 # DEPENDENCYPART_ARC
(29,13),-0.155569 # DEPENDENCYPART_ARC
(29,14),-9.47173 # DEPENDENCYPART_ARC
(29,15),-0.633477 # DEPENDENCYPART_ARC
(29,16),-7.42981 # DEPENDENCYPART_ARC
(29,17),-7.14918 # DEPENDENCYPART_ARC
(29,18),1.20951 # DEPENDENCYPART_ARC
(29,19),0.346043 # DEPENDENCYPART_ARC
(29,20),1.04538 # DEPENDENCYPART_ARC
(29,21),-4.61679 # DEPENDENCYPART_ARC
(29,22),-0.586444 # DEPENDENCYPART_ARC
(29,23),0.924172 # DEPENDENCYPART_ARC
(29,24),-1.5744 # DEPENDENCYPART_ARC
(29,25),-1.57452 # DEPENDENCYPART_ARC
(29,26),1.80967 # DEPENDENCYPART_ARC
(29,27),2.2082 # DEPENDENCYPART_ARC
(29,28),2.89413 # DEPENDENCYPART_ARC
(29,30),-0.465393 # DEPENDENCYPART_ARC
(30,1),-0.479814 # DEPENDENCYPART_ARC
(30,2),-1.12428 # DEPENDENCYPART_ARC
(30,3),-1.96719 # DEPENDENCYPART_ARC
(30,4),-0.778988 # DEPENDENCYPART_ARC
(30,5),-1.30639 # DEPENDENCYPART_ARC
(30,6),-9.14596 # DEPENDENCYPART_ARC
(30,7),-1.40308 # DEPENDENCYPART_ARC
(30,8),-1.78925 # DEPENDENCYPART_ARC
(30,9),-0.938133 # DEPENDENCYPART_ARC
(30,10),-0.619982 # DEPENDENCYPART_ARC
(30,11),-0.14528 # DEPENDENCYPART_ARC
(30,12),-6.8322 # DEPENDENCYPART_ARC
(30,13),-0.860594 # DEPENDENCYPART_ARC
(30,14),-6.08407 # DEPENDENCYPART_ARC
(30,15),-0.554828 # DEPENDENCYPART_ARC
(30,16),-4.68101 # DEPENDENCYPART_ARC
(30,17),-5.13495 # DEPENDENCYPART_ARC
(30,18),-0.0712013 # DEPENDENCYPART_ARC
(30,19),-0.421969 # DEPENDENCYPART_ARC
(30,20),-0.263779 # DEPENDENCYPART_ARC
(30,21),-3.52089 # DEPENDENCYPART_ARC
(30,22),-0.0371891 # DEPENDENCYPART_ARC
(30,23),0.0546497 # DEPENDENCYPART_ARC
(30,24),-2.3992 # DEPENDENCYPART_ARC
(30,25),-1.87544 # DEPENDENCYPART_ARC
(30,26),0.268408 # DEPENDENCYPART_ARC
(30,27),0.484224 # DEPENDENCYPART_ARC
(30,28),-0.545553 # DEPENDENCYPART_ARC
(30,29),1.97026 # DEPENDENCYPART_ARC
