# _root_ " O zaman , " demiş cadı sesini biraz daha _ _ alçaltarak , " _ alabilirsin , canı ne kadar çekiyorsa _ alabilirsin .
#goldHeads=0,3,4,6,0,14,6,12,10,12,12,13,6,17,0,17,18,24,22,21,22,24,24,25,0,
#predictedHeads=0,3,6,0,0,14,8,12,10,12,12,13,6,0,0,17,18,24,21,21,22,24,24,25,0,
(21,3),-1.62359 # DEPENDENCYPART_ARC
(21,4),-0.475821 # DEPENDENCYPART_ARC
(21,5),-0.598337 # DEPENDENCYPART_ARC
(21,6),-1.08759 # DEPENDENCYPART_ARC
(21,7),-1.23899 # DEPENDENCYPART_ARC
(21,8),-0.946875 # DEPENDENCYPART_ARC
(21,9),-0.239898 # DEPENDENCYPART_ARC
(21,10),-0.511921 # DEPENDENCYPART_ARC
(21,11),-0.620776 # DEPENDENCYPART_ARC
(21,12),-0.738772 # DEPENDENCYPART_ARC
(21,13),-0.311346 # DEPENDENCYPART_ARC
(21,14),0.340691 # DEPENDENCYPART_ARC
(21,15),-0.0636232 # DEPENDENCYPART_ARC
(21,16),-0.5008 # DEPENDENCYPART_ARC
(21,17),-0.234778 # DEPENDENCYPART_ARC
(21,18),0.764558 # DEPENDENCYPART_ARC
(21,19),1.75632 # DEPENDENCYPART_ARC
(21,20),2.28314 # DEPENDENCYPART_ARC
(21,22),0.412277 # DEPENDENCYPART_ARC
(21,23),0.199235 # DEPENDENCYPART_ARC
(21,24),0.114855 # DEPENDENCYPART_ARC
(21,25),0.0214443 # DEPENDENCYPART_ARC
(22,1),-1.56971 # DEPENDENCYPART_ARC
(22,2),-1.27398 # DEPENDENCYPART_ARC
(22,3),0.269276 # DEPENDENCYPART_ARC
(22,4),-0.531267 # DEPENDENCYPART_ARC
(22,5),-0.814911 # DEPENDENCYPART_ARC
(22,6),0.189254 # DEPENDENCYPART_ARC
(22,7),0.0199234 # DEPENDENCYPART_ARC
(22,8),0.0730444 # DEPENDENCYPART_ARC
(22,9),-0.942991 # DEPENDENCYPART_ARC
(22,10),-0.84255 # DEPENDENCYPART_ARC
(22,11),-3.44187 # DEPENDENCYPART_ARC
(22,12),-3.49883 # DEPENDENCYPART_ARC
(22,13),0.443566 # DEPENDENCYPART_ARC
(22,14),0.237528 # DEPENDENCYPART_ARC
(22,15),0.346543 # DEPENDENCYPART_ARC
(22,16),-2.22804 # DEPENDENCYPART_ARC
(22,17),0.254028 # DEPENDENCYPART_ARC
(22,18),1.6862 # DEPENDENCYPART_ARC
(22,19),1.74789 # DEPENDENCYPART_ARC
(22,20),0.978414 # DEPENDENCYPART_ARC
(22,21),2.66616 # DEPENDENCYPART_ARC
(22,23),0.341317 # DEPENDENCYPART_ARC
(22,24),0.369843 # DEPENDENCYPART_ARC
(22,25),-0.182894 # DEPENDENCYPART_ARC
(23,1),-2.21976 # DEPENDENCYPART_ARC
(23,2),-1.72535 # DEPENDENCYPART_ARC
(23,3),-0.310197 # DEPENDENCYPART_ARC
(23,4),-1.64338 # DEPENDENCYPART_ARC
(23,5),-1.50361 # DEPENDENCYPART_ARC
(23,6),-1.19965 # DEPENDENCYPART_ARC
(23,7),-0.938023 # DEPENDENCYPART_ARC
(23,8),-0.39176 # DEPENDENCYPART_ARC
(23,9),-1.24411 # DEPENDENCYPART_ARC
(23,10),-2.04967 # DEPENDENCYPART_ARC
(23,11),-6.05603 # DEPENDENCYPART_ARC
(23,12),-5.42786 # DEPENDENCYPART_ARC
(23,13),-0.652597 # DEPENDENCYPART_ARC
(23,14),-0.862396 # DEPENDENCYPART_ARC
(23,15),-0.593116 # DEPENDENCYPART_ARC
(23,16),-3.7194 # DEPENDENCYPART_ARC
(23,17),-0.59288 # DEPENDENCYPART_ARC
(23,18),0.839259 # DEPENDENCYPART_ARC
(23,19),0.535376 # DEPENDENCYPART_ARC
(23,20),-0.112401 # DEPENDENCYPART_ARC
(23,21),0.491926 # DEPENDENCYPART_ARC
(23,22),2.12165 # DEPENDENCYPART_ARC
(23,24),0.824913 # DEPENDENCYPART_ARC
(23,25),-0.0153602 # DEPENDENCYPART_ARC
(24,1),-1.69397 # DEPENDENCYPART_ARC
(24,2),-1.11177 # DEPENDENCYPART_ARC
(24,3),0.395364 # DEPENDENCYPART_ARC
(24,4),-0.966892 # DEPENDENCYPART_ARC
(24,5),-1.05887 # DEPENDENCYPART_ARC
(24,6),0.368515 # DEPENDENCYPART_ARC
(24,7),-0.218935 # DEPENDENCYPART_ARC
(24,8),0.595019 # DEPENDENCYPART_ARC
(24,9),-0.865369 # DEPENDENCYPART_ARC
(24,10),-0.794392 # DEPENDENCYPART_ARC
(24,11),-4.82575 # DEPENDENCYPART_ARC
(24,12),-4.51457 # DEPENDENCYPART_ARC
(24,13),0.816261 # DEPENDENCYPART_ARC
(24,14),-0.205799 # DEPENDENCYPART_ARC
(24,15),0.0554715 # DEPENDENCYPART_ARC
(24,16),-2.61105 # DEPENDENCYPART_ARC
(24,17),-0.643373 # DEPENDENCYPART_ARC
(24,18),1.75784 # DEPENDENCYPART_ARC
(24,19),1.50532 # DEPENDENCYPART_ARC
(24,20),0.743139 # DEPENDENCYPART_ARC
(24,21),1.41768 # DEPENDENCYPART_ARC
(24,22),2.93114 # DEPENDENCYPART_ARC
(24,23),2.60132 # DEPENDENCYPART_ARC
(24,25),-0.52921 # DEPENDENCYPART_ARC
(25,1),-1.46565 # DEPENDENCYPART_ARC
(25,2),-0.673991 # DEPENDENCYPART_ARC
(25,3),-1.04861 # DEPENDENCYPART_ARC
(25,4),-2.57782 # DEPENDENCYPART_ARC
(25,5),-0.845657 # DEPENDENCYPART_ARC
(25,6),-0.0280739 # DEPENDENCYPART_ARC
(25,7),-0.596862 # DEPENDENCYPART_ARC
(25,8),-0.363078 # DEPENDENCYPART_ARC
(25,9),-1.41148 # DEPENDENCYPART_ARC
(25,10),-2.20374 # DEPENDENCYPART_ARC
(25,11),-3.18866 # DEPENDENCYPART_ARC
(25,12),-3.06803 # DEPENDENCYPART_ARC
(25,13),-0.706647 # DEPENDENCYPART_ARC
(25,14),-1.22319 # DEPENDENCYPART_ARC
(25,15),-0.137554 # DEPENDENCYPART_ARC
(25,16),-2.16913 # DEPENDENCYPART_ARC
(25,17),0.298262 # DEPENDENCYPART_ARC
(25,18),0.317159 # DEPENDENCYPART_ARC
(25,19),0.512549 # DEPENDENCYPART_ARC
(25,20),-0.34523 # DEPENDENCYPART_ARC
(25,21),0.157435 # DEPENDENCYPART_ARC
(25,22),1.11101 # DEPENDENCYPART_ARC
(25,23),-0.358528 # DEPENDENCYPART_ARC
(25,24),1.97026 # DEPENDENCYPART_ARC
