# _root_ Ancak özellikle evrenbilim ve parçacık fiziğinde bugün bu ilke ne yazık ki _ çiğnenmiş , bu iki bilim dalı metafizik öğelerle , hayaletlerle dolmuştur .
#goldHeads=15,14,4,6,6,13,14,9,14,11,12,14,14,15,24,19,19,19,24,21,22,23,24,25,0,
#predictedHeads=25,3,4,5,6,14,14,9,10,11,14,11,14,15,0,19,18,19,20,21,24,0,24,25,0,
(22,1),0.0227534 # DEPENDENCYPART_ARC
(22,2),-0.645896 # DEPENDENCYPART_ARC
(22,3),-1.00107 # DEPENDENCYPART_ARC
(22,4),-1.20991 # DEPENDENCYPART_ARC
(22,5),-0.759083 # DEPENDENCYPART_ARC
(22,6),-0.853882 # DEPENDENCYPART_ARC
(22,7),-0.913422 # DEPENDENCYPART_ARC
(22,8),-0.904761 # DEPENDENCYPART_ARC
(22,9),-0.612375 # DEPENDENCYPART_ARC
(22,10),-1.23725 # DEPENDENCYPART_ARC
(22,11),-0.363836 # DEPENDENCYPART_ARC
(22,12),-0.629089 # DEPENDENCYPART_ARC
(22,13),-2.89834 # DEPENDENCYPART_ARC
(22,14),0.488239 # DEPENDENCYPART_ARC
(22,15),-0.200916 # DEPENDENCYPART_ARC
(22,16),-0.501809 # DEPENDENCYPART_ARC
(22,17),-0.423903 # DEPENDENCYPART_ARC
(22,18),0.0135879 # DEPENDENCYPART_ARC
(22,19),0.224703 # DEPENDENCYPART_ARC
(22,20),0.287504 # DEPENDENCYPART_ARC
(22,21),0.997872 # DEPENDENCYPART_ARC
(22,23),0.458465 # DEPENDENCYPART_ARC
(22,24),-0.123767 # DEPENDENCYPART_ARC
(22,25),-0.531189 # DEPENDENCYPART_ARC
(23,1),-1.6572 # DEPENDENCYPART_ARC
(23,2),-0.744534 # DEPENDENCYPART_ARC
(23,3),-1.47631 # DEPENDENCYPART_ARC
(23,4),-0.885127 # DEPENDENCYPART_ARC
(23,5),-1.23536 # DEPENDENCYPART_ARC
(23,6),-1.99209 # DEPENDENCYPART_ARC
(23,7),-0.956869 # DEPENDENCYPART_ARC
(23,8),-1.00638 # DEPENDENCYPART_ARC
(23,9),-1.16106 # DEPENDENCYPART_ARC
(23,10),-0.757624 # DEPENDENCYPART_ARC
(23,11),-0.342529 # DEPENDENCYPART_ARC
(23,12),-1.13877 # DEPENDENCYPART_ARC
(23,13),-2.79461 # DEPENDENCYPART_ARC
(23,14),-0.390076 # DEPENDENCYPART_ARC
(23,15),-0.565986 # DEPENDENCYPART_ARC
(23,16),-0.405645 # DEPENDENCYPART_ARC
(23,17),-0.0280645 # DEPENDENCYPART_ARC
(23,18),-0.858149 # DEPENDENCYPART_ARC
(23,19),-0.515563 # DEPENDENCYPART_ARC
(23,20),-0.37533 # DEPENDENCYPART_ARC
(23,21),-1.2886 # DEPENDENCYPART_ARC
(23,22),1.07982 # DEPENDENCYPART_ARC
(23,24),-0.250483 # DEPENDENCYPART_ARC
(23,25),0.182578 # DEPENDENCYPART_ARC
(24,1),-0.86152 # DEPENDENCYPART_ARC
(24,2),-0.861414 # DEPENDENCYPART_ARC
(24,3),0.0379212 # DEPENDENCYPART_ARC
(24,4),-0.836671 # DEPENDENCYPART_ARC
(24,5),-0.0884202 # DEPENDENCYPART_ARC
(24,6),0.201649 # DEPENDENCYPART_ARC
(24,7),0.98516 # DEPENDENCYPART_ARC
(24,8),-0.151914 # DEPENDENCYPART_ARC
(24,9),0.28277 # DEPENDENCYPART_ARC
(24,10),-1.69744 # DEPENDENCYPART_ARC
(24,11),0.0112492 # DEPENDENCYPART_ARC
(24,12),-0.37552 # DEPENDENCYPART_ARC
(24,13),-4.27956 # DEPENDENCYPART_ARC
(24,14),0.573455 # DEPENDENCYPART_ARC
(24,15),0.864128 # DEPENDENCYPART_ARC
(24,16),-0.0721332 # DEPENDENCYPART_ARC
(24,17),-0.686964 # DEPENDENCYPART_ARC
(24,18),0.855023 # DEPENDENCYPART_ARC
(24,19),1.33406 # DEPENDENCYPART_ARC
(24,20),1.16395 # DEPENDENCYPART_ARC
(24,21),1.66157 # DEPENDENCYPART_ARC
(24,22),0.519363 # DEPENDENCYPART_ARC
(24,23),3.4204 # DEPENDENCYPART_ARC
(24,25),-0.263821 # DEPENDENCYPART_ARC
(25,1),1.73865 # DEPENDENCYPART_ARC
(25,2),-1.07759 # DEPENDENCYPART_ARC
(25,3),-0.785956 # DEPENDENCYPART_ARC
(25,4),-1.32865 # DEPENDENCYPART_ARC
(25,5),-0.495126 # DEPENDENCYPART_ARC
(25,6),-0.454188 # DEPENDENCYPART_ARC
(25,7),-0.613498 # DEPENDENCYPART_ARC
(25,8),-0.2113 # DEPENDENCYPART_ARC
(25,9),-0.375468 # DEPENDENCYPART_ARC
(25,10),-1.34759 # DEPENDENCYPART_ARC
(25,11),0.0212159 # DEPENDENCYPART_ARC
(25,12),0.492285 # DEPENDENCYPART_ARC
(25,13),-4.53597 # DEPENDENCYPART_ARC
(25,14),0.0771004 # DEPENDENCYPART_ARC
(25,15),0.000523123 # DEPENDENCYPART_ARC
(25,16),-0.408814 # DEPENDENCYPART_ARC
(25,17),-0.566545 # DEPENDENCYPART_ARC
(25,18),0.0267372 # DEPENDENCYPART_ARC
(25,19),0.11255 # DEPENDENCYPART_ARC
(25,20),0.102048 # DEPENDENCYPART_ARC
(25,21),0.121637 # DEPENDENCYPART_ARC
(25,22),0.283213 # DEPENDENCYPART_ARC
(25,23),0.275258 # DEPENDENCYPART_ARC
(25,24),1.71396 # DEPENDENCYPART_ARC
