# _root_ Uykusunu bir _ türlü _ _ alamayan eşeğin gönlünü _ almak için _ çeşitli _ komiklikler yapar , ona şeker verir , sağrısını sıvazlarmış .
#goldHeads=6,4,4,6,6,7,8,9,10,11,12,17,14,16,16,17,18,21,21,21,22,24,24,25,0,
#predictedHeads=17,4,4,8,6,7,8,9,10,11,12,17,14,15,16,17,18,21,21,21,22,24,24,25,0,
(21,19),2.61164 # DEPENDENCYPART_ARC
(21,20),3.78293 # DEPENDENCYPART_ARC
(21,22),-0.196006 # DEPENDENCYPART_ARC
(21,23),0.0904364 # DEPENDENCYPART_ARC
(21,24),-0.247989 # DEPENDENCYPART_ARC
(21,25),-1.14406 # DEPENDENCYPART_ARC
(22,1),-0.697868 # DEPENDENCYPART_ARC
(22,2),-0.970362 # DEPENDENCYPART_ARC
(22,3),-4.88668 # DEPENDENCYPART_ARC
(22,4),-2.08067 # DEPENDENCYPART_ARC
(22,5),-4.69554 # DEPENDENCYPART_ARC
(22,6),-4.45073 # DEPENDENCYPART_ARC
(22,7),-1.50905 # DEPENDENCYPART_ARC
(22,8),-0.371877 # DEPENDENCYPART_ARC
(22,9),-0.375681 # DEPENDENCYPART_ARC
(22,10),-3.97778 # DEPENDENCYPART_ARC
(22,11),-0.275129 # DEPENDENCYPART_ARC
(22,12),-0.3371 # DEPENDENCYPART_ARC
(22,13),-2.06646 # DEPENDENCYPART_ARC
(22,14),-0.854124 # DEPENDENCYPART_ARC
(22,15),-1.48731 # DEPENDENCYPART_ARC
(22,16),0.110546 # DEPENDENCYPART_ARC
(22,17),-0.331407 # DEPENDENCYPART_ARC
(22,18),0.408302 # DEPENDENCYPART_ARC
(22,19),-0.0426321 # DEPENDENCYPART_ARC
(22,20),0.580754 # DEPENDENCYPART_ARC
(22,21),1.64113 # DEPENDENCYPART_ARC
(22,23),0.363507 # DEPENDENCYPART_ARC
(22,24),-0.080639 # DEPENDENCYPART_ARC
(22,25),-0.290678 # DEPENDENCYPART_ARC
(23,1),-1.82095 # DEPENDENCYPART_ARC
(23,2),-0.928721 # DEPENDENCYPART_ARC
(23,3),-9.19465 # DEPENDENCYPART_ARC
(23,4),-0.208556 # DEPENDENCYPART_ARC
(23,5),-7.42285 # DEPENDENCYPART_ARC
(23,6),-6.635 # DEPENDENCYPART_ARC
(23,7),-0.923616 # DEPENDENCYPART_ARC
(23,8),0.208576 # DEPENDENCYPART_ARC
(23,9),-0.990832 # DEPENDENCYPART_ARC
(23,10),-4.14637 # DEPENDENCYPART_ARC
(23,11),-0.58444 # DEPENDENCYPART_ARC
(23,12),-0.437126 # DEPENDENCYPART_ARC
(23,13),-3.64729 # DEPENDENCYPART_ARC
(23,14),0.0170663 # DEPENDENCYPART_ARC
(23,15),-2.35761 # DEPENDENCYPART_ARC
(23,16),0.346248 # DEPENDENCYPART_ARC
(23,17),-0.347847 # DEPENDENCYPART_ARC
(23,18),-0.458254 # DEPENDENCYPART_ARC
(23,19),-0.251743 # DEPENDENCYPART_ARC
(23,20),0.218514 # DEPENDENCYPART_ARC
(23,21),0.322455 # DEPENDENCYPART_ARC
(23,22),0.850271 # DEPENDENCYPART_ARC
(23,24),-0.230911 # DEPENDENCYPART_ARC
(23,25),0.224933 # DEPENDENCYPART_ARC
(24,1),0.144748 # DEPENDENCYPART_ARC
(24,2),-0.950462 # DEPENDENCYPART_ARC
(24,3),-10.8698 # DEPENDENCYPART_ARC
(24,4),-1.15033 # DEPENDENCYPART_ARC
(24,5),-10.0517 # DEPENDENCYPART_ARC
(24,6),-9.72363 # DEPENDENCYPART_ARC
(24,7),-1.00684 # DEPENDENCYPART_ARC
(24,8),-1.62023 # DEPENDENCYPART_ARC
(24,9),-0.241041 # DEPENDENCYPART_ARC
(24,10),-7.0576 # DEPENDENCYPART_ARC
(24,11),0.158593 # DEPENDENCYPART_ARC
(24,12),0.676621 # DEPENDENCYPART_ARC
(24,13),-4.27074 # DEPENDENCYPART_ARC
(24,14),-0.531598 # DEPENDENCYPART_ARC
(24,15),-2.9865 # DEPENDENCYPART_ARC
(24,16),0.618255 # DEPENDENCYPART_ARC
(24,17),-0.810471 # DEPENDENCYPART_ARC
(24,18),0.986554 # DEPENDENCYPART_ARC
(24,19),0.633841 # DEPENDENCYPART_ARC
(24,20),0.784963 # DEPENDENCYPART_ARC
(24,21),-0.327221 # DEPENDENCYPART_ARC
(24,22),1.82863 # DEPENDENCYPART_ARC
(24,23),3.16255 # DEPENDENCYPART_ARC
(24,25),-0.475534 # DEPENDENCYPART_ARC
(25,1),-0.713466 # DEPENDENCYPART_ARC
(25,2),-0.716282 # DEPENDENCYPART_ARC
(25,3),-7.11687 # DEPENDENCYPART_ARC
(25,4),-1.90602 # DEPENDENCYPART_ARC
(25,5),-6.9861 # DEPENDENCYPART_ARC
(25,6),-6.47379 # DEPENDENCYPART_ARC
(25,7),-1.05088 # DEPENDENCYPART_ARC
(25,8),-0.458779 # DEPENDENCYPART_ARC
(25,9),-0.583347 # DEPENDENCYPART_ARC
(25,10),-5.22166 # DEPENDENCYPART_ARC
(25,11),-0.565331 # DEPENDENCYPART_ARC
(25,12),-0.319848 # DEPENDENCYPART_ARC
(25,13),-3.62666 # DEPENDENCYPART_ARC
(25,14),-0.526686 # DEPENDENCYPART_ARC
(25,15),-2.81814 # DEPENDENCYPART_ARC
(25,16),-0.278398 # DEPENDENCYPART_ARC
(25,17),-0.059208 # DEPENDENCYPART_ARC
(25,18),0.0859461 # DEPENDENCYPART_ARC
(25,19),-0.583672 # DEPENDENCYPART_ARC
(25,20),-0.181823 # DEPENDENCYPART_ARC
(25,21),0.449014 # DEPENDENCYPART_ARC
(25,22),0.659393 # DEPENDENCYPART_ARC
(25,23),0.252945 # DEPENDENCYPART_ARC
(25,24),1.69165 # DEPENDENCYPART_ARC
