# _root_ Kendi yaşam alanını güvence altında _ gören _ Papalık , bunun _ verdiği _ rahatlıkla , yakın geçmişte Darwin'le bile _ barışmakta bir beis görmemiştir .
#goldHeads=3,3,6,5,6,7,8,9,25,0,12,13,14,15,25,0,18,21,21,19,22,25,24,25,26,0,
#predictedHeads=2,3,6,5,6,7,9,9,10,0,12,13,15,15,16,0,18,21,21,21,22,25,24,25,26,0,
(21,22),0.817936 # DEPENDENCYPART_ARC
(21,23),0.00463671 # DEPENDENCYPART_ARC
(21,24),-0.249269 # DEPENDENCYPART_ARC
(21,25),-0.399688 # DEPENDENCYPART_ARC
(21,26),-0.539818 # DEPENDENCYPART_ARC
(22,1),-1.52898 # DEPENDENCYPART_ARC
(22,2),-1.41481 # DEPENDENCYPART_ARC
(22,3),-1.80518 # DEPENDENCYPART_ARC
(22,4),-0.770856 # DEPENDENCYPART_ARC
(22,5),-1.88177 # DEPENDENCYPART_ARC
(22,6),-6.18452 # DEPENDENCYPART_ARC
(22,7),-0.345741 # DEPENDENCYPART_ARC
(22,8),-5.76372 # DEPENDENCYPART_ARC
(22,9),-0.182701 # DEPENDENCYPART_ARC
(22,10),0.228751 # DEPENDENCYPART_ARC
(22,11),-0.228609 # DEPENDENCYPART_ARC
(22,12),-4.00798 # DEPENDENCYPART_ARC
(22,13),-0.203842 # DEPENDENCYPART_ARC
(22,14),-3.28408 # DEPENDENCYPART_ARC
(22,15),-1.55334 # DEPENDENCYPART_ARC
(22,16),0.559376 # DEPENDENCYPART_ARC
(22,17),0.559469 # DEPENDENCYPART_ARC
(22,18),-0.467606 # DEPENDENCYPART_ARC
(22,19),-0.0914092 # DEPENDENCYPART_ARC
(22,20),0.62628 # DEPENDENCYPART_ARC
(22,21),2.50431 # DEPENDENCYPART_ARC
(22,23),-0.0767862 # DEPENDENCYPART_ARC
(22,24),-0.288322 # DEPENDENCYPART_ARC
(22,25),-0.942188 # DEPENDENCYPART_ARC
(22,26),-0.724397 # DEPENDENCYPART_ARC
(23,2),-0.652625 # DEPENDENCYPART_ARC
(23,3),-0.555122 # DEPENDENCYPART_ARC
(23,4),-0.646498 # DEPENDENCYPART_ARC
(23,5),-0.65575 # DEPENDENCYPART_ARC
(23,8),-0.700059 # DEPENDENCYPART_ARC
(23,9),-0.660428 # DEPENDENCYPART_ARC
(23,10),-0.912795 # DEPENDENCYPART_ARC
(23,13),-1.02018 # DEPENDENCYPART_ARC
(23,14),-0.918329 # DEPENDENCYPART_ARC
(23,15),-0.836938 # DEPENDENCYPART_ARC
(23,16),-0.449194 # DEPENDENCYPART_ARC
(23,17),-0.657346 # DEPENDENCYPART_ARC
(23,18),-0.569537 # DEPENDENCYPART_ARC
(23,19),-0.456154 # DEPENDENCYPART_ARC
(23,20),-0.36716 # DEPENDENCYPART_ARC
(23,24),0.00960434 # DEPENDENCYPART_ARC
(23,26),-0.303347 # DEPENDENCYPART_ARC
(24,1),-1.6898 # DEPENDENCYPART_ARC
(24,2),-1.39879 # DEPENDENCYPART_ARC
(24,3),-1.85596 # DEPENDENCYPART_ARC
(24,4),-0.991793 # DEPENDENCYPART_ARC
(24,5),-1.96176 # DEPENDENCYPART_ARC
(24,6),-7.06883 # DEPENDENCYPART_ARC
(24,7),-0.559124 # DEPENDENCYPART_ARC
(24,8),-6.31358 # DEPENDENCYPART_ARC
(24,9),-0.207172 # DEPENDENCYPART_ARC
(24,10),-0.0454744 # DEPENDENCYPART_ARC
(24,11),-0.5523 # DEPENDENCYPART_ARC
(24,12),-4.74402 # DEPENDENCYPART_ARC
(24,13),-0.719802 # DEPENDENCYPART_ARC
(24,14),-4.06965 # DEPENDENCYPART_ARC
(24,15),-1.2458 # DEPENDENCYPART_ARC
(24,16),0.31372 # DEPENDENCYPART_ARC
(24,17),0.11832 # DEPENDENCYPART_ARC
(24,18),-0.306311 # DEPENDENCYPART_ARC
(24,19),0.146523 # DEPENDENCYPART_ARC
(24,20),0.145136 # DEPENDENCYPART_ARC
(24,21),0.627997 # DEPENDENCYPART_ARC
(24,22),0.586952 # DEPENDENCYPART_ARC
(24,23),2.79574 # DEPENDENCYPART_ARC
(24,25),0.00504354 # DEPENDENCYPART_ARC
(24,26),0.112558 # DEPENDENCYPART_ARC
(25,1),-2.17417 # DEPENDENCYPART_ARC
(25,2),0.391665 # DEPENDENCYPART_ARC
(25,3),0.403056 # DEPENDENCYPART_ARC
(25,4),0.0962929 # DEPENDENCYPART_ARC
(25,5),-0.465268 # DEPENDENCYPART_ARC
(25,6),-9.11207 # DEPENDENCYPART_ARC
(25,7),-0.941603 # DEPENDENCYPART_ARC
(25,8),-7.06487 # DEPENDENCYPART_ARC
(25,9),0.0730304 # DEPENDENCYPART_ARC
(25,10),-0.375827 # DEPENDENCYPART_ARC
(25,11),-0.638389 # DEPENDENCYPART_ARC
(25,12),-6.25443 # DEPENDENCYPART_ARC
(25,13),-0.42157 # DEPENDENCYPART_ARC
(25,14),-5.31257 # DEPENDENCYPART_ARC
(25,15),1.01302 # DEPENDENCYPART_ARC
(25,16),0.0469984 # DEPENDENCYPART_ARC
(25,17),-0.135584 # DEPENDENCYPART_ARC
(25,18),1.43892 # DEPENDENCYPART_ARC
(25,19),1.30303 # DEPENDENCYPART_ARC
(25,20),0.293298 # DEPENDENCYPART_ARC
(25,21),-0.750128 # DEPENDENCYPART_ARC
(25,22),1.83409 # DEPENDENCYPART_ARC
(25,23),0.924951 # DEPENDENCYPART_ARC
(25,24),3.29972 # DEPENDENCYPART_ARC
(25,26),-0.223187 # DEPENDENCYPART_ARC
(26,1),-1.07988 # DEPENDENCYPART_ARC
(26,2),-0.62719 # DEPENDENCYPART_ARC
(26,3),-0.520502 # DEPENDENCYPART_ARC
(26,4),-0.428401 # DEPENDENCYPART_ARC
(26,5),-0.658245 # DEPENDENCYPART_ARC
(26,6),-6.88928 # DEPENDENCYPART_ARC
(26,7),-0.75823 # DEPENDENCYPART_ARC
(26,8),-5.18098 # DEPENDENCYPART_ARC
(26,9),-0.0314375 # DEPENDENCYPART_ARC
(26,10),-0.423144 # DEPENDENCYPART_ARC
(26,11),-0.844098 # DEPENDENCYPART_ARC
(26,12),-5.21548 # DEPENDENCYPART_ARC
(26,13),-0.520955 # DEPENDENCYPART_ARC
(26,14),-4.39411 # DEPENDENCYPART_ARC
(26,15),0.240864 # DEPENDENCYPART_ARC
(26,16),-0.0560191 # DEPENDENCYPART_ARC
(26,17),0.0663229 # DEPENDENCYPART_ARC
(26,18),0.494954 # DEPENDENCYPART_ARC
(26,19),0.542471 # DEPENDENCYPART_ARC
(26,20),-0.164957 # DEPENDENCYPART_ARC
(26,21),-1.84612 # DEPENDENCYPART_ARC
(26,22),0.375206 # DEPENDENCYPART_ARC
(26,23),0.464969 # DEPENDENCYPART_ARC
(26,24),0.576982 # DEPENDENCYPART_ARC
(26,25),1.89545 # DEPENDENCYPART_ARC
