# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,19,4,6,6,7,9,9,16,0,12,13,16,15,16,17,22,19,20,22,22,23,0,
(23,1),-1.78393 # DEPENDENCYPART_ARC
(23,2),-1.04492 # DEPENDENCYPART_ARC
(23,3),-0.427897 # DEPENDENCYPART_ARC
(23,4),-0.643311 # DEPENDENCYPART_ARC
(23,5),-5.68635 # DEPENDENCYPART_ARC
(23,6),-4.99083 # DEPENDENCYPART_ARC
(23,7),-0.885668 # DEPENDENCYPART_ARC
(23,8),-4.63221 # DEPENDENCYPART_ARC
(23,9),-0.264626 # DEPENDENCYPART_ARC
(23,10),-0.548619 # DEPENDENCYPART_ARC
(23,11),-0.116336 # DEPENDENCYPART_ARC
(23,12),-0.0567626 # DEPENDENCYPART_ARC
(23,13),-0.0738896 # DEPENDENCYPART_ARC
(23,14),-2.4142 # DEPENDENCYPART_ARC
(23,15),-2.80937 # DEPENDENCYPART_ARC
(23,16),0.271007 # DEPENDENCYPART_ARC
(23,17),0.563667 # DEPENDENCYPART_ARC
(23,18),0.120676 # DEPENDENCYPART_ARC
(23,19),0.604461 # DEPENDENCYPART_ARC
(23,20),0.493289 # DEPENDENCYPART_ARC
(23,21),0.400285 # DEPENDENCYPART_ARC
(23,22),1.82935 # DEPENDENCYPART_ARC
