# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(18,23),0.150565 # DEPENDENCYPART_ARC
(18,24),0.329271 # DEPENDENCYPART_ARC
(18,25),-0.215266 # DEPENDENCYPART_ARC
(18,26),0.491416 # DEPENDENCYPART_ARC
(18,27),-0.864896 # DEPENDENCYPART_ARC
(18,28),0.840549 # DEPENDENCYPART_ARC
(19,1),-2.89893 # DEPENDENCYPART_ARC
(19,2),-2.68018 # DEPENDENCYPART_ARC
(19,3),-2.42006 # DEPENDENCYPART_ARC
(19,4),-0.918556 # DEPENDENCYPART_ARC
(19,5),-3.01177 # DEPENDENCYPART_ARC
(19,6),-2.6582 # DEPENDENCYPART_ARC
(19,7),-2.40161 # DEPENDENCYPART_ARC
(19,8),-2.23831 # DEPENDENCYPART_ARC
(19,9),-2.22588 # DEPENDENCYPART_ARC
(19,10),-2.13923 # DEPENDENCYPART_ARC
(19,11),-1.68625 # DEPENDENCYPART_ARC
(19,12),-1.84945 # DEPENDENCYPART_ARC
(19,13),-1.28182 # DEPENDENCYPART_ARC
(19,14),-1.72253 # DEPENDENCYPART_ARC
(19,15),-1.00752 # DEPENDENCYPART_ARC
(19,16),-1.21954 # DEPENDENCYPART_ARC
(19,17),-1.23155 # DEPENDENCYPART_ARC
(19,18),-1.01914 # DEPENDENCYPART_ARC
(19,20),-0.34771 # DEPENDENCYPART_ARC
(19,21),-1.12561 # DEPENDENCYPART_ARC
(19,22),-0.850511 # DEPENDENCYPART_ARC
(19,23),-1.48075 # DEPENDENCYPART_ARC
(19,24),-1.24736 # DEPENDENCYPART_ARC
(19,25),-1.96137 # DEPENDENCYPART_ARC
(19,26),-1.48555 # DEPENDENCYPART_ARC
(19,27),-2.21146 # DEPENDENCYPART_ARC
(19,28),-1.46026 # DEPENDENCYPART_ARC
(20,1),-2.53396 # DEPENDENCYPART_ARC
(20,2),-1.91786 # DEPENDENCYPART_ARC
(20,3),-3.34482 # DEPENDENCYPART_ARC
(20,4),-2.78693 # DEPENDENCYPART_ARC
(20,5),-2.84266 # DEPENDENCYPART_ARC
(20,6),-2.81702 # DEPENDENCYPART_ARC
(20,7),-2.28881 # DEPENDENCYPART_ARC
(20,8),-2.29719 # DEPENDENCYPART_ARC
(20,9),-2.18508 # DEPENDENCYPART_ARC
(20,10),-2.0152 # DEPENDENCYPART_ARC
(20,11),-2.04867 # DEPENDENCYPART_ARC
(20,12),-1.70214 # DEPENDENCYPART_ARC
(20,13),-1.12419 # DEPENDENCYPART_ARC
(20,14),-1.52734 # DEPENDENCYPART_ARC
(20,15),-1.75649 # DEPENDENCYPART_ARC
(20,16),-1.55864 # DEPENDENCYPART_ARC
(20,17),-0.388684 # DEPENDENCYPART_ARC
(20,18),-0.932867 # DEPENDENCYPART_ARC
(20,19),-0.0361575 # DEPENDENCYPART_ARC
(20,21),0.548181 # DEPENDENCYPART_ARC
(20,22),0.108265 # DEPENDENCYPART_ARC
(20,23),-0.250461 # DEPENDENCYPART_ARC
(20,24),-0.8555 # DEPENDENCYPART_ARC
(20,25),-0.809505 # DEPENDENCYPART_ARC
(20,26),-0.302136 # DEPENDENCYPART_ARC
(20,27),-1.1754 # DEPENDENCYPART_ARC
(20,28),-0.0502939 # DEPENDENCYPART_ARC
(21,1),-2.53726 # DEPENDENCYPART_ARC
(21,2),-0.813543 # DEPENDENCYPART_ARC
(21,3),-5.39189 # DEPENDENCYPART_ARC
(21,4),-2.58716 # DEPENDENCYPART_ARC
(21,5),-4.92611 # DEPENDENCYPART_ARC
(21,6),-2.47932 # DEPENDENCYPART_ARC
(21,7),-2.12277 # DEPENDENCYPART_ARC
(21,8),-2.82039 # DEPENDENCYPART_ARC
(21,9),-2.31485 # DEPENDENCYPART_ARC
(21,10),-3.2462 # DEPENDENCYPART_ARC
(21,11),-2.03755 # DEPENDENCYPART_ARC
(21,12),-1.45976 # DEPENDENCYPART_ARC
(21,13),1.67287 # DEPENDENCYPART_ARC
(21,14),-0.73359 # DEPENDENCYPART_ARC
(21,15),-0.722406 # DEPENDENCYPART_ARC
(21,16),-1.52301 # DEPENDENCYPART_ARC
(21,17),0.222869 # DEPENDENCYPART_ARC
(21,18),0.182766 # DEPENDENCYPART_ARC
(21,19),0.437032 # DEPENDENCYPART_ARC
(21,20),4.41861 # DEPENDENCYPART_ARC
(21,22),3.83022 # DEPENDENCYPART_ARC
(21,23),1.28748 # DEPENDENCYPART_ARC
(21,24),1.72798 # DEPENDENCYPART_ARC
(21,25),0.635177 # DEPENDENCYPART_ARC
(21,26),1.34695 # DEPENDENCYPART_ARC
(21,27),0.0754968 # DEPENDENCYPART_ARC
(21,28),1.41801 # DEPENDENCYPART_ARC
(22,1),-4.06654 # DEPENDENCYPART_ARC
(22,2),-3.65444 # DEPENDENCYPART_ARC
(22,3),-3.94716 # DEPENDENCYPART_ARC
(22,4),-3.04658 # DEPENDENCYPART_ARC
(22,5),-2.78217 # DEPENDENCYPART_ARC
(22,6),-3.20148 # DEPENDENCYPART_ARC
(22,7),-2.52237 # DEPENDENCYPART_ARC
(22,8),-2.55118 # DEPENDENCYPART_ARC
(22,9),-2.31509 # DEPENDENCYPART_ARC
(22,10),-2.39791 # DEPENDENCYPART_ARC
(22,11),-2.10503 # DEPENDENCYPART_ARC
(22,12),-1.76699 # DEPENDENCYPART_ARC
(22,13),-1.95788 # DEPENDENCYPART_ARC
(22,14),-1.66679 # DEPENDENCYPART_ARC
(22,15),-1.9764 # DEPENDENCYPART_ARC
(22,16),-1.79317 # DEPENDENCYPART_ARC
(22,17),-1.31303 # DEPENDENCYPART_ARC
(22,18),-1.00293 # DEPENDENCYPART_ARC
(22,19),-0.844716 # DEPENDENCYPART_ARC
(22,20),-0.433853 # DEPENDENCYPART_ARC
(22,21),0.11893 # DEPENDENCYPART_ARC
(22,23),4.15619 # DEPENDENCYPART_ARC
(22,24),0.92271 # DEPENDENCYPART_ARC
(22,25),0.772979 # DEPENDENCYPART_ARC
(22,26),0.0443895 # DEPENDENCYPART_ARC
(22,27),-1.25388 # DEPENDENCYPART_ARC
(22,28),0.275779 # DEPENDENCYPART_ARC
(23,1),-2.41765 # DEPENDENCYPART_ARC
(23,2),-5.32064 # DEPENDENCYPART_ARC
(23,3),-6.18415 # DEPENDENCYPART_ARC
(23,4),-2.57433 # DEPENDENCYPART_ARC
(23,5),-5.46052 # DEPENDENCYPART_ARC
(23,6),-3.09591 # DEPENDENCYPART_ARC
(23,7),-2.56827 # DEPENDENCYPART_ARC
(23,8),-3.53705 # DEPENDENCYPART_ARC
(23,9),-4.31347 # DEPENDENCYPART_ARC
(23,10),-4.36113 # DEPENDENCYPART_ARC
(23,11),-2.64427 # DEPENDENCYPART_ARC
(23,12),-1.88552 # DEPENDENCYPART_ARC
(23,13),-2.08163 # DEPENDENCYPART_ARC
(23,14),-1.89699 # DEPENDENCYPART_ARC
(23,15),-1.62745 # DEPENDENCYPART_ARC
(23,16),-3.27355 # DEPENDENCYPART_ARC
(23,17),-1.10741 # DEPENDENCYPART_ARC
(23,18),-0.950397 # DEPENDENCYPART_ARC
(23,19),-0.429233 # DEPENDENCYPART_ARC
(23,20),0.444118 # DEPENDENCYPART_ARC
(23,21),0.0433696 # DEPENDENCYPART_ARC
(23,22),1.47981 # DEPENDENCYPART_ARC
(23,24),2.64696 # DEPENDENCYPART_ARC
(23,25),0.877903 # DEPENDENCYPART_ARC
(23,26),2.52979 # DEPENDENCYPART_ARC
(23,27),-0.245317 # DEPENDENCYPART_ARC
(23,28),0.0153584 # DEPENDENCYPART_ARC
(24,1),-3.99185 # DEPENDENCYPART_ARC
(24,2),-3.21312 # DEPENDENCYPART_ARC
(24,3),-4.45753 # DEPENDENCYPART_ARC
(24,4),-2.91175 # DEPENDENCYPART_ARC
(24,5),-3.27115 # DEPENDENCYPART_ARC
(24,6),-3.31062 # DEPENDENCYPART_ARC
(24,7),-2.76413 # DEPENDENCYPART_ARC
(24,8),-2.78899 # DEPENDENCYPART_ARC
(24,9),-2.31692 # DEPENDENCYPART_ARC
(24,10),-2.36122 # DEPENDENCYPART_ARC
(24,11),-2.13161 # DEPENDENCYPART_ARC
(24,12),-2.24338 # DEPENDENCYPART_ARC
(24,13),-2.11688 # DEPENDENCYPART_ARC
(24,14),-1.61054 # DEPENDENCYPART_ARC
(24,15),-2.60369 # DEPENDENCYPART_ARC
(24,16),-2.44283 # DEPENDENCYPART_ARC
(24,17),-1.15978 # DEPENDENCYPART_ARC
(24,18),-1.52101 # DEPENDENCYPART_ARC
(24,19),-1.0482 # DEPENDENCYPART_ARC
(24,20),-0.45866 # DEPENDENCYPART_ARC
(24,21),-0.627449 # DEPENDENCYPART_ARC
(24,22),-0.340402 # DEPENDENCYPART_ARC
(24,23),-0.0167129 # DEPENDENCYPART_ARC
(24,25),3.19715 # DEPENDENCYPART_ARC
(24,26),0.476823 # DEPENDENCYPART_ARC
(24,27),1.06109 # DEPENDENCYPART_ARC
(24,28),-0.195877 # DEPENDENCYPART_ARC
(25,1),-3.48392 # DEPENDENCYPART_ARC
(25,2),-7.94647 # DEPENDENCYPART_ARC
(25,3),-7.98753 # DEPENDENCYPART_ARC
(25,4),-3.87354 # DEPENDENCYPART_ARC
(25,5),-7.04884 # DEPENDENCYPART_ARC
(25,6),-3.95425 # DEPENDENCYPART_ARC
(25,7),-3.49892 # DEPENDENCYPART_ARC
(25,8),-5.2554 # DEPENDENCYPART_ARC
(25,9),-5.4025 # DEPENDENCYPART_ARC
(25,10),-5.72263 # DEPENDENCYPART_ARC
(25,11),-3.60857 # DEPENDENCYPART_ARC
(25,12),-2.86841 # DEPENDENCYPART_ARC
(25,13),-4.6322 # DEPENDENCYPART_ARC
(25,14),-3.71343 # DEPENDENCYPART_ARC
(25,15),-3.4838 # DEPENDENCYPART_ARC
(25,16),-4.85713 # DEPENDENCYPART_ARC
(25,17),-2.29238 # DEPENDENCYPART_ARC
(25,18),-2.98307 # DEPENDENCYPART_ARC
(25,19),-2.23568 # DEPENDENCYPART_ARC
(25,20),-1.58716 # DEPENDENCYPART_ARC
(25,21),-2.6153 # DEPENDENCYPART_ARC
(25,22),-0.808325 # DEPENDENCYPART_ARC
(25,23),0.0886583 # DEPENDENCYPART_ARC
(25,24),-0.0150149 # DEPENDENCYPART_ARC
(25,26),4.20528 # DEPENDENCYPART_ARC
(25,27),1.14674 # DEPENDENCYPART_ARC
(25,28),0.804597 # DEPENDENCYPART_ARC
(26,1),-2.95329 # DEPENDENCYPART_ARC
(26,2),-3.24746 # DEPENDENCYPART_ARC
(26,3),-3.05084 # DEPENDENCYPART_ARC
(26,4),-3.11934 # DEPENDENCYPART_ARC
(26,5),-2.0815 # DEPENDENCYPART_ARC
(26,6),-2.96086 # DEPENDENCYPART_ARC
(26,7),-2.72671 # DEPENDENCYPART_ARC
(26,8),-2.77412 # DEPENDENCYPART_ARC
(26,9),-2.68978 # DEPENDENCYPART_ARC
(26,10),-2.59914 # DEPENDENCYPART_ARC
(26,11),-2.17256 # DEPENDENCYPART_ARC
(26,12),-2.23616 # DEPENDENCYPART_ARC
(26,13),-1.9962 # DEPENDENCYPART_ARC
(26,14),-2.18432 # DEPENDENCYPART_ARC
(26,15),-1.76123 # DEPENDENCYPART_ARC
(26,16),-1.52102 # DEPENDENCYPART_ARC
(26,17),-1.43014 # DEPENDENCYPART_ARC
(26,18),-0.720746 # DEPENDENCYPART_ARC
(26,19),-1.6487 # DEPENDENCYPART_ARC
(26,20),-0.969967 # DEPENDENCYPART_ARC
(26,21),-1.00131 # DEPENDENCYPART_ARC
(26,22),-0.77855 # DEPENDENCYPART_ARC
(26,23),-0.461584 # DEPENDENCYPART_ARC
(26,24),-0.520267 # DEPENDENCYPART_ARC
(26,25),0.0986875 # DEPENDENCYPART_ARC
(26,27),3.8766 # DEPENDENCYPART_ARC
(26,28),0.0489242 # DEPENDENCYPART_ARC
(27,1),-3.20536 # DEPENDENCYPART_ARC
(27,2),-8.29715 # DEPENDENCYPART_ARC
(27,3),-7.49207 # DEPENDENCYPART_ARC
(27,4),-4.14195 # DEPENDENCYPART_ARC
(27,5),-7.70635 # DEPENDENCYPART_ARC
(27,6),-3.89609 # DEPENDENCYPART_ARC
(27,7),-3.62043 # DEPENDENCYPART_ARC
(27,8),-5.43243 # DEPENDENCYPART_ARC
(27,9),-5.74358 # DEPENDENCYPART_ARC
(27,10),-6.13078 # DEPENDENCYPART_ARC
(27,11),-3.63291 # DEPENDENCYPART_ARC
(27,12),-2.99649 # DEPENDENCYPART_ARC
(27,13),-4.78481 # DEPENDENCYPART_ARC
(27,14),-3.72508 # DEPENDENCYPART_ARC
(27,15),-3.56671 # DEPENDENCYPART_ARC
(27,16),-5.10989 # DEPENDENCYPART_ARC
(27,17),-2.33975 # DEPENDENCYPART_ARC
(27,18),-3.40805 # DEPENDENCYPART_ARC
(27,19),-2.50286 # DEPENDENCYPART_ARC
(27,20),-2.83663 # DEPENDENCYPART_ARC
(27,21),-2.70551 # DEPENDENCYPART_ARC
(27,22),-1.23569 # DEPENDENCYPART_ARC
(27,23),-1.28401 # DEPENDENCYPART_ARC
(27,24),-1.05192 # DEPENDENCYPART_ARC
(27,25),0.117447 # DEPENDENCYPART_ARC
(27,26),0.251795 # DEPENDENCYPART_ARC
(27,28),-0.219671 # DEPENDENCYPART_ARC
(28,1),-3.99275 # DEPENDENCYPART_ARC
(28,2),-3.13278 # DEPENDENCYPART_ARC
(28,3),-3.1862 # DEPENDENCYPART_ARC
(28,4),-2.53557 # DEPENDENCYPART_ARC
(28,5),-3.4727 # DEPENDENCYPART_ARC
(28,6),-2.63519 # DEPENDENCYPART_ARC
(28,7),-2.76589 # DEPENDENCYPART_ARC
(28,8),-3.21537 # DEPENDENCYPART_ARC
(28,9),-2.90466 # DEPENDENCYPART_ARC
(28,10),-2.77227 # DEPENDENCYPART_ARC
(28,11),-2.45557 # DEPENDENCYPART_ARC
(28,12),-2.29696 # DEPENDENCYPART_ARC
(28,13),-2.25831 # DEPENDENCYPART_ARC
(28,14),-2.41411 # DEPENDENCYPART_ARC
(28,15),-1.66313 # DEPENDENCYPART_ARC
(28,16),-1.71238 # DEPENDENCYPART_ARC
(28,17),-1.79792 # DEPENDENCYPART_ARC
(28,18),-1.97211 # DEPENDENCYPART_ARC
(28,19),-0.203259 # DEPENDENCYPART_ARC
(28,20),-1.26844 # DEPENDENCYPART_ARC
(28,21),-1.44874 # DEPENDENCYPART_ARC
(28,22),-1.10709 # DEPENDENCYPART_ARC
(28,23),-1.58426 # DEPENDENCYPART_ARC
(28,24),-1.3125 # DEPENDENCYPART_ARC
(28,25),-1.25069 # DEPENDENCYPART_ARC
(28,26),-1.0467 # DEPENDENCYPART_ARC
(28,27),-1.2922 # DEPENDENCYPART_ARC
