# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(20,10),-1.40408 # DEPENDENCYPART_ARC
(20,11),-2.35419 # DEPENDENCYPART_ARC
(20,12),-2.20765 # DEPENDENCYPART_ARC
(20,13),-1.93068 # DEPENDENCYPART_ARC
(20,14),-1.77758 # DEPENDENCYPART_ARC
(20,15),-1.80709 # DEPENDENCYPART_ARC
(20,16),-1.56207 # DEPENDENCYPART_ARC
(20,17),-0.650343 # DEPENDENCYPART_ARC
(20,18),-0.698612 # DEPENDENCYPART_ARC
(20,19),-0.491671 # DEPENDENCYPART_ARC
(20,21),0.281973 # DEPENDENCYPART_ARC
(20,22),-0.621614 # DEPENDENCYPART_ARC
(20,23),-0.774438 # DEPENDENCYPART_ARC
(20,24),-0.942957 # DEPENDENCYPART_ARC
(20,25),-0.84944 # DEPENDENCYPART_ARC
(20,26),-1.47679 # DEPENDENCYPART_ARC
(21,1),-3.10511 # DEPENDENCYPART_ARC
(21,2),-4.23548 # DEPENDENCYPART_ARC
(21,3),-3.67938 # DEPENDENCYPART_ARC
(21,4),-4.55721 # DEPENDENCYPART_ARC
(21,5),-3.5922 # DEPENDENCYPART_ARC
(21,6),-5.15262 # DEPENDENCYPART_ARC
(21,7),-0.973339 # DEPENDENCYPART_ARC
(21,8),-1.68584 # DEPENDENCYPART_ARC
(21,9),-0.991509 # DEPENDENCYPART_ARC
(21,10),-1.13155 # DEPENDENCYPART_ARC
(21,11),-0.922096 # DEPENDENCYPART_ARC
(21,12),-2.89681 # DEPENDENCYPART_ARC
(21,13),-0.63394 # DEPENDENCYPART_ARC
(21,14),-0.228398 # DEPENDENCYPART_ARC
(21,15),-0.492585 # DEPENDENCYPART_ARC
(21,16),-0.310414 # DEPENDENCYPART_ARC
(21,17),1.93418 # DEPENDENCYPART_ARC
(21,18),0.529517 # DEPENDENCYPART_ARC
(21,19),0.884589 # DEPENDENCYPART_ARC
(21,20),5.24144 # DEPENDENCYPART_ARC
(21,22),0.788133 # DEPENDENCYPART_ARC
(21,23),0.325444 # DEPENDENCYPART_ARC
(21,24),0.126235 # DEPENDENCYPART_ARC
(21,25),-0.137168 # DEPENDENCYPART_ARC
(21,26),-0.461354 # DEPENDENCYPART_ARC
(22,1),-2.54684 # DEPENDENCYPART_ARC
(22,2),-3.02207 # DEPENDENCYPART_ARC
(22,3),-3.05443 # DEPENDENCYPART_ARC
(22,4),-3.04182 # DEPENDENCYPART_ARC
(22,5),-2.96995 # DEPENDENCYPART_ARC
(22,6),-2.44915 # DEPENDENCYPART_ARC
(22,7),-2.88287 # DEPENDENCYPART_ARC
(22,8),-1.97107 # DEPENDENCYPART_ARC
(22,9),-2.32716 # DEPENDENCYPART_ARC
(22,10),-2.16753 # DEPENDENCYPART_ARC
(22,11),-2.47889 # DEPENDENCYPART_ARC
(22,12),-2.40853 # DEPENDENCYPART_ARC
(22,13),-1.7361 # DEPENDENCYPART_ARC
(22,14),-0.191102 # DEPENDENCYPART_ARC
(22,15),-1.91754 # DEPENDENCYPART_ARC
(22,16),-1.46438 # DEPENDENCYPART_ARC
(22,17),-2.1385 # DEPENDENCYPART_ARC
(22,18),-1.48382 # DEPENDENCYPART_ARC
(22,19),-1.12668 # DEPENDENCYPART_ARC
(22,20),-0.716727 # DEPENDENCYPART_ARC
(22,21),-0.913192 # DEPENDENCYPART_ARC
(22,23),0.227578 # DEPENDENCYPART_ARC
(22,24),-0.481966 # DEPENDENCYPART_ARC
(22,25),-0.558929 # DEPENDENCYPART_ARC
(22,26),-0.954103 # DEPENDENCYPART_ARC
(23,1),-5.16574 # DEPENDENCYPART_ARC
(23,2),-6.91857 # DEPENDENCYPART_ARC
(23,3),-5.44511 # DEPENDENCYPART_ARC
(23,4),-4.78545 # DEPENDENCYPART_ARC
(23,5),-4.99486 # DEPENDENCYPART_ARC
(23,6),-6.55711 # DEPENDENCYPART_ARC
(23,7),-5.30015 # DEPENDENCYPART_ARC
(23,8),-4.39648 # DEPENDENCYPART_ARC
(23,9),-3.86838 # DEPENDENCYPART_ARC
(23,10),-4.89286 # DEPENDENCYPART_ARC
(23,11),-4.11417 # DEPENDENCYPART_ARC
(23,12),-6.26078 # DEPENDENCYPART_ARC
(23,13),-3.96151 # DEPENDENCYPART_ARC
(23,14),-3.53945 # DEPENDENCYPART_ARC
(23,15),-3.48026 # DEPENDENCYPART_ARC
(23,16),-3.5567 # DEPENDENCYPART_ARC
(23,17),-2.89347 # DEPENDENCYPART_ARC
(23,18),-1.97229 # DEPENDENCYPART_ARC
(23,19),-2.49624 # DEPENDENCYPART_ARC
(23,20),-1.21056 # DEPENDENCYPART_ARC
(23,21),-2.19559 # DEPENDENCYPART_ARC
(23,22),-1.04709 # DEPENDENCYPART_ARC
(23,24),1.64298 # DEPENDENCYPART_ARC
(23,25),-1.23068 # DEPENDENCYPART_ARC
(23,26),-1.34547 # DEPENDENCYPART_ARC
(24,1),-3.6712 # DEPENDENCYPART_ARC
(24,2),-4.64039 # DEPENDENCYPART_ARC
(24,3),-3.69329 # DEPENDENCYPART_ARC
(24,4),-3.55369 # DEPENDENCYPART_ARC
(24,5),-3.71344 # DEPENDENCYPART_ARC
(24,6),-5.29925 # DEPENDENCYPART_ARC
(24,7),-3.8089 # DEPENDENCYPART_ARC
(24,8),-2.75971 # DEPENDENCYPART_ARC
(24,9),-2.48623 # DEPENDENCYPART_ARC
(24,10),-3.09175 # DEPENDENCYPART_ARC
(24,11),-2.0319 # DEPENDENCYPART_ARC
(24,12),-4.46743 # DEPENDENCYPART_ARC
(24,13),-2.83559 # DEPENDENCYPART_ARC
(24,14),-1.60007 # DEPENDENCYPART_ARC
(24,15),-1.76263 # DEPENDENCYPART_ARC
(24,16),-2.08883 # DEPENDENCYPART_ARC
(24,17),-1.46788 # DEPENDENCYPART_ARC
(24,18),-1.33853 # DEPENDENCYPART_ARC
(24,19),-0.959322 # DEPENDENCYPART_ARC
(24,20),0.240812 # DEPENDENCYPART_ARC
(24,21),-1.41414 # DEPENDENCYPART_ARC
(24,22),1.20175 # DEPENDENCYPART_ARC
(24,23),5.23753 # DEPENDENCYPART_ARC
(24,25),0.597784 # DEPENDENCYPART_ARC
(24,26),-0.156663 # DEPENDENCYPART_ARC
(25,1),0.0588789 # DEPENDENCYPART_ARC
(25,2),-3.85956 # DEPENDENCYPART_ARC
(25,3),-2.73864 # DEPENDENCYPART_ARC
(25,4),-1.62524 # DEPENDENCYPART_ARC
(25,5),-1.72562 # DEPENDENCYPART_ARC
(25,6),-2.0231 # DEPENDENCYPART_ARC
(25,7),-0.0134404 # DEPENDENCYPART_ARC
(25,8),-0.0167246 # DEPENDENCYPART_ARC
(25,9),-1.30953 # DEPENDENCYPART_ARC
(25,10),-2.66655 # DEPENDENCYPART_ARC
(25,11),-2.39822 # DEPENDENCYPART_ARC
(25,12),0.187977 # DEPENDENCYPART_ARC
(25,13),1.3716 # DEPENDENCYPART_ARC
(25,14),1.88657 # DEPENDENCYPART_ARC
(25,15),-0.0862949 # DEPENDENCYPART_ARC
(25,16),1.87024 # DEPENDENCYPART_ARC
(25,17),-0.383927 # DEPENDENCYPART_ARC
(25,18),-0.2508 # DEPENDENCYPART_ARC
(25,19),-0.267293 # DEPENDENCYPART_ARC
(25,20),-0.115491 # DEPENDENCYPART_ARC
(25,21),0.375499 # DEPENDENCYPART_ARC
(25,22),4.37129 # DEPENDENCYPART_ARC
(25,23),1.72074 # DEPENDENCYPART_ARC
(25,24),2.86999 # DEPENDENCYPART_ARC
(25,26),8.32795 # DEPENDENCYPART_ARC
(26,1),-2.10931 # DEPENDENCYPART_ARC
(26,2),-3.33643 # DEPENDENCYPART_ARC
(26,3),-3.89905 # DEPENDENCYPART_ARC
(26,4),-3.55154 # DEPENDENCYPART_ARC
(26,5),-3.53552 # DEPENDENCYPART_ARC
(26,6),-2.86788 # DEPENDENCYPART_ARC
(26,7),-3.06855 # DEPENDENCYPART_ARC
(26,8),-1.75378 # DEPENDENCYPART_ARC
(26,9),-2.91743 # DEPENDENCYPART_ARC
(26,10),-2.43464 # DEPENDENCYPART_ARC
(26,11),-2.57259 # DEPENDENCYPART_ARC
(26,12),-2.45278 # DEPENDENCYPART_ARC
(26,13),-1.9459 # DEPENDENCYPART_ARC
(26,14),-1.33675 # DEPENDENCYPART_ARC
(26,15),-2.17045 # DEPENDENCYPART_ARC
(26,16),-1.74336 # DEPENDENCYPART_ARC
(26,17),-1.98403 # DEPENDENCYPART_ARC
(26,18),-2.18093 # DEPENDENCYPART_ARC
(26,19),-2.09304 # DEPENDENCYPART_ARC
(26,20),-1.2673 # DEPENDENCYPART_ARC
(26,21),-2.08052 # DEPENDENCYPART_ARC
(26,22),-0.962222 # DEPENDENCYPART_ARC
(26,23),-1.33473 # DEPENDENCYPART_ARC
(26,24),-1.83932 # DEPENDENCYPART_ARC
(26,25),-0.970935 # DEPENDENCYPART_ARC
