# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
(23,4),-2.51631 # DEPENDENCYPART_ARC
(23,5),-2.78428 # DEPENDENCYPART_ARC
(23,6),-1.71556 # DEPENDENCYPART_ARC
(23,7),-2.9195 # DEPENDENCYPART_ARC
(23,8),-2.3896 # DEPENDENCYPART_ARC
(23,9),-2.32246 # DEPENDENCYPART_ARC
(23,10),-0.916456 # DEPENDENCYPART_ARC
(23,11),-1.32889 # DEPENDENCYPART_ARC
(23,12),-1.98007 # DEPENDENCYPART_ARC
(23,13),-1.14822 # DEPENDENCYPART_ARC
(23,14),-1.17912 # DEPENDENCYPART_ARC
(23,15),-1.68098 # DEPENDENCYPART_ARC
(23,16),-0.470411 # DEPENDENCYPART_ARC
(23,17),-1.1744 # DEPENDENCYPART_ARC
(23,18),-1.61415 # DEPENDENCYPART_ARC
(23,19),-1.11352 # DEPENDENCYPART_ARC
(23,20),-0.935652 # DEPENDENCYPART_ARC
(23,21),-1.40989 # DEPENDENCYPART_ARC
(23,22),-0.870428 # DEPENDENCYPART_ARC
