# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,11,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(19,15),-0.705773 # DEPENDENCYPART_ARC
(19,16),-0.7194 # DEPENDENCYPART_ARC
(19,17),0.683369 # DEPENDENCYPART_ARC
(19,18),0.681577 # DEPENDENCYPART_ARC
(19,20),0.355545 # DEPENDENCYPART_ARC
(19,21),0.494537 # DEPENDENCYPART_ARC
(19,22),-0.388776 # DEPENDENCYPART_ARC
(19,23),-0.35295 # DEPENDENCYPART_ARC
(19,24),-0.0333595 # DEPENDENCYPART_ARC
(19,25),-0.784462 # DEPENDENCYPART_ARC
(19,26),-0.896629 # DEPENDENCYPART_ARC
(19,27),-0.562922 # DEPENDENCYPART_ARC
(20,1),-2.23926 # DEPENDENCYPART_ARC
(20,2),-2.79125 # DEPENDENCYPART_ARC
(20,3),-3.15594 # DEPENDENCYPART_ARC
(20,4),-2.52975 # DEPENDENCYPART_ARC
(20,5),-1.7367 # DEPENDENCYPART_ARC
(20,6),-2.48466 # DEPENDENCYPART_ARC
(20,7),-2.12677 # DEPENDENCYPART_ARC
(20,8),-2.64827 # DEPENDENCYPART_ARC
(20,9),-1.33108 # DEPENDENCYPART_ARC
(20,10),-1.03948 # DEPENDENCYPART_ARC
(20,11),-1.79028 # DEPENDENCYPART_ARC
(20,12),-2.20366 # DEPENDENCYPART_ARC
(20,13),-1.92472 # DEPENDENCYPART_ARC
(20,14),-1.82146 # DEPENDENCYPART_ARC
(20,15),-1.178 # DEPENDENCYPART_ARC
(20,16),-1.24884 # DEPENDENCYPART_ARC
(20,17),0.211918 # DEPENDENCYPART_ARC
(20,18),-0.111896 # DEPENDENCYPART_ARC
(20,19),0.202504 # DEPENDENCYPART_ARC
(20,21),0.43607 # DEPENDENCYPART_ARC
(20,22),-0.478642 # DEPENDENCYPART_ARC
(20,23),-0.0759371 # DEPENDENCYPART_ARC
(20,24),-0.0920182 # DEPENDENCYPART_ARC
(20,25),-1.14135 # DEPENDENCYPART_ARC
(20,26),-1.52313 # DEPENDENCYPART_ARC
(20,27),-0.858278 # DEPENDENCYPART_ARC
(21,1),-5.20483 # DEPENDENCYPART_ARC
(21,2),-3.15596 # DEPENDENCYPART_ARC
(21,3),-6.17655 # DEPENDENCYPART_ARC
(21,4),-2.1944 # DEPENDENCYPART_ARC
(21,5),-2.61733 # DEPENDENCYPART_ARC
(21,6),-2.4282 # DEPENDENCYPART_ARC
(21,7),-3.11004 # DEPENDENCYPART_ARC
(21,8),-4.3053 # DEPENDENCYPART_ARC
(21,9),-1.51292 # DEPENDENCYPART_ARC
(21,10),-1.51785 # DEPENDENCYPART_ARC
(21,11),-0.920541 # DEPENDENCYPART_ARC
(21,12),-1.33288 # DEPENDENCYPART_ARC
(21,13),-1.36559 # DEPENDENCYPART_ARC
(21,14),-2.97733 # DEPENDENCYPART_ARC
(21,15),-0.560825 # DEPENDENCYPART_ARC
(21,16),-0.819479 # DEPENDENCYPART_ARC
(21,17),0.76139 # DEPENDENCYPART_ARC
(21,18),0.830851 # DEPENDENCYPART_ARC
(21,19),0.692079 # DEPENDENCYPART_ARC
(21,20),5.23701 # DEPENDENCYPART_ARC
(21,22),0.628909 # DEPENDENCYPART_ARC
(21,23),-0.447758 # DEPENDENCYPART_ARC
(21,24),-1.30176 # DEPENDENCYPART_ARC
(21,25),-0.922275 # DEPENDENCYPART_ARC
(21,26),-1.36928 # DEPENDENCYPART_ARC
(21,27),-0.712796 # DEPENDENCYPART_ARC
(22,1),-3.44445 # DEPENDENCYPART_ARC
(22,2),-3.42508 # DEPENDENCYPART_ARC
(22,3),-4.68127 # DEPENDENCYPART_ARC
(22,4),-2.91486 # DEPENDENCYPART_ARC
(22,5),-1.68369 # DEPENDENCYPART_ARC
(22,6),-2.91421 # DEPENDENCYPART_ARC
(22,7),-2.65014 # DEPENDENCYPART_ARC
(22,8),-3.66503 # DEPENDENCYPART_ARC
(22,9),-2.44516 # DEPENDENCYPART_ARC
(22,10),-2.27325 # DEPENDENCYPART_ARC
(22,11),-2.57065 # DEPENDENCYPART_ARC
(22,12),-2.45285 # DEPENDENCYPART_ARC
(22,13),-2.4611 # DEPENDENCYPART_ARC
(22,14),-3.00851 # DEPENDENCYPART_ARC
(22,15),-1.57468 # DEPENDENCYPART_ARC
(22,16),-1.53244 # DEPENDENCYPART_ARC
(22,17),-1.0986 # DEPENDENCYPART_ARC
(22,18),-1.15477 # DEPENDENCYPART_ARC
(22,19),-0.835486 # DEPENDENCYPART_ARC
(22,20),-0.3644 # DEPENDENCYPART_ARC
(22,21),-0.716227 # DEPENDENCYPART_ARC
(22,23),1.22052 # DEPENDENCYPART_ARC
(22,24),1.10551 # DEPENDENCYPART_ARC
(22,25),0.796209 # DEPENDENCYPART_ARC
(22,26),3.0441 # DEPENDENCYPART_ARC
(22,27),-0.522019 # DEPENDENCYPART_ARC
(23,1),-3.9184 # DEPENDENCYPART_ARC
(23,2),-4.23786 # DEPENDENCYPART_ARC
(23,3),-5.28971 # DEPENDENCYPART_ARC
(23,4),-3.96829 # DEPENDENCYPART_ARC
(23,5),-3.85133 # DEPENDENCYPART_ARC
(23,6),-4.42033 # DEPENDENCYPART_ARC
(23,7),-3.84148 # DEPENDENCYPART_ARC
(23,8),-4.58908 # DEPENDENCYPART_ARC
(23,9),-4.08251 # DEPENDENCYPART_ARC
(23,10),-2.95544 # DEPENDENCYPART_ARC
(23,11),-3.28161 # DEPENDENCYPART_ARC
(23,12),-3.98587 # DEPENDENCYPART_ARC
(23,13),-3.82231 # DEPENDENCYPART_ARC
(23,14),-3.79123 # DEPENDENCYPART_ARC
(23,15),-3.16235 # DEPENDENCYPART_ARC
(23,16),-3.32802 # DEPENDENCYPART_ARC
(23,17),-2.96048 # DEPENDENCYPART_ARC
(23,18),-2.71741 # DEPENDENCYPART_ARC
(23,19),-2.0452 # DEPENDENCYPART_ARC
(23,20),-1.13249 # DEPENDENCYPART_ARC
(23,21),-1.9292 # DEPENDENCYPART_ARC
(23,22),-1.54496 # DEPENDENCYPART_ARC
(23,24),1.33429 # DEPENDENCYPART_ARC
(23,25),0.370732 # DEPENDENCYPART_ARC
(23,26),0.0650838 # DEPENDENCYPART_ARC
(23,27),-0.31851 # DEPENDENCYPART_ARC
(24,1),-1.90897 # DEPENDENCYPART_ARC
(24,2),-1.8569 # DEPENDENCYPART_ARC
(24,3),-3.23866 # DEPENDENCYPART_ARC
(24,4),-1.69661 # DEPENDENCYPART_ARC
(24,5),-1.49234 # DEPENDENCYPART_ARC
(24,6),-1.98846 # DEPENDENCYPART_ARC
(24,7),-1.67169 # DEPENDENCYPART_ARC
(24,8),-2.3682 # DEPENDENCYPART_ARC
(24,9),-1.43318 # DEPENDENCYPART_ARC
(24,10),-0.811091 # DEPENDENCYPART_ARC
(24,11),-0.932154 # DEPENDENCYPART_ARC
(24,12),-1.77646 # DEPENDENCYPART_ARC
(24,13),-1.80235 # DEPENDENCYPART_ARC
(24,14),-1.5632 # DEPENDENCYPART_ARC
(24,15),-0.780598 # DEPENDENCYPART_ARC
(24,16),-0.966754 # DEPENDENCYPART_ARC
(24,17),-0.54518 # DEPENDENCYPART_ARC
(24,18),-0.513939 # DEPENDENCYPART_ARC
(24,19),0.101759 # DEPENDENCYPART_ARC
(24,20),0.82589 # DEPENDENCYPART_ARC
(24,21),0.0983349 # DEPENDENCYPART_ARC
(24,22),1.23944 # DEPENDENCYPART_ARC
(24,23),4.15899 # DEPENDENCYPART_ARC
(24,25),1.13032 # DEPENDENCYPART_ARC
(24,26),0.496064 # DEPENDENCYPART_ARC
(24,27),-0.0900986 # DEPENDENCYPART_ARC
(25,1),-5.20192 # DEPENDENCYPART_ARC
(25,2),-5.43473 # DEPENDENCYPART_ARC
(25,3),-6.36729 # DEPENDENCYPART_ARC
(25,4),-3.8021 # DEPENDENCYPART_ARC
(25,5),-3.60237 # DEPENDENCYPART_ARC
(25,6),-3.69803 # DEPENDENCYPART_ARC
(25,7),-2.96587 # DEPENDENCYPART_ARC
(25,8),-5.41213 # DEPENDENCYPART_ARC
(25,9),-1.98475 # DEPENDENCYPART_ARC
(25,10),-3.04194 # DEPENDENCYPART_ARC
(25,11),-3.58957 # DEPENDENCYPART_ARC
(25,12),-3.37258 # DEPENDENCYPART_ARC
(25,13),-2.65539 # DEPENDENCYPART_ARC
(25,14),-4.2105 # DEPENDENCYPART_ARC
(25,15),-2.33444 # DEPENDENCYPART_ARC
(25,16),-2.34808 # DEPENDENCYPART_ARC
(25,17),-1.10452 # DEPENDENCYPART_ARC
(25,18),-0.927699 # DEPENDENCYPART_ARC
(25,19),-1.01992 # DEPENDENCYPART_ARC
(25,20),0.749156 # DEPENDENCYPART_ARC
(25,21),-0.872531 # DEPENDENCYPART_ARC
(25,22),0.15856 # DEPENDENCYPART_ARC
(25,23),1.22184 # DEPENDENCYPART_ARC
(25,24),0.741538 # DEPENDENCYPART_ARC
(25,26),0.657797 # DEPENDENCYPART_ARC
(25,27),0.0426716 # DEPENDENCYPART_ARC
(26,1),-6.13861 # DEPENDENCYPART_ARC
(26,2),-3.94511 # DEPENDENCYPART_ARC
(26,3),-5.73894 # DEPENDENCYPART_ARC
(26,4),-2.94757 # DEPENDENCYPART_ARC
(26,5),-2.96221 # DEPENDENCYPART_ARC
(26,6),-2.15912 # DEPENDENCYPART_ARC
(26,7),-4.14659 # DEPENDENCYPART_ARC
(26,8),-4.53919 # DEPENDENCYPART_ARC
(26,9),-0.824567 # DEPENDENCYPART_ARC
(26,10),-2.67106 # DEPENDENCYPART_ARC
(26,11),-2.38233 # DEPENDENCYPART_ARC
(26,12),-1.34149 # DEPENDENCYPART_ARC
(26,13),-2.09516 # DEPENDENCYPART_ARC
(26,14),-4.14865 # DEPENDENCYPART_ARC
(26,15),-1.5121 # DEPENDENCYPART_ARC
(26,16),-1.01878 # DEPENDENCYPART_ARC
(26,17),-0.451427 # DEPENDENCYPART_ARC
(26,18),-0.432043 # DEPENDENCYPART_ARC
(26,19),-0.736111 # DEPENDENCYPART_ARC
(26,20),0.927935 # DEPENDENCYPART_ARC
(26,21),-0.240968 # DEPENDENCYPART_ARC
(26,22),0.386297 # DEPENDENCYPART_ARC
(26,23),1.91283 # DEPENDENCYPART_ARC
(26,24),3.13826 # DEPENDENCYPART_ARC
(26,25),4.05379 # DEPENDENCYPART_ARC
(26,27),0.679688 # DEPENDENCYPART_ARC
(27,1),-3.07003 # DEPENDENCYPART_ARC
(27,2),-3.39865 # DEPENDENCYPART_ARC
(27,3),-3.01557 # DEPENDENCYPART_ARC
(27,4),-1.94198 # DEPENDENCYPART_ARC
(27,5),-2.20176 # DEPENDENCYPART_ARC
(27,6),-2.8841 # DEPENDENCYPART_ARC
(27,7),-3.00498 # DEPENDENCYPART_ARC
(27,8),-2.34833 # DEPENDENCYPART_ARC
(27,9),-2.77437 # DEPENDENCYPART_ARC
(27,10),-2.12437 # DEPENDENCYPART_ARC
(27,11),-2.47363 # DEPENDENCYPART_ARC
(27,12),-1.99594 # DEPENDENCYPART_ARC
(27,13),-2.1351 # DEPENDENCYPART_ARC
(27,14),-2.0783 # DEPENDENCYPART_ARC
(27,15),-0.807255 # DEPENDENCYPART_ARC
(27,16),-1.60355 # DEPENDENCYPART_ARC
(27,17),-1.81113 # DEPENDENCYPART_ARC
(27,18),-1.97734 # DEPENDENCYPART_ARC
(27,19),-1.77808 # DEPENDENCYPART_ARC
(27,20),-1.0402 # DEPENDENCYPART_ARC
(27,21),-1.55673 # DEPENDENCYPART_ARC
(27,22),-1.46631 # DEPENDENCYPART_ARC
(27,23),-1.41541 # DEPENDENCYPART_ARC
(27,24),-1.06445 # DEPENDENCYPART_ARC
(27,25),-1.43262 # DEPENDENCYPART_ARC
(27,26),-1.36598 # DEPENDENCYPART_ARC
